X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,43.415,43.51,43.618,43.805,44.53
-5.92,-6,43.538,43.632,43.739,43.926,44.529
-5.84,-6,43.66,43.754,43.861,44.047,44.527
-5.76,-6,43.783,43.876,43.983,44.168,44.525
-5.68,-6,43.906,43.999,44.105,44.289,44.522
-5.6,-6,44.029,44.121,44.227,44.411,44.52
-5.52,-6,44.153,44.244,44.349,44.532,44.517
-5.44,-6,44.276,44.367,44.472,44.654,44.515
-5.36,-6,44.399,44.49,44.594,44.775,44.513
-5.28,-6,44.523,44.613,44.716,44.897,44.511
-5.2,-6,44.647,44.736,44.839,45.018,44.508
-5.12,-6,44.77,44.859,44.961,45.14,44.505
-5.04,-6,44.894,44.982,45.083,45.261,44.502
-4.96,-6,45.017,45.104,45.206,45.382,44.498
-4.88,-6,45.141,45.227,45.328,45.504,44.493
-4.8,-6,45.264,45.35,45.45,45.625,44.488
-4.72,-6,45.387,45.472,45.572,45.746,44.494
-4.64,-6,45.511,45.595,45.694,45.866,44.502
-4.56,-6,45.634,45.717,45.815,45.987,44.491
-4.48,-6,45.756,45.839,45.936,46.107,44.473
-4.4,-6,45.879,45.961,46.058,46.227,44.454
-4.32,-6,46.001,46.082,46.178,46.347,44.435
-4.24,-6,46.123,46.204,46.299,46.466,44.414
-4.16,-6,46.245,46.324,46.419,46.585,44.393
-4.08,-6,46.367,46.445,46.539,46.704,44.37
-4,-6,46.488,46.565,46.658,46.822,44.347
-3.92,-6,46.608,46.685,46.777,46.939,44.323
-3.84,-6,46.728,46.804,46.895,47.056,44.299
-3.76,-6,46.848,46.923,47.013,47.173,44.273
-3.68,-6,46.967,47.041,47.13,47.288,44.247
-3.6,-6,47.086,47.158,47.246,47.404,44.22
-3.52,-6,47.204,47.275,47.362,47.518,44.192
-3.44,-6,47.321,47.391,47.478,47.632,44.163
-3.36,-6,47.438,47.507,47.592,47.745,44.134
-3.28,-6,47.554,47.622,47.706,47.857,44.104
-3.2,-6,47.669,47.736,47.819,47.969,44.073
-3.12,-6,47.783,47.849,47.931,48.079,44.042
-3.04,-6,47.897,47.961,48.042,48.189,44.01
-2.96,-6,48.01,48.072,48.152,48.297,43.977
-2.88,-6,48.121,48.183,48.262,48.405,43.941
-2.8,-6,48.232,48.292,48.37,48.512,43.9
-2.72,-6,48.342,48.4,48.477,48.617,43.856
-2.64,-6,48.45,48.508,48.583,48.721,43.811
-2.56,-6,48.558,48.614,48.688,48.824,43.764
-2.48,-6,48.664,48.719,48.791,48.926,43.716
-2.4,-6,48.77,48.822,48.894,49.027,43.665
-2.32,-6,48.874,48.925,48.995,49.126,43.613
-2.24,-6,48.976,49.026,49.095,49.224,43.558
-2.16,-6,49.078,49.126,49.193,49.32,43.502
-2.08,-6,49.177,49.224,49.29,49.416,43.444
-2,-6,49.276,49.321,49.386,49.509,43.384
-1.92,-6,49.373,49.416,49.48,49.601,43.322
-1.84,-6,49.469,49.51,49.572,49.692,43.259
-1.76,-6,49.563,49.603,49.663,49.78,43.193
-1.68,-6,49.655,49.693,49.752,49.868,43.126
-1.6,-6,49.746,49.782,49.84,49.953,43.057
-1.52,-6,49.834,49.869,49.925,50.037,42.986
-1.44,-6,49.922,49.955,50.009,50.119,42.913
-1.36,-6,50.007,50.039,50.092,50.199,42.838
-1.28,-6,50.091,50.12,50.172,50.278,42.761
-1.2,-6,50.172,50.2,50.25,50.354,42.683
-1.12,-6,50.252,50.278,50.327,50.429,42.603
-1.04,-6,50.33,50.354,50.402,50.502,42.52
-0.96,-6,50.406,50.428,50.474,50.572,42.436
-0.88,-6,50.479,50.5,50.545,50.641,42.35
-0.8,-6,50.551,50.57,50.613,50.708,42.262
-0.72,-6,50.62,50.638,50.679,50.772,42.172
-0.64,-6,50.688,50.703,50.743,50.835,42.08
-0.56,-6,50.753,50.767,50.805,50.895,41.986
-0.48,-6,50.815,50.828,50.865,50.953,41.89
-0.4,-6,50.876,50.886,50.923,51.01,41.792
-0.32,-6,50.934,50.943,50.978,51.063,41.692
-0.24,-6,50.99,50.997,51.031,51.115,41.59
-0.16,-6,51.043,51.049,51.081,51.165,41.485
-0.08,-6,51.094,51.098,51.13,51.212,41.379
0,-6,51.142,51.145,51.175,51.257,41.27
0.08,-6,51.069,51.065,51.09,51.178,41.186
0.16,-6,51.075,51.067,51.089,51.177,41.1
0.24,-6,51.091,51.08,51.099,51.189,41.128
0.32,-6,51.11,51.097,51.114,51.204,41.04
0.4,-6,51.13,51.114,51.129,51.219,40.949
0.48,-6,51.148,51.13,51.144,51.234,40.857
0.56,-6,51.166,51.145,51.157,51.247,40.763
0.64,-6,51.187,51.158,51.169,51.259,40.667
0.72,-6,51.211,51.179,51.18,51.269,40.569
