X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,45.039,45.164,45.281,45.468,45.156
-5.92,-6,45.17,45.295,45.412,45.597,45.143
-5.84,-6,45.302,45.426,45.542,45.726,45.131
-5.76,-6,45.435,45.558,45.674,45.855,45.118
-5.68,-6,45.568,45.691,45.805,45.985,45.104
-5.6,-6,45.701,45.824,45.937,46.115,45.091
-5.52,-6,45.835,45.957,46.07,46.246,45.078
-5.44,-6,45.97,46.091,46.203,46.377,45.064
-5.36,-6,46.104,46.225,46.336,46.508,45.05
-5.28,-6,46.24,46.36,46.47,46.64,45.036
-5.2,-6,46.375,46.495,46.604,46.772,45.021
-5.12,-6,46.511,46.63,46.738,46.904,45.007
-5.04,-6,46.648,46.766,46.873,47.037,44.993
-4.96,-6,46.784,46.902,47.008,47.17,44.979
-4.88,-6,46.922,47.039,47.144,47.304,44.965
-4.8,-6,47.059,47.176,47.28,47.437,44.95
-4.72,-6,47.197,47.313,47.416,47.571,44.934
-4.64,-6,47.336,47.451,47.553,47.706,44.918
-4.56,-6,47.475,47.589,47.69,47.84,44.901
-4.48,-6,47.614,47.728,47.827,47.975,44.884
-4.4,-6,47.753,47.866,47.965,48.111,44.88
-4.32,-6,47.893,48.006,48.103,48.246,44.876
-4.24,-6,48.033,48.145,48.241,48.382,44.847
-4.16,-6,48.174,48.285,48.38,48.518,44.816
-4.08,-6,48.315,48.425,48.519,48.654,44.784
-4,-6,48.456,48.566,48.658,48.791,44.751
-3.92,-6,48.598,48.707,48.798,48.928,44.717
-3.84,-6,48.74,48.848,48.938,49.065,44.683
-3.76,-6,48.882,48.99,49.078,49.202,44.647
-3.68,-6,49.025,49.132,49.219,49.34,44.61
-3.6,-6,49.168,49.274,49.36,49.478,44.573
-3.52,-6,49.311,49.417,49.501,49.616,44.534
-3.44,-6,49.455,49.56,49.642,49.754,44.495
-3.36,-6,49.599,49.703,49.784,49.892,44.455
-3.28,-6,49.743,49.847,49.926,50.031,44.414
-3.2,-6,49.888,49.991,50.069,50.17,44.372
-3.12,-6,50.033,50.135,50.212,50.31,44.33
-3.04,-6,50.179,50.28,50.355,50.449,44.287
-2.96,-6,50.325,50.425,50.499,50.589,44.243
-2.88,-6,50.471,50.571,50.643,50.729,44.198
-2.8,-6,50.618,50.717,50.787,50.87,44.153
-2.72,-6,50.765,50.863,50.932,51.011,44.107
-2.64,-6,50.913,51.01,51.077,51.152,44.061
-2.56,-6,51.061,51.158,51.223,51.294,44.014
-2.48,-6,51.21,51.306,51.369,51.436,43.968
-2.4,-6,51.359,51.454,51.516,51.578,43.92
-2.32,-6,51.509,51.604,51.663,51.721,43.871
-2.24,-6,51.659,51.753,51.811,51.864,43.821
-2.16,-6,51.811,51.904,51.96,52.008,43.769
-2.08,-6,51.962,52.055,52.109,52.153,43.716
-2,-6,52.115,52.207,52.259,52.298,43.662
-1.92,-6,52.268,52.359,52.41,52.444,43.606
-1.84,-6,52.423,52.513,52.562,52.591,43.549
-1.76,-6,52.578,52.667,52.714,52.738,43.491
-1.68,-6,52.734,52.822,52.868,52.886,43.431
-1.6,-6,52.891,52.979,53.023,53.036,43.37
-1.52,-6,53.049,53.136,53.179,53.186,43.308
-1.44,-6,53.209,53.295,53.336,53.338,43.237
-1.36,-6,53.369,53.455,53.494,53.49,43.159
-1.28,-6,53.531,53.617,53.654,53.644,43.08
-1.2,-6,53.695,53.78,53.815,53.799,43.002
-1.12,-6,53.86,53.944,53.978,53.956,42.93
-1.04,-6,54.027,54.111,54.142,54.115,42.856
-0.96,-6,54.195,54.279,54.309,54.275,42.781
-0.88,-6,54.365,54.449,54.477,54.437,42.703
-0.8,-6,54.538,54.62,54.647,54.601,42.623
-0.72,-6,54.712,54.795,54.819,54.767,42.541
-0.64,-6,54.888,54.971,54.994,54.935,42.457
-0.56,-6,55.067,55.15,55.171,55.105,42.371
-0.48,-6,55.249,55.331,55.351,55.276,42.282
-0.4,-6,55.435,55.519,55.538,55.444,42.191
-0.32,-6,55.626,55.709,55.727,55.624,42.098
-0.24,-6,55.819,55.903,55.92,55.81,42.002
-0.16,-6,56.015,56.1,56.115,55.999,41.904
-0.08,-6,56.215,56.3,56.314,56.192,41.804
0,-6,56.418,56.504,56.516,56.388,41.701
0.08,-6,56.59,56.676,56.686,56.552,41.61
0.16,-6,56.792,56.877,56.886,56.745,41.518
0.24,-6,57.001,57.087,57.094,56.948,41.529
0.32,-6,57.216,57.302,57.308,57.156,41.435
0.4,-6,57.436,57.523,57.528,57.37,41.338
0.48,-6,57.661,57.748,57.753,57.589,41.239
0.56,-6,57.887,57.979,57.982,57.813,41.139
0.64,-6,58.119,58.214,58.217,58.043,41.037
0.72,-6,58.357,58.456,58.457,58.278,40.933
0.8,-6,58.601,58.699,58.703,58.518,40.828
0.88,-6,58.849,58.948,58.955,58.765,40.721
0.96,-6,59.103,59.202,59.212,59.018,40.613
1.04,-6,59.363,59.462,59.472,59.276,40.503
1.12,-6,59.629,59.728,59.736,59.541,40.393
1.2,-6,59.9,59.999,60.007,59.812,40.28
1.28,-6,60.175,60.277,60.285,60.089,40.167
1.36,-6,60.454,60.558,60.568,60.372,40.053
1.44,-6,60.74,60.845,60.856,60.663,39.937
1.52,-6,61.033,61.138,61.15,60.96,39.82
1.6,-6,61.331,61.438,61.451,61.263,39.702
1.68,-6,61.637,61.744,61.758,61.568,39.583
1.76,-6,61.945,62.058,62.072,61.881,39.463
1.84,-6,62.262,62.378,62.394,62.202,39.343
1.92,-6,62.588,62.705,62.722,62.531,39.221
2,-6,62.921,63.04,63.058,62.868,39.099
2.08,-6,63.26,63.382,63.402,63.212,38.975
2.16,-6,63.607,63.73,63.753,63.565,38.851
2.24,-6,63.961,64.086,64.112,63.927,38.727
2.32,-6,64.321,64.45,64.478,64.297,38.601
2.4,-6,64.689,64.821,64.852,64.675,38.475
2.48,-6,65.064,65.199,65.235,65.063,38.349
2.56,-6,65.446,65.586,65.625,65.46,38.222
2.64,-6,65.836,65.98,66.024,65.866,38.095
2.72,-6,66.232,66.381,66.431,66.282,37.967
2.8,-6,66.636,66.791,66.847,66.707,37.838
2.88,-6,67.048,67.209,67.271,67.131,37.71
