X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,43.451,43.562,43.677,43.858,43.864
-5.92,-6,43.575,43.685,43.8,43.98,43.871
-5.84,-6,43.699,43.808,43.922,44.102,43.877
-5.76,-6,43.822,43.931,44.045,44.224,43.883
-5.68,-6,43.947,44.055,44.168,44.346,43.89
-5.6,-6,44.071,44.179,44.292,44.469,43.897
-5.52,-6,44.195,44.303,44.415,44.591,43.903
-5.44,-6,44.32,44.426,44.538,44.714,43.908
-5.36,-6,44.444,44.55,44.662,44.836,43.913
-5.28,-6,44.569,44.674,44.785,44.959,43.917
-5.2,-6,44.693,44.799,44.909,45.081,43.921
-5.12,-6,44.818,44.923,45.032,45.204,43.924
-5.04,-6,44.943,45.047,45.156,45.326,43.936
-4.96,-6,45.067,45.171,45.279,45.449,43.951
-4.88,-6,45.192,45.295,45.402,45.571,43.95
-4.8,-6,45.316,45.419,45.526,45.693,43.94
-4.72,-6,45.441,45.542,45.649,45.815,43.928
-4.64,-6,45.565,45.666,45.772,45.937,43.916
-4.56,-6,45.689,45.789,45.894,46.059,43.902
-4.48,-6,45.813,45.913,46.017,46.18,43.888
-4.4,-6,45.937,46.036,46.139,46.301,43.872
-4.32,-6,46.061,46.159,46.261,46.422,43.856
-4.24,-6,46.184,46.281,46.383,46.543,43.838
-4.16,-6,46.307,46.403,46.504,46.663,43.819
-4.08,-6,46.43,46.525,46.625,46.783,43.799
-4,-6,46.552,46.647,46.746,46.902,43.779
-3.92,-6,46.674,46.768,46.866,47.021,43.757
-3.84,-6,46.795,46.888,46.986,47.139,43.734
-3.76,-6,46.916,47.009,47.105,47.257,43.711
-3.68,-6,47.037,47.128,47.224,47.374,43.687
-3.6,-6,47.157,47.247,47.342,47.491,43.661
-3.52,-6,47.276,47.366,47.459,47.607,43.635
-3.44,-6,47.395,47.484,47.576,47.722,43.608
-3.36,-6,47.513,47.601,47.692,47.837,43.58
-3.28,-6,47.631,47.717,47.808,47.95,43.552
-3.2,-6,47.748,47.833,47.922,48.063,43.523
-3.12,-6,47.864,47.948,48.036,48.176,43.494
-3.04,-6,47.979,48.062,48.149,48.287,43.465
-2.96,-6,48.093,48.175,48.261,48.397,43.434
-2.88,-6,48.207,48.287,48.373,48.507,43.401
-2.8,-6,48.319,48.399,48.483,48.615,43.367
-2.72,-6,48.431,48.509,48.592,48.722,43.332
-2.64,-6,48.541,48.619,48.7,48.828,43.296
-2.56,-6,48.651,48.727,48.807,48.934,43.259
-2.48,-6,48.759,48.834,48.913,49.037,43.22
-2.4,-6,48.866,48.94,49.018,49.14,43.18
-2.32,-6,48.972,49.045,49.121,49.242,43.138
-2.24,-6,49.077,49.148,49.223,49.342,43.096
-2.16,-6,49.181,49.251,49.324,49.441,43.052
-2.08,-6,49.283,49.352,49.424,49.538,43.007
-2,-6,49.384,49.451,49.522,49.634,42.961
-1.92,-6,49.484,49.55,49.619,49.729,42.914
-1.84,-6,49.582,49.646,49.714,49.822,42.866
-1.76,-6,49.678,49.742,49.808,49.913,42.828
-1.68,-6,49.773,49.835,49.9,50.003,42.79
-1.6,-6,49.867,49.928,49.991,50.092,42.75
-1.52,-6,49.959,50.018,50.08,50.179,42.709
-1.44,-6,50.049,50.107,50.168,50.264,42.659
-1.36,-6,50.138,50.194,50.253,50.347,42.6
-1.28,-6,50.224,50.28,50.337,50.429,42.54
-1.2,-6,50.309,50.363,50.42,50.509,42.478
-1.12,-6,50.393,50.445,50.5,50.587,42.413
-1.04,-6,50.474,50.526,50.579,50.663,42.347
-0.96,-6,50.554,50.604,50.656,50.738,42.278
-0.88,-6,50.631,50.68,50.73,50.811,42.207
-0.8,-6,50.707,50.755,50.803,50.881,42.135
-0.72,-6,50.781,50.827,50.874,50.95,42.06
-0.64,-6,50.852,50.898,50.944,51.017,41.982
-0.56,-6,50.922,50.966,51.011,51.082,41.903
-0.48,-6,50.989,51.032,51.076,51.145,41.821
-0.4,-6,51.055,51.097,51.139,51.206,41.737
-0.32,-6,51.118,51.159,51.199,51.265,41.65
-0.24,-6,51.179,51.219,51.258,51.321,41.562
-0.16,-6,51.238,51.277,51.315,51.376,41.47
-0.08,-6,51.295,51.332,51.369,51.429,41.376
0,-6,51.349,51.386,51.422,51.479,41.28
0.08,-6,51.288,51.32,51.35,51.412,41.197
0.16,-6,51.302,51.331,51.359,51.42,41.112
0.24,-6,51.326,51.353,51.378,51.439,41.142
0.32,-6,51.354,51.379,51.402,51.462,41.054
0.4,-6,51.382,51.405,51.426,51.485,40.965
0.48,-6,51.409,51.431,51.451,51.508,40.874
0.56,-6,51.436,51.456,51.474,51.53,40.78
0.64,-6,51.466,51.479,51.496,51.55,40.685
0.72,-6,51.499,51.509,51.517,51.569,40.589
0.8,-6,51.531,51.539,51.545,51.585,40.49
0.88,-6,51.561,51.567,51.571,51.604,40.391
0.96,-6,51.591,51.594,51.595,51.625,40.289
1.04,-6,51.621,51.62,51.618,51.643,40.186
1.12,-6,51.653,51.646,51.64,51.659,40.082
1.2,-6,51.683,51.674,51.662,51.675,39.976
1.28,-6,51.696,51.699,51.686,51.689,39.869
1.36,-6,51.7,51.71,51.707,51.704,39.761
1.44,-6,51.703,51.711,51.719,51.72,39.651
1.52,-6,51.703,51.709,51.718,51.734,39.54
1.6,-6,51.702,51.706,51.716,51.744,39.428
1.68,-6,51.702,51.704,51.713,51.739,39.315
1.76,-6,51.7,51.701,51.708,51.732,39.201
1.84,-6,51.696,51.695,51.702,51.723,39.086
1.92,-6,51.69,51.689,51.694,51.712,38.97
2,-6,51.683,51.678,51.682,51.696,38.853
2.08,-6,51.608,51.665,51.668,51.678,38.735
2.16,-6,51.557,51.645,51.653,51.658,38.616
2.24,-6,51.553,51.563,51.637,51.638,38.496
2.32,-6,51.562,51.518,51.605,51.616,38.376
2.4,-6,51.571,51.52,51.526,51.594,38.255
2.48,-6,51.58,51.525,51.484,51.571,38.134
2.56,-6,51.588,51.53,51.485,51.547,38.011
2.64,-6,51.597,51.535,51.486,51.483,37.889
2.72,-6,51.606,51.541,51.487,51.416,37.765
2.8,-6,51.615,51.546,51.489,51.387,37.641
2.88,-6,51.625,51.552,51.49,51.381,37.517
2.96,-6,51.634,51.557,51.492,51.375,37.393
3.04,-6,51.644,51.564,51.494,51.369,37.268
3.12,-6,51.653,51.57,51.497,51.364,37.142
3.2,-6,51.663,51.577,51.5,51.36,37.017
3.28,-6,51.673,51.584,51.504,51.355,36.891
3.36,-6,51.683,51.591,51.507,51.352,36.765
3.44,-6,51.694,51.598,51.511,51.349,36.638
3.52,-6,51.704,51.606,51.516,51.347,36.512
3.6,-6,51.69,51.614,51.521,51.345,36.385
3.68,-6,51.675,51.622,51.526,51.344,36.258
3.76,-6,51.66,51.625,51.532,51.344,36.131
3.84,-6,51.645,51.609,51.538,51.344,36.005
3.92,-6,51.63,51.593,51.544,51.345,35.878
4,-6,51.616,51.577,51.545,51.346,35.751
4.08,-6,51.602,51.561,51.527,51.348,35.624
4.16,-6,51.588,51.546,51.51,51.351,35.497
4.24,-6,51.575,51.531,51.494,51.354,35.37
4.32,-6,51.562,51.516,51.477,51.357,35.243
4.4,-6,51.55,51.502,51.461,51.361,35.117
4.48,-6,51.538,51.488,51.446,51.365,34.99
4.56,-6,51.526,51.475,51.431,51.365,34.864
4.64,-6,51.515,51.462,51.416,51.347,34.738
4.72,-6,51.504,51.45,51.402,51.33,34.612
4.8,-6,51.494,51.438,51.388,51.313,34.486
4.88,-6,51.484,51.426,51.375,51.296,34.36
4.96,-6,51.475,51.416,51.362,51.28,34.235
5.04,-6,51.466,51.405,51.35,51.264,34.11
5.12,-6,51.458,51.395,51.339,51.249,33.985
5.2,-6,51.45,51.386,51.327,51.235,33.86
5.28,-6,51.443,51.377,51.317,51.221,33.736
5.36,-6,51.436,51.369,51.307,51.208,33.612
5.44,-6,51.43,51.361,51.298,51.195,33.488
5.52,-6,51.437,51.354,51.289,51.183,33.365
5.6,-6,51.445,51.348,51.281,51.171,33.242
5.68,-6,51.453,51.345,51.274,51.161,33.119
5.76,-6,51.462,51.352,51.267,51.15,32.997
5.84,-6,51.471,51.361,51.26,51.141,32.875
5.92,-6,51.481,51.37,51.258,51.132,32.753
6,-6,51.491,51.379,51.266,51.124,32.632
-6,-5.92,43.554,43.665,43.781,43.962,44.075
-5.92,-5.92,43.679,43.789,43.905,44.086,44.082
-5.84,-5.92,43.804,43.914,44.029,44.209,44.089
-5.76,-5.92,43.93,44.039,44.153,44.333,44.095
-5.68,-5.92,44.055,44.164,44.278,44.456,44.102
-5.6,-5.92,44.181,44.289,44.403,44.58,44.109
-5.52,-5.92,44.307,44.415,44.527,44.704,44.115
-5.44,-5.92,44.433,44.54,44.652,44.828,44.121
-5.36,-5.92,44.559,44.666,44.777,44.953,44.126
-5.28,-5.92,44.685,44.791,44.902,45.077,44.13
-5.2,-5.92,44.811,44.917,45.028,45.201,44.134
-5.12,-5.92,44.938,45.043,45.153,45.325,44.137
-5.04,-5.92,45.064,45.168,45.278,45.449,44.148
-4.96,-5.92,45.19,45.294,45.403,45.573,44.164
-4.88,-5.92,45.317,45.42,45.528,45.697,44.165
-4.8,-5.92,45.443,45.545,45.653,45.821,44.154
-4.72,-5.92,45.569,45.671,45.778,45.945,44.143
-4.64,-5.92,45.695,45.796,45.902,46.069,44.131
-4.56,-5.92,45.821,45.921,46.027,46.192,44.117
-4.48,-5.92,45.947,46.047,46.151,46.315,44.103
-4.4,-5.92,46.072,46.171,46.275,46.438,44.087
-4.32,-5.92,46.198,46.296,46.399,46.561,44.07
-4.24,-5.92,46.323,46.42,46.523,46.683,44.052
-4.16,-5.92,46.448,46.544,46.646,46.805,44.034
-4.08,-5.92,46.572,46.668,46.769,46.927,44.014
-4,-5.92,46.696,46.791,46.891,47.048,43.993
-3.92,-5.92,46.82,46.914,47.013,47.169,43.971
-3.84,-5.92,46.943,47.037,47.135,47.289,43.948
-3.76,-5.92,47.066,47.159,47.256,47.409,43.925
-3.68,-5.92,47.189,47.28,47.377,47.528,43.9
-3.6,-5.92,47.31,47.401,47.497,47.646,43.875
-3.52,-5.92,47.432,47.522,47.616,47.764,43.848
-3.44,-5.92,47.552,47.641,47.735,47.881,43.821
-3.36,-5.92,47.673,47.76,47.853,47.998,43.793
-3.28,-5.92,47.792,47.879,47.97,48.113,43.764
-3.2,-5.92,47.911,47.996,48.087,48.228,43.735
-3.12,-5.92,48.028,48.113,48.202,48.342,43.707
-3.04,-5.92,48.146,48.229,48.317,48.455,43.677
-2.96,-5.92,48.262,48.344,48.431,48.568,43.645
-2.88,-5.92,48.377,48.458,48.544,48.679,43.613
-2.8,-5.92,48.492,48.572,48.656,48.789,43.579
-2.72,-5.92,48.605,48.684,48.767,48.898,43.544
-2.64,-5.92,48.717,48.795,48.877,49.006,43.507
-2.56,-5.92,48.829,48.905,48.986,49.113,43.469
-2.48,-5.92,48.939,49.014,49.094,49.219,43.43
-2.4,-5.92,49.048,49.122,49.2,49.323,43.39
-2.32,-5.92,49.156,49.229,49.306,49.427,43.348
-2.24,-5.92,49.263,49.334,49.41,49.529,43.305
-2.16,-5.92,49.368,49.438,49.512,49.629,43.261
-2.08,-5.92,49.472,49.541,49.614,49.728,43.216
-2,-5.92,49.575,49.642,49.713,49.826,43.17
-1.92,-5.92,49.676,49.742,49.812,49.922,43.122
-1.84,-5.92,49.776,49.841,49.909,50.017,43.074
-1.76,-5.92,49.874,49.938,50.004,50.11,43.035
-1.68,-5.92,49.971,50.033,50.098,50.202,42.997
-1.6,-5.92,50.066,50.127,50.191,50.292,42.957
-1.52,-5.92,50.159,50.219,50.281,50.38,42.916
-1.44,-5.92,50.251,50.309,50.37,50.467,42.865
-1.36,-5.92,50.341,50.398,50.457,50.552,42.806
-1.28,-5.92,50.429,50.485,50.543,50.635,42.745
-1.2,-5.92,50.516,50.57,50.626,50.716,42.683
-1.12,-5.92,50.601,50.654,50.708,50.795,42.618
-1.04,-5.92,50.684,50.735,50.788,50.873,42.551
-0.96,-5.92,50.764,50.815,50.866,50.949,42.482
-0.88,-5.92,50.843,50.892,50.943,51.023,42.41
