X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,43.313,43.398,43.513,43.672,43.914
-5.92,-6,43.437,43.521,43.636,43.794,43.921
-5.84,-6,43.561,43.644,43.759,43.917,43.928
-5.76,-6,43.685,43.768,43.882,44.039,43.934
-5.68,-6,43.81,43.892,44.006,44.162,43.941
-5.6,-6,43.935,44.016,44.129,44.284,43.948
-5.52,-6,44.059,44.14,44.253,44.407,43.954
-5.44,-6,44.184,44.264,44.377,44.53,43.96
-5.36,-6,44.309,44.388,44.5,44.653,43.965
-5.28,-6,44.434,44.513,44.624,44.776,43.969
-5.2,-6,44.559,44.637,44.748,44.899,43.973
-5.12,-6,44.684,44.762,44.872,45.022,43.976
-5.04,-6,44.81,44.886,44.996,45.145,43.988
-4.96,-6,44.935,45.01,45.12,45.268,44.003
-4.88,-6,45.06,45.135,45.244,45.391,44.003
-4.8,-6,45.185,45.259,45.368,45.513,43.993
-4.72,-6,45.31,45.383,45.491,45.636,43.981
-4.64,-6,45.435,45.507,45.615,45.758,43.969
-4.56,-6,45.56,45.631,45.738,45.88,43.956
-4.48,-6,45.684,45.755,45.861,46.002,43.942
-4.4,-6,45.809,45.878,45.984,46.124,43.926
-4.32,-6,45.933,46.002,46.107,46.246,43.91
-4.24,-6,46.057,46.124,46.229,46.367,43.892
-4.16,-6,46.18,46.247,46.351,46.488,43.874
-4.08,-6,46.304,46.37,46.473,46.608,43.854
-4,-6,46.427,46.492,46.594,46.728,43.834
-3.92,-6,46.55,46.613,46.715,46.848,43.812
-3.84,-6,46.672,46.734,46.836,46.967,43.79
-3.76,-6,46.794,46.855,46.956,47.085,43.766
-3.68,-6,46.915,46.975,47.075,47.203,43.742
-3.6,-6,47.036,47.095,47.194,47.321,43.717
-3.52,-6,47.156,47.214,47.313,47.438,43.691
-3.44,-6,47.276,47.332,47.43,47.554,43.664
-3.36,-6,47.395,47.45,47.547,47.669,43.636
-3.28,-6,47.513,47.567,47.664,47.784,43.608
-3.2,-6,47.631,47.684,47.779,47.898,43.579
-3.12,-6,47.748,47.799,47.894,48.011,43.551
-3.04,-6,47.864,47.914,48.008,48.123,43.521
-2.96,-6,47.979,48.028,48.121,48.235,43.49
-2.88,-6,48.094,48.141,48.233,48.345,43.458
-2.8,-6,48.207,48.253,48.345,48.455,43.425
-2.72,-6,48.32,48.364,48.455,48.563,43.39
-2.64,-6,48.432,48.474,48.564,48.67,43.353
-2.56,-6,48.542,48.583,48.672,48.777,43.316
-2.48,-6,48.652,48.691,48.779,48.882,43.277
-2.4,-6,48.76,48.798,48.885,48.986,43.237
-2.32,-6,48.867,48.904,48.99,49.088,43.196
-2.24,-6,48.974,49.008,49.093,49.19,43.153
-2.16,-6,49.078,49.111,49.196,49.29,43.11
-2.08,-6,49.182,49.213,49.297,49.389,43.065
-2,-6,49.284,49.313,49.396,49.486,43.019
-1.92,-6,49.385,49.412,49.494,49.582,42.972
-1.84,-6,49.484,49.51,49.591,49.677,42.923
-1.76,-6,49.582,49.606,49.686,49.77,42.886
-1.68,-6,49.678,49.7,49.78,49.861,42.847
-1.6,-6,49.773,49.793,49.872,49.951,42.808
-1.52,-6,49.866,49.885,49.962,50.039,42.766
-1.44,-6,49.958,49.974,50.051,50.126,42.716
-1.36,-6,50.048,50.062,50.138,50.211,42.657
-1.28,-6,50.136,50.148,50.224,50.294,42.596
-1.2,-6,50.222,50.233,50.307,50.375,42.534
-1.12,-6,50.307,50.316,50.389,50.455,42.469
-1.04,-6,50.389,50.396,50.469,50.533,42.403
-0.96,-6,50.47,50.475,50.547,50.609,42.334
-0.88,-6,50.549,50.552,50.624,50.683,42.263
-0.8,-6,50.626,50.627,50.698,50.755,42.19
-0.72,-6,50.701,50.7,50.77,50.826,42.115
-0.64,-6,50.774,50.771,50.841,50.894,42.037
-0.56,-6,50.844,50.84,50.909,50.96,41.958
-0.48,-6,50.913,50.907,50.975,51.025,41.876
-0.4,-6,50.98,50.972,51.04,51.087,41.791
-0.32,-6,51.044,51.034,51.102,51.147,41.704
-0.24,-6,51.106,51.094,51.162,51.206,41.615
-0.16,-6,51.166,51.153,51.219,51.262,41.523
-0.08,-6,51.223,51.208,51.275,51.316,41.429
0,-6,51.279,51.262,51.328,51.367,41.332
0.08,-6,51.22,51.197,51.26,51.303,41.248
0.16,-6,51.237,51.209,51.27,51.314,41.162
0.24,-6,51.263,51.231,51.292,51.334,41.19
0.32,-6,51.291,51.258,51.317,51.359,41.102
0.4,-6,51.321,51.285,51.343,51.384,41.012
0.48,-6,51.349,51.311,51.369,51.408,40.92
0.56,-6,51.376,51.336,51.394,51.432,40.827
0.64,-6,51.413,51.363,51.416,51.453,40.731
0.72,-6,51.447,51.396,51.445,51.473,40.634
0.8,-6,51.48,51.426,51.474,51.494,40.536
0.88,-6,51.513,51.455,51.501,51.518,40.435
0.96,-6,51.544,51.483,51.527,51.54,40.333
1.04,-6,51.578,51.509,51.552,51.56,40.23
1.12,-6,51.61,51.539,51.575,51.578,40.125
1.2,-6,51.638,51.567,51.602,51.596,40.019
1.28,-6,51.644,51.591,51.626,51.612,39.912
1.36,-6,51.647,51.593,51.648,51.631,39.803
1.44,-6,51.649,51.593,51.65,51.648,39.693
1.52,-6,51.649,51.59,51.648,51.662,39.582
1.6,-6,51.647,51.587,51.645,51.66,39.469
1.68,-6,51.634,51.581,51.64,51.653,39.356
1.76,-6,51.566,51.574,51.632,51.643,39.241
1.84,-6,51.536,51.566,51.625,51.634,39.125
1.92,-6,51.531,51.559,51.617,51.623,39.009
2,-6,51.524,51.551,51.608,51.611,38.891
2.08,-6,51.517,51.541,51.597,51.597,38.773
2.16,-6,51.508,51.53,51.584,51.582,38.654
2.24,-6,51.498,51.518,51.571,51.565,38.534
2.32,-6,51.494,51.495,51.555,51.545,38.413
2.4,-6,51.502,51.482,51.483,51.522,38.292
2.48,-6,51.51,51.487,51.423,51.498,38.169
2.56,-6,51.518,51.492,51.407,51.474,38.047
2.64,-6,51.526,51.497,51.409,51.431,37.924
2.72,-6,51.534,51.502,51.41,51.348,37.8
2.8,-6,51.542,51.507,51.411,51.304,37.676
