X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,36.128,36.184,36.242,36.35,36.303,35.63
-5.92,-6,36.246,36.302,36.359,36.467,36.417,35.632
-5.84,-6,36.365,36.42,36.477,36.584,36.531,35.632
-5.76,-6,36.484,36.538,36.595,36.701,36.646,35.63
-5.68,-6,36.603,36.657,36.713,36.818,36.761,35.628
-5.6,-6,36.722,36.776,36.831,36.936,36.876,35.623
-5.52,-6,36.842,36.895,36.95,37.053,36.991,35.618
-5.44,-6,36.962,37.014,37.069,37.171,37.106,35.611
-5.36,-6,37.082,37.134,37.187,37.289,37.221,35.603
-5.28,-6,37.202,37.253,37.306,37.407,37.337,35.593
-5.2,-6,37.322,37.373,37.425,37.525,37.452,35.582
-5.12,-6,37.442,37.493,37.545,37.643,37.567,35.57
-5.04,-6,37.563,37.612,37.664,37.761,37.683,35.557
-4.96,-6,37.683,37.732,37.783,37.88,37.798,35.542
-4.88,-6,37.804,37.852,37.902,37.998,37.913,35.526
-4.8,-6,37.924,37.972,38.022,38.116,38.028,35.508
-4.72,-6,38.045,38.092,38.141,38.235,38.143,35.489
-4.64,-6,38.166,38.212,38.26,38.353,38.258,35.47
-4.56,-6,38.286,38.332,38.379,38.471,38.373,35.449
-4.48,-6,38.407,38.452,38.499,38.589,38.488,35.427
-4.4,-6,38.527,38.571,38.618,38.707,38.602,35.403
-4.32,-6,38.647,38.691,38.737,38.825,38.716,35.379
-4.24,-6,38.767,38.81,38.855,38.942,38.83,35.354
-4.16,-6,38.887,38.93,38.974,39.06,38.944,35.327
-4.08,-6,39.007,39.049,39.092,39.177,39.057,35.3
-4,-6,39.127,39.168,39.21,39.294,39.17,35.271
-3.92,-6,39.246,39.286,39.328,39.41,39.283,35.242
-3.84,-6,39.365,39.405,39.446,39.527,39.395,35.212
-3.76,-6,39.484,39.523,39.563,39.643,39.507,35.181
-3.68,-6,39.602,39.64,39.68,39.758,39.618,35.149
-3.6,-6,39.721,39.758,39.796,39.873,39.729,35.116
-3.52,-6,39.838,39.875,39.913,39.988,39.839,35.083
-3.44,-6,39.956,39.991,40.028,40.102,39.949,35.049
-3.36,-6,40.072,40.107,40.143,40.216,40.058,35.014
-3.28,-6,40.189,40.223,40.258,40.329,40.166,34.978
-3.2,-6,40.305,40.338,40.372,40.442,40.274,34.943
-3.12,-6,40.42,40.452,40.486,40.554,40.381,34.914
-3.04,-6,40.534,40.566,40.599,40.666,40.488,34.882
-2.96,-6,40.649,40.679,40.711,40.776,40.593,34.85
-2.88,-6,40.762,40.792,40.822,40.886,40.698,34.816
-2.8,-6,40.875,40.903,40.933,40.996,40.802,34.78
-2.72,-6,40.987,41.014,41.043,41.104,40.905,34.743
-2.64,-6,41.098,41.125,41.153,41.212,41.007,34.704
-2.56,-6,41.208,41.234,41.261,41.319,41.108,34.663
-2.48,-6,41.318,41.343,41.369,41.425,41.208,34.622
-2.4,-6,41.426,41.451,41.476,41.53,41.307,34.578
-2.32,-6,41.534,41.557,41.582,41.634,41.405,34.534
-2.24,-6,41.641,41.663,41.686,41.737,41.502,34.487
-2.16,-6,41.747,41.768,41.79,41.84,41.598,34.44
-2.08,-6,41.852,41.872,41.893,41.941,41.693,34.39
-2,-6,41.956,41.975,41.995,42.041,41.787,34.34
-1.92,-6,42.058,42.077,42.096,42.14,41.879,34.288
-1.84,-6,42.16,42.177,42.195,42.238,41.97,34.234
-1.76,-6,42.26,42.277,42.294,42.334,42.06,34.191
-1.68,-6,42.36,42.375,42.391,42.43,42.149,34.146
-1.6,-6,42.458,42.472,42.487,42.524,42.236,34.1
-1.52,-6,42.555,42.568,42.581,42.617,42.322,34.053
-1.44,-6,42.65,42.662,42.675,42.708,42.407,33.995
-1.36,-6,42.744,42.755,42.767,42.799,42.49,33.93
-1.28,-6,42.837,42.847,42.858,42.888,42.572,33.862
-1.2,-6,42.929,42.938,42.947,42.975,42.652,33.793
-1.12,-6,43.019,43.027,43.035,43.062,42.731,33.721
-1.04,-6,43.107,43.114,43.122,43.146,42.809,33.646
-0.96,-6,43.195,43.201,43.207,43.23,42.885,33.57
-0.88,-6,43.28,43.285,43.29,43.312,42.959,33.491
-0.8,-6,43.365,43.369,43.373,43.392,43.033,33.41
-0.72,-6,43.448,43.45,43.453,43.471,43.104,33.326
-0.64,-6,43.529,43.53,43.532,43.548,43.174,33.24
-0.56,-6,43.608,43.609,43.61,43.624,43.243,33.152
