X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,36.146,36.211,36.28,36.407,36.433,35.56
-5.92,-6,36.264,36.329,36.396,36.523,36.547,35.561
-5.84,-6,36.382,36.446,36.513,36.64,36.661,35.561
-5.76,-6,36.5,36.564,36.631,36.756,36.775,35.559
-5.68,-6,36.618,36.682,36.748,36.872,36.89,35.556
-5.6,-6,36.737,36.8,36.865,36.989,37.004,35.552
-5.52,-6,36.856,36.918,36.983,37.106,37.119,35.546
-5.44,-6,36.975,37.036,37.101,37.223,37.233,35.539
-5.36,-6,37.094,37.155,37.219,37.34,37.348,35.53
-5.28,-6,37.213,37.273,37.337,37.457,37.463,35.52
-5.2,-6,37.332,37.392,37.455,37.574,37.577,35.509
-5.12,-6,37.452,37.511,37.573,37.692,37.692,35.496
-5.04,-6,37.571,37.63,37.691,37.809,37.807,35.482
-4.96,-6,37.69,37.749,37.81,37.926,37.922,35.467
-4.88,-6,37.81,37.868,37.928,38.044,38.036,35.451
-4.8,-6,37.929,37.987,38.046,38.161,38.151,35.433
-4.72,-6,38.049,38.105,38.165,38.278,38.265,35.414
-4.64,-6,38.168,38.224,38.283,38.395,38.379,35.394
-4.56,-6,38.288,38.343,38.401,38.512,38.493,35.372
-4.48,-6,38.407,38.462,38.519,38.629,38.607,35.35
-4.4,-6,38.526,38.58,38.637,38.746,38.721,35.326
-4.32,-6,38.646,38.699,38.754,38.863,38.834,35.301
-4.24,-6,38.765,38.817,38.872,38.979,38.947,35.276
-4.16,-6,38.883,38.935,38.989,39.095,39.06,35.249
-4.08,-6,39.002,39.053,39.106,39.211,39.173,35.221
-4,-6,39.12,39.17,39.223,39.327,39.285,35.192
-3.92,-6,39.238,39.288,39.34,39.442,39.396,35.163
-3.84,-6,39.356,39.405,39.456,39.557,39.508,35.132
-3.76,-6,39.473,39.521,39.572,39.672,39.618,35.101
-3.68,-6,39.59,39.638,39.687,39.786,39.729,35.069
-3.6,-6,39.707,39.753,39.802,39.9,39.838,35.036
-3.52,-6,39.823,39.869,39.917,40.013,39.948,35.002
-3.44,-6,39.939,39.984,40.031,40.126,40.056,34.967
-3.36,-6,40.054,40.098,40.145,40.238,40.164,34.932
-3.28,-6,40.169,40.212,40.258,40.349,40.271,34.896
-3.2,-6,40.283,40.326,40.37,40.46,40.378,34.861
-3.12,-6,40.397,40.438,40.482,40.571,40.484,34.831
-3.04,-6,40.51,40.55,40.593,40.681,40.589,34.8
-2.96,-6,40.622,40.662,40.704,40.79,40.693,34.767
-2.88,-6,40.734,40.773,40.813,40.898,40.796,34.732
-2.8,-6,40.844,40.883,40.922,41.005,40.899,34.696
-2.72,-6,40.955,40.992,41.031,41.112,41,34.659
-2.64,-6,41.064,41.1,41.138,41.218,41.101,34.62
-2.56,-6,41.172,41.208,41.245,41.323,41.2,34.58
-2.48,-6,41.28,41.314,41.35,41.427,41.299,34.538
-2.4,-6,41.386,41.42,41.455,41.53,41.396,34.494
-2.32,-6,41.492,41.525,41.558,41.632,41.492,34.449
-2.24,-6,41.597,41.628,41.661,41.733,41.587,34.403
-2.16,-6,41.701,41.731,41.763,41.833,41.681,34.355
-2.08,-6,41.803,41.833,41.863,41.931,41.774,34.306
-2,-6,41.905,41.933,41.963,42.029,41.866,34.255
-1.92,-6,42.005,42.033,42.061,42.126,41.956,34.203
-1.84,-6,42.104,42.131,42.158,42.221,42.045,34.149
-1.76,-6,42.202,42.228,42.254,42.315,42.133,34.106
-1.68,-6,42.299,42.323,42.349,42.408,42.219,34.062
-1.6,-6,42.394,42.418,42.442,42.5,42.304,34.016
-1.52,-6,42.489,42.511,42.534,42.59,42.387,33.968
-1.44,-6,42.581,42.603,42.625,42.679,42.469,33.911
-1.36,-6,42.673,42.693,42.714,42.766,42.55,33.846
-1.28,-6,42.763,42.782,42.802,42.852,42.629,33.778
-1.2,-6,42.852,42.87,42.889,42.937,42.707,33.709
-1.12,-6,42.939,42.956,42.974,43.02,42.783,33.637
-1.04,-6,43.025,43.041,43.058,43.102,42.858,33.563
-0.96,-6,43.109,43.124,43.14,43.182,42.931,33.486
-0.88,-6,43.191,43.206,43.22,43.261,43.002,33.407
-0.8,-6,43.273,43.286,43.299,43.338,43.072,33.326
-0.72,-6,43.352,43.364,43.377,43.414,43.141,33.243
-0.64,-6,43.43,43.441,43.453,43.488,43.207,33.157
-0.56,-6,43.507,43.517,43.527,43.56,43.273,33.069
-0.48,-6,43.581,43.59,43.6,43.631,43.336,32.978
-0.4,-6,43.654,43.662,43.671,43.701,43.398,32.885
-0.32,-6,43.726,43.733,43.74,43.768,43.459,32.789
-0.24,-6,43.796,43.802,43.808,43.834,43.518,32.691
-0.16,-6,43.864,43.869,43.874,43.899,43.575,32.591
-0.08,-6,43.93,43.934,43.938,43.961,43.63,32.488
0,-6,43.995,43.998,44.001,44.022,43.685,32.382
0.08,-6,44.002,44.002,44.001,44.017,43.666,32.291
0.16,-6,44.044,44.042,44.04,44.052,43.692,32.201
0.24,-6,44.092,44.088,44.084,44.092,43.724,32.117
0.32,-6,44.141,44.135,44.129,44.136,43.76,31.985
0.4,-6,44.19,44.183,44.176,44.18,43.795,31.908
0.48,-6,44.239,44.23,44.221,44.224,43.832,31.804
0.56,-6,44.288,44.277,44.267,44.267,43.868,31.701
0.64,-6,44.342,44.326,44.311,44.309,43.903,31.597
