X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,36.692,36.745,36.809,36.93,36.946,36.856
-5.92,-6,36.814,36.866,36.929,37.05,37.063,36.856
-5.84,-6,36.936,36.988,37.05,37.169,37.181,36.856
-5.76,-6,37.058,37.109,37.171,37.289,37.298,36.856
-5.68,-6,37.181,37.231,37.292,37.409,37.416,36.854
-5.6,-6,37.304,37.353,37.414,37.53,37.534,36.869
-5.52,-6,37.427,37.476,37.536,37.65,37.653,36.885
-5.44,-6,37.551,37.598,37.658,37.771,37.771,36.879
-5.36,-6,37.674,37.721,37.78,37.892,37.89,36.856
-5.28,-6,37.798,37.845,37.902,38.014,38.008,36.832
-5.2,-6,37.922,37.968,38.025,38.135,38.127,36.807
-5.12,-6,38.047,38.091,38.148,38.257,38.246,36.781
-5.04,-6,38.171,38.215,38.271,38.378,38.365,36.753
-4.96,-6,38.296,38.339,38.394,38.5,38.484,36.723
-4.88,-6,38.421,38.463,38.517,38.622,38.604,36.693
-4.8,-6,38.546,38.587,38.64,38.744,38.723,36.661
-4.72,-6,38.671,38.712,38.764,38.866,38.842,36.627
-4.64,-6,38.796,38.836,38.887,38.988,38.961,36.593
-4.56,-6,38.921,38.96,39.011,39.111,39.08,36.557
-4.48,-6,39.047,39.085,39.134,39.233,39.199,36.52
-4.4,-6,39.172,39.21,39.258,39.355,39.318,36.481
-4.32,-6,39.298,39.334,39.382,39.477,39.437,36.442
-4.24,-6,39.423,39.459,39.505,39.599,39.556,36.401
-4.16,-6,39.549,39.583,39.629,39.722,39.675,36.359
-4.08,-6,39.674,39.708,39.752,39.844,39.793,36.316
-4,-6,39.8,39.832,39.876,39.966,39.912,36.272
-3.92,-6,39.925,39.957,39.999,40.087,40.03,36.228
-3.84,-6,40.05,40.081,40.122,40.209,40.148,36.182
-3.76,-6,40.176,40.205,40.246,40.33,40.265,36.135
-3.68,-6,40.301,40.329,40.368,40.452,40.382,36.087
-3.6,-6,40.426,40.453,40.491,40.573,40.499,36.039
-3.52,-6,40.551,40.577,40.614,40.693,40.616,35.989
-3.44,-6,40.675,40.7,40.736,40.814,40.732,35.939
-3.36,-6,40.8,40.823,40.858,40.934,40.848,35.888
-3.28,-6,40.924,40.946,40.98,41.054,40.964,35.837
-3.2,-6,41.048,41.069,41.101,41.174,41.079,35.785
-3.12,-6,41.171,41.191,41.222,41.293,41.194,35.732
-3.04,-6,41.295,41.314,41.343,41.412,41.308,35.678
-2.96,-6,41.418,41.435,41.464,41.53,41.421,35.624
-2.88,-6,41.54,41.557,41.584,41.648,41.534,35.569
-2.8,-6,41.663,41.678,41.703,41.766,41.647,35.514
-2.72,-6,41.785,41.798,41.822,41.883,41.759,35.458
-2.64,-6,41.906,41.918,41.941,41.999,41.87,35.401
