X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,36.718,36.789,36.844,36.925,36.877,36.254
-5.92,-6,36.826,36.897,36.952,37.03,36.98,36.274
-5.84,-6,36.935,37.005,37.059,37.136,37.083,36.309
-5.76,-6,37.043,37.114,37.166,37.242,37.186,36.321
-5.68,-6,37.152,37.222,37.274,37.349,37.29,36.313
-5.6,-6,37.262,37.331,37.382,37.455,37.394,36.304
-5.52,-6,37.371,37.44,37.49,37.562,37.499,36.293
-5.44,-6,37.481,37.549,37.598,37.669,37.603,36.282
-5.36,-6,37.591,37.658,37.707,37.776,37.708,36.268
-5.28,-6,37.701,37.768,37.815,37.884,37.812,36.254
-5.2,-6,37.811,37.878,37.924,37.991,37.917,36.238
-5.12,-6,37.921,37.987,38.033,38.099,38.022,36.221
-5.04,-6,38.032,38.097,38.142,38.206,38.127,36.203
-4.96,-6,38.142,38.207,38.251,38.314,38.232,36.183
-4.88,-6,38.253,38.317,38.36,38.422,38.337,36.162
-4.8,-6,38.363,38.427,38.469,38.53,38.442,36.141
-4.72,-6,38.473,38.537,38.578,38.637,38.547,36.117
-4.64,-6,38.583,38.647,38.687,38.745,38.652,36.093
-4.56,-6,38.693,38.757,38.796,38.853,38.757,36.068
-4.48,-6,38.803,38.866,38.906,38.961,38.862,36.041
-4.4,-6,38.912,38.976,39.015,39.069,38.967,36.014
-4.32,-6,39.022,39.085,39.123,39.176,39.071,35.985
-4.24,-6,39.133,39.195,39.232,39.284,39.176,35.956
-4.16,-6,39.243,39.304,39.341,39.391,39.28,35.925
-4.08,-6,39.354,39.413,39.449,39.498,39.384,35.894
-4,-6,39.464,39.522,39.558,39.605,39.488,35.861
-3.92,-6,39.575,39.631,39.666,39.712,39.591,35.828
-3.84,-6,39.684,39.739,39.774,39.818,39.694,35.794
-3.76,-6,39.794,39.847,39.881,39.924,39.796,35.76
-3.68,-6,39.902,39.955,39.988,40.03,39.898,35.724
-3.6,-6,40.01,40.062,40.095,40.136,40,35.688
-3.52,-6,40.118,40.168,40.201,40.241,40.101,35.651
-3.44,-6,40.224,40.274,40.308,40.345,40.201,35.614
-3.36,-6,40.33,40.38,40.413,40.449,40.301,35.576
-3.28,-6,40.436,40.485,40.518,40.553,40.401,35.537
-3.2,-6,40.542,40.589,40.623,40.656,40.5,35.498
-3.12,-6,40.648,40.694,40.727,40.759,40.598,35.458
-3.04,-6,40.754,40.798,40.83,40.861,40.696,35.417
-2.96,-6,40.859,40.901,40.933,40.962,40.792,35.376
-2.88,-6,40.964,41.003,41.035,41.063,40.888,35.334
-2.8,-6,41.068,41.105,41.136,41.162,40.984,35.29
-2.72,-6,41.17,41.206,41.236,41.261,41.078,35.244
-2.64,-6,41.271,41.305,41.336,41.36,41.172,35.196
-2.56,-6,41.371,41.404,41.435,41.457,41.264,35.146
-2.48,-6,41.47,41.501,41.533,41.554,41.356,35.094
-2.4,-6,41.567,41.597,41.63,41.65,41.446,35.04
-2.32,-6,41.663,41.692,41.726,41.745,41.536,34.984
-2.24,-6,41.76,41.788,41.821,41.838,41.624,34.925
-2.16,-6,41.857,41.883,41.915,41.931,41.711,34.865
-2.08,-6,41.953,41.978,42.008,42.022,41.797,34.803
-2,-6,42.047,42.072,42.1,42.113,41.882,34.738
-1.92,-6,42.141,42.164,42.191,42.202,41.966,34.671
-1.84,-6,42.232,42.254,42.28,42.29,42.048,34.603
-1.76,-6,42.322,42.342,42.368,42.377,42.129,34.532
-1.68,-6,42.41,42.43,42.454,42.462,42.209,34.459
-1.6,-6,42.496,42.515,42.539,42.547,42.287,34.384
-1.52,-6,42.58,42.598,42.623,42.63,42.364,34.306
-1.44,-6,42.663,42.681,42.706,42.711,42.44,34.227
-1.36,-6,42.746,42.763,42.787,42.791,42.514,34.145
-1.28,-6,42.829,42.845,42.866,42.87,42.586,34.062
-1.2,-6,42.911,42.926,42.944,42.947,42.657,33.976
-1.12,-6,42.99,43.004,43.02,43.022,42.727,33.888
-1.04,-6,43.066,43.08,43.094,43.096,42.794,33.798
-0.96,-6,43.141,43.154,43.166,43.169,42.861,33.705
