X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,38.399,38.468,38.562,38.725,38.949,40.611
-5.92,-6,38.518,38.586,38.68,38.843,39.065,40.601
-5.84,-6,38.638,38.705,38.798,38.96,39.182,40.592
-5.76,-6,38.758,38.824,38.917,39.078,39.299,40.585
-5.68,-6,38.878,38.944,39.035,39.195,39.415,40.578
-5.6,-6,38.998,39.063,39.154,39.313,39.532,40.57
-5.52,-6,39.118,39.183,39.274,39.431,39.649,40.561
-5.44,-6,39.239,39.303,39.393,39.55,39.767,40.553
-5.36,-6,39.36,39.423,39.512,39.668,39.884,40.547
-5.28,-6,39.48,39.543,39.632,39.786,40.001,40.537
-5.2,-6,39.601,39.663,39.751,39.905,40.118,40.514
-5.12,-6,39.722,39.784,39.871,40.023,40.236,40.489
-5.04,-6,39.844,39.904,39.991,40.142,40.353,40.463
-4.96,-6,39.965,40.025,40.11,40.261,40.471,40.437
-4.88,-6,40.086,40.145,40.23,40.379,40.588,40.409
-4.8,-6,40.207,40.266,40.35,40.498,40.705,40.381
-4.72,-6,40.329,40.386,40.469,40.616,40.822,40.352
-4.64,-6,40.45,40.506,40.589,40.734,40.939,40.322
-4.56,-6,40.571,40.627,40.708,40.852,41.056,40.291
-4.48,-6,40.692,40.747,40.828,40.971,41.173,40.259
-4.4,-6,40.813,40.867,40.947,41.088,41.289,40.227
-4.32,-6,40.933,40.987,41.066,41.206,41.405,40.194
-4.24,-6,41.054,41.106,41.185,41.323,41.521,40.16
-4.16,-6,41.174,41.226,41.303,41.441,41.637,40.126
-4.08,-6,41.294,41.345,41.422,41.557,41.752,40.091
-4,-6,41.414,41.464,41.54,41.674,41.867,40.055
-3.92,-6,41.534,41.583,41.657,41.79,41.981,40.019
-3.84,-6,41.653,41.701,41.775,41.906,42.095,39.983
-3.76,-6,41.772,41.819,41.891,42.021,42.209,39.946
-3.68,-6,41.89,41.936,42.008,42.136,42.322,39.908
-3.6,-6,42.008,42.053,42.124,42.25,42.434,39.871
-3.52,-6,42.126,42.17,42.239,42.364,42.546,39.832
-3.44,-6,42.242,42.286,42.354,42.477,42.657,39.794
-3.36,-6,42.359,42.401,42.468,42.589,42.768,39.755
-3.28,-6,42.475,42.516,42.582,42.701,42.878,39.716
-3.2,-6,42.59,42.63,42.695,42.812,42.987,39.677
-3.12,-6,42.704,42.743,42.807,42.923,43.095,39.637
-3.04,-6,42.818,42.856,42.919,43.032,43.202,39.597
-2.96,-6,42.931,42.968,43.03,43.141,43.309,39.557
-2.88,-6,43.044,43.079,43.14,43.249,43.415,39.516
-2.8,-6,43.155,43.189,43.249,43.356,43.519,39.471
-2.72,-6,43.266,43.299,43.357,43.462,43.623,39.426
-2.64,-6,43.375,43.407,43.464,43.567,43.726,39.379
-2.56,-6,43.484,43.515,43.571,43.672,43.828,39.331
-2.48,-6,43.592,43.622,43.676,43.775,43.928,39.281
-2.4,-6,43.698,43.727,43.78,43.877,44.028,39.23
-2.32,-6,43.804,43.832,43.883,43.977,44.126,39.178
-2.24,-6,43.909,43.935,43.985,44.077,44.223,39.124
-2.16,-6,44.012,44.037,44.086,44.176,44.319,39.069
-2.08,-6,44.114,44.138,44.186,44.273,44.413,39.012
-2,-6,44.215,44.238,44.284,44.369,44.506,38.954
-1.92,-6,44.314,44.336,44.381,44.463,44.598,38.895
-1.84,-6,44.413,44.433,44.477,44.556,44.688,38.834
-1.76,-6,44.51,44.529,44.571,44.648,44.777,38.772
-1.68,-6,44.605,44.623,44.664,44.739,44.864,38.708
-1.6,-6,44.699,44.716,44.755,44.828,44.95,38.644
-1.52,-6,44.792,44.807,44.845,44.915,45.035,38.577
-1.44,-6,44.882,44.897,44.933,45.001,45.118,38.509
-1.36,-6,44.972,44.985,45.02,45.085,45.199,38.44
-1.28,-6,45.06,45.072,45.105,45.168,45.278,38.37
-1.2,-6,45.146,45.157,45.189,45.249,45.356,38.298
-1.12,-6,45.23,45.24,45.271,45.328,45.433,38.224
-1.04,-6,45.313,45.321,45.351,45.406,45.507,38.15
-0.96,-6,45.394,45.401,45.43,45.482,45.58,38.073
-0.88,-6,45.473,45.479,45.506,45.556,45.651,37.995
-0.8,-6,45.55,45.555,45.581,45.629,45.721,37.916
-0.72,-6,45.625,45.63,45.654,45.699,45.788,37.835
-0.64,-6,45.699,45.702,45.725,45.768,45.854,37.752
-0.56,-6,45.77,45.773,45.795,45.835,45.918,37.668
-0.48,-6,45.84,45.841,45.862,45.9,45.98,37.582
-0.4,-6,45.907,45.908,45.928,45.964,46.041,37.494
-0.32,-6,45.973,45.973,45.991,46.025,46.099,37.404
-0.24,-6,46.036,46.035,46.053,46.084,46.156,37.312
-0.16,-6,46.098,46.096,46.112,46.142,46.211,37.219
-0.08,-6,46.157,46.154,46.17,46.197,46.264,37.123
0,-6,46.214,46.211,46.225,46.251,46.315,37.025
0.08,-6,46.206,46.207,46.218,46.238,46.294,36.949
0.16,-6,46.237,46.239,46.249,46.265,46.316,36.871
0.24,-6,46.273,46.276,46.284,46.297,46.344,36.878
0.32,-6,46.31,46.314,46.32,46.33,46.375,36.72
0.4,-6,46.348,46.351,46.356,46.365,46.406,36.581
0.48,-6,46.384,46.388,46.392,46.398,46.437,36.454
0.56,-6,46.419,46.423,46.426,46.431,46.466,36.341
0.64,-6,46.455,46.456,46.459,46.461,46.495,36.315
0.72,-6,46.496,46.492,46.489,46.491,46.522,36.222
0.8,-6,46.535,46.53,46.524,46.518,46.548,36.128
0.88,-6,46.572,46.566,46.559,46.546,46.572,36.034
0.96,-6,46.609,46.6,46.592,46.577,46.594,35.938
1.04,-6,46.646,46.634,46.624,46.606,46.616,35.84
1.12,-6,46.683,46.668,46.655,46.634,46.641,35.741
1.2,-6,46.721,46.701,46.685,46.66,46.664,35.641
1.28,-6,46.758,46.736,46.714,46.685,46.685,35.54
1.36,-6,46.786,46.769,46.746,46.71,46.705,35.437
1.44,-6,46.799,46.799,46.776,46.733,46.725,35.333
1.52,-6,46.81,46.81,46.804,46.759,46.742,35.228
1.6,-6,46.819,46.819,46.818,46.783,46.762,35.122
1.68,-6,46.826,46.826,46.825,46.806,46.78,35.015
1.76,-6,46.831,46.831,46.829,46.824,46.796,34.907
1.84,-6,46.834,46.834,46.832,46.828,46.805,34.797
1.92,-6,46.836,46.836,46.834,46.829,46.807,34.687
2,-6,46.836,46.835,46.833,46.828,46.807,34.576
2.08,-6,46.833,46.832,46.83,46.826,46.805,34.464
2.16,-6,46.829,46.828,46.826,46.821,46.801,34.351
2.24,-6,46.824,46.822,46.819,46.815,46.795,34.237
2.32,-6,46.816,46.814,46.811,46.806,46.788,34.122
2.4,-6,46.807,46.804,46.801,46.796,46.779,34.007
2.48,-6,46.796,46.793,46.79,46.785,46.769,33.891
2.56,-6,46.784,46.78,46.777,46.772,46.756,33.774
2.64,-6,46.77,46.766,46.762,46.757,46.743,33.656
2.72,-6,46.755,46.75,46.746,46.74,46.727,33.538
2.8,-6,46.739,46.733,46.728,46.722,46.711,33.42
2.88,-6,46.722,46.714,46.709,46.703,46.692,33.301
2.96,-6,46.703,46.695,46.689,46.682,46.673,33.181
3.04,-6,46.683,46.674,46.668,46.66,46.652,33.061
3.12,-6,46.662,46.652,46.645,46.637,46.63,32.94
3.2,-6,46.641,46.629,46.622,46.613,46.606,32.819
3.28,-6,46.618,46.606,46.597,46.587,46.581,32.698
3.36,-6,46.595,46.581,46.572,46.561,46.556,32.576
3.44,-6,46.57,46.555,46.545,46.533,46.529,32.454
3.52,-6,46.545,46.529,46.518,46.504,46.5,32.332
3.6,-6,46.52,46.502,46.49,46.474,46.471,32.21
3.68,-6,46.494,46.474,46.461,46.444,46.441,32.087
3.76,-6,46.467,46.446,46.431,46.413,46.41,31.964
3.84,-6,46.439,46.417,46.4,46.38,46.377,31.841
3.92,-6,46.411,46.387,46.368,46.346,46.344,31.718
4,-6,46.383,46.357,46.336,46.311,46.309,31.595
4.08,-6,46.354,46.327,46.303,46.276,46.274,31.472
4.16,-6,46.325,46.296,46.271,46.241,46.238,31.348
4.24,-6,46.285,46.265,46.238,46.205,46.202,31.225
4.32,-6,46.229,46.234,46.205,46.169,46.165,31.101
4.4,-6,46.184,46.202,46.172,46.132,46.127,30.978
4.48,-6,46.172,46.145,46.138,46.095,46.089,30.855
4.56,-6,46.16,46.09,46.105,46.058,46.05,30.731
4.64,-6,46.148,46.066,46.064,46.02,46.011,30.608
4.72,-6,46.136,46.051,46.005,45.983,45.972,30.485
4.8,-6,46.125,46.036,45.953,45.945,45.932,30.362
4.88,-6,46.113,46.022,45.935,45.907,45.891,30.239
4.96,-6,46.101,46.007,45.917,45.869,45.851,30.116
5.04,-6,46.089,45.992,45.9,45.831,45.81,29.994
5.12,-6,46.077,45.978,45.883,45.769,45.769,29.872
5.2,-6,46.065,45.964,45.866,45.711,45.728,29.749
5.28,-6,46.052,45.949,45.849,45.682,45.686,29.627
5.36,-6,46.04,45.935,45.832,45.659,45.645,29.506
5.44,-6,46.027,45.92,45.816,45.637,45.603,29.384
