X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,38.389,38.463,38.554,38.724,38.941,39.926
-5.92,-6,38.511,38.585,38.675,38.844,39.06,39.927
-5.84,-6,38.634,38.707,38.796,38.965,39.18,39.927
-5.76,-6,38.757,38.829,38.918,39.085,39.299,39.928
-5.68,-6,38.88,38.951,39.04,39.206,39.419,39.931
-5.6,-6,39.003,39.074,39.162,39.327,39.539,39.932
-5.52,-6,39.127,39.197,39.284,39.448,39.659,39.917
-5.44,-6,39.25,39.319,39.406,39.569,39.779,39.902
-5.36,-6,39.374,39.442,39.528,39.691,39.899,39.885
-5.28,-6,39.498,39.566,39.651,39.812,40.02,39.867
-5.2,-6,39.622,39.689,39.773,39.934,40.14,39.848
-5.12,-6,39.746,39.812,39.896,40.055,40.26,39.828
-5.04,-6,39.87,39.936,40.019,40.177,40.38,39.808
-4.96,-6,39.994,40.059,40.141,40.298,40.501,39.786
-4.88,-6,40.118,40.182,40.264,40.42,40.621,39.763
-4.8,-6,40.242,40.306,40.387,40.541,40.741,39.739
-4.72,-6,40.367,40.429,40.509,40.663,40.861,39.715
-4.64,-6,40.491,40.553,40.632,40.784,40.981,39.689
-4.56,-6,40.615,40.676,40.754,40.905,41.101,39.663
-4.48,-6,40.739,40.799,40.877,41.026,41.22,39.635
-4.4,-6,40.863,40.922,40.999,41.147,41.339,39.607
-4.32,-6,40.986,41.045,41.121,41.268,41.459,39.579
-4.24,-6,41.11,41.168,41.243,41.388,41.577,39.549
-4.16,-6,41.233,41.29,41.364,41.509,41.696,39.519
-4.08,-6,41.356,41.412,41.485,41.629,41.814,39.488
-4,-6,41.479,41.534,41.607,41.748,41.932,39.456
-3.92,-6,41.602,41.656,41.727,41.867,42.049,39.424
-3.84,-6,41.724,41.777,41.848,41.986,42.166,39.392
-3.76,-6,41.846,41.898,41.968,42.105,42.283,39.358
-3.68,-6,41.968,42.019,42.087,42.223,42.399,39.325
-3.6,-6,42.089,42.139,42.206,42.34,42.514,39.291
-3.52,-6,42.21,42.259,42.325,42.457,42.629,39.256
-3.44,-6,42.33,42.378,42.443,42.574,42.744,39.221
-3.36,-6,42.45,42.497,42.561,42.689,42.858,39.185
-3.28,-6,42.569,42.615,42.678,42.805,42.971,39.149
-3.2,-6,42.687,42.732,42.794,42.919,43.083,39.114
-3.12,-6,42.805,42.849,42.91,43.033,43.195,39.083
-3.04,-6,42.922,42.965,43.025,43.146,43.305,39.051
-2.96,-6,43.039,43.081,43.139,43.259,43.415,39.018
