X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,38.267,38.327,38.408,38.55,38.74,39.975
-5.92,-6,38.389,38.45,38.529,38.671,38.86,39.976
-5.84,-6,38.512,38.572,38.651,38.792,38.98,39.977
-5.76,-6,38.635,38.694,38.773,38.913,39.1,39.978
-5.68,-6,38.759,38.817,38.895,39.034,39.22,39.981
-5.6,-6,38.882,38.94,39.017,39.155,39.34,39.982
-5.52,-6,39.006,39.063,39.14,39.277,39.46,39.968
-5.44,-6,39.13,39.187,39.262,39.398,39.581,39.952
-5.36,-6,39.254,39.31,39.385,39.52,39.702,39.936
-5.28,-6,39.379,39.434,39.508,39.642,39.822,39.918
-5.2,-6,39.503,39.557,39.631,39.764,39.943,39.899
-5.12,-6,39.628,39.681,39.754,39.886,40.064,39.88
-5.04,-6,39.752,39.805,39.878,40.008,40.184,39.859
-4.96,-6,39.877,39.929,40.001,40.13,40.305,39.837
-4.88,-6,40.002,40.053,40.124,40.252,40.426,39.815
-4.8,-6,40.127,40.177,40.247,40.374,40.547,39.791
-4.72,-6,40.251,40.301,40.37,40.496,40.667,39.767
-4.64,-6,40.376,40.425,40.494,40.618,40.788,39.742
-4.56,-6,40.501,40.549,40.617,40.74,40.908,39.715
-4.48,-6,40.625,40.673,40.74,40.861,41.028,39.688
-4.4,-6,40.75,40.797,40.863,40.983,41.148,39.66
-4.32,-6,40.874,40.92,40.985,41.104,41.268,39.632
-4.24,-6,40.999,41.043,41.108,41.225,41.388,39.603
-4.16,-6,41.123,41.167,41.23,41.346,41.507,39.573
-4.08,-6,41.247,41.29,41.352,41.467,41.626,39.542
-4,-6,41.37,41.412,41.474,41.587,41.745,39.511
-3.92,-6,41.494,41.535,41.596,41.707,41.863,39.479
-3.84,-6,41.617,41.657,41.717,41.827,41.981,39.446
-3.76,-6,41.739,41.779,41.838,41.946,42.098,39.413
-3.68,-6,41.862,41.9,41.958,42.065,42.215,39.38
-3.6,-6,41.984,42.022,42.078,42.183,42.332,39.346
-3.52,-6,42.105,42.142,42.198,42.301,42.448,39.311
-3.44,-6,42.227,42.262,42.317,42.419,42.563,39.276
-3.36,-6,42.347,42.382,42.436,42.535,42.678,39.241
-3.28,-6,42.467,42.501,42.554,42.652,42.793,39.205
-3.2,-6,42.587,42.62,42.671,42.767,42.906,39.17
-3.12,-6,42.706,42.738,42.788,42.882,43.019,39.139
-3.04,-6,42.824,42.855,42.904,42.996,43.131,39.107
-2.96,-6,42.942,42.971,43.019,43.11,43.242,39.074
-2.88,-6,43.059,43.087,43.134,43.223,43.353,39.04
-2.8,-6,43.175,43.202,43.248,43.335,43.463,39.005
-2.72,-6,43.29,43.317,43.361,43.446,43.571,38.969
-2.64,-6,43.405,43.43,43.474,43.556,43.679,38.932
-2.56,-6,43.519,43.543,43.585,43.665,43.786,38.894
-2.48,-6,43.631,43.655,43.695,43.774,43.892,38.855
-2.4,-6,43.743,43.765,43.805,43.881,43.997,38.816
-2.32,-6,43.854,43.875,43.913,43.987,44.101,38.775
-2.24,-6,43.964,43.984,44.021,44.093,44.203,38.734
-2.16,-6,44.073,44.091,44.127,44.197,44.305,38.692
-2.08,-6,44.18,44.198,44.233,44.3,44.406,38.648
-2,-6,44.287,44.304,44.337,44.402,44.505,38.605
-1.92,-6,44.392,44.408,44.44,44.503,44.603,38.56
