X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,38.508,38.565,38.645,38.785,38.98,41.344
-5.92,-6,38.635,38.69,38.77,38.909,39.103,41.323
-5.84,-6,38.761,38.816,38.895,39.033,39.226,41.303
-5.76,-6,38.888,38.942,39.02,39.157,39.35,41.282
-5.68,-6,39.015,39.068,39.146,39.282,39.473,41.26
-5.6,-6,39.142,39.195,39.272,39.407,39.597,41.238
-5.52,-6,39.269,39.322,39.398,39.532,39.721,41.217
-5.44,-6,39.397,39.449,39.525,39.657,39.845,41.198
-5.36,-6,39.525,39.576,39.651,39.782,39.97,41.178
-5.28,-6,39.653,39.703,39.778,39.908,40.094,41.157
-5.2,-6,39.782,39.831,39.905,40.034,40.218,41.136
-5.12,-6,39.91,39.959,40.032,40.16,40.343,41.116
-5.04,-6,40.039,40.087,40.159,40.285,40.468,41.098
-4.96,-6,40.167,40.215,40.286,40.411,40.592,41.072
-4.88,-6,40.296,40.343,40.413,40.538,40.717,41.035
-4.8,-6,40.425,40.471,40.541,40.664,40.842,40.996
-4.72,-6,40.554,40.599,40.668,40.79,40.967,40.957
-4.64,-6,40.683,40.727,40.795,40.916,41.091,40.917
-4.56,-6,40.812,40.855,40.923,41.042,41.216,40.876
-4.48,-6,40.941,40.984,41.05,41.168,41.341,40.834
-4.4,-6,41.07,41.112,41.178,41.294,41.465,40.792
-4.32,-6,41.199,41.24,41.305,41.42,41.589,40.748
-4.24,-6,41.328,41.368,41.432,41.546,41.714,40.704
-4.16,-6,41.457,41.496,41.559,41.671,41.838,40.658
-4.08,-6,41.586,41.624,41.686,41.797,41.961,40.612
-4,-6,41.715,41.752,41.813,41.922,42.085,40.566
-3.92,-6,41.843,41.879,41.939,42.047,42.208,40.518
-3.84,-6,41.971,42.007,42.066,42.171,42.331,40.47
-3.76,-6,42.1,42.134,42.192,42.296,42.454,40.422
-3.68,-6,42.227,42.261,42.318,42.42,42.576,40.373
-3.6,-6,42.355,42.387,42.443,42.544,42.698,40.323
-3.52,-6,42.482,42.513,42.568,42.667,42.82,40.273
-3.44,-6,42.609,42.639,42.693,42.79,42.941,40.223
-3.36,-6,42.736,42.765,42.818,42.913,43.062,40.172
-3.28,-6,42.862,42.89,42.942,43.035,43.182,40.12
-3.2,-6,42.988,43.015,43.065,43.157,43.302,40.069
-3.12,-6,43.113,43.139,43.188,43.278,43.421,40.017
-3.04,-6,43.238,43.263,43.311,43.399,43.539,39.965
-2.96,-6,43.362,43.386,43.433,43.519,43.657,39.912
-2.88,-6,43.486,43.508,43.554,43.638,43.774,39.859
-2.8,-6,43.609,43.631,43.675,43.757,43.891,39.806
-2.72,-6,43.732,43.752,43.795,43.875,44.007,39.753
-2.64,-6,43.854,43.873,43.915,43.992,44.122,39.7
-2.56,-6,43.975,43.993,44.033,44.109,44.236,39.649
-2.48,-6,44.095,44.112,44.151,44.225,44.35,39.6
-2.4,-6,44.215,44.231,44.269,44.34,44.463,39.551
-2.32,-6,44.334,44.349,44.385,44.454,44.574,39.5
-2.24,-6,44.453,44.466,44.501,44.568,44.685,39.449
-2.16,-6,44.57,44.582,44.616,44.68,44.795,39.397
-2.08,-6,44.687,44.697,44.73,44.792,44.904,39.343
-2,-6,44.802,44.812,44.843,44.903,45.013,39.289
-1.92,-6,44.917,44.925,44.955,45.012,45.12,39.234
-1.84,-6,45.031,45.038,45.066,45.121,45.226,39.178
-1.76,-6,45.144,45.149,45.176,45.229,45.331,39.122
-1.68,-6,45.255,45.26,45.285,45.335,45.435,39.064
-1.6,-6,45.366,45.369,45.393,45.441,45.538,39.005
-1.52,-6,45.476,45.477,45.5,45.545,45.639,38.946
-1.44,-6,45.584,45.585,45.605,45.648,45.74,38.879
-1.36,-6,45.692,45.691,45.71,45.75,45.839,38.805
-1.28,-6,45.798,45.796,45.813,45.851,45.938,38.731
-1.2,-6,45.903,45.899,45.916,45.951,46.035,38.658
-1.12,-6,46.007,46.002,46.017,46.049,46.13,38.592
-1.04,-6,46.11,46.103,46.116,46.147,46.225,38.523
-0.96,-6,46.211,46.203,46.215,46.243,46.318,38.454
-0.88,-6,46.311,46.302,46.312,46.337,46.41,38.382
-0.8,-6,46.41,46.4,46.408,46.431,46.501,38.309
-0.72,-6,46.508,46.496,46.503,46.523,46.59,38.234
-0.64,-6,46.604,46.591,46.596,46.613,46.679,38.158
-0.56,-6,46.699,46.684,46.688,46.703,46.765,38.079
-0.48,-6,46.793,46.776,46.779,46.791,46.851,37.999
-0.4,-6,46.885,46.867,46.868,46.877,46.935,37.916
-0.32,-6,46.976,46.957,46.956,46.963,47.017,37.832
-0.24,-6,47.065,47.045,47.042,47.046,47.099,37.745
-0.16,-6,47.153,47.131,47.127,47.129,47.179,37.657
-0.08,-6,47.24,47.217,47.211,47.21,47.257,37.566
0,-6,47.325,47.3,47.293,47.289,47.334,37.473
0.08,-6,47.363,47.34,47.329,47.319,47.358,37.389
0.16,-6,47.43,47.407,47.393,47.379,47.414,37.304
0.24,-6,47.501,47.477,47.461,47.444,47.475,37.296
0.32,-6,47.574,47.549,47.531,47.51,47.538,37.139
0.4,-6,47.647,47.621,47.6,47.576,47.601,36.998
0.48,-6,47.719,47.692,47.669,47.641,47.664,36.869
0.56,-6,47.791,47.762,47.737,47.706,47.726,36.752
0.64,-6,47.868,47.833,47.804,47.77,47.788,36.714
0.72,-6,47.944,47.907,47.874,47.833,47.848,36.615
0.8,-6,48.02,47.981,47.945,47.896,47.908,36.515
0.88,-6,48.076,48.054,48.015,47.963,47.966,36.414
0.96,-6,48.132,48.127,48.085,48.028,48.025,36.312
1.04,-6,48.211,48.189,48.154,48.092,48.087,36.209
1.12,-6,48.305,48.238,48.224,48.156,48.147,36.104
1.2,-6,48.399,48.304,48.293,48.219,48.206,35.998
