X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,37.592,37.664,37.753,37.912,38.184,37.406
-5.92,-6,37.714,37.785,37.874,38.033,38.304,37.406
-5.84,-6,37.836,37.907,37.996,38.153,38.424,37.406
-5.76,-6,37.958,38.029,38.117,38.274,38.544,37.406
-5.68,-6,38.081,38.151,38.239,38.395,38.664,37.409
-5.6,-6,38.203,38.273,38.361,38.517,38.785,37.419
-5.52,-6,38.326,38.396,38.483,38.638,38.905,37.406
-5.44,-6,38.449,38.518,38.605,38.76,39.026,37.391
-5.36,-6,38.572,38.641,38.727,38.881,39.146,37.375
-5.28,-6,38.695,38.764,38.85,39.003,39.267,37.358
-5.2,-6,38.819,38.887,38.972,39.124,39.388,37.34
-5.12,-6,38.942,39.009,39.095,39.246,39.508,37.321
-5.04,-6,39.065,39.132,39.217,39.368,39.629,37.3
-4.96,-6,39.189,39.255,39.34,39.49,39.75,37.279
-4.88,-6,39.312,39.378,39.462,39.611,39.871,37.257
-4.8,-6,39.435,39.501,39.584,39.733,39.991,37.234
-4.72,-6,39.559,39.624,39.707,39.855,40.112,37.21
-4.64,-6,39.682,39.747,39.829,39.976,40.232,37.185
-4.56,-6,39.805,39.869,39.951,40.098,40.353,37.159
-4.48,-6,39.928,39.992,40.073,40.219,40.473,37.133
-4.4,-6,40.051,40.114,40.195,40.34,40.593,37.106
-4.32,-6,40.173,40.236,40.317,40.461,40.713,37.078
-4.24,-6,40.296,40.358,40.438,40.582,40.832,37.049
-4.16,-6,40.418,40.48,40.559,40.702,40.951,37.02
-4.08,-6,40.54,40.601,40.68,40.822,41.07,36.991
-4,-6,40.662,40.723,40.801,40.942,41.189,36.961
-3.92,-6,40.783,40.843,40.921,41.061,41.307,36.93
-3.84,-6,40.904,40.964,41.041,41.18,41.425,36.899
-3.76,-6,41.024,41.084,41.161,41.299,41.542,36.867
-3.68,-6,41.145,41.203,41.28,41.417,41.659,36.835
-3.6,-6,41.264,41.323,41.398,41.535,41.776,36.803
-3.52,-6,41.383,41.441,41.517,41.652,41.892,36.77
-3.44,-6,41.502,41.559,41.634,41.769,42.007,36.737
-3.36,-6,41.62,41.677,41.751,41.885,42.122,36.704
-3.28,-6,41.738,41.794,41.867,42,42.236,36.67
-3.2,-6,41.854,41.91,41.983,42.115,42.35,36.637
-3.12,-6,41.971,42.026,42.098,42.229,42.463,36.608
-3.04,-6,42.086,42.141,42.213,42.343,42.575,36.578
-2.96,-6,42.201,42.255,42.326,42.455,42.686,36.547
