X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,37.539,37.615,37.712,37.882,38.167,37.348
-5.92,-6,37.659,37.735,37.831,38.001,38.285,37.349
-5.84,-6,37.779,37.855,37.951,38.12,38.403,37.349
-5.76,-6,37.899,37.974,38.07,38.239,38.521,37.348
-5.68,-6,38.02,38.095,38.19,38.358,38.639,37.351
-5.6,-6,38.14,38.215,38.31,38.477,38.757,37.361
-5.52,-6,38.261,38.335,38.43,38.596,38.876,37.348
-5.44,-6,38.382,38.455,38.55,38.716,38.994,37.333
-5.36,-6,38.503,38.576,38.67,38.835,39.113,37.317
-5.28,-6,38.624,38.696,38.79,38.955,39.231,37.299
-5.2,-6,38.745,38.817,38.91,39.074,39.35,37.281
-5.12,-6,38.865,38.937,39.03,39.194,39.468,37.261
-5.04,-6,38.986,39.058,39.15,39.313,39.586,37.241
-4.96,-6,39.107,39.178,39.27,39.433,39.705,37.219
-4.88,-6,39.228,39.299,39.39,39.552,39.823,37.197
-4.8,-6,39.349,39.419,39.51,39.671,39.941,37.173
-4.72,-6,39.469,39.539,39.63,39.79,40.059,37.149
-4.64,-6,39.59,39.659,39.75,39.909,40.177,37.124
-4.56,-6,39.71,39.779,39.869,40.028,40.294,37.098
-4.48,-6,39.83,39.899,39.988,40.146,40.412,37.071
-4.4,-6,39.95,40.018,40.107,40.265,40.529,37.044
-4.32,-6,40.07,40.137,40.226,40.383,40.645,37.016
-4.24,-6,40.189,40.256,40.345,40.5,40.762,36.987
-4.16,-6,40.308,40.375,40.463,40.618,40.878,36.958
-4.08,-6,40.427,40.493,40.58,40.735,40.993,36.928
-4,-6,40.545,40.611,40.698,40.851,41.109,36.898
-3.92,-6,40.663,40.728,40.815,40.967,41.223,36.867
-3.84,-6,40.78,40.845,40.931,41.083,41.338,36.835
-3.76,-6,40.897,40.962,41.047,41.198,41.451,36.803
-3.68,-6,41.013,41.078,41.163,41.313,41.564,36.771
-3.6,-6,41.129,41.193,41.277,41.427,41.677,36.739
-3.52,-6,41.245,41.308,41.392,41.54,41.789,36.706
-3.44,-6,41.359,41.422,41.505,41.653,41.9,36.672
-3.36,-6,41.473,41.536,41.618,41.765,42.011,36.639
-3.28,-6,41.586,41.648,41.73,41.876,42.12,36.605
-3.2,-6,41.699,41.76,41.842,41.987,42.229,36.572
-3.12,-6,41.811,41.872,41.953,42.096,42.337,36.543
-3.04,-6,41.921,41.982,42.062,42.205,42.445,36.513
-2.96,-6,42.031,42.091,42.171,42.313,42.551,36.482
-2.88,-6,42.14,42.2,42.279,42.42,42.656,36.45
-2.8,-6,42.248,42.308,42.386,42.526,42.761,36.417
-2.72,-6,42.356,42.414,42.492,42.631,42.864,36.383
-2.64,-6,42.462,42.52,42.597,42.735,42.966,36.348
-2.56,-6,42.567,42.624,42.701,42.838,43.067,36.311
-2.48,-6,42.67,42.728,42.804,42.94,43.167,36.274
-2.4,-6,42.773,42.83,42.906,43.041,43.266,36.236
-2.32,-6,42.875,42.931,43.006,43.14,43.363,36.197
-2.24,-6,42.975,43.031,43.105,43.238,43.46,36.157
-2.16,-6,43.074,43.129,43.203,43.335,43.554,36.116
-2.08,-6,43.171,43.226,43.3,43.43,43.648,36.075
-2,-6,43.267,43.322,43.395,43.524,43.74,36.032
-1.92,-6,43.362,43.416,43.489,43.617,43.831,35.988
-1.84,-6,43.455,43.509,43.581,43.708,43.92,35.943
-1.76,-6,43.547,43.6,43.672,43.798,44.008,35.909
-1.68,-6,43.637,43.69,43.761,43.886,44.094,35.875
-1.6,-6,43.726,43.778,43.848,43.973,44.179,35.839
-1.52,-6,43.813,43.865,43.935,44.058,44.262,35.802
-1.44,-6,43.898,43.95,44.019,44.141,44.344,35.756
-1.36,-6,43.982,44.033,44.102,44.223,44.423,35.702
-1.28,-6,44.064,44.115,44.183,44.303,44.502,35.647
-1.2,-6,44.144,44.195,44.262,44.382,44.578,35.59
-1.12,-6,44.223,44.273,44.34,44.458,44.653,35.531
-1.04,-6,44.299,44.349,44.415,44.533,44.726,35.47
-0.96,-6,44.374,44.423,44.489,44.606,44.797,35.407
-0.88,-6,44.447,44.496,44.561,44.677,44.866,35.342
-0.8,-6,44.517,44.566,44.631,44.747,44.934,35.275
-0.72,-6,44.586,44.635,44.7,44.814,44.999,35.207
-0.64,-6,44.653,44.702,44.766,44.88,45.063,35.136
-0.56,-6,44.718,44.767,44.83,44.943,45.125,35.063
-0.48,-6,44.781,44.829,44.893,45.005,45.185,34.987
-0.4,-6,44.842,44.89,44.953,45.065,45.244,34.91
-0.32,-6,44.901,44.949,45.011,45.122,45.3,34.83
-0.24,-6,44.958,45.005,45.068,45.178,45.354,34.748
-0.16,-6,45.013,45.06,45.122,45.232,45.407,34.663
-0.08,-6,45.065,45.113,45.174,45.284,45.457,34.576
0,-6,45.116,45.163,45.225,45.333,45.506,34.486
0.08,-6,45.081,45.136,45.195,45.3,45.464,34.409
