X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,37.585,37.664,37.763,37.937,38.225,38.063
-5.92,-6,37.706,37.784,37.883,38.056,38.343,38.056
-5.84,-6,37.827,37.904,38.003,38.175,38.461,38.048
-5.76,-6,37.947,38.025,38.123,38.295,38.58,38.04
-5.68,-6,38.068,38.145,38.243,38.415,38.699,38.032
-5.6,-6,38.189,38.266,38.363,38.534,38.818,38.022
-5.52,-6,38.311,38.387,38.484,38.654,38.937,38.013
-5.44,-6,38.432,38.508,38.604,38.774,39.056,38.003
-5.36,-6,38.553,38.629,38.725,38.894,39.175,37.997
-5.28,-6,38.675,38.75,38.846,39.014,39.294,37.996
-5.2,-6,38.796,38.871,38.966,39.134,39.413,37.973
-5.12,-6,38.918,38.992,39.087,39.254,39.532,37.948
-5.04,-6,39.039,39.113,39.208,39.374,39.651,37.922
-4.96,-6,39.161,39.234,39.328,39.494,39.77,37.896
-4.88,-6,39.282,39.355,39.449,39.614,39.888,37.868
-4.8,-6,39.404,39.476,39.57,39.734,40.007,37.84
-4.72,-6,39.525,39.597,39.69,39.854,40.126,37.81
-4.64,-6,39.646,39.718,39.81,39.973,40.244,37.78
-4.56,-6,39.767,39.838,39.93,40.093,40.362,37.749
-4.48,-6,39.888,39.959,40.05,40.212,40.48,37.718
-4.4,-6,40.008,40.079,40.17,40.331,40.598,37.686
-4.32,-6,40.129,40.199,40.289,40.449,40.716,37.653
-4.24,-6,40.249,40.318,40.409,40.568,40.833,37.619
-4.16,-6,40.369,40.438,40.527,40.686,40.949,37.585
-4.08,-6,40.488,40.557,40.646,40.804,41.066,37.551
-4,-6,40.607,40.675,40.764,40.921,41.182,37.516
-3.92,-6,40.726,40.793,40.882,41.038,41.297,37.48
-3.84,-6,40.844,40.911,40.999,41.154,41.413,37.445
-3.76,-6,40.962,41.029,41.116,41.27,41.527,37.409
-3.68,-6,41.079,41.145,41.232,41.386,41.641,37.372
-3.6,-6,41.196,41.262,41.348,41.501,41.755,37.336
-3.52,-6,41.312,41.377,41.463,41.615,41.867,37.299
-3.44,-6,41.428,41.492,41.578,41.729,41.98,37.262
-3.36,-6,41.542,41.607,41.691,41.842,42.091,37.224
-3.28,-6,41.657,41.721,41.805,41.954,42.202,37.187
-3.2,-6,41.77,41.834,41.917,42.065,42.312,37.149
-3.12,-6,41.883,41.946,42.029,42.176,42.421,37.111
-3.04,-6,41.995,42.057,42.14,42.286,42.529,37.073
-2.96,-6,42.106,42.168,42.25,42.395,42.637,37.035
-2.88,-6,42.216,42.278,42.359,42.503,42.743,36.996
-2.8,-6,42.325,42.386,42.467,42.611,42.849,36.954
-2.72,-6,42.434,42.494,42.574,42.717,42.954,36.91
-2.64,-6,42.541,42.601,42.681,42.822,43.057,36.865
-2.56,-6,42.647,42.707,42.786,42.926,43.16,36.818
-2.48,-6,42.752,42.812,42.89,43.029,43.261,36.77
-2.4,-6,42.856,42.915,42.993,43.131,43.361,36.721
-2.32,-6,42.959,43.017,43.095,43.232,43.46,36.669
-2.24,-6,43.061,43.119,43.195,43.332,43.558,36.617
