X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,37.839,37.92,38.02,38.204,38.519,38.768
-5.92,-6,37.962,38.042,38.142,38.325,38.639,38.75
-5.84,-6,38.084,38.164,38.263,38.446,38.759,38.731
-5.76,-6,38.207,38.287,38.385,38.567,38.88,38.712
-5.68,-6,38.33,38.409,38.507,38.689,39,38.693
-5.6,-6,38.453,38.532,38.63,38.81,39.121,38.673
-5.52,-6,38.576,38.655,38.752,38.932,39.242,38.652
-5.44,-6,38.7,38.778,38.875,39.054,39.362,38.631
-5.36,-6,38.823,38.901,38.997,39.176,39.483,38.609
-5.28,-6,38.947,39.024,39.12,39.298,39.604,38.587
-5.2,-6,39.071,39.147,39.243,39.42,39.726,38.564
-5.12,-6,39.195,39.27,39.366,39.542,39.847,38.541
-5.04,-6,39.319,39.394,39.489,39.664,39.968,38.524
-4.96,-6,39.443,39.517,39.611,39.786,40.089,38.505
-4.88,-6,39.567,39.641,39.734,39.908,40.21,38.468
-4.8,-6,39.691,39.764,39.857,40.031,40.331,38.429
-4.72,-6,39.815,39.888,39.98,40.153,40.452,38.389
-4.64,-6,39.938,40.011,40.103,40.275,40.573,38.348
-4.56,-6,40.062,40.134,40.226,40.396,40.694,38.307
-4.48,-6,40.186,40.257,40.348,40.518,40.815,38.264
-4.4,-6,40.309,40.38,40.471,40.64,40.935,38.221
-4.32,-6,40.433,40.503,40.593,40.761,41.055,38.176
-4.24,-6,40.556,40.626,40.715,40.883,41.175,38.131
-4.16,-6,40.679,40.748,40.837,41.003,41.295,38.085
-4.08,-6,40.802,40.871,40.959,41.124,41.415,38.038
-4,-6,40.925,40.993,41.08,41.245,41.534,37.991
-3.92,-6,41.047,41.114,41.201,41.365,41.653,37.943
-3.84,-6,41.169,41.236,41.322,41.485,41.771,37.895
-3.76,-6,41.29,41.357,41.442,41.604,41.89,37.846
-3.68,-6,41.412,41.477,41.562,41.723,42.007,37.797
-3.6,-6,41.532,41.597,41.682,41.841,42.124,37.747
-3.52,-6,41.653,41.717,41.801,41.96,42.241,37.697
-3.44,-6,41.773,41.836,41.92,42.077,42.357,37.647
-3.36,-6,41.892,41.955,42.038,42.194,42.473,37.596
-3.28,-6,42.011,42.073,42.155,42.311,42.588,37.545
-3.2,-6,42.129,42.191,42.272,42.426,42.703,37.494
-3.12,-6,42.247,42.308,42.389,42.542,42.816,37.443
-3.04,-6,42.364,42.424,42.504,42.656,42.93,37.391
-2.96,-6,42.48,42.54,42.619,42.77,43.042,37.339
-2.88,-6,42.596,42.655,42.733,42.883,43.154,37.288
-2.8,-6,42.711,42.769,42.847,42.996,43.265,37.236
-2.72,-6,42.825,42.883,42.96,43.107,43.375,37.184
-2.64,-6,42.939,42.996,43.072,43.218,43.484,37.131
-2.56,-6,43.051,43.107,43.183,43.328,43.592,37.082
-2.48,-6,43.163,43.218,43.293,43.437,43.7,37.035
-2.4,-6,43.274,43.329,43.402,43.545,43.806,36.986
-2.32,-6,43.384,43.438,43.511,43.652,43.912,36.937
-2.24,-6,43.493,43.546,43.618,43.758,44.016,36.887
-2.16,-6,43.601,43.653,43.725,43.863,44.12,36.836
-2.08,-6,43.708,43.76,43.83,43.967,44.222,36.783
-2,-6,43.814,43.865,43.934,44.07,44.323,36.73
-1.92,-6,43.919,43.969,44.038,44.172,44.424,36.676
-1.84,-6,44.023,44.072,44.14,44.273,44.523,36.621
-1.76,-6,44.126,44.174,44.241,44.373,44.621,36.564
-1.68,-6,44.228,44.275,44.341,44.471,44.718,36.507
-1.6,-6,44.329,44.375,44.44,44.569,44.813,36.449
-1.52,-6,44.428,44.473,44.537,44.665,44.908,36.389
-1.44,-6,44.526,44.57,44.634,44.76,45.001,36.321
-1.36,-6,44.623,44.667,44.729,44.853,45.093,36.247
-1.28,-6,44.719,44.762,44.823,44.946,45.183,36.171
-1.2,-6,44.814,44.855,44.915,45.037,45.273,36.097
-1.12,-6,44.908,44.948,45.007,45.127,45.361,36.03
-1.04,-6,45,45.039,45.097,45.215,45.448,35.961
-0.96,-6,45.091,45.129,45.186,45.302,45.533,35.889
-0.88,-6,45.181,45.218,45.273,45.388,45.617,35.816
-0.8,-6,45.27,45.305,45.36,45.473,45.7,35.742
-0.72,-6,45.357,45.391,45.445,45.556,45.782,35.665
-0.64,-6,45.442,45.476,45.528,45.637,45.861,35.586
-0.56,-6,45.526,45.559,45.61,45.717,45.939,35.505
-0.48,-6,45.609,45.641,45.69,45.795,46.015,35.422
-0.4,-6,45.685,45.722,45.77,45.873,46.09,35.336
-0.32,-6,45.725,45.801,45.848,45.949,46.164,35.249
-0.24,-6,45.777,45.88,45.925,46.023,46.237,35.159
-0.16,-6,45.859,45.924,46.001,46.097,46.309,35.067
-0.08,-6,45.945,45.967,46.076,46.169,46.379,34.973
0,-6,46.03,46.036,46.139,46.241,46.448,34.876
0.08,-6,46.048,46.056,46.11,46.245,46.446,34.791
0.16,-6,46.111,46.118,46.135,46.292,46.489,34.706
0.24,-6,46.181,46.187,46.201,46.346,46.539,34.7
0.32,-6,46.255,46.26,46.269,46.403,46.593,34.516
0.4,-6,46.332,46.334,46.34,46.447,46.648,34.37
0.48,-6,46.41,46.409,46.412,46.468,46.705,34.241
0.56,-6,46.489,46.486,46.485,46.507,46.761,34.118
0.64,-6,46.574,46.563,46.559,46.575,46.818,34.104
0.72,-6,46.662,46.647,46.636,46.643,46.875,34.003
0.8,-6,46.751,46.732,46.717,46.713,46.931,33.901
0.88,-6,46.841,46.818,46.799,46.788,46.987,33.797
0.96,-6,46.934,46.905,46.882,46.863,47.043,33.691
1.04,-6,47.027,46.994,46.965,46.939,47.1,33.584
1.12,-6,47.124,47.084,47.051,47.016,47.16,33.476
1.2,-6,47.222,47.178,47.137,47.095,47.185,33.366
1.28,-6,47.317,47.272,47.228,47.174,47.213,33.256
1.36,-6,47.401,47.365,47.319,47.257,47.267,33.144
1.44,-6,47.487,47.447,47.41,47.341,47.335,33.03
1.52,-6,47.563,47.529,47.492,47.426,47.404,32.916
1.6,-6,47.64,47.613,47.573,47.511,47.472,32.801
1.68,-6,47.718,47.698,47.655,47.586,47.538,32.684
1.76,-6,47.797,47.78,47.738,47.663,47.603,32.566
1.84,-6,47.877,47.856,47.821,47.74,47.669,32.448
1.92,-6,47.958,47.933,47.906,47.819,47.737,32.328
2,-6,48.039,48.011,47.992,47.898,47.805,32.208
2.08,-6,48.122,48.091,48.072,47.979,47.874,32.087
2.16,-6,48.206,48.171,48.148,48.061,47.944,31.965
2.24,-6,48.291,48.252,48.226,48.144,48.015,31.842
2.32,-6,48.378,48.335,48.306,48.229,48.088,31.718
2.4,-6,48.467,48.419,48.386,48.315,48.163,31.594
2.48,-6,48.557,48.505,48.468,48.403,48.239,31.469
2.56,-6,48.648,48.593,48.552,48.492,48.317,31.344
2.64,-6,48.742,48.682,48.637,48.576,48.397,31.218
2.72,-6,48.837,48.773,48.724,48.657,48.478,31.091
2.8,-6,48.935,48.866,48.813,48.74,48.562,30.964
2.88,-6,49.034,48.96,48.903,48.825,48.648,30.836
2.96,-6,49.135,49.057,48.996,48.911,48.736,30.708
3.04,-6,49.239,49.156,49.09,48.999,48.826,30.58
3.12,-6,49.343,49.257,49.187,49.089,48.919,30.451
3.2,-6,49.463,49.36,49.285,49.181,49.014,30.322
3.28,-6,49.589,49.466,49.386,49.276,49.111,30.192
