X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,40.134,40.149,40.162,36.641
-5.92,-6,40.243,40.257,40.268,36.641
-5.84,-6,40.352,40.364,40.374,36.642
-5.76,-6,40.462,40.472,40.48,36.642
-5.68,-6,40.571,40.581,40.587,36.642
-5.6,-6,40.682,40.689,40.693,36.642
-5.52,-6,40.792,40.798,40.8,36.642
-5.44,-6,40.903,40.907,40.908,36.642
-5.36,-6,41.014,41.017,41.016,36.642
-5.28,-6,41.126,41.127,41.124,36.641
-5.2,-6,41.238,41.237,41.232,36.641
-5.12,-6,41.35,41.348,41.34,36.64
-5.04,-6,41.462,41.458,41.449,36.64
-4.96,-6,41.575,41.569,41.558,36.639
-4.88,-6,41.688,41.681,41.667,36.638
-4.8,-6,41.801,41.792,41.777,36.647
-4.72,-6,41.915,41.904,41.886,36.656
-4.64,-6,42.029,42.016,41.996,36.664
-4.56,-6,42.143,42.128,42.106,36.672
-4.48,-6,42.257,42.241,42.216,36.679
-4.4,-6,42.372,42.353,42.327,36.686
-4.32,-6,42.486,42.466,42.437,36.693
-4.24,-6,42.601,42.579,42.548,36.699
-4.16,-6,42.716,42.692,42.658,36.705
-4.08,-6,42.831,42.805,42.769,36.71
-4,-6,42.946,42.918,42.88,36.715
-3.92,-6,43.062,43.032,42.991,36.72
-3.84,-6,43.177,43.145,43.102,36.725
-3.76,-6,43.293,43.259,43.213,36.729
-3.68,-6,43.409,43.372,43.323,36.732
-3.6,-6,43.524,43.486,43.434,36.735
-3.52,-6,43.64,43.599,43.545,36.738
-3.44,-6,43.756,43.713,43.656,36.74
-3.36,-6,43.872,43.826,43.767,36.741
-3.28,-6,43.987,43.94,43.878,36.742
-3.2,-6,44.103,44.053,43.989,36.736
-3.12,-6,44.219,44.167,44.099,36.721
-3.04,-6,44.334,44.28,44.21,36.706
-2.96,-6,44.45,44.393,44.32,36.69
-2.88,-6,44.565,44.506,44.43,36.674
-2.8,-6,44.68,44.619,44.54,36.657
-2.72,-6,44.795,44.732,44.65,36.639
-2.64,-6,44.91,44.844,44.759,36.621
-2.56,-6,45.024,44.956,44.868,36.602
-2.48,-6,45.139,45.068,44.977,36.583
-2.4,-6,45.253,45.18,45.086,36.563
-2.32,-6,45.366,45.292,45.194,36.543
-2.24,-6,45.48,45.403,45.302,36.522
-2.16,-6,45.593,45.514,45.41,36.5
-2.08,-6,45.706,45.624,45.517,36.478
-2,-6,45.818,45.734,45.624,36.456
-1.92,-6,45.93,45.844,45.731,36.433
-1.84,-6,46.041,45.953,45.837,36.41
-1.76,-6,46.152,46.062,45.942,36.397
-1.68,-6,46.263,46.17,46.048,36.384
-1.6,-6,46.373,46.278,46.152,36.37
-1.52,-6,46.482,46.385,46.256,36.355
-1.44,-6,46.591,46.492,46.36,36.332
-1.36,-6,46.699,46.598,46.463,36.302
-1.28,-6,46.807,46.703,46.566,36.271
-1.2,-6,46.914,46.808,46.668,36.239
-1.12,-6,47.02,46.912,46.769,36.206
-1.04,-6,47.125,47.016,46.869,36.171
-0.96,-6,47.23,47.119,46.969,36.135
-0.88,-6,47.334,47.221,47.069,36.097
-0.8,-6,47.437,47.322,47.167,36.058
-0.72,-6,47.539,47.423,47.265,36.017
-0.64,-6,47.641,47.523,47.363,35.975
-0.56,-6,47.741,47.622,47.459,35.93
