X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,39.403,39.458,39.563,36.586
-5.92,-6,39.509,39.562,39.666,36.587
-5.84,-6,39.615,39.667,39.769,36.587
-5.76,-6,39.722,39.771,39.873,36.587
-5.68,-6,39.828,39.876,39.976,36.587
-5.6,-6,39.935,39.982,40.08,36.587
-5.52,-6,40.042,40.087,40.184,36.586
-5.44,-6,40.15,40.193,40.288,36.586
-5.36,-6,40.257,40.299,40.392,36.586
-5.28,-6,40.365,40.405,40.497,36.585
-5.2,-6,40.473,40.511,40.602,36.584
-5.12,-6,40.581,40.617,40.706,36.583
-5.04,-6,40.689,40.724,40.811,36.583
-4.96,-6,40.798,40.83,40.916,36.582
-4.88,-6,40.907,40.937,41.021,36.581
-4.8,-6,41.015,41.044,41.126,36.589
-4.72,-6,41.124,41.151,41.231,36.597
-4.64,-6,41.233,41.258,41.336,36.605
-4.56,-6,41.342,41.365,41.442,36.613
-4.48,-6,41.451,41.472,41.547,36.62
-4.4,-6,41.561,41.579,41.652,36.627
-4.32,-6,41.67,41.686,41.757,36.634
-4.24,-6,41.779,41.793,41.862,36.64
-4.16,-6,41.888,41.9,41.967,36.645
-4.08,-6,41.997,42.007,42.072,36.651
-4,-6,42.107,42.114,42.177,36.656
-3.92,-6,42.216,42.221,42.282,36.661
-3.84,-6,42.325,42.328,42.386,36.665
-3.76,-6,42.434,42.434,42.49,36.669
-3.68,-6,42.543,42.541,42.595,36.672
-3.6,-6,42.651,42.647,42.699,36.675
-3.52,-6,42.76,42.753,42.802,36.678
-3.44,-6,42.868,42.859,42.906,36.68
-3.36,-6,42.976,42.965,43.009,36.681
-3.28,-6,43.084,43.07,43.112,36.681
-3.2,-6,43.192,43.175,43.215,36.676
-3.12,-6,43.299,43.28,43.317,36.661
-3.04,-6,43.406,43.384,43.419,36.646
-2.96,-6,43.513,43.488,43.52,36.63
-2.88,-6,43.619,43.592,43.621,36.614
-2.8,-6,43.725,43.695,43.722,36.597
-2.72,-6,43.831,43.798,43.822,36.579
-2.64,-6,43.936,43.9,43.922,36.561
-2.56,-6,44.041,44.002,44.021,36.542
-2.48,-6,44.146,44.104,44.119,36.523
-2.4,-6,44.249,44.205,44.217,36.503
-2.32,-6,44.353,44.305,44.315,36.483
-2.24,-6,44.456,44.405,44.412,36.462
-2.16,-6,44.558,44.504,44.508,36.441
-2.08,-6,44.659,44.603,44.604,36.419
-2,-6,44.76,44.7,44.699,36.397
-1.92,-6,44.861,44.798,44.793,36.374
-1.84,-6,44.96,44.894,44.886,36.351
-1.76,-6,45.059,44.99,44.979,36.339
-1.68,-6,45.158,45.085,45.071,36.326
-1.6,-6,45.255,45.18,45.163,36.312
-1.52,-6,45.352,45.273,45.253,36.298
-1.44,-6,45.448,45.366,45.343,36.275
-1.36,-6,45.543,45.458,45.432,36.246
-1.28,-6,45.637,45.549,45.52,36.215
-1.2,-6,45.73,45.639,45.607,36.183
-1.12,-6,45.823,45.729,45.693,36.15
-1.04,-6,45.914,45.817,45.778,36.116
-0.96,-6,46.005,45.905,45.863,36.08
-0.88,-6,46.094,45.991,45.946,36.043
-0.8,-6,46.183,46.077,46.028,36.005
-0.72,-6,46.271,46.161,46.11,35.964
-0.64,-6,46.357,46.245,46.19,35.922
-0.56,-6,46.442,46.327,46.27,35.878
-0.48,-6,46.527,46.409,46.348,35.832
-0.4,-6,46.61,46.489,46.426,35.784
-0.32,-6,46.692,46.568,46.502,35.734
-0.24,-6,46.772,46.646,46.577,35.681
-0.16,-6,46.852,46.723,46.651,35.626
-0.08,-6,46.93,46.799,46.724,35.569
0,-6,47.007,46.874,46.796,35.509
0.08,-6,47.018,46.885,46.799,35.459
0.16,-6,47.074,46.939,46.849,35.407
0.24,-6,47.135,46.998,46.905,35.456
0.32,-6,47.197,47.059,46.963,35.3
0.4,-6,47.261,47.121,47.021,35.162
0.48,-6,47.324,47.182,47.079,35.047
0.56,-6,47.386,47.243,47.137,34.982
0.64,-6,47.45,47.302,47.194,34.891
0.72,-6,47.517,47.364,47.25,34.811
0.8,-6,47.584,47.428,47.308,34.741
0.88,-6,47.649,47.491,47.368,34.669
0.96,-6,47.714,47.553,47.428,34.597
1.04,-6,47.778,47.614,47.486,34.523
1.12,-6,47.843,47.676,47.543,34.448
1.2,-6,47.909,47.737,47.601,34.372
1.28,-6,47.973,47.799,47.657,34.294
1.36,-6,48.025,47.86,47.716,34.215
1.44,-6,48.05,47.92,47.774,34.135
1.52,-6,48.08,47.955,47.831,34.054
1.6,-6,48.128,47.984,47.884,33.972
1.68,-6,48.173,48.028,47.926,33.888
1.76,-6,48.216,48.071,47.967,33.804
1.84,-6,48.257,48.112,48.007,33.718
1.92,-6,48.297,48.151,48.045,33.632
2,-6,48.356,48.215,48.07,33.544
2.08,-6,48.431,48.291,48.091,33.455
2.16,-6,48.505,48.367,48.164,33.366
2.24,-6,48.578,48.441,48.236,33.276
2.32,-6,48.649,48.514,48.307,33.184
2.4,-6,48.719,48.587,48.378,33.092
2.48,-6,48.787,48.658,48.447,32.999
2.56,-6,48.854,48.727,48.516,32.906
2.64,-6,48.92,48.795,48.584,32.811
2.72,-6,48.984,48.862,48.65,32.716
2.8,-6,49.046,48.928,48.716,32.62
2.88,-6,49.106,48.992,48.78,32.524
2.96,-6,49.165,49.054,48.843,32.426
3.04,-6,49.222,49.114,48.904,32.329
3.12,-6,49.277,49.173,48.964,32.23
3.2,-6,49.33,49.23,49.023,32.132
3.28,-6,49.381,49.285,49.08,32.032
3.36,-6,49.43,49.339,49.136,31.932
3.44,-6,49.477,49.39,49.189,31.832
3.52,-6,49.49,49.439,49.242,31.732
3.6,-6,49.493,49.487,49.292,31.631
3.68,-6,49.495,49.532,49.341,31.529
3.76,-6,49.495,49.557,49.388,31.427
3.84,-6,49.494,49.558,49.433,31.325
3.92,-6,49.493,49.558,49.476,31.223
4,-6,49.49,49.557,49.517,31.121
4.08,-6,49.486,49.555,49.53,31.018
4.16,-6,49.481,49.552,49.53,30.915
4.24,-6,49.476,49.547,49.528,30.812
4.32,-6,49.469,49.542,49.526,30.708
4.4,-6,49.462,49.537,49.522,30.605
4.48,-6,49.454,49.53,49.518,30.502
4.56,-6,49.446,49.522,49.512,30.398
4.64,-6,49.437,49.514,49.506,30.294
4.72,-6,49.427,49.505,49.499,30.191
4.8,-6,49.417,49.495,49.491,30.087
4.88,-6,49.406,49.485,49.483,29.983
4.96,-6,49.396,49.474,49.474,29.879
5.04,-6,49.384,49.463,49.464,29.776
5.12,-6,49.372,49.451,49.454,29.672
5.2,-6,49.36,49.439,49.443,29.568
5.28,-6,49.348,49.427,49.432,29.465
5.36,-6,49.335,49.414,49.42,29.361
