X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,40.76,40.774,40.793,37.609
-5.92,-6,40.868,40.881,40.899,37.596
-5.84,-6,40.978,40.989,41.005,37.582
-5.76,-6,41.087,41.097,41.111,37.568
-5.68,-6,41.197,41.205,41.218,37.554
-5.6,-6,41.307,41.314,41.325,37.54
-5.52,-6,41.418,41.423,41.432,37.525
-5.44,-6,41.529,41.533,41.54,37.511
-5.36,-6,41.641,41.642,41.648,37.496
-5.28,-6,41.752,41.752,41.756,37.481
-5.2,-6,41.864,41.863,41.864,37.467
-5.12,-6,41.977,41.974,41.973,37.452
-5.04,-6,42.09,42.085,42.082,37.437
-4.96,-6,42.203,42.196,42.192,37.423
-4.88,-6,42.316,42.308,42.301,37.408
-4.8,-6,42.43,42.42,42.411,37.393
-4.72,-6,42.544,42.532,42.521,37.379
-4.64,-6,42.658,42.644,42.632,37.364
-4.56,-6,42.772,42.757,42.742,37.349
-4.48,-6,42.887,42.87,42.853,37.335
-4.4,-6,43.002,42.983,42.964,37.321
-4.32,-6,43.117,43.097,43.075,37.306
-4.24,-6,43.233,43.21,43.186,37.295
-4.16,-6,43.349,43.324,43.298,37.291
-4.08,-6,43.464,43.438,43.409,37.286
-4,-6,43.58,43.552,43.521,37.281
-3.92,-6,43.697,43.666,43.633,37.276
-3.84,-6,43.813,43.781,43.745,37.27
-3.76,-6,43.93,43.895,43.857,37.264
-3.68,-6,44.046,44.01,43.969,37.258
-3.6,-6,44.163,44.124,44.081,37.251
-3.52,-6,44.28,44.239,44.193,37.244
-3.44,-6,44.396,44.354,44.306,37.237
-3.36,-6,44.513,44.469,44.418,37.229
-3.28,-6,44.63,44.584,44.53,37.222
-3.2,-6,44.747,44.699,44.642,37.213
-3.12,-6,44.864,44.814,44.754,37.205
-3.04,-6,44.981,44.928,44.867,37.196
-2.96,-6,45.098,45.043,44.979,37.186
-2.88,-6,45.215,45.158,45.091,37.176
