X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,40.424,40.501,40.606,37.194
-5.92,-6,40.51,40.586,40.688,37.192
-5.84,-6,40.597,40.67,40.771,37.189
-5.76,-6,40.685,40.755,40.854,37.186
-5.68,-6,40.772,40.84,40.937,37.183
-5.6,-6,40.86,40.926,41.02,37.18
-5.52,-6,40.948,41.012,41.104,37.177
-5.44,-6,41.037,41.098,41.188,37.174
-5.36,-6,41.125,41.184,41.272,37.171
-5.28,-6,41.214,41.271,41.357,37.167
-5.2,-6,41.304,41.358,41.442,37.164
-5.12,-6,41.393,41.445,41.527,37.16
-5.04,-6,41.483,41.532,41.612,37.157
-4.96,-6,41.572,41.62,41.697,37.153
-4.88,-6,41.663,41.707,41.782,37.149
-4.8,-6,41.753,41.795,41.868,37.146
-4.72,-6,41.843,41.883,41.954,37.142
-4.64,-6,41.934,41.971,42.039,37.138
-4.56,-6,42.024,42.059,42.125,37.135
-4.48,-6,42.115,42.148,42.211,37.14
-4.4,-6,42.206,42.236,42.298,37.144
-4.32,-6,42.297,42.325,42.384,37.149
-4.24,-6,42.389,42.414,42.47,37.152
-4.16,-6,42.48,42.503,42.557,37.156
-4.08,-6,42.572,42.592,42.644,37.159
-4,-6,42.663,42.681,42.73,37.162
-3.92,-6,42.755,42.77,42.817,37.164
-3.84,-6,42.847,42.859,42.903,37.166
-3.76,-6,42.938,42.948,42.99,37.168
-3.68,-6,43.03,43.037,43.076,37.17
-3.6,-6,43.121,43.125,43.162,37.171
-3.52,-6,43.213,43.214,43.248,37.172
-3.44,-6,43.304,43.303,43.334,37.172
-3.36,-6,43.395,43.391,43.42,37.172
-3.28,-6,43.486,43.479,43.506,37.172
-3.2,-6,43.577,43.567,43.591,37.171
-3.12,-6,43.668,43.656,43.677,37.169
-3.04,-6,43.759,43.743,43.762,37.167
-2.96,-6,43.849,43.831,43.847,37.163
-2.88,-6,43.94,43.919,43.931,37.149
-2.8,-6,44.03,44.006,44.015,37.121
-2.72,-6,44.119,44.092,44.099,37.092
-2.64,-6,44.209,44.179,44.183,37.062
-2.56,-6,44.297,44.264,44.265,37.032
-2.48,-6,44.386,44.35,44.348,37
-2.4,-6,44.474,44.435,44.43,36.967
-2.32,-6,44.561,44.519,44.511,36.933
-2.24,-6,44.648,44.603,44.592,36.899
-2.16,-6,44.735,44.687,44.672,36.863
-2.08,-6,44.821,44.77,44.752,36.827
-2,-6,44.907,44.852,44.832,36.789
-1.92,-6,44.992,44.934,44.91,36.751
-1.84,-6,45.076,45.015,44.988,36.712
-1.76,-6,45.159,45.096,45.065,36.672
-1.68,-6,45.242,45.175,45.141,36.631
-1.6,-6,45.324,45.254,45.217,36.589
-1.52,-6,45.405,45.332,45.291,36.547
-1.44,-6,45.485,45.409,45.365,36.503
-1.36,-6,45.565,45.485,45.438,36.459
-1.28,-6,45.644,45.561,45.51,36.413
-1.2,-6,45.721,45.635,45.581,36.367
-1.12,-6,45.798,45.709,45.652,36.319
-1.04,-6,45.874,45.781,45.721,36.271
-0.96,-6,45.948,45.853,45.789,36.221
-0.88,-6,46.022,45.923,45.856,36.17
-0.8,-6,46.094,45.992,45.922,36.118
-0.72,-6,46.165,46.06,45.986,36.064
-0.64,-6,46.234,46.126,46.049,36.009
-0.56,-6,46.303,46.192,46.112,35.952
-0.48,-6,46.37,46.257,46.173,35.894
-0.4,-6,46.436,46.32,46.233,35.833
-0.32,-6,46.501,46.381,46.291,35.771
-0.24,-6,46.564,46.441,46.348,35.707
-0.16,-6,46.625,46.5,46.404,35.641
-0.08,-6,46.685,46.557,46.458,35.573
0,-6,46.744,46.613,46.511,35.502
0.08,-6,46.734,46.603,46.493,35.45
0.16,-6,46.77,46.637,46.522,35.397
0.24,-6,46.811,46.676,46.557,35.445
0.32,-6,46.852,46.716,46.593,35.289
0.4,-6,46.894,46.756,46.629,35.15
0.48,-6,46.936,46.795,46.665,35.034
0.56,-6,46.976,46.833,46.7,34.969
0.64,-6,47.022,46.871,46.733,34.878
0.72,-6,47.066,46.912,46.767,34.797
0.8,-6,47.11,46.953,46.805,34.727
