X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,51.443,51.675,52.011,52.405,38.261
-5.92,-6,51.552,51.783,52.119,52.513,38.261
-5.84,-6,51.66,51.892,52.227,52.62,38.261
-5.76,-6,51.769,52,52.335,52.728,38.261
-5.68,-6,51.877,52.108,52.443,52.836,38.262
-5.6,-6,51.986,52.217,52.551,52.943,38.264
-5.52,-6,52.094,52.325,52.659,53.051,38.266
-5.44,-6,52.203,52.433,52.767,53.159,38.27
-5.36,-6,52.311,52.541,52.875,53.266,38.274
-5.28,-6,52.42,52.649,52.983,53.374,38.279
-5.2,-6,52.528,52.757,53.09,53.481,38.285
-5.12,-6,52.636,52.865,53.198,53.588,38.292
-5.04,-6,52.744,52.973,53.305,53.695,38.301
-4.96,-6,52.852,53.081,53.412,53.802,38.31
-4.88,-6,52.96,53.188,53.519,53.908,38.322
-4.8,-6,53.067,53.295,53.626,54.015,38.334
-4.72,-6,53.174,53.402,53.732,54.121,38.348
-4.64,-6,53.281,53.508,53.839,54.226,38.363
-4.56,-6,53.388,53.615,53.944,54.332,38.38
-4.48,-6,53.494,53.72,54.05,54.437,38.399
-4.4,-6,53.6,53.826,54.155,54.541,38.42
-4.32,-6,53.705,53.931,54.259,54.646,38.442
-4.24,-6,53.81,54.036,54.364,54.749,38.479
-4.16,-6,53.915,54.14,54.467,54.852,38.55
-4.08,-6,54.019,54.244,54.571,54.955,38.626
-4,-6,54.123,54.347,54.673,55.057,38.706
-3.92,-6,54.226,54.449,54.775,55.159,38.789
-3.84,-6,54.329,54.552,54.877,55.26,38.875
-3.76,-6,54.431,54.653,54.977,55.36,38.962
-3.68,-6,54.532,54.754,55.078,55.459,39.051
-3.6,-6,54.633,54.854,55.177,55.558,39.141
-3.52,-6,54.733,54.953,55.276,55.656,39.232
-3.44,-6,54.833,55.052,55.374,55.753,39.321
-3.36,-6,54.931,55.15,55.471,55.85,39.41
-3.28,-6,55.029,55.247,55.567,55.945,39.497
-3.2,-6,55.126,55.343,55.662,56.039,39.581
-3.12,-6,55.223,55.439,55.757,56.133,39.663
-3.04,-6,55.318,55.533,55.85,56.226,39.741
-2.96,-6,55.413,55.627,55.943,56.317,39.816
-2.88,-6,55.507,55.72,56.034,56.407,39.887
-2.8,-6,55.6,55.812,56.125,56.497,39.953
-2.72,-6,55.692,55.902,56.214,56.585,40.014
-2.64,-6,55.783,55.992,56.302,56.672,40.041
-2.56,-6,55.873,56.081,56.39,56.758,40.035
-2.48,-6,55.962,56.169,56.476,56.842,40.018
-2.4,-6,56.051,56.255,56.561,56.925,39.998
-2.32,-6,56.138,56.341,56.644,57.008,39.976
-2.24,-6,56.225,56.426,56.727,57.088,39.95
-2.16,-6,56.31,56.509,56.808,57.168,39.922
-2.08,-6,56.395,56.592,56.888,57.246,39.892
-2,-6,56.479,56.673,56.967,57.322,39.86
-1.92,-6,56.562,56.754,57.045,57.397,39.826
-1.84,-6,56.644,56.833,57.122,57.471,39.79
-1.76,-6,56.725,56.912,57.197,57.544,39.753
-1.68,-6,56.806,56.989,57.271,57.615,39.714
-1.6,-6,56.886,57.066,57.344,57.685,39.673
-1.52,-6,56.965,57.142,57.416,57.753,39.631
-1.44,-6,57.044,57.217,57.487,57.82,39.577
-1.36,-6,57.122,57.291,57.557,57.886,39.512
-1.28,-6,57.199,57.364,57.626,57.95,39.446
-1.2,-6,57.277,57.437,57.694,58.013,39.382
-1.12,-6,57.354,57.509,57.761,58.075,39.328
-1.04,-6,57.43,57.581,57.827,58.135,39.271
-0.96,-6,57.507,57.652,57.892,58.194,39.211
-0.88,-6,57.583,57.723,57.957,58.253,39.148
-0.8,-6,57.66,57.794,58.02,58.31,39.081
-0.72,-6,57.736,57.864,58.084,58.366,39.012
-0.64,-6,57.813,57.935,58.147,58.421,38.939
-0.56,-6,57.89,58.005,58.209,58.476,38.864
-0.48,-6,57.968,58.076,58.272,58.53,38.784
-0.4,-6,58.045,58.146,58.334,58.583,38.701
-0.32,-6,58.124,58.217,58.396,58.635,38.614
-0.24,-6,58.202,58.288,58.458,58.687,38.522
-0.16,-6,58.281,58.359,58.52,58.739,38.425
-0.08,-6,58.36,58.431,58.582,58.79,38.322
0,-6,58.44,58.503,58.645,58.842,38.214
0.08,-6,58.43,58.492,58.62,58.802,38.116
0.16,-6,58.474,58.531,58.648,58.816,38.016
0.24,-6,58.524,58.575,58.68,58.837,38.141
0.32,-6,58.575,58.618,58.715,58.857,37.846
0.4,-6,58.623,58.659,58.745,58.873,37.599
0.48,-6,58.667,58.696,58.772,58.887,37.387
0.56,-6,58.707,58.729,58.794,58.896,37.198
0.64,-6,58.742,58.756,58.813,58.899,36.998
0.72,-6,58.771,58.78,58.826,58.901,36.816
0.8,-6,58.796,58.798,58.837,58.897,36.664
0.88,-6,58.815,58.812,58.842,58.888,36.515
0.96,-6,58.829,58.821,58.843,58.879,36.365
1.04,-6,58.846,58.825,58.843,58.865,36.215
1.12,-6,58.86,58.83,58.838,58.847,36.065
1.2,-6,58.869,58.835,58.83,58.83,35.915
1.28,-6,58.876,58.836,58.824,58.81,35.765
1.36,-6,58.879,58.835,58.819,58.788,35.616
1.44,-6,58.881,58.831,58.812,58.765,35.468
1.52,-6,58.881,58.826,58.804,58.748,35.32
1.6,-6,58.877,58.82,58.795,58.731,35.174
1.68,-6,58.877,58.812,58.785,58.715,35.028
1.76,-6,58.873,58.802,58.775,58.698,34.884
1.84,-6,58.866,58.795,58.766,58.683,34.74
1.92,-6,58.855,58.786,58.756,58.668,34.598
2,-6,58.822,58.774,58.746,58.654,34.456
2.08,-6,58.784,58.759,58.739,58.642,34.316
2.16,-6,58.741,58.728,58.731,58.632,34.176
2.24,-6,58.692,58.685,58.721,58.621,34.038
2.32,-6,58.639,58.639,58.708,58.611,33.9
2.4,-6,58.58,58.59,58.688,58.606,33.763
2.48,-6,58.516,58.535,58.65,58.601,33.627
2.56,-6,58.446,58.475,58.61,58.594,33.492
2.64,-6,58.37,58.41,58.567,58.586,33.357
2.72,-6,58.289,58.339,58.52,58.576,33.222
2.8,-6,58.203,58.263,58.469,58.552,33.088
2.88,-6,58.11,58.182,58.413,58.518,32.955
2.96,-6,58.013,58.095,58.352,58.484,32.822
3.04,-6,57.91,58.003,58.285,58.446,32.689
3.12,-6,57.802,57.906,58.214,58.405,32.556
3.2,-6,57.583,57.803,58.137,58.36,32.424
3.28,-6,57.343,57.695,58.055,58.31,32.291
3.36,-6,57.17,57.479,57.968,58.256,32.159
3.44,-6,57.033,57.237,57.875,58.196,32.027
