X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,51.55,51.789,52.133,52.537,37.586
-5.92,-6,51.658,51.896,52.241,52.644,37.601
-5.84,-6,51.766,52.004,52.348,52.751,37.616
-5.76,-6,51.874,52.112,52.455,52.858,37.632
-5.68,-6,51.982,52.219,52.563,52.966,37.648
-5.6,-6,52.09,52.327,52.67,53.073,37.665
-5.52,-6,52.197,52.435,52.778,53.18,37.683
-5.44,-6,52.305,52.542,52.885,53.287,37.703
-5.36,-6,52.413,52.65,52.992,53.394,37.723
-5.28,-6,52.521,52.757,53.099,53.5,37.744
-5.2,-6,52.628,52.864,53.206,53.607,37.767
-5.12,-6,52.735,52.971,53.313,53.714,37.791
-5.04,-6,52.843,53.078,53.419,53.82,37.816
-4.96,-6,52.95,53.185,53.526,53.926,37.843
-4.88,-6,53.056,53.292,53.632,54.032,37.871
-4.8,-6,53.163,53.398,53.738,54.137,37.9
-4.72,-6,53.269,53.504,53.843,54.243,37.932
-4.64,-6,53.375,53.609,53.949,54.348,37.965
-4.56,-6,53.48,53.715,54.053,54.452,38.003
-4.48,-6,53.586,53.819,54.158,54.556,38.085
-4.4,-6,53.69,53.924,54.262,54.66,38.171
-4.32,-6,53.795,54.028,54.366,54.763,38.26
-4.24,-6,53.899,54.132,54.469,54.866,38.353
-4.16,-6,54.002,54.235,54.571,54.968,38.449
-4.08,-6,54.105,54.337,54.673,55.07,38.547
-4,-6,54.207,54.439,54.775,55.171,38.646
-3.92,-6,54.309,54.54,54.876,55.271,38.746
-3.84,-6,54.41,54.641,54.976,55.371,38.847
-3.76,-6,54.511,54.741,55.075,55.47,38.947
-3.68,-6,54.611,54.84,55.174,55.568,39.046
-3.6,-6,54.71,54.939,55.272,55.666,39.144
-3.52,-6,54.808,55.037,55.369,55.763,39.239
-3.44,-6,54.906,55.134,55.465,55.858,39.332
-3.36,-6,55.002,55.23,55.561,55.953,39.422
-3.28,-6,55.098,55.325,55.655,56.047,39.508
