X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,51.578,51.817,52.163,52.568,36.941
-5.92,-6,51.686,51.925,52.27,52.675,36.97
-5.84,-6,51.795,52.033,52.378,52.783,37
-5.76,-6,51.903,52.141,52.486,52.89,37.03
-5.68,-6,52.011,52.249,52.594,52.998,37.061
-5.6,-6,52.119,52.357,52.701,53.105,37.093
-5.52,-6,52.228,52.465,52.809,53.213,37.126
-5.44,-6,52.336,52.573,52.917,53.32,37.16
-5.36,-6,52.444,52.681,53.024,53.427,37.195
-5.28,-6,52.552,52.789,53.132,53.534,37.231
-5.2,-6,52.66,52.896,53.239,53.641,37.268
-5.12,-6,52.768,53.004,53.346,53.748,37.306
-5.04,-6,52.875,53.111,53.453,53.855,37.345
-4.96,-6,52.983,53.218,53.56,53.961,37.385
-4.88,-6,53.09,53.325,53.666,54.067,37.426
-4.8,-6,53.197,53.432,53.773,54.173,37.513
-4.72,-6,53.303,53.538,53.878,54.279,37.604
-4.64,-6,53.41,53.644,53.984,54.384,37.699
-4.56,-6,53.516,53.75,54.089,54.489,37.797
-4.48,-6,53.622,53.855,54.194,54.593,37.898
-4.4,-6,53.727,53.96,54.299,54.698,38
-4.32,-6,53.832,54.065,54.403,54.801,38.103
-4.24,-6,53.937,54.169,54.507,54.904,38.208
-4.16,-6,54.041,54.273,54.61,55.007,38.312
-4.08,-6,54.144,54.376,54.712,55.109,38.416
-4,-6,54.247,54.478,54.814,55.211,38.518
-3.92,-6,54.35,54.58,54.916,55.312,38.619
-3.84,-6,54.451,54.682,55.017,55.412,38.717
-3.76,-6,54.553,54.782,55.117,55.511,38.812
-3.68,-6,54.653,54.882,55.216,55.61,38.904
-3.6,-6,54.753,54.982,55.315,55.708,38.991
-3.52,-6,54.852,55.08,55.413,55.806,39.074
-3.44,-6,54.951,55.178,55.51,55.902,39.152
-3.36,-6,55.048,55.275,55.606,55.997,39.225
-3.28,-6,55.145,55.371,55.701,56.092,39.279
-3.2,-6,55.241,55.466,55.795,56.185,39.285
-3.12,-6,55.336,55.56,55.889,56.278,39.273
-3.04,-6,55.431,55.654,55.981,56.369,39.257
-2.96,-6,55.524,55.746,56.072,56.46,39.237
-2.88,-6,55.616,55.837,56.162,56.549,39.213
-2.8,-6,55.708,55.928,56.251,56.637,39.187
-2.72,-6,55.798,56.017,56.339,56.724,39.158
-2.64,-6,55.887,56.105,56.426,56.809,39.126
-2.56,-6,55.976,56.192,56.512,56.894,39.092
-2.48,-6,56.063,56.278,56.596,56.977,39.056
-2.4,-6,56.149,56.363,56.679,57.058,39.019
-2.32,-6,56.234,56.446,56.761,57.138,38.981
-2.24,-6,56.319,56.529,56.841,57.217,38.942
-2.16,-6,56.402,56.61,56.92,57.294,38.904
-2.08,-6,56.484,56.69,56.998,57.37,38.866
-2,-6,56.565,56.768,57.074,57.444,38.828
-1.92,-6,56.644,56.846,57.149,57.517,38.792
-1.84,-6,56.723,56.922,57.223,57.588,38.757
-1.76,-6,56.801,56.997,57.295,57.658,38.744
-1.68,-6,56.878,57.071,57.366,57.726,38.731
-1.6,-6,56.954,57.144,57.435,57.792,38.719
-1.52,-6,57.029,57.216,57.503,57.857,38.708
-1.44,-6,57.103,57.286,57.57,57.92,38.683
-1.36,-6,57.176,57.356,57.635,57.982,38.648
-1.28,-6,57.249,57.424,57.699,58.041,38.612
-1.2,-6,57.32,57.492,57.762,58.1,38.575
-1.12,-6,57.392,57.558,57.823,58.156,38.536
-1.04,-6,57.462,57.624,57.883,58.211,38.496
-0.96,-6,57.532,57.689,57.942,58.265,38.454
-0.88,-6,57.602,57.753,58,58.317,38.411
-0.8,-6,57.671,57.816,58.057,58.367,38.366
-0.72,-6,57.74,57.879,58.113,58.416,38.318
-0.64,-6,57.809,57.941,58.168,58.464,38.269
