X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,51.215,51.436,51.757,52.132,36.99
-5.92,-6,51.323,51.545,51.865,52.239,37.02
-5.84,-6,51.432,51.653,51.973,52.347,37.05
-5.76,-6,51.54,51.761,52.081,52.455,37.08
-5.68,-6,51.649,51.87,52.189,52.562,37.112
-5.6,-6,51.757,51.978,52.297,52.67,37.144
-5.52,-6,51.866,52.086,52.405,52.778,37.177
-5.44,-6,51.975,52.194,52.513,52.885,37.212
-5.36,-6,52.083,52.302,52.621,52.993,37.247
-5.28,-6,52.191,52.411,52.729,53.1,37.283
-5.2,-6,52.3,52.518,52.836,53.207,37.32
-5.12,-6,52.408,52.626,52.944,53.314,37.358
-5.04,-6,52.516,52.734,53.051,53.421,37.398
-4.96,-6,52.623,52.841,53.158,53.528,37.438
-4.88,-6,52.731,52.949,53.265,53.634,37.48
-4.8,-6,52.838,53.056,53.372,53.741,37.567
-4.72,-6,52.945,53.162,53.478,53.847,37.658
-4.64,-6,53.052,53.269,53.584,53.952,37.754
-4.56,-6,53.159,53.375,53.69,54.057,37.852
-4.48,-6,53.265,53.481,53.795,54.162,37.952
-4.4,-6,53.371,53.586,53.9,54.267,38.055
-4.32,-6,53.476,53.691,54.004,54.371,38.159
-4.24,-6,53.581,53.796,54.108,54.474,38.263
-4.16,-6,53.686,53.9,54.212,54.577,38.368
-4.08,-6,53.79,54.004,54.315,54.68,38.472
-4,-6,53.894,54.107,54.418,54.782,38.575
-3.92,-6,53.997,54.209,54.52,54.883,38.676
-3.84,-6,54.099,54.311,54.621,54.984,38.774
-3.76,-6,54.201,54.413,54.721,55.084,38.869
-3.68,-6,54.302,54.513,54.821,55.183,38.961
-3.6,-6,54.403,54.613,54.921,55.281,39.049
-3.52,-6,54.503,54.713,55.019,55.379,39.132
-3.44,-6,54.602,54.811,55.117,55.476,39.21
-3.36,-6,54.701,54.909,55.214,55.572,39.284
-3.28,-6,54.799,55.006,55.31,55.667,39.337
-3.2,-6,54.896,55.102,55.405,55.761,39.343
-3.12,-6,54.992,55.197,55.499,55.854,39.331
-3.04,-6,55.087,55.292,55.592,55.947,39.315
-2.96,-6,55.182,55.385,55.684,56.038,39.295
-2.88,-6,55.275,55.477,55.775,56.128,39.272
-2.8,-6,55.368,55.569,55.866,56.216,39.246
-2.72,-6,55.46,55.659,55.955,56.304,39.217
-2.64,-6,55.551,55.749,56.043,56.391,39.185
-2.56,-6,55.641,55.838,56.129,56.476,39.151
-2.48,-6,55.73,55.925,56.215,56.56,39.115
-2.4,-6,55.818,56.011,56.3,56.643,39.078
-2.32,-6,55.905,56.097,56.383,56.724,39.04
-2.24,-6,55.991,56.181,56.465,56.804,39.002
-2.16,-6,56.076,56.264,56.546,56.883,38.963
-2.08,-6,56.161,56.346,56.626,56.96,38.925
-2,-6,56.244,56.427,56.704,57.036,38.888
-1.92,-6,56.327,56.508,56.781,57.11,38.851
-1.84,-6,56.409,56.587,56.857,57.183,38.816
-1.76,-6,56.489,56.665,56.932,57.255,38.803
-1.68,-6,56.57,56.742,57.005,57.325,38.79
-1.6,-6,56.649,56.818,57.078,57.394,38.777
-1.52,-6,56.728,56.893,57.149,57.461,38.766
-1.44,-6,56.806,56.967,57.219,57.527,38.74
-1.36,-6,56.883,57.041,57.288,57.591,38.705
-1.28,-6,56.96,57.113,57.356,57.654,38.668
-1.2,-6,57.037,57.185,57.422,57.716,38.631
-1.12,-6,57.113,57.257,57.488,57.776,38.591
-1.04,-6,57.188,57.328,57.553,57.835,38.551
-0.96,-6,57.264,57.398,57.617,57.893,38.508
-0.88,-6,57.339,57.468,57.681,57.949,38.464
-0.8,-6,57.415,57.537,57.743,58.004,38.418
-0.72,-6,57.49,57.606,57.805,58.059,38.37
-0.64,-6,57.565,57.675,57.866,58.112,38.319
-0.56,-6,57.641,57.744,57.927,58.164,38.266
-0.48,-6,57.716,57.813,57.987,58.215,38.209
-0.4,-6,57.792,57.881,58.047,58.266,38.148
-0.32,-6,57.868,57.95,58.107,58.315,38.083
-0.24,-6,57.944,58.019,58.166,58.364,38.013
-0.16,-6,58.02,58.088,58.226,58.413,37.937
-0.08,-6,58.096,58.156,58.285,58.461,37.855
0,-6,58.172,58.225,58.344,58.508,37.766
0.08,-6,58.155,58.208,58.313,58.461,37.689
0.16,-6,58.195,58.242,58.336,58.469,37.609
0.24,-6,58.239,58.281,58.363,58.483,37.773
0.32,-6,58.284,58.318,58.391,58.497,37.48
0.4,-6,58.326,58.354,58.415,58.506,37.238
0.48,-6,58.362,58.384,58.434,58.512,37.034
0.56,-6,58.395,58.41,58.45,58.512,36.856
0.64,-6,58.421,58.43,58.46,58.508,36.666
0.72,-6,58.442,58.445,58.465,58.498,36.494
0.8,-6,58.458,58.454,58.466,58.483,36.355
0.88,-6,58.467,58.459,58.461,58.465,36.218
0.96,-6,58.476,58.458,58.453,58.442,36.08
1.04,-6,58.485,58.455,58.441,58.414,35.942
1.12,-6,58.49,58.454,58.424,58.386,35.803
1.2,-6,58.491,58.449,58.41,58.354,35.663
1.28,-6,58.491,58.442,58.396,58.319,35.524
1.36,-6,58.489,58.434,58.381,58.285,35.384
1.44,-6,58.486,58.425,58.365,58.256,35.245
1.52,-6,58.483,58.415,58.349,58.227,35.107
1.6,-6,58.484,58.41,58.334,58.199,34.969
1.68,-6,58.483,58.404,58.32,58.172,34.831
1.76,-6,58.481,58.397,58.307,58.147,34.695
1.84,-6,58.466,58.38,58.289,58.12,34.559
1.92,-6,58.437,58.353,58.266,58.092,34.424
2,-6,58.405,58.325,58.244,58.065,34.289
2.08,-6,58.371,58.295,58.221,58.041,34.155
2.16,-6,58.334,58.264,58.199,58.018,34.022
2.24,-6,58.294,58.23,58.176,57.997,33.89
2.32,-6,58.252,58.201,58.169,58.003,33.758
2.4,-6,58.208,58.173,58.167,58.016,33.626
2.48,-6,58.161,58.137,58.164,58.031,33.496
2.56,-6,58.11,58.093,58.16,58.047,33.365
2.64,-6,58.055,58.047,58.153,58.064,33.235
2.72,-6,57.995,57.998,58.136,58.081,33.105
2.8,-6,57.931,57.945,58.101,58.096,32.976
2.88,-6,57.861,57.887,58.063,58.109,32.847
2.96,-6,57.786,57.823,58.023,58.119,32.718
3.04,-6,57.706,57.755,57.978,58.125,32.589
3.12,-6,57.621,57.681,57.929,58.097,32.46
3.2,-6,57.531,57.601,57.874,58.065,32.331
3.28,-6,57.435,57.517,57.814,58.03,32.202
3.36,-6,57.334,57.426,57.749,57.991,32.073
3.44,-6,57.227,57.331,57.677,57.947,31.944
3.52,-6,57.043,57.229,57.601,57.899,31.815
3.6,-6,56.785,57.123,57.518,57.845,31.686
3.68,-6,56.584,56.923,57.43,57.786,31.556
3.76,-6,56.449,56.67,57.336,57.721,31.427
3.84,-6,56.312,56.476,57.236,57.651,31.297
3.92,-6,56.184,56.34,57.131,57.575,31.167
4,-6,56.062,56.202,57.02,57.494,31.038
4.08,-6,55.943,56.065,56.857,57.408,30.907
4.16,-6,55.826,55.941,56.587,57.315,30.777
4.24,-6,55.712,55.819,56.371,57.218,30.647
4.32,-6,55.602,55.699,56.23,57.114,30.516
4.4,-6,55.496,55.583,56.087,57.006,30.385
4.48,-6,55.395,55.471,55.941,56.892,30.255
4.56,-6,55.299,55.363,55.795,56.773,30.124
4.64,-6,55.208,55.26,55.664,56.521,29.992
4.72,-6,55.123,55.163,55.534,56.272,29.861
4.8,-6,55.042,55.071,55.408,56.101,29.73
