X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,45.063,45.232,45.407,45.712,41.273
-5.92,-6,45.161,45.329,45.503,45.807,41.288
-5.84,-6,45.259,45.426,45.599,45.901,41.303
-5.76,-6,45.357,45.523,45.695,45.995,41.317
-5.68,-6,45.456,45.621,45.792,46.09,41.331
-5.6,-6,45.554,45.718,45.888,46.185,41.345
-5.52,-6,45.653,45.816,45.985,46.279,41.358
-5.44,-6,45.752,45.914,46.081,46.374,41.372
-5.36,-6,45.851,46.012,46.178,46.469,41.384
-5.28,-6,45.95,46.11,46.275,46.564,41.397
-5.2,-6,46.049,46.208,46.372,46.658,41.409
-5.12,-6,46.148,46.306,46.469,46.753,41.421
-5.04,-6,46.248,46.404,46.566,46.848,41.433
-4.96,-6,46.347,46.502,46.662,46.943,41.444
-4.88,-6,46.446,46.6,46.759,47.037,41.455
-4.8,-6,46.546,46.698,46.856,47.132,41.466
-4.72,-6,46.645,46.797,46.953,47.226,41.476
-4.64,-6,46.745,46.895,47.05,47.321,41.486
-4.56,-6,46.844,46.993,47.147,47.415,41.496
-4.48,-6,46.944,47.091,47.243,47.509,41.507
-4.4,-6,47.043,47.189,47.34,47.603,41.518
-4.32,-6,47.142,47.287,47.436,47.696,41.529
-4.24,-6,47.242,47.384,47.532,47.79,41.539
-4.16,-6,47.341,47.482,47.628,47.883,41.552
-4.08,-6,47.44,47.579,47.724,47.976,41.564
-4,-6,47.539,47.677,47.819,48.068,41.576
-3.92,-6,47.637,47.774,47.915,48.161,41.587
-3.84,-6,47.736,47.871,48.01,48.253,41.598
-3.76,-6,47.834,47.967,48.105,48.344,41.609
-3.68,-6,47.932,48.063,48.199,48.436,41.619
-3.6,-6,48.03,48.159,48.293,48.526,41.628
-3.52,-6,48.127,48.255,48.387,48.617,41.637
-3.44,-6,48.225,48.351,48.48,48.707,41.646
-3.36,-6,48.322,48.446,48.574,48.796,41.653
-3.28,-6,48.418,48.54,48.666,48.885,41.66
-3.2,-6,48.515,48.635,48.758,48.974,41.667
-3.12,-6,48.611,48.729,48.85,49.061,41.672
-3.04,-6,48.706,48.822,48.941,49.149,41.677
-2.96,-6,48.801,48.915,49.032,49.235,41.679
-2.88,-6,48.896,49.008,49.122,49.321,41.67
-2.8,-6,48.99,49.1,49.212,49.407,41.646
-2.72,-6,49.084,49.191,49.301,49.492,41.621
-2.64,-6,49.177,49.282,49.39,49.576,41.595
-2.56,-6,49.27,49.373,49.478,49.659,41.568
-2.48,-6,49.362,49.463,49.565,49.742,41.54
-2.4,-6,49.454,49.552,49.652,49.823,41.511
-2.32,-6,49.545,49.641,49.738,49.904,41.482
-2.24,-6,49.636,49.729,49.823,49.985,41.451
-2.16,-6,49.726,49.816,49.908,50.064,41.419
-2.08,-6,49.815,49.903,49.992,50.143,41.387
-2,-6,49.904,49.989,50.075,50.221,41.354
-1.92,-6,49.992,50.074,50.157,50.297,41.321
-1.84,-6,50.079,50.159,50.239,50.374,41.287
-1.76,-6,50.166,50.243,50.32,50.449,41.252
-1.68,-6,50.252,50.326,50.4,50.523,41.217
-1.6,-6,50.337,50.409,50.48,50.596,41.181
-1.52,-6,50.421,50.49,50.558,50.669,41.145
-1.44,-6,50.505,50.571,50.636,50.74,41.108
-1.36,-6,50.588,50.651,50.712,50.811,41.07
-1.28,-6,50.67,50.73,50.788,50.88,41.033
-1.2,-6,50.751,50.808,50.863,50.949,40.994
-1.12,-6,50.831,50.886,50.938,51.016,40.955
-1.04,-6,50.91,50.962,51.011,51.083,40.915
-0.96,-6,50.989,51.038,51.083,51.149,40.875
-0.88,-6,51.066,51.113,51.155,51.213,40.834
-0.8,-6,51.143,51.187,51.225,51.277,40.791
-0.72,-6,51.219,51.259,51.295,51.34,40.748
-0.64,-6,51.293,51.331,51.363,51.402,40.703
-0.56,-6,51.367,51.402,51.431,51.462,40.656
-0.48,-6,51.44,51.472,51.498,51.522,40.608
-0.4,-6,51.511,51.541,51.563,51.581,40.559
-0.32,-6,51.582,51.609,51.628,51.639,40.507
-0.24,-6,51.651,51.676,51.692,51.695,40.453
-0.16,-6,51.72,51.741,51.754,51.751,40.396
-0.08,-6,51.787,51.806,51.816,51.806,40.337
0,-6,51.853,51.869,51.876,51.86,40.275
0.08,-6,51.789,51.797,51.793,51.771,40.229
0.16,-6,51.812,51.815,51.806,51.776,40.185
0.24,-6,51.849,51.848,51.833,51.796,40.301
0.32,-6,51.892,51.886,51.868,51.823,40.136
0.4,-6,51.937,51.928,51.905,51.854,39.988
0.48,-6,51.984,51.971,51.944,51.885,39.862
0.56,-6,52.031,52.016,51.985,51.918,39.745
0.64,-6,52.078,52.06,52.026,51.952,39.577
0.72,-6,52.124,52.104,52.067,51.985,39.493
0.8,-6,52.175,52.146,52.106,52.018,39.422
0.88,-6,52.227,52.193,52.144,52.049,39.35
0.96,-6,52.278,52.241,52.186,52.08,39.277
1.04,-6,52.328,52.288,52.23,52.109,39.202
1.12,-6,52.377,52.333,52.272,52.137,39.126
1.2,-6,52.427,52.378,52.313,52.17,39.048
1.28,-6,52.474,52.423,52.353,52.202,38.97
1.36,-6,52.526,52.468,52.392,52.232,38.89
1.44,-6,52.576,52.514,52.432,52.262,38.808
1.52,-6,52.625,52.559,52.471,52.29,38.726
1.6,-6,52.664,52.602,52.506,52.316,38.642
1.68,-6,52.696,52.632,52.534,52.338,38.557
1.76,-6,52.726,52.66,52.56,52.359,38.471
1.84,-6,52.754,52.687,52.585,52.379,38.384
1.92,-6,52.782,52.712,52.609,52.397,38.296
2,-6,52.808,52.737,52.632,52.414,38.206
2.08,-6,52.83,52.76,52.656,52.438,38.116
2.16,-6,52.853,52.769,52.683,52.468,38.025
2.24,-6,52.877,52.776,52.71,52.498,37.933
2.32,-6,52.901,52.795,52.717,52.528,37.839
2.4,-6,52.924,52.817,52.721,52.557,37.745
2.48,-6,52.946,52.837,52.737,52.585,37.65
2.56,-6,52.967,52.857,52.754,52.613,37.555
2.64,-6,52.988,52.876,52.771,52.629,37.458
2.72,-6,53.008,52.894,52.787,52.626,37.361
2.8,-6,53.028,52.913,52.803,52.627,37.262
2.88,-6,53.048,52.93,52.819,52.638,37.164
2.96,-6,53.069,52.947,52.834,52.648,37.064
3.04,-6,53.089,52.966,52.848,52.658,36.964
3.12,-6,53.109,52.984,52.862,52.667,36.863
3.2,-6,53.128,53.001,52.877,52.676,36.762
3.28,-6,53.148,53.019,52.892,52.685,36.66
3.36,-6,53.167,53.036,52.906,52.694,36.558
3.44,-6,53.185,53.053,52.921,52.703,36.455
3.52,-6,53.204,53.07,52.935,52.711,36.351
3.6,-6,53.222,53.087,52.949,52.721,36.248
3.68,-6,53.24,53.104,52.963,52.73,36.143
3.76,-6,53.258,53.121,52.977,52.74,36.039
3.84,-6,53.276,53.138,52.991,52.749,35.934
