X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,46.149,46.288,46.449,46.743,40.614
-5.92,-6,46.249,46.387,46.547,46.84,40.637
-5.84,-6,46.35,46.486,46.646,46.936,40.66
-5.76,-6,46.451,46.586,46.744,47.032,40.683
-5.68,-6,46.552,46.685,46.843,47.129,40.705
-5.6,-6,46.653,46.785,46.942,47.226,40.727
-5.52,-6,46.755,46.886,47.041,47.323,40.748
-5.44,-6,46.857,46.986,47.14,47.42,40.769
-5.36,-6,46.959,47.087,47.24,47.518,40.789
-5.28,-6,47.061,47.188,47.339,47.615,40.809
-5.2,-6,47.164,47.289,47.439,47.713,40.829
-5.12,-6,47.267,47.391,47.539,47.811,40.848
-5.04,-6,47.37,47.492,47.639,47.909,40.866
-4.96,-6,47.473,47.594,47.74,48.006,40.884
-4.88,-6,47.577,47.696,47.84,48.104,40.901
-4.8,-6,47.68,47.798,47.941,48.203,40.918
-4.72,-6,47.784,47.9,48.041,48.301,40.935
-4.64,-6,47.888,48.002,48.142,48.399,40.951
-4.56,-6,47.992,48.105,48.243,48.497,40.966
-4.48,-6,48.097,48.207,48.344,48.595,40.983
-4.4,-6,48.201,48.31,48.444,48.693,41
-4.32,-6,48.305,48.413,48.545,48.791,41.017
-4.24,-6,48.41,48.515,48.646,48.889,41.033
-4.16,-6,48.515,48.618,48.747,48.987,41.048
-4.08,-6,48.619,48.721,48.848,49.085,41.063
-4,-6,48.724,48.824,48.949,49.183,41.077
-3.92,-6,48.829,48.927,49.05,49.281,41.091
-3.84,-6,48.934,49.029,49.151,49.378,41.104
-3.76,-6,49.039,49.132,49.252,49.475,41.116
-3.68,-6,49.144,49.235,49.352,49.573,41.127
-3.6,-6,49.249,49.338,49.453,49.67,41.138
-3.52,-6,49.354,49.44,49.553,49.766,41.148
-3.44,-6,49.458,49.543,49.654,49.863,41.157
-3.36,-6,49.563,49.645,49.754,49.959,41.165
-3.28,-6,49.668,49.748,49.854,50.055,41.171
-3.2,-6,49.773,49.85,49.954,50.151,41.17
-3.12,-6,49.877,49.952,50.054,50.247,41.159
-3.04,-6,49.982,50.054,50.153,50.342,41.146
-2.96,-6,50.086,50.155,50.252,50.437,41.134
-2.88,-6,50.19,50.257,50.351,50.531,41.12
-2.8,-6,50.295,50.358,50.45,50.625,41.106
-2.72,-6,50.398,50.46,50.548,50.719,41.091
-2.64,-6,50.502,50.56,50.647,50.812,41.076
-2.56,-6,50.606,50.661,50.744,50.905,41.06
-2.48,-6,50.709,50.762,50.842,50.998,41.044
-2.4,-6,50.812,50.862,50.939,51.09,41.027
-2.32,-6,50.915,50.962,51.036,51.181,41.01
-2.24,-6,51.018,51.061,51.133,51.272,40.993
-2.16,-6,51.121,51.161,51.229,51.363,40.976
-2.08,-6,51.223,51.26,51.325,51.453,40.958
-2,-6,51.325,51.358,51.42,51.543,40.94
-1.92,-6,51.426,51.457,51.515,51.632,40.922
-1.84,-6,51.528,51.555,51.61,51.721,40.905
-1.76,-6,51.629,51.652,51.704,51.809,40.898
-1.68,-6,51.729,51.749,51.798,51.896,40.892
-1.6,-6,51.83,51.846,51.891,51.983,40.885
-1.52,-6,51.93,51.943,51.984,52.069,40.878
-1.44,-6,52.029,52.039,52.077,52.155,40.862
-1.36,-6,52.129,52.135,52.169,52.24,40.841
-1.28,-6,52.228,52.23,52.26,52.325,40.818
-1.2,-6,52.326,52.325,52.352,52.409,40.795
-1.12,-6,52.424,52.419,52.442,52.493,40.771
-1.04,-6,52.522,52.513,52.532,52.575,40.746
-0.96,-6,52.619,52.607,52.622,52.658,40.72
