X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,48.894,49.015,49.101,49.204,41.644
-5.92,-6,49.003,49.122,49.205,49.304,41.65
-5.84,-6,49.113,49.229,49.31,49.405,41.657
-5.76,-6,49.222,49.337,49.415,49.506,41.663
-5.68,-6,49.333,49.445,49.521,49.607,41.669
-5.6,-6,49.444,49.554,49.627,49.709,41.674
-5.52,-6,49.556,49.663,49.734,49.811,41.68
-5.44,-6,49.668,49.773,49.841,49.914,41.685
-5.36,-6,49.78,49.883,49.948,50.017,41.69
-5.28,-6,49.894,49.994,50.057,50.12,41.694
-5.2,-6,50.007,50.105,50.165,50.224,41.699
-5.12,-6,50.122,50.217,50.274,50.329,41.703
-5.04,-6,50.237,50.329,50.384,50.434,41.707
-4.96,-6,50.352,50.442,50.494,50.539,41.71
-4.88,-6,50.468,50.556,50.604,50.644,41.714
-4.8,-6,50.585,50.67,50.716,50.75,41.717
-4.72,-6,50.702,50.785,50.827,50.857,41.719
-4.64,-6,50.82,50.9,50.939,50.964,41.722
-4.56,-6,50.938,51.015,51.052,51.071,41.724
-4.48,-6,51.057,51.131,51.165,51.179,41.725
-4.4,-6,51.177,51.248,51.278,51.287,41.726
-4.32,-6,51.297,51.366,51.392,51.396,41.727
-4.24,-6,51.418,51.483,51.507,51.505,41.728
-4.16,-6,51.539,51.602,51.622,51.614,41.728
-4.08,-6,51.661,51.721,51.737,51.724,41.729
-4,-6,51.784,51.84,51.854,51.835,41.728
-3.92,-6,51.907,51.96,51.97,51.945,41.728
-3.84,-6,52.031,52.081,52.087,52.056,41.73
-3.76,-6,52.156,52.202,52.205,52.168,41.731
-3.68,-6,52.281,52.324,52.323,52.28,41.732
-3.6,-6,52.407,52.447,52.442,52.393,41.733
-3.52,-6,52.533,52.57,52.561,52.506,41.733
-3.44,-6,52.66,52.694,52.681,52.619,41.733
-3.36,-6,52.788,52.818,52.802,52.733,41.732
-3.28,-6,52.917,52.943,52.923,52.848,41.731
-3.2,-6,53.046,53.069,53.044,52.963,41.729
-3.12,-6,53.176,53.195,53.166,53.078,41.727
-3.04,-6,53.307,53.322,53.289,53.194,41.724
-2.96,-6,53.438,53.45,53.413,53.311,41.721
-2.88,-6,53.57,53.578,53.537,53.428,41.717
-2.8,-6,53.703,53.707,53.661,53.546,41.713
-2.72,-6,53.837,53.837,53.787,53.664,41.708
-2.64,-6,53.972,53.968,53.913,53.783,41.699
-2.56,-6,54.107,54.099,54.04,53.902,41.681
-2.48,-6,54.243,54.231,54.167,54.022,41.658
-2.4,-6,54.38,54.364,54.296,54.143,41.634
-2.32,-6,54.518,54.498,54.425,54.264,41.609
-2.24,-6,54.657,54.633,54.555,54.386,41.584
-2.16,-6,54.797,54.768,54.685,54.509,41.559
-2.08,-6,54.937,54.905,54.817,54.633,41.533
-2,-6,55.079,55.042,54.949,54.758,41.507
-1.92,-6,55.222,55.18,55.083,54.883,41.48
-1.84,-6,55.366,55.32,55.217,55.009,41.454
-1.76,-6,55.51,55.46,55.352,55.136,41.427
-1.68,-6,55.656,55.601,55.489,55.265,41.4
-1.6,-6,55.803,55.744,55.626,55.394,41.372
-1.52,-6,55.952,55.888,55.765,55.524,41.345
-1.44,-6,56.101,56.032,55.904,55.655,41.31
-1.36,-6,56.252,56.178,56.045,55.788,41.269
-1.28,-6,56.403,56.326,56.187,55.922,41.228
-1.2,-6,56.557,56.474,56.33,56.057,41.19
-1.12,-6,56.711,56.624,56.475,56.193,41.159
-1.04,-6,56.867,56.775,56.621,56.331,41.127
-0.96,-6,57.024,56.928,56.768,56.47,41.094
-0.88,-6,57.183,57.082,56.917,56.611,41.059
-0.8,-6,57.344,57.238,57.069,56.753,41.024
-0.72,-6,57.506,57.396,57.221,56.897,40.987
-0.64,-6,57.669,57.555,57.375,57.043,40.948
-0.56,-6,57.835,57.715,57.531,57.191,40.907
-0.48,-6,58.002,57.878,57.689,57.34,40.865
-0.4,-6,58.171,58.042,57.849,57.489,40.821
-0.32,-6,58.342,58.209,58.011,57.641,40.774
-0.24,-6,58.515,58.377,58.175,57.797,40.724
-0.16,-6,58.69,58.548,58.341,57.956,40.672
-0.08,-6,58.868,58.721,58.51,58.118,40.617
0,-6,59.047,58.896,58.681,58.282,40.559
0.08,-6,59.204,59.047,58.824,58.416,40.51
0.16,-6,59.382,59.219,58.991,58.576,40.461
0.24,-6,59.564,59.397,59.164,58.743,40.561
0.32,-6,59.751,59.579,59.343,58.915,40.398
0.4,-6,59.941,59.765,59.525,59.091,40.251
0.48,-6,60.134,59.955,59.71,59.272,40.124
0.56,-6,60.33,60.148,59.9,59.457,40.005
0.64,-6,60.53,60.344,60.093,59.646,39.839
0.72,-6,60.733,60.543,60.289,59.839,39.751
0.8,-6,60.938,60.746,60.489,60.036,39.676
0.88,-6,61.148,60.952,60.693,60.237,39.599
0.96,-6,61.361,61.162,60.9,60.443,39.521
1.04,-6,61.579,61.376,61.112,60.653,39.442
1.12,-6,61.8,61.594,61.328,60.868,39.362
1.2,-6,62.025,61.816,61.549,61.087,39.28
1.28,-6,62.254,62.042,61.773,61.312,39.198
1.36,-6,62.487,62.273,62.003,61.542,39.114
1.44,-6,62.724,62.507,62.237,61.778,39.029
1.52,-6,62.965,62.747,62.476,62.019,38.942
1.6,-6,63.21,62.991,62.721,62.266,38.855
1.68,-6,63.457,63.239,62.97,62.518,38.766
1.76,-6,63.708,63.492,63.225,62.777,38.677
1.84,-6,63.963,63.748,63.484,63.042,38.586
1.92,-6,64.223,64.008,63.747,63.313,38.495
2,-6,64.488,64.274,64.017,63.59,38.402
2.08,-6,64.757,64.546,64.293,63.875,38.309
2.16,-6,65.032,64.823,64.575,64.166,38.214
2.24,-6,65.312,65.105,64.863,64.466,38.119
2.32,-6,65.598,65.394,65.158,64.772,38.023
2.4,-6,65.889,65.689,65.459,65.087,37.926
2.48,-6,66.186,65.99,65.767,65.409,37.828
2.56,-6,66.489,66.297,66.083,65.74,37.73
2.64,-6,66.798,66.611,66.406,66.079,37.631
2.72,-6,67.113,66.932,66.736,66.427,37.531
2.8,-6,67.434,67.26,67.074,66.781,37.43
2.88,-6,67.761,67.593,67.413,67.137,37.329
2.96,-6,68.089,67.926,67.758,67.503,37.227
3.04,-6,68.42,68.267,68.11,67.878,37.125
3.12,-6,68.759,68.614,68.471,68.263,37.022
3.2,-6,69.104,68.97,68.841,68.658,36.918
3.28,-6,69.456,69.333,69.219,69.064,36.814
3.36,-6,69.815,69.705,69.606,69.48,36.71
3.44,-6,70.181,70.084,70.002,69.907,36.605
3.52,-6,70.553,70.471,70.408,70.346,36.5
3.6,-6,70.932,70.867,70.822,70.796,36.394
3.68,-6,71.316,71.27,71.247,71.259,36.288
3.76,-6,71.707,71.681,71.68,71.734,36.182
3.84,-6,72.102,72.099,72.123,72.222,36.075
3.92,-6,72.502,72.524,72.574,72.724,35.968
4,-6,72.905,72.954,73.035,73.239,35.861
4.08,-6,73.309,73.389,73.503,73.767,35.754
4.16,-6,73.713,73.827,73.976,74.306,35.646
4.24,-6,74.115,74.265,74.452,74.856,35.538
4.32,-6,74.51,74.7,74.929,75.414,35.43
4.4,-6,74.884,75.128,75.403,75.978,35.322
4.48,-6,75.204,75.527,75.868,76.541,35.214
4.56,-6,75.504,75.872,76.294,77.099,35.106
4.64,-6,75.78,76.191,76.674,77.625,34.998
4.72,-6,76.025,76.48,77.015,78.004,34.889
4.8,-6,76.239,76.735,77.315,78.346,34.781
4.88,-6,76.42,76.951,77.562,78.64,34.673
4.96,-6,76.566,77.126,77.738,78.88,34.564
5.04,-6,76.679,77.26,77.873,79.063,34.456
5.12,-6,76.758,77.356,77.967,79.189,34.348
5.2,-6,76.806,77.406,78.023,79.264,34.24
5.28,-6,76.821,77.422,78.042,79.29,34.131
5.36,-6,76.806,77.408,78.026,79.27,34.023
5.44,-6,76.76,77.363,77.975,79.203,33.915
5.52,-6,76.683,77.273,77.886,79.086,33.808
