X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,45.342,45.527,45.723,46.073,40.614
-5.92,-6,45.439,45.623,45.818,46.166,40.637
-5.84,-6,45.536,45.72,45.914,46.26,40.66
-5.76,-6,45.634,45.816,46.009,46.353,40.683
-5.68,-6,45.731,45.912,46.104,46.447,40.705
-5.6,-6,45.829,46.009,46.2,46.541,40.727
-5.52,-6,45.927,46.106,46.296,46.635,40.748
-5.44,-6,46.025,46.203,46.391,46.729,40.769
-5.36,-6,46.123,46.3,46.487,46.822,40.79
-5.28,-6,46.221,46.397,46.583,46.916,40.81
-5.2,-6,46.319,46.494,46.679,47.01,40.829
-5.12,-6,46.417,46.591,46.775,47.104,40.848
-5.04,-6,46.516,46.688,46.871,47.198,40.866
-4.96,-6,46.614,46.785,46.966,47.291,40.884
-4.88,-6,46.712,46.882,47.062,47.385,40.901
-4.8,-6,46.811,46.979,47.158,47.478,40.919
-4.72,-6,46.909,47.076,47.254,47.572,40.935
-4.64,-6,47.008,47.173,47.349,47.665,40.951
-4.56,-6,47.106,47.27,47.445,47.758,40.967
-4.48,-6,47.204,47.367,47.54,47.851,40.984
-4.4,-6,47.302,47.464,47.635,47.944,41.001
-4.32,-6,47.4,47.56,47.73,48.036,41.017
-4.24,-6,47.498,47.657,47.825,48.128,41.033
-4.16,-6,47.596,47.753,47.92,48.22,41.049
-4.08,-6,47.694,47.849,48.014,48.312,41.064
-4,-6,47.791,47.945,48.109,48.403,41.078
-3.92,-6,47.889,48.04,48.202,48.494,41.091
-3.84,-6,47.986,48.136,48.296,48.585,41.104
-3.76,-6,48.083,48.231,48.389,48.675,41.116
-3.68,-6,48.179,48.326,48.482,48.764,41.128
-3.6,-6,48.276,48.42,48.575,48.854,41.138
-3.52,-6,48.372,48.514,48.667,48.943,41.148
-3.44,-6,48.467,48.608,48.759,49.031,41.157
-3.36,-6,48.563,48.702,48.85,49.119,41.166
-3.28,-6,48.658,48.795,48.941,49.206,41.172
-3.2,-6,48.752,48.887,49.032,49.293,41.17
-3.12,-6,48.847,48.979,49.121,49.379,41.159
-3.04,-6,48.941,49.071,49.211,49.464,41.147
-2.96,-6,49.034,49.162,49.3,49.549,41.134
-2.88,-6,49.127,49.253,49.388,49.633,41.12
-2.8,-6,49.219,49.343,49.476,49.716,41.106
-2.72,-6,49.311,49.433,49.563,49.799,41.091
-2.64,-6,49.403,49.522,49.649,49.881,41.076
-2.56,-6,49.494,49.61,49.735,49.962,41.06
-2.48,-6,49.584,49.698,49.82,50.043,41.044
-2.4,-6,49.674,49.785,49.905,50.122,41.027
-2.32,-6,49.763,49.872,49.989,50.201,41.01
-2.24,-6,49.851,49.957,50.072,50.279,40.993
-2.16,-6,49.939,50.043,50.154,50.356,40.976
-2.08,-6,50.026,50.127,50.235,50.432,40.958
-2,-6,50.113,50.211,50.316,50.507,40.941
-1.92,-6,50.199,50.294,50.396,50.581,40.923
-1.84,-6,50.284,50.376,50.475,50.655,40.905
-1.76,-6,50.368,50.457,50.553,50.727,40.898
-1.68,-6,50.452,50.538,50.631,50.798,40.892
-1.6,-6,50.535,50.618,50.707,50.869,40.885
-1.52,-6,50.617,50.697,50.783,50.938,40.878
-1.44,-6,50.698,50.775,50.858,51.007,40.863
-1.36,-6,50.778,50.853,50.932,51.074,40.841
-1.28,-6,50.858,50.929,51.005,51.141,40.819
-1.2,-6,50.937,51.005,51.077,51.206,40.795
-1.12,-6,51.015,51.08,51.149,51.27,40.771
-1.04,-6,51.092,51.153,51.219,51.334,40.746
-0.96,-6,51.168,51.226,51.288,51.396,40.72
-0.88,-6,51.243,51.298,51.357,51.457,40.692
-0.8,-6,51.317,51.37,51.424,51.517,40.664
-0.72,-6,51.391,51.44,51.491,51.577,40.633
-0.64,-6,51.463,51.509,51.556,51.635,40.601
-0.56,-6,51.534,51.577,51.621,51.692,40.567
-0.48,-6,51.605,51.644,51.685,51.748,40.531
-0.4,-6,51.674,51.711,51.747,51.803,40.493
-0.32,-6,51.742,51.776,51.809,51.857,40.452
-0.24,-6,51.81,51.84,51.87,51.91,40.408
-0.16,-6,51.876,51.903,51.929,51.963,40.362
-0.08,-6,51.941,51.966,51.988,52.014,40.313
0,-6,52.005,52.027,52.045,52.064,40.26
0.08,-6,51.937,51.949,51.957,51.969,40.216
0.16,-6,51.958,51.964,51.965,51.969,40.173
0.24,-6,51.991,51.992,51.988,51.984,40.289
0.32,-6,52.03,52.028,52.019,52.007,40.124
0.4,-6,52.074,52.067,52.052,52.032,39.977
0.48,-6,52.117,52.107,52.089,52.06,39.851
0.56,-6,52.163,52.149,52.125,52.087,39.733
0.64,-6,52.207,52.19,52.163,52.117,39.566
0.72,-6,52.252,52.231,52.2,52.146,39.482
0.8,-6,52.295,52.271,52.237,52.174,39.411
0.88,-6,52.343,52.31,52.272,52.202,39.339
0.96,-6,52.391,52.353,52.307,52.228,39.265
1.04,-6,52.438,52.397,52.342,52.253,39.191
1.12,-6,52.485,52.439,52.381,52.277,39.114
1.2,-6,52.531,52.481,52.419,52.3,39.037
1.28,-6,52.577,52.522,52.456,52.324,38.958
1.36,-6,52.624,52.563,52.492,52.35,38.878
1.44,-6,52.672,52.606,52.527,52.376,38.797
1.52,-6,52.719,52.647,52.562,52.4,38.714
1.6,-6,52.764,52.686,52.594,52.422,38.63
1.68,-6,52.795,52.714,52.62,52.442,38.545
1.76,-6,52.823,52.741,52.644,52.459,38.459
1.84,-6,52.851,52.767,52.668,52.476,38.372
1.92,-6,52.877,52.791,52.69,52.492,38.284
2,-6,52.888,52.818,52.72,52.523,38.194
2.08,-6,52.897,52.846,52.751,52.555,38.104
2.16,-6,52.919,52.853,52.782,52.587,38.012
2.24,-6,52.943,52.86,52.812,52.618,37.92
2.32,-6,52.965,52.879,52.82,52.649,37.827
2.4,-6,52.988,52.899,52.823,52.679,37.732
2.48,-6,53.009,52.918,52.835,52.709,37.637
2.56,-6,53.03,52.937,52.851,52.738,37.541
2.64,-6,53.05,52.955,52.867,52.767,37.445
2.72,-6,53.07,52.973,52.882,52.765,37.347
2.8,-6,53.089,52.99,52.896,52.761,37.249
2.88,-6,53.11,53.007,52.91,52.765,37.15
2.96,-6,53.13,53.023,52.924,52.773,37.051
3.04,-6,53.15,53.041,52.937,52.78,36.95
3.12,-6,53.17,53.058,52.95,52.787,36.849
3.2,-6,53.189,53.075,52.964,52.794,36.748
3.28,-6,53.209,53.092,52.977,52.801,36.646
3.36,-6,53.228,53.109,52.991,52.807,36.543
3.44,-6,53.247,53.126,53.004,52.814,36.44
3.52,-6,53.265,53.143,53.017,52.82,36.337
3.6,-6,53.284,53.159,53.03,52.828,36.233
3.68,-6,53.302,53.176,53.044,52.835,36.129
3.76,-6,53.32,53.193,53.057,52.843,36.024
3.84,-6,53.339,53.21,53.07,52.85,35.919
3.92,-6,53.357,53.227,53.084,52.858,35.814
4,-6,53.377,53.244,53.098,52.866,35.708
4.08,-6,53.409,53.261,53.111,52.875,35.602
4.16,-6,53.441,53.278,53.124,52.883,35.496
4.24,-6,53.473,53.308,53.138,52.891,35.39
4.32,-6,53.505,53.339,53.152,52.9,35.283
