X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,44.118,44.335,44.558,44.989,45.442,45.445,39.32
-5.92,-6,44.223,44.44,44.663,45.094,45.545,45.549,39.339
-5.84,-6,44.329,44.546,44.768,45.198,45.649,45.652,39.358
-5.76,-6,44.435,44.651,44.873,45.302,45.753,45.756,39.376
-5.68,-6,44.542,44.757,44.978,45.406,45.856,45.86,39.394
-5.6,-6,44.648,44.863,45.083,45.511,45.96,45.964,39.411
-5.52,-6,44.754,44.968,45.189,45.615,46.064,46.068,39.429
-5.44,-6,44.861,45.074,45.294,45.72,46.168,46.172,39.446
-5.36,-6,44.968,45.18,45.4,45.824,46.272,46.276,39.462
-5.28,-6,45.074,45.286,45.505,45.929,46.376,46.38,39.479
-5.2,-6,45.181,45.393,45.611,46.033,46.48,46.483,39.495
-5.12,-6,45.288,45.499,45.716,46.138,46.584,46.587,39.511
-5.04,-6,45.395,45.605,45.822,46.242,46.688,46.691,39.527
-4.96,-6,45.502,45.711,45.927,46.347,46.791,46.795,39.542
-4.88,-6,45.609,45.817,46.033,46.451,46.895,46.898,39.557
-4.8,-6,45.716,45.924,46.138,46.555,46.998,47.002,39.581
-4.72,-6,45.824,46.03,46.243,46.66,47.102,47.105,39.604
-4.64,-6,45.931,46.136,46.349,46.764,47.205,47.208,39.626
-4.56,-6,46.038,46.242,46.454,46.868,47.308,47.311,39.647
-4.48,-6,46.145,46.348,46.559,46.971,47.411,47.414,39.667
-4.4,-6,46.252,46.454,46.664,47.075,47.513,47.517,39.711
-4.32,-6,46.36,46.56,46.769,47.179,47.616,47.619,39.756
-4.24,-6,46.467,46.666,46.874,47.282,47.718,47.722,39.801
-4.16,-6,46.574,46.772,46.979,47.385,47.82,47.824,39.846
-4.08,-6,46.681,46.878,47.084,47.488,47.922,47.925,39.891
-4,-6,46.789,46.984,47.188,47.59,48.023,48.027,39.936
-3.92,-6,46.896,47.09,47.293,47.693,48.124,48.128,39.981
-3.84,-6,47.003,47.195,47.397,47.795,48.225,48.229,40.025
-3.76,-6,47.11,47.301,47.502,47.897,48.326,48.329,40.079
-3.68,-6,47.218,47.407,47.606,47.999,48.426,48.43,40.142
-3.6,-6,47.325,47.512,47.71,48.101,48.526,48.529,40.205
-3.52,-6,47.433,47.618,47.814,48.202,48.626,48.629,40.269
-3.44,-6,47.541,47.724,47.918,48.303,48.725,48.728,40.334
-3.36,-6,47.649,47.829,48.021,48.404,48.824,48.827,40.399
-3.28,-6,47.757,47.935,48.125,48.505,48.922,48.926,40.448
-3.2,-6,47.865,48.041,48.229,48.605,49.021,49.024,40.444
-3.12,-6,47.974,48.147,48.333,48.705,49.118,49.122,40.426
-3.04,-6,48.082,48.253,48.437,48.805,49.216,49.219,40.407
-2.96,-6,48.192,48.36,48.54,48.905,49.313,49.317,40.386
-2.88,-6,48.301,48.466,48.645,49.005,49.41,49.414,40.365
-2.8,-6,48.411,48.573,48.749,49.105,49.507,49.51,40.341
-2.72,-6,48.522,48.681,48.853,49.205,49.603,49.607,40.317
-2.64,-6,48.634,48.789,48.958,49.305,49.7,49.703,40.291
-2.56,-6,48.746,48.897,49.063,49.405,49.796,49.799,40.265
-2.48,-6,48.858,49.006,49.168,49.505,49.892,49.895,40.237
-2.4,-6,48.972,49.116,49.274,49.605,49.987,49.99,40.207
-2.32,-6,49.087,49.226,49.381,49.705,50.083,50.086,40.177
-2.24,-6,49.202,49.337,49.488,49.805,50.178,50.181,40.146
-2.16,-6,49.319,49.449,49.596,49.906,50.274,50.277,40.114
-2.08,-6,49.437,49.563,49.704,50.007,50.369,50.372,40.081
-2,-6,49.556,49.677,49.813,50.109,50.464,50.467,40.047
-1.92,-6,49.677,49.792,49.924,50.211,50.56,50.563,40.013
-1.84,-6,49.799,49.908,50.035,50.313,50.656,50.658,39.978
-1.76,-6,49.922,50.026,50.147,50.416,50.751,50.754,39.959
-1.68,-6,50.048,50.145,50.26,50.52,50.847,50.85,39.94
-1.6,-6,50.174,50.266,50.375,50.624,50.943,50.946,39.921
-1.52,-6,50.302,50.388,50.49,50.729,51.039,51.042,39.903
-1.44,-6,50.432,50.511,50.607,50.835,51.135,51.138,39.874
-1.36,-6,50.564,50.635,50.725,50.941,51.232,51.234,39.839
-1.28,-6,50.697,50.761,50.844,51.048,51.329,51.331,39.806
-1.2,-6,50.831,50.889,50.964,51.156,51.425,51.428,39.774
-1.12,-6,50.967,51.017,51.085,51.264,51.522,51.524,39.745
-1.04,-6,51.104,51.147,51.207,51.373,51.619,51.621,39.719
-0.96,-6,51.242,51.278,51.33,51.482,51.716,51.718,39.696
-0.88,-6,51.381,51.409,51.453,51.592,51.812,51.814,39.678
-0.8,-6,51.521,51.542,51.578,51.702,51.909,51.911,39.665
-0.72,-6,51.662,51.674,51.702,51.812,52.005,52.007,39.658
-0.64,-6,51.802,51.808,51.827,51.922,52.101,52.102,39.657
-0.56,-6,51.943,51.941,51.952,52.032,52.196,52.197,39.663
-0.48,-6,52.084,52.074,52.077,52.141,52.29,52.292,39.676
-0.4,-6,52.241,52.206,52.201,52.25,52.384,52.385,39.697
-0.32,-6,52.403,52.339,52.325,52.359,52.476,52.478,39.725
-0.24,-6,52.564,52.491,52.448,52.466,52.568,52.569,39.761
-0.16,-6,52.724,52.643,52.569,52.572,52.658,52.659,39.804
-0.08,-6,52.882,52.794,52.703,52.678,52.747,52.748,39.852
0,-6,53.039,52.944,52.843,52.781,52.834,52.835,39.905
0.08,-6,53.07,52.961,52.84,52.725,52.765,52.765,39.97
0.16,-6,53.187,53.07,52.936,52.776,52.798,52.799,40.033
0.24,-6,53.313,53.19,53.046,52.841,52.846,52.846,40.228
0.32,-6,53.441,53.313,53.16,52.918,52.897,52.897,40.111
0.4,-6,53.567,53.435,53.274,53.008,52.949,52.949,40.001
0.48,-6,53.689,53.554,53.387,53.098,52.998,52.998,39.904
0.56,-6,53.806,53.67,53.497,53.188,53.046,53.046,39.753
0.64,-6,53.918,53.781,53.604,53.276,53.09,53.089,39.663
0.72,-6,54.019,53.889,53.707,53.362,53.13,53.13,39.602
0.8,-6,54.102,53.997,53.81,53.446,53.166,53.166,39.543
0.88,-6,54.18,54.1,53.912,53.527,53.207,53.206,39.482
0.96,-6,54.254,54.185,54.009,53.613,53.257,53.256,39.42
1.04,-6,54.323,54.254,54.103,53.698,53.305,53.304,39.357
1.12,-6,54.39,54.319,54.192,53.78,53.356,53.354,39.291
1.2,-6,54.455,54.381,54.279,53.861,53.411,53.409,39.225
1.28,-6,54.516,54.442,54.357,53.941,53.466,53.464,39.157
1.36,-6,54.561,54.5,54.415,54.02,53.522,53.52,39.087
1.44,-6,54.595,54.548,54.471,54.098,53.58,53.577,39.016
1.52,-6,54.633,54.579,54.524,54.178,53.64,53.638,38.943
1.6,-6,54.673,54.613,54.557,54.258,53.704,53.701,38.869
1.68,-6,54.713,54.653,54.588,54.337,53.771,53.768,38.794
1.76,-6,54.752,54.692,54.627,54.415,53.841,53.838,38.717
1.84,-6,54.791,54.73,54.666,54.484,53.911,53.908,38.639
1.92,-6,54.831,54.769,54.705,54.529,53.981,53.978,38.559
2,-6,54.872,54.809,54.745,54.572,54.055,54.052,38.478
2.08,-6,54.915,54.851,54.786,54.616,54.133,54.13,38.396
2.16,-6,54.96,54.894,54.829,54.661,54.214,54.211,38.313
2.24,-6,55.008,54.939,54.874,54.708,54.298,54.295,38.228
2.32,-6,55.059,54.987,54.921,54.757,54.385,54.382,38.142
2.4,-6,55.114,55.039,54.971,54.808,54.475,54.472,38.055
2.48,-6,55.173,55.094,55.024,54.862,54.567,54.565,37.967
2.56,-6,55.237,55.154,55.08,54.918,54.663,54.66,37.878
2.64,-6,55.305,55.218,55.14,54.978,54.753,54.753,37.788
2.72,-6,55.379,55.287,55.204,55.041,54.823,54.822,37.696
2.8,-6,55.457,55.36,55.272,55.107,54.895,54.895,37.604
2.88,-6,55.54,55.439,55.344,55.177,54.971,54.971,37.511
2.96,-6,55.641,55.522,55.422,55.25,55.05,55.05,37.416
3.04,-6,55.752,55.611,55.504,55.327,55.132,55.131,37.321
3.12,-6,55.87,55.704,55.591,55.408,55.216,55.216,37.225
3.2,-6,55.994,55.809,55.682,55.492,55.304,55.303,37.128
3.28,-6,56.124,55.931,55.779,55.58,55.394,55.394,37.031
3.36,-6,56.259,56.059,55.88,55.671,55.487,55.486,36.932
3.44,-6,56.398,56.193,55.985,55.767,55.582,55.582,36.833
3.52,-6,56.542,56.333,56.094,55.866,55.681,55.681,36.733
