X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,44.106,44.329,44.554,44.992,45.445,45.448,39.32
-5.92,-6,44.21,44.432,44.657,45.095,45.547,45.55,39.339
-5.84,-6,44.313,44.535,44.759,45.197,45.649,45.652,39.358
-5.76,-6,44.417,44.639,44.862,45.3,45.751,45.754,39.376
-5.68,-6,44.521,44.742,44.965,45.402,45.853,45.856,39.394
-5.6,-6,44.624,44.845,45.068,45.504,45.955,45.958,39.412
-5.52,-6,44.728,44.949,45.171,45.607,46.056,46.06,39.429
-5.44,-6,44.832,45.052,45.274,45.709,46.158,46.162,39.446
-5.36,-6,44.935,45.155,45.377,45.811,46.26,46.264,39.463
-5.28,-6,45.039,45.258,45.48,45.913,46.362,46.365,39.479
-5.2,-6,45.142,45.361,45.582,46.015,46.463,46.467,39.495
-5.12,-6,45.246,45.464,45.685,46.117,46.564,46.568,39.511
-5.04,-6,45.349,45.567,45.787,46.219,46.666,46.669,39.527
-4.96,-6,45.452,45.669,45.889,46.32,46.766,46.77,39.542
-4.88,-6,45.555,45.772,45.991,46.422,46.867,46.871,39.557
-4.8,-6,45.657,45.874,46.093,46.523,46.967,46.971,39.582
-4.72,-6,45.76,45.976,46.194,46.623,47.068,47.071,39.605
-4.64,-6,45.862,46.078,46.295,46.724,47.167,47.171,39.627
-4.56,-6,45.964,46.179,46.396,46.824,47.267,47.27,39.647
-4.48,-6,46.066,46.28,46.497,46.923,47.366,47.369,39.667
-4.4,-6,46.167,46.381,46.597,47.023,47.464,47.468,39.711
-4.32,-6,46.269,46.482,46.697,47.122,47.562,47.566,39.757
-4.24,-6,46.369,46.582,46.796,47.22,47.66,47.664,39.802
-4.16,-6,46.47,46.681,46.895,47.318,47.757,47.761,39.846
-4.08,-6,46.57,46.781,46.994,47.416,47.854,47.857,39.891
-4,-6,46.669,46.879,47.092,47.513,47.95,47.953,39.936
-3.92,-6,46.768,46.978,47.189,47.609,48.045,48.049,39.981
-3.84,-6,46.867,47.076,47.286,47.705,48.14,48.144,40.026
-3.76,-6,46.965,47.173,47.382,47.8,48.234,48.238,40.08
-3.68,-6,47.063,47.27,47.478,47.894,48.328,48.331,40.142
-3.6,-6,47.16,47.366,47.573,47.988,48.42,48.424,40.206
-3.52,-6,47.257,47.461,47.668,48.081,48.512,48.516,40.27
-3.44,-6,47.353,47.556,47.762,48.173,48.603,48.607,40.334
-3.36,-6,47.448,47.651,47.855,48.265,48.694,48.697,40.4
-3.28,-6,47.543,47.744,47.947,48.355,48.783,48.786,40.449
-3.2,-6,47.637,47.837,48.039,48.445,48.871,48.875,40.444
-3.12,-6,47.731,47.929,48.13,48.534,48.959,48.962,40.426
-3.04,-6,47.824,48.021,48.22,48.622,49.045,49.048,40.407
-2.96,-6,47.916,48.112,48.309,48.709,49.13,49.134,40.387
-2.88,-6,48.008,48.202,48.397,48.796,49.215,49.218,40.365
-2.8,-6,48.099,48.291,48.485,48.881,49.298,49.301,40.342
-2.72,-6,48.189,48.379,48.572,48.965,49.38,49.383,40.317
-2.64,-6,48.279,48.467,48.657,49.048,49.461,49.464,40.292
-2.56,-6,48.367,48.554,48.742,49.13,49.541,49.544,40.265
-2.48,-6,48.456,48.64,48.826,49.211,49.619,49.623,40.237
-2.4,-6,48.543,48.726,48.91,49.291,49.697,49.7,40.208
-2.32,-6,48.63,48.81,48.992,49.37,49.773,49.776,40.178
-2.24,-6,48.717,48.894,49.073,49.448,49.848,49.851,40.146
-2.16,-6,48.802,48.977,49.154,49.525,49.921,49.924,40.114
-2.08,-6,48.888,49.06,49.233,49.6,49.993,49.996,40.081
-2,-6,48.972,49.141,49.312,49.675,50.064,50.067,40.047
-1.92,-6,49.056,49.222,49.39,49.748,50.133,50.137,40.013
-1.84,-6,49.14,49.303,49.467,49.821,50.202,50.205,39.978
-1.76,-6,49.223,49.383,49.543,49.892,50.268,50.272,39.959
-1.68,-6,49.306,49.462,49.619,49.962,50.334,50.337,39.94
-1.6,-6,49.388,49.541,49.694,50.031,50.398,50.401,39.921
-1.52,-6,49.47,49.619,49.768,50.099,50.461,50.464,39.903
-1.44,-6,49.552,49.697,49.842,50.166,50.522,50.525,39.875
-1.36,-6,49.634,49.774,49.915,50.233,50.582,50.585,39.84
-1.28,-6,49.715,49.851,49.987,50.298,50.641,50.644,39.806
-1.2,-6,49.797,49.928,50.059,50.362,50.699,50.702,39.775
-1.12,-6,49.878,50.004,50.13,50.426,50.755,50.758,39.745
-1.04,-6,49.959,50.08,50.201,50.489,50.811,50.813,39.719
-0.96,-6,50.04,50.156,50.272,50.551,50.865,50.867,39.696
-0.88,-6,50.121,50.232,50.342,50.613,50.918,50.92,39.678
-0.8,-6,50.202,50.308,50.412,50.673,50.97,50.972,39.665
-0.72,-6,50.283,50.383,50.482,50.734,51.021,51.023,39.658
-0.64,-6,50.364,50.459,50.551,50.794,51.07,51.073,39.657
-0.56,-6,50.445,50.534,50.62,50.853,51.12,51.122,39.663
-0.48,-6,50.526,50.61,50.689,50.912,51.168,51.17,39.676
-0.4,-6,50.607,50.685,50.758,50.97,51.215,51.217,39.697
-0.32,-6,50.687,50.759,50.827,51.028,51.262,51.264,39.726
