X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,44.059,44.244,44.43,44.801,45.19,45.193,40.044
-5.92,-6,44.156,44.341,44.528,44.9,45.289,45.292,40.06
-5.84,-6,44.253,44.439,44.626,44.998,45.387,45.39,40.076
-5.76,-6,44.351,44.537,44.724,45.097,45.486,45.489,40.091
-5.68,-6,44.449,44.635,44.822,45.196,45.585,45.588,40.105
-5.6,-6,44.546,44.733,44.92,45.295,45.684,45.687,40.119
-5.52,-6,44.644,44.831,45.019,45.394,45.783,45.787,40.133
-5.44,-6,44.742,44.929,45.117,45.493,45.883,45.886,40.146
-5.36,-6,44.841,45.027,45.216,45.592,45.982,45.985,40.159
-5.28,-6,44.939,45.126,45.315,45.691,46.081,46.084,40.172
-5.2,-6,45.038,45.225,45.413,45.791,46.18,46.183,40.184
-5.12,-6,45.136,45.324,45.512,45.89,46.28,46.283,40.195
-5.04,-6,45.235,45.422,45.611,45.989,46.379,46.382,40.207
-4.96,-6,45.334,45.521,45.711,46.089,46.478,46.481,40.218
-4.88,-6,45.433,45.62,45.81,46.188,46.576,46.58,40.229
-4.8,-6,45.533,45.719,45.909,46.287,46.675,46.678,40.239
-4.72,-6,45.632,45.818,46.008,46.386,46.773,46.777,40.249
-4.64,-6,45.73,45.917,46.106,46.484,46.872,46.875,40.259
-4.56,-6,45.829,46.016,46.205,46.582,46.97,46.973,40.269
-4.48,-6,45.928,46.114,46.303,46.68,47.067,47.07,40.287
-4.4,-6,46.026,46.212,46.401,46.778,47.165,47.168,40.304
-4.32,-6,46.125,46.31,46.499,46.875,47.262,47.265,40.32
-4.24,-6,46.223,46.408,46.597,46.972,47.358,47.361,40.335
-4.16,-6,46.321,46.506,46.694,47.069,47.454,47.457,40.35
-4.08,-6,46.419,46.603,46.791,47.166,47.55,47.553,40.388
-4,-6,46.517,46.7,46.888,47.262,47.645,47.648,40.426
-3.92,-6,46.614,46.797,46.984,47.357,47.74,47.743,40.464
-3.84,-6,46.711,46.893,47.08,47.452,47.834,47.837,40.501
-3.76,-6,46.807,46.989,47.175,47.546,47.928,47.931,40.538
-3.68,-6,46.903,47.084,47.27,47.64,48.021,48.024,40.575
-3.6,-6,46.999,47.179,47.364,47.733,48.113,48.116,40.612
-3.52,-6,47.094,47.273,47.457,47.826,48.204,48.207,40.649
-3.44,-6,47.189,47.367,47.55,47.917,48.295,48.298,40.696
-3.36,-6,47.283,47.46,47.643,48.008,48.385,48.388,40.75
-3.28,-6,47.377,47.553,47.734,48.098,48.474,48.477,40.804
-3.2,-6,47.47,47.645,47.826,48.187,48.562,48.565,40.858
-3.12,-6,47.563,47.737,47.916,48.276,48.649,48.652,40.913
-3.04,-6,47.656,47.828,48.007,48.364,48.736,48.739,40.968
-2.96,-6,47.748,47.919,48.096,48.451,48.821,48.824,40.999
-2.88,-6,47.839,48.009,48.185,48.537,48.906,48.909,40.981
-2.8,-6,47.931,48.098,48.273,48.622,48.989,48.992,40.942
-2.72,-6,48.021,48.187,48.36,48.706,49.071,49.074,40.902
-2.64,-6,48.111,48.275,48.446,48.79,49.153,49.156,40.861
-2.56,-6,48.199,48.362,48.532,48.872,49.233,49.236,40.818
-2.48,-6,48.288,48.448,48.616,48.953,49.312,49.315,40.773
-2.4,-6,48.376,48.534,48.7,49.033,49.39,49.393,40.726
-2.32,-6,48.463,48.619,48.783,49.113,49.467,49.47,40.678
-2.24,-6,48.55,48.704,48.866,49.191,49.543,49.546,40.629
-2.16,-6,48.637,48.788,48.947,49.269,49.618,49.62,40.578
-2.08,-6,48.723,48.871,49.028,49.345,49.691,49.694,40.526
-2,-6,48.809,48.955,49.109,49.42,49.763,49.765,40.473
-1.92,-6,48.895,49.037,49.189,49.495,49.833,49.836,40.419
-1.84,-6,48.98,49.119,49.268,49.568,49.903,49.906,40.364
-1.76,-6,49.065,49.201,49.346,49.641,49.971,49.974,40.308
-1.68,-6,49.15,49.282,49.424,49.712,50.038,50.041,40.251
-1.6,-6,49.234,49.362,49.501,49.783,50.104,50.107,40.195
-1.52,-6,49.317,49.442,49.577,49.853,50.169,50.172,40.139
-1.44,-6,49.401,49.521,49.653,49.922,50.233,50.235,40.083
-1.36,-6,49.485,49.601,49.728,49.99,50.295,50.298,40.028
-1.28,-6,49.568,49.68,49.804,50.058,50.356,50.359,39.975
-1.2,-6,49.652,49.76,49.879,50.125,50.417,50.419,39.923
-1.12,-6,49.736,49.839,49.953,50.191,50.476,50.478,39.874
-1.04,-6,49.82,49.918,50.028,50.256,50.534,50.537,39.828
-0.96,-6,49.904,49.996,50.102,50.321,50.591,50.594,39.787
-0.88,-6,49.988,50.075,50.176,50.385,50.648,50.65,39.75
-0.8,-6,50.071,50.154,50.249,50.449,50.703,50.705,39.718
-0.72,-6,50.154,50.232,50.322,50.512,50.757,50.759,39.693
-0.64,-6,50.238,50.31,50.395,50.575,50.81,50.812,39.675
-0.56,-6,50.321,50.388,50.468,50.637,50.863,50.865,39.664
-0.48,-6,50.404,50.466,50.54,50.7,50.915,50.917,39.661
-0.4,-6,50.487,50.544,50.612,50.761,50.967,50.969,39.667
-0.32,-6,50.569,50.621,50.684,50.823,51.018,51.02,39.681
-0.24,-6,50.651,50.697,50.756,50.883,51.068,51.07,39.703
-0.16,-6,50.732,50.773,50.826,50.943,51.117,51.119,39.733
-0.08,-6,50.812,50.849,50.897,51.003,51.166,51.167,39.771
0,-6,50.891,50.923,50.966,51.062,51.213,51.215,39.813
0.08,-6,50.768,50.789,50.82,50.891,51.043,51.045,39.879
0.16,-6,50.784,50.796,50.819,50.874,51.018,51.019,39.944
0.24,-6,50.816,50.822,50.839,50.878,51.012,51.013,40.143
0.32,-6,50.852,50.854,50.864,50.889,51.013,51.014,40.026
0.4,-6,50.889,50.885,50.889,50.904,51.016,51.017,39.915
0.48,-6,50.923,50.914,50.914,50.915,51.017,51.018,39.817
0.56,-6,50.952,50.94,50.934,50.925,51.016,51.016,39.665
0.64,-6,50.987,50.961,50.951,50.931,51.01,51.011,39.574
0.72,-6,51.02,50.99,50.966,50.932,51,51.001,39.514
0.8,-6,51.047,51.013,50.985,50.927,50.985,50.985,39.456
0.88,-6,51.068,51.03,50.997,50.926,50.965,50.965,39.396
0.96,-6,51.086,51.042,51.004,50.923,50.939,50.94,39.334
1.04,-6,51.099,51.052,51.007,50.916,50.917,50.917,39.271
1.12,-6,51.115,51.057,51.008,50.904,50.892,50.892,39.207
1.2,-6,51.127,51.065,51.004,50.888,50.864,50.864,39.141
1.28,-6,51.131,51.069,51.003,50.871,50.832,50.832,39.074
1.36,-6,51.085,51.068,50.999,50.85,50.796,50.796,39.005
1.44,-6,51.035,51.021,50.99,50.829,50.759,50.758,38.935
1.52,-6,51.004,50.965,50.95,50.808,50.718,50.718,38.864
1.6,-6,50.968,50.925,50.888,50.784,50.681,50.68,38.791
1.68,-6,50.929,50.885,50.837,50.758,50.642,50.641,38.716
1.76,-6,50.887,50.842,50.791,50.703,50.601,50.6,38.641
1.84,-6,50.842,50.795,50.743,50.645,50.55,50.549,38.563
1.92,-6,50.794,50.746,50.691,50.59,50.49,50.488,38.485
