X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,43.826,44.034,44.245,44.651,45.07,45.073,40.49
-5.92,-6,43.931,44.138,44.349,44.755,45.173,45.176,40.493
-5.84,-6,44.036,44.243,44.453,44.858,45.276,45.279,40.496
-5.76,-6,44.141,44.347,44.558,44.962,45.379,45.382,40.498
-5.68,-6,44.246,44.452,44.662,45.065,45.482,45.485,40.499
-5.6,-6,44.351,44.557,44.766,45.169,45.585,45.588,40.5
-5.52,-6,44.456,44.661,44.871,45.273,45.688,45.691,40.5
-5.44,-6,44.562,44.766,44.975,45.376,45.791,45.794,40.5
-5.36,-6,44.667,44.871,45.079,45.48,45.894,45.897,40.5
-5.28,-6,44.773,44.976,45.184,45.583,45.997,46,40.499
-5.2,-6,44.878,45.081,45.288,45.687,46.1,46.103,40.497
-5.12,-6,44.983,45.185,45.392,45.79,46.202,46.206,40.496
-5.04,-6,45.089,45.29,45.496,45.893,46.305,46.308,40.494
-4.96,-6,45.194,45.395,45.6,45.997,46.407,46.411,40.492
-4.88,-6,45.299,45.499,45.704,46.1,46.51,46.513,40.49
-4.8,-6,45.404,45.604,45.808,46.202,46.612,46.615,40.488
-4.72,-6,45.509,45.708,45.912,46.305,46.714,46.717,40.485
-4.64,-6,45.614,45.812,46.015,46.407,46.815,46.818,40.482
-4.56,-6,45.719,45.916,46.119,46.51,46.917,46.92,40.479
-4.48,-6,45.823,46.02,46.222,46.611,47.018,47.021,40.476
-4.4,-6,45.928,46.124,46.325,46.713,47.118,47.122,40.472
-4.32,-6,46.032,46.227,46.427,46.814,47.219,47.222,40.469
-4.24,-6,46.136,46.33,46.53,46.915,47.319,47.322,40.468
-4.16,-6,46.24,46.433,46.632,47.016,47.418,47.422,40.473
-4.08,-6,46.344,46.536,46.734,47.116,47.518,47.521,40.477
-4,-6,46.448,46.639,46.835,47.216,47.617,47.62,40.479
-3.92,-6,46.551,46.741,46.936,47.316,47.715,47.718,40.48
-3.84,-6,46.654,46.843,47.037,47.415,47.813,47.816,40.488
-3.76,-6,46.757,46.945,47.138,47.514,47.91,47.913,40.514
-3.68,-6,46.86,47.046,47.238,47.612,48.007,48.01,40.54
-3.6,-6,46.962,47.147,47.338,47.71,48.103,48.107,40.566
-3.52,-6,47.064,47.248,47.437,47.807,48.199,48.202,40.591
-3.44,-6,47.166,47.348,47.536,47.904,48.294,48.298,40.617
-3.36,-6,47.268,47.448,47.635,48,48.389,48.392,40.642
-3.28,-6,47.369,47.548,47.733,48.096,48.483,48.486,40.667
-3.2,-6,47.471,47.648,47.831,48.191,48.576,48.579,40.692
-3.12,-6,47.572,47.747,47.929,48.286,48.669,48.672,40.731
-3.04,-6,47.673,47.846,48.026,48.38,48.761,48.764,40.773
-2.96,-6,47.773,47.944,48.123,48.474,48.852,48.856,40.816
-2.88,-6,47.874,48.043,48.219,48.567,48.943,48.946,40.86
-2.8,-6,47.975,48.141,48.315,48.66,49.033,49.036,40.904
-2.72,-6,48.075,48.239,48.411,48.752,49.123,49.126,40.949
-2.64,-6,48.176,48.337,48.507,48.844,49.211,49.214,40.956
-2.56,-6,48.276,48.435,48.602,48.935,49.3,49.303,40.927
-2.48,-6,48.377,48.533,48.697,49.026,49.387,49.39,40.89
-2.4,-6,48.477,48.631,48.792,49.116,49.474,49.477,40.851
-2.32,-6,48.579,48.729,48.887,49.206,49.56,49.563,40.812
-2.24,-6,48.68,48.827,48.982,49.296,49.646,49.649,40.771
-2.16,-6,48.782,48.925,49.077,49.385,49.731,49.734,40.73
-2.08,-6,48.884,49.023,49.172,49.474,49.816,49.819,40.687
-2,-6,48.987,49.122,49.267,49.563,49.9,49.903,40.645
-1.92,-6,49.09,49.222,49.363,49.652,49.984,49.987,40.601
-1.84,-6,49.194,49.322,49.459,49.741,50.067,50.07,40.557
-1.76,-6,49.299,49.422,49.555,49.831,50.151,50.153,40.513
-1.68,-6,49.405,49.523,49.652,49.92,50.233,50.236,40.469
-1.6,-6,49.512,49.626,49.749,50.009,50.316,50.319,40.425
-1.52,-6,49.62,49.729,49.847,50.099,50.399,50.402,40.382
-1.44,-6,49.73,49.833,49.946,50.189,50.482,50.484,40.329
-1.36,-6,49.841,49.938,50.046,50.28,50.565,50.567,40.271
-1.28,-6,49.953,50.045,50.147,50.371,50.648,50.65,40.214
-1.2,-6,50.067,50.153,50.25,50.463,50.731,50.733,40.164
-1.12,-6,50.183,50.263,50.353,50.556,50.814,50.817,40.127
-1.04,-6,50.3,50.374,50.458,50.65,50.898,50.901,40.093
-0.96,-6,50.419,50.486,50.564,50.744,50.983,50.985,40.062
-0.88,-6,50.54,50.6,50.671,50.84,51.068,51.07,40.036
-0.8,-6,50.662,50.716,50.78,50.937,51.153,51.155,40.014
-0.72,-6,50.786,50.833,50.89,51.034,51.239,51.241,39.998
-0.64,-6,50.911,50.952,51.002,51.133,51.326,51.328,39.988
-0.56,-6,51.038,51.072,51.114,51.233,51.413,51.415,39.985
-0.48,-6,51.166,51.193,51.228,51.333,51.501,51.503,39.989
-0.4,-6,51.296,51.316,51.343,51.435,51.589,51.591,40
-0.32,-6,51.426,51.439,51.459,51.537,51.678,51.68,40.018
-0.24,-6,51.556,51.563,51.575,51.64,51.767,51.768,40.044
-0.16,-6,51.687,51.687,51.692,51.743,51.856,51.858,40.076
-0.08,-6,51.818,51.811,51.809,51.846,51.945,51.947,40.114
0,-6,51.948,51.935,51.925,51.949,52.034,52.035,40.157
0.08,-6,51.923,51.897,51.873,51.868,51.945,51.946,40.211
0.16,-6,52.008,51.972,51.937,51.913,51.976,51.977,40.264
0.24,-6,52.106,52.062,52.018,51.976,52.025,52.025,40.442
0.32,-6,52.207,52.157,52.104,52.044,52.078,52.079,40.326
0.4,-6,52.309,52.251,52.189,52.116,52.133,52.133,40.215
0.48,-6,52.407,52.343,52.274,52.184,52.184,52.185,40.117
0.56,-6,52.502,52.432,52.355,52.251,52.234,52.234,39.968
0.64,-6,52.609,52.516,52.432,52.313,52.281,52.281,39.876
0.72,-6,52.733,52.605,52.507,52.371,52.323,52.323,39.813
0.8,-6,52.852,52.699,52.583,52.424,52.359,52.359,39.751
0.88,-6,52.967,52.805,52.654,52.478,52.392,52.391,39.688
0.96,-6,53.079,52.908,52.727,52.531,52.418,52.418,39.623
1.04,-6,53.186,53.009,52.815,52.577,52.445,52.445,39.557
1.12,-6,53.294,53.105,52.902,52.62,52.47,52.469,39.489
1.2,-6,53.397,53.203,52.986,52.658,52.489,52.488,39.421
1.28,-6,53.493,53.297,53.071,52.693,52.505,52.504,39.35
1.36,-6,53.558,53.388,53.154,52.735,52.516,52.515,39.279
1.44,-6,53.62,53.449,53.235,52.792,52.526,52.524,39.206
1.52,-6,53.69,53.506,53.298,52.852,52.532,52.531,39.132
1.6,-6,53.756,53.571,53.348,52.91,52.54,52.538,39.056
1.68,-6,53.818,53.634,53.404,52.97,52.545,52.544,38.979
