X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,46.882,47.098,47.28,47.65,47.983,43.233
-5.92,-6,46.987,47.203,47.385,47.754,48.087,43.241
-5.84,-6,47.093,47.308,47.489,47.858,48.191,43.248
-5.76,-6,47.198,47.413,47.594,47.962,48.294,43.254
-5.68,-6,47.304,47.518,47.699,48.066,48.398,43.259
-5.6,-6,47.409,47.623,47.804,48.171,48.502,43.262
-5.52,-6,47.515,47.729,47.909,48.275,48.606,43.264
-5.44,-6,47.621,47.834,48.014,48.379,48.709,43.264
-5.36,-6,47.727,47.939,48.119,48.484,48.813,43.26
-5.28,-6,47.833,48.045,48.224,48.588,48.917,43.255
-5.2,-6,47.938,48.15,48.329,48.692,49.02,43.248
-5.12,-6,48.044,48.255,48.434,48.796,49.124,43.24
-5.04,-6,48.15,48.361,48.538,48.9,49.227,43.231
-4.96,-6,48.256,48.466,48.643,49.004,49.331,43.22
-4.88,-6,48.362,48.571,48.748,49.108,49.434,43.208
-4.8,-6,48.467,48.676,48.853,49.212,49.537,43.195
-4.72,-6,48.573,48.781,48.957,49.316,49.64,43.181
-4.64,-6,48.678,48.886,49.062,49.419,49.743,43.165
-4.56,-6,48.784,48.99,49.166,49.522,49.845,43.148
-4.48,-6,48.889,49.095,49.27,49.626,49.947,43.13
-4.4,-6,48.994,49.199,49.374,49.728,50.049,43.11
-4.32,-6,49.099,49.304,49.477,49.831,50.151,43.09
-4.24,-6,49.204,49.408,49.581,49.933,50.252,43.068
-4.16,-6,49.309,49.511,49.684,50.035,50.353,43.045
-4.08,-6,49.413,49.615,49.787,50.137,50.454,43.02
-4,-6,49.517,49.718,49.89,50.238,50.554,42.995
-3.92,-6,49.622,49.821,49.992,50.339,50.654,42.968
-3.84,-6,49.725,49.924,50.094,50.44,50.754,42.939
-3.76,-6,49.829,50.027,50.196,50.54,50.853,42.91
-3.68,-6,49.932,50.129,50.297,50.64,50.951,42.879
-3.6,-6,50.035,50.231,50.398,50.74,51.049,42.848
-3.52,-6,50.138,50.332,50.499,50.839,51.147,42.815
-3.44,-6,50.241,50.434,50.6,50.937,51.244,42.78
-3.36,-6,50.343,50.535,50.7,51.035,51.341,42.745
-3.28,-6,50.445,50.635,50.799,51.133,51.437,42.709
-3.2,-6,50.547,50.736,50.899,51.23,51.532,42.674
-3.12,-6,50.649,50.836,50.998,51.327,51.627,42.644
-3.04,-6,50.75,50.935,51.096,51.423,51.721,42.612
-2.96,-6,50.851,51.035,51.194,51.519,51.815,42.576
-2.88,-6,50.952,51.134,51.292,51.614,51.908,42.539
-2.8,-6,51.053,51.233,51.39,51.709,52,42.501
-2.72,-6,51.154,51.331,51.487,51.803,52.092,42.462
-2.64,-6,51.254,51.43,51.584,51.897,52.184,42.423
-2.56,-6,51.354,51.528,51.68,51.99,52.274,42.382
-2.48,-6,51.455,51.625,51.777,52.083,52.364,42.341
-2.4,-6,51.555,51.723,51.873,52.176,52.454,42.298
-2.32,-6,51.655,51.821,51.968,52.268,52.543,42.254
-2.24,-6,51.755,51.918,52.064,52.359,52.631,42.21
-2.16,-6,51.855,52.015,52.159,52.45,52.719,42.165
-2.08,-6,51.955,52.113,52.254,52.541,52.806,42.12
-2,-6,52.056,52.21,52.349,52.632,52.892,42.075
-1.92,-6,52.156,52.307,52.444,52.722,52.979,42.029
-1.84,-6,52.257,52.404,52.539,52.812,53.064,41.983
-1.76,-6,52.358,52.502,52.634,52.901,53.149,41.943
-1.68,-6,52.459,52.599,52.729,52.991,53.234,41.903
-1.6,-6,52.56,52.697,52.824,53.08,53.318,41.864
-1.52,-6,52.662,52.795,52.918,53.169,53.402,41.826
-1.44,-6,52.764,52.893,53.013,53.257,53.486,41.788
-1.36,-6,52.867,52.991,53.109,53.346,53.569,41.745
-1.28,-6,52.969,53.089,53.204,53.435,53.652,41.704
-1.2,-6,53.072,53.188,53.299,53.523,53.734,41.664
-1.12,-6,53.176,53.287,53.395,53.611,53.816,41.627
-1.04,-6,53.28,53.386,53.49,53.699,53.898,41.592
-0.96,-6,53.383,53.485,53.585,53.787,53.98,41.56
-0.88,-6,53.488,53.584,53.681,53.875,54.061,41.531
-0.8,-6,53.592,53.683,53.776,53.962,54.141,41.506
-0.72,-6,53.696,53.782,53.871,54.049,54.222,41.486
-0.64,-6,53.8,53.881,53.966,54.136,54.301,41.472
-0.56,-6,53.903,53.979,54.061,54.222,54.38,41.463
-0.48,-6,54.006,54.077,54.154,54.307,54.458,41.46
-0.4,-6,54.108,54.174,54.248,54.392,54.536,41.461
-0.32,-6,54.21,54.27,54.34,54.475,54.613,41.468
-0.24,-6,54.31,54.365,54.431,54.558,54.688,41.48
-0.16,-6,54.409,54.459,54.52,54.639,54.762,41.497
-0.08,-6,54.506,54.551,54.608,54.718,54.835,41.519
0,-6,54.601,54.641,54.694,54.796,54.906,41.544
0.08,-6,54.52,54.549,54.611,54.696,54.79,41.571
0.16,-6,54.558,54.58,54.641,54.714,54.798,41.598
0.24,-6,54.612,54.627,54.687,54.748,54.824,41.824
0.32,-6,54.67,54.678,54.736,54.786,54.858,41.745
0.4,-6,54.727,54.729,54.784,54.824,54.894,41.667
0.48,-6,54.782,54.779,54.829,54.861,54.922,41.588
0.56,-6,54.832,54.823,54.872,54.893,54.949,41.507
0.64,-6,54.879,54.865,54.91,54.922,54.971,41.414
0.72,-6,54.925,54.9,54.942,54.945,54.989,41.315
0.8,-6,54.971,54.938,54.969,54.964,55.001,41.24
0.88,-6,55.014,54.973,54.998,54.976,55.008,41.175
0.96,-6,55.057,55.001,55.022,54.985,55.01,41.108
1.04,-6,55.096,55.025,55.04,54.994,55.005,41.041
1.12,-6,55.101,55.052,55.054,54.997,55,40.972
1.2,-6,55.088,55.074,55.063,54.996,54.992,40.901
1.28,-6,55.094,55.075,55.067,54.99,54.98,40.83
1.36,-6,55.12,55.046,55.07,54.98,54.963,40.757
1.44,-6,55.13,55.033,55.074,54.969,54.941,40.683
1.52,-6,55.134,55.039,55.055,54.953,54.917,40.608
1.6,-6,55.135,55.036,55.009,54.933,54.887,40.531
1.68,-6,55.134,55.032,54.968,54.903,54.851,40.454
1.76,-6,55.131,55.025,54.954,54.873,54.812,40.375
1.84,-6,55.125,55.017,54.94,54.796,54.77,40.295
1.92,-6,55.118,55.008,54.924,54.73,54.726,40.214
2,-6,55.109,54.997,54.909,54.693,54.68,40.131
2.08,-6,55.089,54.987,54.894,54.668,54.633,40.048
2.16,-6,55.062,54.976,54.88,54.644,54.553,39.963
2.24,-6,55.034,54.965,54.866,54.622,54.472,39.878
2.32,-6,55.007,54.951,54.854,54.603,54.418,39.791
2.4,-6,54.979,54.923,54.843,54.586,54.386,39.703
2.48,-6,54.952,54.896,54.833,54.572,54.359,39.614
2.56,-6,54.926,54.87,54.826,54.562,54.335,39.525
2.64,-6,54.901,54.845,54.819,54.554,54.316,39.434
2.72,-6,54.878,54.821,54.801,54.55,54.301,39.342
2.8,-6,54.857,54.8,54.779,54.549,54.291,39.25
2.88,-6,54.839,54.78,54.759,54.552,54.286,39.157
2.96,-6,54.824,54.763,54.741,54.557,54.285,39.062
3.04,-6,54.812,54.749,54.726,54.565,54.29,38.967
3.12,-6,54.803,54.738,54.714,54.577,54.299,38.871
3.2,-6,54.797,54.73,54.704,54.584,54.313,38.775
3.28,-6,54.795,54.726,54.697,54.578,54.331,38.677
3.36,-6,54.797,54.724,54.693,54.575,54.354,38.579
3.44,-6,54.804,54.727,54.692,54.575,54.38,38.481
3.52,-6,54.815,54.733,54.695,54.578,54.409,38.381
3.6,-6,54.83,54.743,54.702,54.584,54.441,38.281
3.68,-6,54.85,54.757,54.711,54.593,54.476,38.181
3.76,-6,54.875,54.775,54.724,54.605,54.513,38.079
3.84,-6,54.905,54.798,54.741,54.62,54.529,37.978
3.92,-6,54.939,54.825,54.761,54.637,54.545,37.875
4,-6,54.978,54.856,54.785,54.657,54.564,37.773
4.08,-6,55.024,54.892,54.812,54.68,54.587,37.67
4.16,-6,55.095,54.932,54.844,54.706,54.612,37.566
4.24,-6,55.173,54.977,54.88,54.735,54.639,37.462
4.32,-6,55.256,55.025,54.919,54.767,54.669,37.358
4.4,-6,55.346,55.096,54.963,54.803,54.701,37.253
4.48,-6,55.44,55.179,55.01,54.842,54.736,37.148
4.56,-6,55.54,55.268,55.061,54.884,54.773,37.043
4.64,-6,55.644,55.363,55.116,54.93,54.811,36.937
4.72,-6,55.752,55.463,55.184,54.979,54.852,36.831
4.8,-6,55.862,55.569,55.273,55.031,54.895,36.725
4.88,-6,55.975,55.678,55.367,55.086,54.942,36.619
4.96,-6,56.091,55.791,55.468,55.143,54.99,36.513
5.04,-6,56.207,55.908,55.573,55.204,55.042,36.406
5.12,-6,56.324,56.027,55.684,55.267,55.096,36.3
5.2,-6,56.442,56.148,55.799,55.344,55.152,36.193
5.28,-6,56.56,56.271,55.917,55.441,55.211,36.086
5.36,-6,56.669,56.394,56.04,55.544,55.273,35.979
5.44,-6,56.779,56.518,56.165,55.652,55.336,35.872
5.52,-6,56.89,56.642,56.292,55.766,55.402,35.765
5.6,-6,57.002,56.766,56.421,55.884,55.47,35.658
5.68,-6,57.114,56.889,56.551,56.006,55.539,35.551
5.76,-6,57.226,57.003,56.681,56.133,55.632,35.444
5.84,-6,57.339,57.116,56.812,56.263,55.737,35.337
5.92,-6,57.457,57.23,56.943,56.396,55.846,35.23
6,-6,57.585,57.344,57.073,56.532,55.961,35.123
-6,-5.92,46.979,47.195,47.376,47.746,48.079,43.441
-5.92,-5.92,47.085,47.301,47.482,47.851,48.184,43.449
-5.84,-5.92,47.192,47.407,47.588,47.956,48.289,43.457
-5.76,-5.92,47.299,47.514,47.694,48.062,48.394,43.462
-5.68,-5.92,47.406,47.62,47.8,48.168,48.499,43.467
-5.6,-5.92,47.513,47.727,47.907,48.273,48.604,43.47
-5.52,-5.92,47.62,47.833,48.013,48.379,48.709,43.472
-5.44,-5.92,47.727,47.94,48.119,48.485,48.814,43.472
-5.36,-5.92,47.834,48.047,48.226,48.59,48.92,43.468
-5.28,-5.92,47.941,48.153,48.332,48.696,49.025,43.463
-5.2,-5.92,48.049,48.26,48.439,48.802,49.13,43.456
-5.12,-5.92,48.156,48.367,48.545,48.908,49.235,43.448
