X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,48.567,48.66,48.717,48.911,49.133,44.399
-5.92,-6,48.68,48.772,48.828,49.02,49.241,44.395
-5.84,-6,48.793,48.884,48.939,49.13,49.35,44.39
-5.76,-6,48.907,48.997,49.051,49.24,49.458,44.384
-5.68,-6,49.021,49.11,49.163,49.35,49.568,44.376
-5.6,-6,49.136,49.223,49.276,49.46,49.677,44.367
-5.52,-6,49.25,49.337,49.388,49.571,49.787,44.357
-5.44,-6,49.366,49.451,49.502,49.682,49.896,44.345
-5.36,-6,49.481,49.566,49.615,49.793,50.006,44.332
-5.28,-6,49.597,49.681,49.729,49.905,50.117,44.317
-5.2,-6,49.714,49.796,49.843,50.017,50.227,44.301
-5.12,-6,49.831,49.912,49.957,50.129,50.338,44.283
-5.04,-6,49.948,50.028,50.072,50.241,50.449,44.264
-4.96,-6,50.065,50.144,50.187,50.354,50.56,44.244
-4.88,-6,50.183,50.261,50.302,50.466,50.671,44.223
-4.8,-6,50.302,50.378,50.418,50.579,50.782,44.198
-4.72,-6,50.42,50.495,50.534,50.693,50.894,44.17
-4.64,-6,50.54,50.613,50.65,50.806,51.005,44.141
-4.56,-6,50.659,50.731,50.766,50.92,51.117,44.111
-4.48,-6,50.779,50.849,50.883,51.034,51.229,44.079
-4.4,-6,50.899,50.968,51,51.148,51.341,44.046
-4.32,-6,51.02,51.087,51.118,51.262,51.454,44.012
-4.24,-6,51.141,51.207,51.235,51.376,51.566,43.976
-4.16,-6,51.262,51.326,51.353,51.491,51.678,43.939
-4.08,-6,51.384,51.447,51.472,51.606,51.791,43.902
-4,-6,51.506,51.567,51.591,51.721,51.904,43.863
-3.92,-6,51.629,51.688,51.71,51.836,52.017,43.822
-3.84,-6,51.752,51.81,51.829,51.952,52.13,43.781
-3.76,-6,51.876,51.932,51.949,52.067,52.243,43.739
-3.68,-6,52,52.054,52.069,52.183,52.356,43.696
-3.6,-6,52.124,52.177,52.189,52.3,52.47,43.651
-3.52,-6,52.249,52.3,52.31,52.416,52.583,43.605
-3.44,-6,52.375,52.424,52.432,52.533,52.697,43.559
-3.36,-6,52.501,52.548,52.554,52.65,52.811,43.511
-3.28,-6,52.628,52.673,52.676,52.767,52.925,43.462
-3.2,-6,52.756,52.798,52.798,52.885,53.039,43.412
-3.12,-6,52.884,52.924,52.922,53.003,53.153,43.361
-3.04,-6,53.013,53.05,53.045,53.121,53.268,43.309
-2.96,-6,53.143,53.178,53.17,53.24,53.383,43.256
-2.88,-6,53.273,53.306,53.295,53.359,53.498,43.202
-2.8,-6,53.404,53.434,53.42,53.479,53.613,43.148
-2.72,-6,53.536,53.564,53.546,53.599,53.729,43.093
-2.64,-6,53.669,53.694,53.673,53.72,53.845,43.037
-2.56,-6,53.803,53.825,53.801,53.841,53.961,42.985
-2.48,-6,53.938,53.957,53.93,53.963,54.078,42.936
-2.4,-6,54.074,54.09,54.059,54.085,54.196,42.884
-2.32,-6,54.211,54.224,54.189,54.208,54.313,42.831
-2.24,-6,54.349,54.359,54.32,54.332,54.432,42.776
-2.16,-6,54.489,54.495,54.452,54.456,54.551,42.721
-2.08,-6,54.629,54.632,54.585,54.582,54.67,42.666
-2,-6,54.771,54.77,54.719,54.708,54.79,42.611
-1.92,-6,54.914,54.91,54.855,54.835,54.911,42.556
-1.84,-6,55.059,55.051,54.991,54.963,55.032,42.5
-1.76,-6,55.205,55.193,55.129,55.091,55.155,42.444
-1.68,-6,55.352,55.336,55.268,55.221,55.278,42.389
-1.6,-6,55.501,55.481,55.408,55.352,55.402,42.334
-1.52,-6,55.651,55.628,55.549,55.484,55.527,42.28
-1.44,-6,55.803,55.776,55.692,55.618,55.653,42.226
-1.36,-6,55.957,55.925,55.837,55.752,55.779,42.169
-1.28,-6,56.112,56.076,55.982,55.888,55.907,42.112
-1.2,-6,56.269,56.229,56.13,56.025,56.036,42.059
-1.12,-6,56.428,56.383,56.278,56.163,56.167,42.013
-1.04,-6,56.588,56.539,56.429,56.303,56.298,41.968
-0.96,-6,56.75,56.697,56.581,56.444,56.43,41.927
-0.88,-6,56.914,56.856,56.734,56.586,56.564,41.889
-0.8,-6,57.079,57.018,56.89,56.73,56.699,41.855
-0.72,-6,57.246,57.18,57.046,56.876,56.836,41.824
-0.64,-6,57.415,57.345,57.205,57.023,56.974,41.801
-0.56,-6,57.585,57.511,57.365,57.172,57.114,41.783
-0.48,-6,57.758,57.68,57.528,57.322,57.255,41.769
-0.4,-6,57.931,57.849,57.692,57.475,57.398,41.761
-0.32,-6,58.107,58.021,57.857,57.629,57.542,41.757
-0.24,-6,58.285,58.195,58.025,57.785,57.689,41.76
-0.16,-6,58.467,58.37,58.195,57.943,57.838,41.767
-0.08,-6,58.65,58.548,58.367,58.103,57.989,41.779
0,-6,58.836,58.729,58.541,58.266,58.142,41.794
0.08,-6,58.941,58.842,58.648,58.35,58.208,41.814
0.16,-6,59.102,59.009,58.808,58.495,58.341,41.832
0.24,-6,59.281,59.178,58.978,58.652,58.486,42.039
0.32,-6,59.469,59.35,59.154,58.815,58.64,41.957
0.4,-6,59.661,59.533,59.336,58.985,58.8,41.877
0.48,-6,59.857,59.727,59.518,59.159,58.965,41.796
0.56,-6,60.056,59.925,59.696,59.337,59.134,41.712
0.64,-6,60.258,60.126,59.883,59.52,59.309,41.617
0.72,-6,60.464,60.331,60.083,59.708,59.489,41.517
0.8,-6,60.676,60.541,60.288,59.898,59.675,41.439
0.88,-6,60.891,60.757,60.499,60.087,59.867,41.371
0.96,-6,61.111,60.978,60.716,60.285,60.065,41.302
1.04,-6,61.334,61.204,60.939,60.499,60.27,41.232
1.12,-6,61.56,61.435,61.168,60.721,60.483,41.161
1.2,-6,61.793,61.672,61.404,60.951,60.699,41.088
1.28,-6,62.032,61.916,61.647,61.189,60.924,41.015
1.36,-6,62.277,62.165,61.897,61.435,61.163,40.94
1.44,-6,62.528,62.42,62.155,61.691,61.415,40.864
1.52,-6,62.784,62.683,62.421,61.955,61.679,40.788
1.6,-6,63.048,62.952,62.696,62.231,61.953,40.71
1.68,-6,63.32,63.228,62.98,62.516,62.238,40.631
1.76,-6,63.601,63.514,63.269,62.812,62.536,40.551
1.84,-6,63.891,63.809,63.567,63.116,62.844,40.469
1.92,-6,64.189,64.114,63.875,63.431,63.164,40.387
2,-6,64.497,64.428,64.194,63.757,63.498,40.304
2.08,-6,64.815,64.753,64.524,64.095,63.844,40.22
2.16,-6,65.142,65.087,64.864,64.446,64.203,40.134
2.24,-6,65.479,65.432,65.216,64.809,64.576,40.048
2.32,-6,65.826,65.787,65.578,65.184,64.963,39.961
2.4,-6,66.182,66.153,65.952,65.572,65.363,39.873
2.48,-6,66.549,66.529,66.338,65.972,65.777,39.784
