X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,47.155,47.387,47.583,47.981,48.343,43.174
-5.92,-6,47.258,47.49,47.685,48.083,48.445,43.183
-5.84,-6,47.362,47.593,47.788,48.185,48.547,43.19
-5.76,-6,47.465,47.696,47.891,48.288,48.649,43.196
-5.68,-6,47.569,47.8,47.994,48.39,48.751,43.2
-5.6,-6,47.673,47.903,48.097,48.493,48.853,43.203
-5.52,-6,47.776,48.006,48.2,48.595,48.955,43.205
-5.44,-6,47.88,48.109,48.303,48.697,49.057,43.204
-5.36,-6,47.983,48.212,48.406,48.8,49.158,43.2
-5.28,-6,48.087,48.315,48.508,48.902,49.26,43.195
-5.2,-6,48.19,48.418,48.611,49.004,49.362,43.188
-5.12,-6,48.293,48.521,48.713,49.106,49.463,43.18
-5.04,-6,48.397,48.624,48.815,49.207,49.564,43.171
-4.96,-6,48.499,48.726,48.918,49.309,49.665,43.16
-4.88,-6,48.602,48.828,49.019,49.41,49.766,43.148
-4.8,-6,48.705,48.93,49.121,49.511,49.867,43.134
-4.72,-6,48.807,49.032,49.222,49.612,49.967,43.119
-4.64,-6,48.909,49.134,49.324,49.712,50.067,43.104
-4.56,-6,49.011,49.235,49.424,49.812,50.166,43.086
-4.48,-6,49.113,49.336,49.525,49.912,50.265,43.068
-4.4,-6,49.214,49.437,49.625,50.011,50.364,43.048
-4.32,-6,49.315,49.537,49.725,50.11,50.462,43.028
-4.24,-6,49.416,49.637,49.824,50.208,50.56,43.006
-4.16,-6,49.516,49.736,49.923,50.306,50.657,42.982
-4.08,-6,49.616,49.835,50.021,50.404,50.754,42.958
-4,-6,49.715,49.934,50.119,50.501,50.85,42.932
-3.92,-6,49.814,50.032,50.216,50.597,50.946,42.905
-3.84,-6,49.912,50.129,50.313,50.693,51.041,42.876
-3.76,-6,50.01,50.226,50.409,50.788,51.135,42.847
-3.68,-6,50.107,50.322,50.505,50.882,51.228,42.816
-3.6,-6,50.204,50.418,50.6,50.976,51.321,42.784
-3.52,-6,50.3,50.513,50.694,51.069,51.413,42.751
-3.44,-6,50.396,50.608,50.788,51.161,51.504,42.717
-3.36,-6,50.49,50.701,50.881,51.252,51.595,42.681
-3.28,-6,50.585,50.794,50.973,51.343,51.684,42.645
-3.2,-6,50.678,50.887,51.064,51.432,51.773,42.61
-3.12,-6,50.771,50.978,51.154,51.521,51.86,42.579
-3.04,-6,50.863,51.069,51.244,51.609,51.947,42.547
-2.96,-6,50.954,51.159,51.333,51.696,52.032,42.511
-2.88,-6,51.045,51.248,51.42,51.782,52.117,42.474
-2.8,-6,51.135,51.336,51.507,51.866,52.2,42.437
-2.72,-6,51.224,51.423,51.593,51.95,52.282,42.398
-2.64,-6,51.312,51.51,51.678,52.033,52.363,42.358
-2.56,-6,51.4,51.595,51.762,52.114,52.443,42.317
-2.48,-6,51.486,51.68,51.845,52.195,52.522,42.276
-2.4,-6,51.572,51.763,51.927,52.274,52.599,42.233
-2.32,-6,51.657,51.846,52.008,52.352,52.675,42.189
-2.24,-6,51.741,51.928,52.088,52.429,52.75,42.145
-2.16,-6,51.825,52.009,52.167,52.505,52.823,42.1
-2.08,-6,51.907,52.089,52.245,52.58,52.895,42.055
-2,-6,51.989,52.168,52.322,52.653,52.966,42.01
-1.92,-6,52.07,52.246,52.398,52.725,53.035,41.964
-1.84,-6,52.151,52.324,52.473,52.796,53.103,41.918
-1.76,-6,52.23,52.4,52.547,52.866,53.17,41.878
-1.68,-6,52.309,52.476,52.62,52.934,53.235,41.839
-1.6,-6,52.387,52.55,52.692,53.001,53.299,41.8
-1.52,-6,52.465,52.624,52.763,53.067,53.361,41.762
-1.44,-6,52.542,52.697,52.833,53.132,53.422,41.724
-1.36,-6,52.618,52.77,52.902,53.196,53.481,41.682
-1.28,-6,52.693,52.841,52.97,53.258,53.539,41.64
-1.2,-6,52.768,52.912,53.037,53.32,53.596,41.601
-1.12,-6,52.843,52.982,53.104,53.38,53.651,41.564
-1.04,-6,52.917,53.052,53.169,53.439,53.705,41.53
-0.96,-6,52.99,53.121,53.234,53.497,53.758,41.498
-0.88,-6,53.063,53.189,53.298,53.554,53.809,41.47
-0.8,-6,53.135,53.256,53.362,53.61,53.859,41.446
-0.72,-6,53.207,53.323,53.425,53.665,53.908,41.426
-0.64,-6,53.279,53.39,53.487,53.719,53.955,41.413
-0.56,-6,53.35,53.455,53.548,53.773,54.002,41.406
-0.48,-6,53.42,53.52,53.609,53.825,54.047,41.403
-0.4,-6,53.489,53.585,53.669,53.877,54.092,41.406
-0.32,-6,53.558,53.649,53.728,53.928,54.135,41.414
-0.24,-6,53.627,53.712,53.787,53.978,54.177,41.427
-0.16,-6,53.694,53.775,53.845,54.027,54.219,41.445
-0.08,-6,53.761,53.836,53.903,54.076,54.259,41.468
0,-6,53.826,53.897,53.959,54.123,54.299,41.495
0.08,-6,53.672,53.731,53.806,53.951,54.108,41.525
0.16,-6,53.666,53.717,53.793,53.925,54.07,41.553
0.24,-6,53.682,53.726,53.802,53.92,54.052,41.782
0.32,-6,53.706,53.743,53.817,53.923,54.046,41.703
0.4,-6,53.731,53.764,53.834,53.931,54.041,41.626
0.48,-6,53.756,53.783,53.852,53.937,54.036,41.547
0.56,-6,53.779,53.802,53.868,53.943,54.031,41.466
0.64,-6,53.799,53.817,53.88,53.945,54.023,41.373
0.72,-6,53.814,53.829,53.89,53.945,54.012,41.274
0.8,-6,53.838,53.837,53.895,53.941,53.999,41.2
0.88,-6,53.858,53.852,53.896,53.934,53.982,41.135
0.96,-6,53.874,53.865,53.904,53.923,53.961,41.069
1.04,-6,53.886,53.873,53.908,53.909,53.938,41.001
1.12,-6,53.896,53.877,53.909,53.901,53.91,40.933
1.2,-6,53.904,53.88,53.906,53.889,53.88,40.863
1.28,-6,53.912,53.879,53.902,53.875,53.855,40.791
1.36,-6,53.917,53.881,53.896,53.858,53.828,40.719
1.44,-6,53.914,53.879,53.891,53.839,53.799,40.645
1.52,-6,53.893,53.875,53.883,53.819,53.768,40.571
1.6,-6,53.869,53.853,53.872,53.795,53.734,40.495
1.68,-6,53.843,53.826,53.844,53.762,53.695,40.417
1.76,-6,53.813,53.795,53.813,53.727,53.655,40.339
1.84,-6,53.781,53.762,53.78,53.691,53.612,40.259
1.92,-6,53.746,53.727,53.745,53.652,53.569,40.178
2,-6,53.707,53.687,53.707,53.622,53.543,40.096
2.08,-6,53.666,53.645,53.667,53.594,53.519,40.013
2.16,-6,53.623,53.6,53.624,53.565,53.495,39.929
2.24,-6,53.578,53.554,53.579,53.53,53.47,39.844
2.32,-6,53.532,53.506,53.533,53.483,53.446,39.757
2.4,-6,53.485,53.457,53.485,53.434,53.421,39.67
2.48,-6,53.437,53.408,53.436,53.383,53.393,39.582
2.56,-6,53.388,53.357,53.386,53.331,53.341,39.492
2.64,-6,53.338,53.305,53.335,53.277,53.288,39.402
2.72,-6,53.287,53.252,53.283,53.222,53.234,39.311
2.8,-6,53.235,53.199,53.23,53.166,53.178,39.218
2.88,-6,53.184,53.145,53.175,53.109,53.121,39.125
2.96,-6,53.144,53.09,53.12,53.051,53.062,39.031
3.04,-6,53.105,53.034,53.064,52.991,53.002,38.937
3.12,-6,53.043,52.986,53.007,52.931,52.941,38.841
3.2,-6,52.928,52.94,52.949,52.869,52.878,38.745
3.28,-6,52.845,52.888,52.891,52.807,52.815,38.648
3.36,-6,52.809,52.767,52.833,52.744,52.75,38.55
3.44,-6,52.774,52.674,52.777,52.68,52.683,38.451
3.52,-6,52.741,52.635,52.716,52.616,52.616,38.352
3.6,-6,52.707,52.598,52.594,52.551,52.548,38.252
3.68,-6,52.675,52.563,52.498,52.486,52.479,38.152
3.76,-6,52.642,52.529,52.457,52.425,52.41,38.051
3.84,-6,52.61,52.496,52.418,52.328,52.34,37.95
3.92,-6,52.578,52.464,52.381,52.216,52.27,37.848
4,-6,52.546,52.432,52.345,52.139,52.199,37.745
4.08,-6,52.496,52.4,52.311,52.096,52.128,37.642
4.16,-6,52.442,52.369,52.278,52.055,52.047,37.539
