X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
-6,-6,46.919,47.135,47.314,47.682,48.019,43.816
-5.92,-6,47.024,47.24,47.419,47.787,48.122,43.819
-5.84,-6,47.13,47.346,47.525,47.891,48.227,43.821
-5.76,-6,47.236,47.451,47.63,47.996,48.331,43.821
-5.68,-6,47.343,47.557,47.735,48.101,48.435,43.82
-5.6,-6,47.449,47.663,47.841,48.206,48.539,43.818
-5.52,-6,47.555,47.769,47.946,48.31,48.644,43.814
-5.44,-6,47.662,47.875,48.052,48.415,48.748,43.808
-5.36,-6,47.769,47.981,48.158,48.52,48.852,43.802
-5.28,-6,47.875,48.087,48.263,48.625,48.957,43.794
-5.2,-6,47.982,48.193,48.369,48.73,49.061,43.785
-5.12,-6,48.089,48.3,48.475,48.835,49.165,43.773
-5.04,-6,48.196,48.406,48.581,48.94,49.269,43.758
-4.96,-6,48.303,48.512,48.686,49.045,49.374,43.741
-4.88,-6,48.41,48.618,48.792,49.149,49.478,43.723
-4.8,-6,48.517,48.725,48.898,49.254,49.581,43.704
-4.72,-6,48.623,48.831,49.003,49.359,49.685,43.683
-4.64,-6,48.73,48.937,49.109,49.463,49.789,43.661
-4.56,-6,48.837,49.043,49.214,49.567,49.892,43.638
-4.48,-6,48.944,49.149,49.32,49.672,49.996,43.613
-4.4,-6,49.051,49.255,49.425,49.776,50.099,43.587
-4.32,-6,49.157,49.361,49.53,49.879,50.202,43.56
-4.24,-6,49.264,49.466,49.635,49.983,50.304,43.532
-4.16,-6,49.371,49.572,49.74,50.086,50.407,43.503
-4.08,-6,49.477,49.678,49.845,50.19,50.509,43.472
-4,-6,49.584,49.783,49.949,50.293,50.611,43.44
-3.92,-6,49.69,49.888,50.053,50.395,50.712,43.408
-3.84,-6,49.796,49.993,50.158,50.498,50.814,43.373
-3.76,-6,49.903,50.098,50.262,50.6,50.915,43.338
-3.68,-6,50.009,50.203,50.366,50.702,51.015,43.301
-3.6,-6,50.115,50.308,50.469,50.804,51.116,43.264
-3.52,-6,50.221,50.413,50.573,50.905,51.215,43.225
-3.44,-6,50.327,50.517,50.676,51.007,51.315,43.185
-3.36,-6,50.433,50.622,50.779,51.107,51.414,43.144
-3.28,-6,50.539,50.726,50.882,51.208,51.513,43.101
-3.2,-6,50.645,50.83,50.985,51.308,51.611,43.058
-3.12,-6,50.751,50.934,51.088,51.409,51.71,43.014
-3.04,-6,50.857,51.039,51.191,51.508,51.807,42.969
-2.96,-6,50.963,51.143,51.293,51.608,51.905,42.922
-2.88,-6,51.07,51.247,51.396,51.707,52.002,42.879
-2.8,-6,51.176,51.351,51.498,51.807,52.099,42.839
-2.72,-6,51.283,51.456,51.601,51.906,52.195,42.797
-2.64,-6,51.39,51.561,51.704,52.005,52.291,42.752
-2.56,-6,51.498,51.665,51.806,52.104,52.387,42.706
-2.48,-6,51.605,51.771,51.909,52.202,52.483,42.66
-2.4,-6,51.714,51.876,52.012,52.301,52.578,42.612
-2.32,-6,51.822,51.982,52.116,52.4,52.673,42.564
-2.24,-6,51.932,52.088,52.219,52.499,52.769,42.516
-2.16,-6,52.042,52.195,52.324,52.598,52.864,42.466
-2.08,-6,52.153,52.303,52.428,52.697,52.959,42.416
-2,-6,52.265,52.411,52.533,52.797,53.054,42.364
-1.92,-6,52.378,52.52,52.639,52.897,53.149,42.313
-1.84,-6,52.491,52.63,52.746,52.997,53.245,42.261
-1.76,-6,52.606,52.74,52.853,53.098,53.341,42.21
-1.68,-6,52.722,52.852,52.961,53.199,53.437,42.159
-1.6,-6,52.84,52.965,53.07,53.301,53.533,42.108
-1.52,-6,52.958,53.079,53.18,53.404,53.63,42.058
-1.44,-6,53.078,53.194,53.291,53.507,53.727,42.009
-1.36,-6,53.2,53.311,53.403,53.612,53.825,41.962
-1.28,-6,53.323,53.429,53.517,53.717,53.923,41.916
-1.2,-6,53.447,53.548,53.631,53.823,54.023,41.871
-1.12,-6,53.574,53.669,53.747,53.93,54.122,41.829
-1.04,-6,53.701,53.791,53.864,54.038,54.223,41.79
-0.96,-6,53.83,53.914,53.983,54.147,54.324,41.753
-0.88,-6,53.961,54.039,54.102,54.257,54.426,41.72
-0.8,-6,54.093,54.165,54.223,54.367,54.529,41.69
-0.72,-6,54.226,54.292,54.344,54.479,54.632,41.665
