X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,51.664,51.868,52.062,52.441,52.895,53.34,53.648,48.259
-5.92,-6,51.779,51.984,52.177,52.556,53.009,53.453,53.761,48.25
-5.84,-6,51.895,52.099,52.292,52.671,53.123,53.566,53.873,48.241
-5.76,-6,52.011,52.215,52.408,52.786,53.237,53.68,53.986,48.233
-5.68,-6,52.127,52.331,52.523,52.901,53.351,53.793,54.098,48.225
-5.6,-6,52.243,52.447,52.639,53.016,53.466,53.907,54.211,48.218
-5.52,-6,52.36,52.563,52.755,53.131,53.58,54.02,54.324,48.211
-5.44,-6,52.476,52.68,52.871,53.247,53.695,54.134,54.437,48.205
-5.36,-6,52.593,52.796,52.988,53.363,53.81,54.247,54.55,48.2
-5.28,-6,52.71,52.913,53.104,53.478,53.924,54.361,54.662,48.195
-5.2,-6,52.827,53.03,53.22,53.594,54.039,54.475,54.775,48.191
-5.12,-6,52.944,53.147,53.337,53.71,54.154,54.589,54.888,48.187
-5.04,-6,53.062,53.264,53.454,53.826,54.269,54.702,55.001,48.184
-4.96,-6,53.179,53.381,53.57,53.942,54.384,54.816,55.114,48.182
-4.88,-6,53.297,53.498,53.687,54.058,54.499,54.93,55.226,48.18
-4.8,-6,53.414,53.616,53.804,54.174,54.614,55.043,55.339,48.188
-4.72,-6,53.532,53.733,53.921,54.29,54.729,55.157,55.451,48.195
-4.64,-6,53.649,53.85,54.038,54.406,54.843,55.27,55.564,48.202
-4.56,-6,53.767,53.968,54.155,54.523,54.958,55.383,55.676,48.207
-4.48,-6,53.885,54.085,54.272,54.639,55.073,55.496,55.788,48.212
-4.4,-6,54.003,54.203,54.389,54.755,55.187,55.609,55.9,48.216
-4.32,-6,54.121,54.32,54.506,54.871,55.302,55.722,56.011,48.218
-4.24,-6,54.239,54.438,54.623,54.987,55.416,55.835,56.122,48.22
-4.16,-6,54.357,54.555,54.74,55.103,55.53,55.947,56.233,48.221
-4.08,-6,54.475,54.673,54.857,55.219,55.645,56.059,56.344,48.221
-4,-6,54.593,54.791,54.974,55.334,55.758,56.171,56.454,48.22
-3.92,-6,54.711,54.908,55.091,55.45,55.872,56.283,56.565,48.218
-3.84,-6,54.829,55.026,55.208,55.566,55.986,56.394,56.674,48.215
-3.76,-6,54.947,55.143,55.325,55.682,56.099,56.505,56.784,48.211
-3.68,-6,55.065,55.261,55.442,55.797,56.213,56.616,56.893,48.207
-3.6,-6,55.183,55.379,55.558,55.913,56.326,56.727,57.001,48.201
-3.52,-6,55.302,55.497,55.675,56.028,56.439,56.837,57.11,48.194
