X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,51.541,51.743,51.938,52.32,52.785,53.247,53.584,48.26
-5.92,-6,51.653,51.855,52.049,52.431,52.896,53.357,53.694,48.251
-5.84,-6,51.765,51.967,52.16,52.542,53.006,53.467,53.804,48.242
-5.76,-6,51.877,52.079,52.272,52.653,53.117,53.578,53.914,48.233
-5.68,-6,51.989,52.19,52.384,52.764,53.227,53.688,54.024,48.226
-5.6,-6,52.102,52.302,52.495,52.875,53.338,53.798,54.134,48.218
-5.52,-6,52.214,52.414,52.607,52.986,53.448,53.908,54.244,48.212
-5.44,-6,52.326,52.526,52.718,53.097,53.559,54.018,54.353,48.206
-5.36,-6,52.438,52.637,52.829,53.208,53.669,54.128,54.463,48.2
-5.28,-6,52.55,52.749,52.941,53.319,53.78,54.238,54.573,48.195
-5.2,-6,52.662,52.861,53.052,53.43,53.89,54.348,54.682,48.191
-5.12,-6,52.774,52.972,53.163,53.54,54,54.457,54.791,48.188
-5.04,-6,52.885,53.083,53.274,53.651,54.109,54.567,54.9,48.185
-4.96,-6,52.997,53.194,53.385,53.761,54.219,54.676,55.009,48.182
-4.88,-6,53.108,53.305,53.495,53.871,54.328,54.784,55.118,48.181
-4.8,-6,53.219,53.416,53.606,53.98,54.437,54.893,55.226,48.188
-4.72,-6,53.33,53.527,53.716,54.09,54.546,55.001,55.334,48.196
-4.64,-6,53.441,53.637,53.825,54.199,54.655,55.109,55.442,48.202
-4.56,-6,53.551,53.747,53.935,54.308,54.763,55.217,55.549,48.208
-4.48,-6,53.662,53.856,54.044,54.416,54.87,55.324,55.656,48.212
-4.4,-6,53.771,53.966,54.153,54.524,54.978,55.431,55.763,48.216
-4.32,-6,53.881,54.075,54.261,54.632,55.084,55.537,55.869,48.219
-4.24,-6,53.99,54.183,54.369,54.739,55.191,55.642,55.974,48.22
-4.16,-6,54.099,54.291,54.477,54.845,55.296,55.748,56.079,48.221
-4.08,-6,54.207,54.399,54.584,54.952,55.402,55.852,56.183,48.221
-4,-6,54.315,54.506,54.69,55.057,55.506,55.956,56.287,48.22
-3.92,-6,54.422,54.612,54.796,55.162,55.61,56.059,56.39,48.218
-3.84,-6,54.529,54.719,54.902,55.266,55.714,56.162,56.492,48.216
-3.76,-6,54.635,54.824,55.007,55.37,55.816,56.264,56.594,48.212
-3.68,-6,54.741,54.929,55.111,55.473,55.918,56.365,56.695,48.207
-3.6,-6,54.846,55.033,55.214,55.576,56.019,56.465,56.795,48.201
-3.52,-6,54.951,55.137,55.317,55.677,56.12,56.565,56.894,48.194
-3.44,-6,55.055,55.24,55.419,55.778,56.219,56.663,56.992,48.187
-3.36,-6,55.158,55.343,55.521,55.878,56.318,56.761,57.089,48.178
-3.28,-6,55.261,55.444,55.621,55.977,56.416,56.858,57.186,48.17
-3.2,-6,55.363,55.545,55.721,56.075,56.512,56.953,57.281,48.158
-3.12,-6,55.465,55.645,55.82,56.173,56.608,57.048,57.375,48.134
-3.04,-6,55.565,55.745,55.919,56.269,56.703,57.141,57.468,48.107
-2.96,-6,55.665,55.843,56.016,56.365,56.796,57.234,57.56,48.078
-2.88,-6,55.765,55.941,56.113,56.459,56.889,57.325,57.65,48.047
-2.8,-6,55.863,56.038,56.208,56.553,56.98,57.415,57.74,48.015
-2.72,-6,55.961,56.134,56.303,56.645,57.071,57.504,57.828,47.982
-2.64,-6,56.058,56.23,56.397,56.736,57.16,57.591,57.915,47.948
-2.56,-6,56.155,56.324,56.49,56.827,57.248,57.677,58,47.913
-2.48,-6,56.25,56.418,56.582,56.916,57.334,57.762,58.084,47.878
-2.4,-6,56.345,56.511,56.673,57.004,57.419,57.845,58.167,47.843
-2.32,-6,56.44,56.603,56.763,57.091,57.503,57.927,58.247,47.809
-2.24,-6,56.534,56.695,56.852,57.177,57.586,58.007,58.327,47.776
-2.16,-6,56.627,56.785,56.941,57.262,57.668,58.086,58.405,47.745
-2.08,-6,56.719,56.875,57.028,57.346,57.748,58.164,58.481,47.715
-2,-6,56.811,56.965,57.115,57.428,57.826,58.239,58.556,47.688
-1.92,-6,56.903,57.053,57.201,57.51,57.904,58.314,58.629,47.664
-1.84,-6,56.994,57.141,57.286,57.59,57.979,58.386,58.7,47.643
-1.76,-6,57.084,57.228,57.37,57.669,58.054,58.457,58.769,47.641
-1.68,-6,57.175,57.315,57.454,57.748,58.127,58.527,58.837,47.642
-1.6,-6,57.265,57.401,57.537,57.825,58.199,58.595,58.903,47.645
-1.52,-6,57.354,57.487,57.619,57.901,58.27,58.661,58.967,47.651
-1.44,-6,57.444,57.573,57.701,57.977,58.339,58.725,59.029,47.648
-1.36,-6,57.534,57.658,57.782,58.051,58.407,58.788,59.09,47.639
-1.28,-6,57.623,57.743,57.863,58.125,58.473,58.849,59.148,47.631
-1.2,-6,57.713,57.828,57.944,58.198,58.539,58.909,59.205,47.625
-1.12,-6,57.802,57.913,58.024,58.271,58.603,58.967,59.26,47.619
-1.04,-6,57.892,57.998,58.104,58.342,58.666,59.023,59.314,47.615
-0.96,-6,57.983,58.083,58.184,58.413,58.728,59.078,59.365,47.612
-0.88,-6,58.073,58.168,58.264,58.484,58.789,59.132,59.414,47.609
-0.8,-6,58.164,58.253,58.344,58.554,58.849,59.184,59.462,47.607
