X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,51.718,51.92,52.114,52.489,52.94,53.381,53.7,49.659
-5.92,-6,51.835,52.036,52.23,52.605,53.055,53.495,53.813,49.625
-5.84,-6,51.951,52.153,52.347,52.72,53.169,53.608,53.926,49.591
-5.76,-6,52.068,52.269,52.463,52.836,53.284,53.722,54.038,49.558
-5.68,-6,52.186,52.386,52.58,52.952,53.399,53.836,54.151,49.524
-5.6,-6,52.303,52.504,52.697,53.068,53.514,53.949,54.264,49.491
-5.52,-6,52.421,52.621,52.814,53.184,53.629,54.063,54.378,49.458
-5.44,-6,52.539,52.738,52.931,53.3,53.744,54.178,54.491,49.426
-5.36,-6,52.657,52.856,53.048,53.417,53.86,54.292,54.604,49.395
-5.28,-6,52.775,52.974,53.166,53.534,53.975,54.406,54.717,49.363
-5.2,-6,52.894,53.092,53.284,53.651,54.091,54.52,54.83,49.333
-5.12,-6,53.013,53.211,53.402,53.768,54.207,54.634,54.944,49.304
-5.04,-6,53.131,53.329,53.52,53.885,54.322,54.749,55.057,49.275
-4.96,-6,53.25,53.448,53.638,54.002,54.438,54.863,55.17,49.247
-4.88,-6,53.37,53.566,53.756,54.119,54.554,54.977,55.283,49.22
-4.8,-6,53.489,53.685,53.875,54.237,54.67,55.092,55.396,49.194
-4.72,-6,53.609,53.804,53.994,54.354,54.786,55.206,55.509,49.169
-4.64,-6,53.728,53.924,54.112,54.472,54.902,55.32,55.622,49.145
-4.56,-6,53.848,54.043,54.231,54.589,55.018,55.434,55.735,49.123
-4.48,-6,53.968,54.162,54.35,54.707,55.134,55.548,55.847,49.101
-4.4,-6,54.088,54.282,54.469,54.825,55.249,55.662,55.96,49.08
-4.32,-6,54.209,54.402,54.588,54.942,55.365,55.775,56.072,49.061
-4.24,-6,54.329,54.521,54.708,55.06,55.481,55.889,56.184,49.045
-4.16,-6,54.45,54.641,54.827,55.178,55.597,56.002,56.295,49.037
-4.08,-6,54.571,54.761,54.947,55.296,55.712,56.116,56.407,49.027
-4,-6,54.691,54.882,55.066,55.414,55.828,56.229,56.518,49.018
-3.92,-6,54.813,55.002,55.186,55.532,55.944,56.341,56.629,49.008
-3.84,-6,54.934,55.122,55.306,55.65,56.059,56.454,56.74,48.997
-3.76,-6,55.055,55.243,55.426,55.768,56.174,56.567,56.85,48.986
-3.68,-6,55.177,55.364,55.546,55.886,56.29,56.679,56.96,48.975
-3.6,-6,55.299,55.485,55.666,56.004,56.405,56.791,57.069,48.964
-3.52,-6,55.421,55.606,55.787,56.122,56.52,56.902,57.179,48.952
-3.44,-6,55.544,55.728,55.907,56.24,56.635,57.014,57.288,48.94
-3.36,-6,55.666,55.849,56.028,56.359,56.75,57.125,57.396,48.928
-3.28,-6,55.789,55.971,56.149,56.477,56.865,57.236,57.504,48.917
-3.2,-6,55.912,56.093,56.271,56.596,56.98,57.347,57.612,48.905
-3.12,-6,56.036,56.216,56.392,56.714,57.094,57.457,57.719,48.893
-3.04,-6,56.16,56.339,56.514,56.833,57.209,57.567,57.826,48.881
-2.96,-6,56.285,56.462,56.636,56.952,57.324,57.677,57.932,48.87
-2.88,-6,56.409,56.585,56.759,57.071,57.439,57.787,58.038,48.858
-2.8,-6,56.535,56.709,56.881,57.191,57.553,57.896,58.144,48.847
-2.72,-6,56.661,56.833,57.005,57.31,57.668,58.006,58.249,48.836
-2.64,-6,56.787,56.958,57.128,57.43,57.783,58.115,58.354,48.827
-2.56,-6,56.914,57.084,57.252,57.55,57.898,58.223,58.458,48.811
-2.48,-6,57.041,57.209,57.377,57.671,58.012,58.332,58.562,48.787
-2.4,-6,57.169,57.336,57.502,57.792,58.127,58.44,58.665,48.763
-2.32,-6,57.298,57.463,57.627,57.913,58.243,58.549,58.768,48.737
-2.24,-6,57.427,57.59,57.753,58.034,58.358,58.657,58.871,48.711
-2.16,-6,57.557,57.718,57.88,58.156,58.473,58.765,58.973,48.685
-2.08,-6,57.688,57.847,58.007,58.279,58.589,58.872,59.075,48.658
-2,-6,57.819,57.976,58.135,58.401,58.704,58.98,59.176,48.631
-1.92,-6,57.951,58.105,58.263,58.524,58.82,59.087,59.277,48.604
-1.84,-6,58.083,58.235,58.391,58.648,58.936,59.195,59.378,48.577
-1.76,-6,58.216,58.366,58.52,58.772,59.052,59.302,59.478,48.55
-1.68,-6,58.349,58.497,58.65,58.896,59.169,59.409,59.577,48.524
-1.6,-6,58.482,58.628,58.779,59.02,59.285,59.516,59.677,48.498
-1.52,-6,58.616,58.759,58.909,59.144,59.401,59.622,59.776,48.473
-1.44,-6,58.75,58.891,59.039,59.269,59.517,59.729,59.874,48.44
-1.36,-6,58.883,59.022,59.168,59.393,59.634,59.835,59.972,48.4
-1.28,-6,59.017,59.153,59.298,59.517,59.75,59.941,60.069,48.361
-1.2,-6,59.15,59.284,59.427,59.641,59.865,60.046,60.166,48.326
-1.12,-6,59.282,59.414,59.555,59.764,59.981,60.151,60.262,48.301
-1.04,-6,59.414,59.544,59.683,59.887,60.095,60.256,60.358,48.276
-0.96,-6,59.545,59.672,59.809,60.009,60.21,60.36,60.453,48.251
-0.88,-6,59.674,59.799,59.935,60.13,60.323,60.463,60.547,48.225
-0.8,-6,59.802,59.924,60.058,60.249,60.435,60.566,60.64,48.199
-0.72,-6,59.928,60.048,60.18,60.367,60.547,60.668,60.735,48.173
-0.64,-6,60.059,60.18,60.307,60.493,60.659,60.777,60.837,48.145
-0.56,-6,60.191,60.312,60.432,60.617,60.774,60.885,60.938,48.117
-0.48,-6,60.319,60.441,60.554,60.739,60.891,60.993,61.039,48.088
-0.4,-6,60.445,60.567,60.674,60.858,61.007,61.098,61.139,48.057
-0.32,-6,60.568,60.691,60.79,60.974,61.121,61.203,61.239,48.024
-0.24,-6,60.686,60.81,60.902,61.088,61.233,61.306,61.337,47.987
-0.16,-6,60.743,60.926,61.01,61.198,61.343,61.405,61.433,47.947
-0.08,-6,60.793,61.037,61.115,61.304,61.451,61.503,61.529,47.903
0,-6,60.868,61.143,61.215,61.406,61.556,61.6,61.623,47.853
0.08,-6,60.875,61.09,61.227,61.427,61.575,61.606,61.63,47.811
0.16,-6,60.932,61.1,61.287,61.493,61.645,61.668,61.689,47.765
