X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,51.532,51.694,51.848,52.17,52.581,53.003,53.306,49.043
-5.92,-6,51.637,51.8,51.954,52.276,52.687,53.109,53.412,49.021
-5.84,-6,51.742,51.905,52.06,52.382,52.794,53.216,53.518,49
-5.76,-6,51.847,52.011,52.166,52.488,52.901,53.322,53.624,48.978
-5.68,-6,51.953,52.116,52.272,52.595,53.007,53.429,53.731,48.957
-5.6,-6,52.058,52.222,52.379,52.702,53.114,53.536,53.837,48.937
-5.52,-6,52.164,52.329,52.485,52.808,53.221,53.642,53.943,48.917
-5.44,-6,52.27,52.435,52.592,52.915,53.328,53.749,54.049,48.898
-5.36,-6,52.376,52.541,52.698,53.022,53.435,53.855,54.155,48.879
-5.28,-6,52.482,52.648,52.805,53.129,53.541,53.962,54.262,48.861
-5.2,-6,52.588,52.754,52.912,53.236,53.648,54.068,54.368,48.844
-5.12,-6,52.694,52.86,53.019,53.343,53.755,54.175,54.474,48.828
-5.04,-6,52.801,52.967,53.125,53.45,53.861,54.281,54.58,48.813
-4.96,-6,52.907,53.073,53.232,53.556,53.968,54.387,54.685,48.799
-4.88,-6,53.013,53.18,53.338,53.663,54.074,54.493,54.791,48.785
-4.8,-6,53.119,53.286,53.445,53.769,54.18,54.599,54.896,48.773
-4.72,-6,53.225,53.392,53.551,53.875,54.286,54.705,55.001,48.761
-4.64,-6,53.331,53.498,53.657,53.981,54.392,54.81,55.106,48.751
-4.56,-6,53.437,53.604,53.763,54.087,54.497,54.915,55.211,48.742
-4.48,-6,53.542,53.709,53.868,54.192,54.602,55.019,55.315,48.743
-4.4,-6,53.648,53.815,53.974,54.297,54.706,55.123,55.419,48.743
-4.32,-6,53.753,53.92,54.079,54.402,54.811,55.227,55.522,48.742
-4.24,-6,53.858,54.025,54.184,54.506,54.915,55.331,55.625,48.741
-4.16,-6,53.963,54.13,54.289,54.61,55.018,55.434,55.727,48.74
-4.08,-6,54.068,54.234,54.393,54.714,55.121,55.536,55.829,48.738
-4,-6,54.172,54.338,54.497,54.817,55.224,55.638,55.931,48.736
-3.92,-6,54.276,54.442,54.6,54.92,55.326,55.739,56.031,48.734
-3.84,-6,54.38,54.545,54.703,55.022,55.427,55.84,56.132,48.731
-3.76,-6,54.483,54.648,54.806,55.124,55.528,55.94,56.231,48.728
-3.68,-6,54.586,54.75,54.908,55.225,55.628,56.039,56.33,48.724
-3.6,-6,54.688,54.852,55.009,55.325,55.727,56.137,56.428,48.721
-3.52,-6,54.79,54.953,55.11,55.425,55.825,56.235,56.525,48.717
-3.44,-6,54.891,55.054,55.21,55.524,55.923,56.332,56.621,48.713
-3.36,-6,54.992,55.154,55.31,55.622,56.02,56.428,56.716,48.709
-3.28,-6,55.092,55.254,55.409,55.72,56.116,56.523,56.811,48.705
-3.2,-6,55.192,55.353,55.507,55.816,56.211,56.617,56.904,48.701
-3.12,-6,55.292,55.452,55.605,55.912,56.306,56.71,56.997,48.697
-3.04,-6,55.391,55.55,55.702,56.008,56.399,56.802,57.088,48.693
-2.96,-6,55.489,55.647,55.798,56.102,56.492,56.894,57.179,48.691
-2.88,-6,55.587,55.744,55.894,56.196,56.583,56.983,57.268,48.681
-2.8,-6,55.684,55.84,55.989,56.288,56.674,57.072,57.356,48.657
-2.72,-6,55.781,55.935,56.083,56.38,56.763,57.16,57.442,48.63
-2.64,-6,55.877,56.03,56.176,56.47,56.852,57.246,57.528,48.602
-2.56,-6,55.972,56.124,56.268,56.56,56.939,57.331,57.612,48.571
-2.48,-6,56.067,56.217,56.36,56.649,57.024,57.415,57.694,48.54
