X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-6,-6,54.074,54.199,54.322,54.528,54.822,55.123,55.395,55.716,55.917,51.032
-5.92,-6,54.167,54.291,54.414,54.619,54.911,55.211,55.482,55.803,56.004,50.998
-5.84,-6,54.26,54.384,54.506,54.71,55.001,55.299,55.57,55.889,56.09,50.964
-5.76,-6,54.353,54.476,54.597,54.8,55.09,55.388,55.658,55.976,56.177,50.931
-5.68,-6,54.446,54.569,54.69,54.891,55.18,55.477,55.745,56.063,56.263,50.898
-5.6,-6,54.54,54.662,54.782,54.982,55.27,55.565,55.833,56.15,56.35,50.865
-5.52,-6,54.634,54.755,54.874,55.074,55.36,55.654,55.921,56.237,56.436,50.833
-5.44,-6,54.727,54.848,54.966,55.165,55.45,55.743,56.009,56.324,56.523,50.801
-5.36,-6,54.821,54.941,55.059,55.256,55.54,55.832,56.096,56.411,56.609,50.769
-5.28,-6,54.915,55.034,55.151,55.347,55.63,55.92,56.184,56.498,56.695,50.739
-5.2,-6,55.009,55.127,55.244,55.439,55.72,56.009,56.272,56.585,56.782,50.708
-5.12,-6,55.103,55.221,55.336,55.53,55.809,56.098,56.359,56.671,56.868,50.678
-5.04,-6,55.197,55.314,55.429,55.621,55.899,56.186,56.447,56.758,56.954,50.649
-4.96,-6,55.291,55.407,55.521,55.712,55.989,56.275,56.534,56.845,57.04,50.621
-4.88,-6,55.385,55.5,55.614,55.804,56.079,56.363,56.622,56.931,57.126,50.593
-4.8,-6,55.479,55.594,55.706,55.895,56.168,56.452,56.709,57.017,57.212,50.571
-4.72,-6,55.573,55.687,55.799,55.986,56.258,56.54,56.796,57.103,57.297,50.551
-4.64,-6,55.667,55.78,55.891,56.077,56.347,56.628,56.882,57.189,57.382,50.53
-4.56,-6,55.761,55.873,55.983,56.168,56.437,56.715,56.969,57.274,57.467,50.511
-4.48,-6,55.855,55.966,56.075,56.258,56.526,56.803,57.055,57.36,57.552,50.499
-4.4,-6,55.949,56.059,56.167,56.349,56.614,56.89,57.141,57.445,57.637,50.487
-4.32,-6,56.042,56.152,56.259,56.439,56.703,56.977,57.227,57.529,57.721,50.475
-4.24,-6,56.136,56.244,56.351,56.529,56.791,57.064,57.313,57.614,57.804,50.462
-4.16,-6,56.229,56.337,56.442,56.619,56.88,57.151,57.398,57.698,57.888,50.449
-4.08,-6,56.322,56.429,56.533,56.709,56.967,57.237,57.483,57.781,57.971,50.436
-4,-6,56.415,56.521,56.624,56.798,57.055,57.323,57.567,57.865,58.054,50.423
-3.92,-6,56.508,56.612,56.715,56.887,57.142,57.408,57.651,57.948,58.136,50.41
-3.84,-6,56.6,56.704,56.805,56.976,57.229,57.493,57.735,58.03,58.217,50.397
-3.76,-6,56.692,56.795,56.895,57.064,57.315,57.578,57.818,58.112,58.299,50.383
-3.68,-6,56.784,56.886,56.985,57.152,57.401,57.662,57.901,58.193,58.379,50.37
-3.6,-6,56.876,56.976,57.074,57.24,57.487,57.746,57.983,58.274,58.459,50.356
-3.52,-6,56.967,57.066,57.163,57.327,57.572,57.829,58.064,58.354,58.539,50.342
-3.44,-6,57.058,57.156,57.252,57.414,57.657,57.912,58.146,58.434,58.618,50.328
-3.36,-6,57.148,57.245,57.34,57.5,57.741,57.994,58.226,58.513,58.696,50.314
-3.28,-6,57.238,57.334,57.428,57.586,57.825,58.076,58.306,58.591,58.774,50.302
-3.2,-6,57.327,57.422,57.515,57.671,57.908,58.157,58.385,58.669,58.851,50.291
-3.12,-6,57.416,57.51,57.601,57.756,57.99,58.237,58.464,58.746,58.927,50.279
-3.04,-6,57.505,57.598,57.687,57.84,58.072,58.316,58.541,58.822,59.002,50.268
-2.96,-6,57.593,57.684,57.773,57.924,58.153,58.395,58.618,58.897,59.077,50.256
-2.88,-6,57.68,57.771,57.858,58.006,58.233,58.474,58.695,58.972,59.15,50.239
-2.8,-6,57.767,57.856,57.942,58.089,58.313,58.551,58.77,59.046,59.223,50.211
-2.72,-6,57.853,57.941,58.026,58.17,58.392,58.628,58.845,59.119,59.295,50.182
-2.64,-6,57.939,58.025,58.109,58.251,58.47,58.704,58.919,59.191,59.366,50.153
-2.56,-6,58.023,58.109,58.191,58.331,58.548,58.779,58.992,59.262,59.436,50.123
-2.48,-6,58.108,58.192,58.272,58.41,58.625,58.853,59.064,59.332,59.505,50.093
-2.4,-6,58.191,58.274,58.353,58.489,58.7,58.926,59.135,59.401,59.574,50.063
-2.32,-6,58.274,58.355,58.433,58.567,58.775,58.999,59.205,59.469,59.641,50.032
-2.24,-6,58.355,58.436,58.512,58.643,58.849,59.07,59.274,59.537,59.707,50.001
-2.16,-6,58.436,58.515,58.591,58.719,58.923,59.141,59.342,59.603,59.772,49.97
-2.08,-6,58.517,58.594,58.668,58.794,58.995,59.21,59.409,59.668,59.835,49.939
-2,-6,58.596,58.672,58.744,58.869,59.066,59.278,59.476,59.731,59.898,49.907
-1.92,-6,58.674,58.749,58.82,58.942,59.136,59.346,59.541,59.794,59.96,49.876
-1.84,-6,58.752,58.825,58.895,59.014,59.206,59.412,59.604,59.856,60.02,49.844
-1.76,-6,58.828,58.901,58.968,59.085,59.274,59.478,59.667,59.916,60.079,49.812
-1.68,-6,58.904,58.975,59.041,59.155,59.341,59.542,59.729,59.976,60.137,49.78
-1.6,-6,58.978,59.048,59.112,59.225,59.407,59.605,59.789,60.034,60.194,49.748
-1.52,-6,59.052,59.12,59.183,59.293,59.472,59.667,59.849,60.09,60.249,49.715
-1.44,-6,59.124,59.191,59.252,59.36,59.536,59.728,59.907,60.146,60.303,49.683
-1.36,-6,59.195,59.261,59.321,59.426,59.599,59.787,59.964,60.2,60.356,49.65
-1.28,-6,59.266,59.329,59.388,59.49,59.66,59.846,60.019,60.253,60.408,49.617
-1.2,-6,59.335,59.397,59.454,59.554,59.721,59.903,60.074,60.305,60.458,49.584
-1.12,-6,59.402,59.463,59.519,59.616,59.78,59.959,60.127,60.355,60.507,49.551
-1.04,-6,59.469,59.529,59.582,59.677,59.838,60.014,60.179,60.404,60.554,49.517
-0.96,-6,59.534,59.593,59.645,59.737,59.895,60.067,60.229,60.452,60.601,49.482
-0.88,-6,59.598,59.655,59.706,59.796,59.95,60.12,60.279,60.499,60.645,49.448
-0.8,-6,59.661,59.717,59.766,59.853,60.004,60.171,60.327,60.544,60.689,49.412
-0.72,-6,59.723,59.777,59.824,59.909,60.057,60.22,60.373,60.588,60.731,49.376
-0.64,-6,59.783,59.836,59.881,59.964,60.109,60.269,60.419,60.63,60.772,49.339
-0.56,-6,59.841,59.893,59.937,60.018,60.159,60.316,60.463,60.671,60.811,49.3
-0.48,-6,59.899,59.949,59.992,60.07,60.208,60.362,60.506,60.711,60.849,49.261
-0.4,-6,59.955,60.004,60.045,60.12,60.256,60.406,60.547,60.749,60.886,49.22
-0.32,-6,60.009,60.057,60.096,60.17,60.302,60.449,60.587,60.787,60.921,49.178
-0.24,-6,60.062,60.109,60.147,60.218,60.347,60.491,60.626,60.822,60.955,49.134
-0.16,-6,60.114,60.159,60.196,60.264,60.391,60.531,60.664,60.857,60.988,49.088
-0.08,-6,60.164,60.208,60.243,60.309,60.433,60.57,60.7,60.89,61.019,49.041
0,-6,60.213,60.255,60.289,60.353,60.474,60.608,60.734,60.921,61.049,48.991
0.08,-6,60.068,60.104,60.131,60.204,60.311,60.432,60.566,60.741,60.861,48.955
0.16,-6,60.059,60.09,60.113,60.187,60.287,60.4,60.534,60.702,60.818,48.919
0.24,-6,60.069,60.098,60.117,60.191,60.285,60.39,60.523,60.684,60.798,49.078
0.32,-6,60.087,60.115,60.13,60.203,60.291,60.39,60.52,60.678,60.789,49.062
0.4,-6,60.11,60.135,60.148,60.219,60.301,60.397,60.525,60.677,60.783,49.018
0.48,-6,60.134,60.157,60.168,60.237,60.316,60.405,60.53,60.678,60.783,48.972
0.56,-6,60.159,60.181,60.189,60.256,60.33,60.416,60.538,60.681,60.782,48.924
0.64,-6,60.191,60.204,60.21,60.275,60.345,60.426,60.546,60.685,60.784,48.874
0.72,-6,60.228,60.239,60.236,60.294,60.36,60.437,60.554,60.688,60.785,48.822
0.8,-6,60.264,60.273,60.267,60.313,60.374,60.447,60.56,60.692,60.785,48.769
0.88,-6,60.299,60.305,60.298,60.339,60.387,60.456,60.567,60.694,60.786,48.715
0.96,-6,60.332,60.337,60.326,60.364,60.403,60.464,60.572,60.696,60.785,48.659
1.04,-6,60.367,60.368,60.355,60.388,60.423,60.471,60.576,60.697,60.783,48.602
1.12,-6,60.401,60.399,60.382,60.41,60.44,60.481,60.579,60.696,60.78,48.544
1.2,-6,60.438,60.429,60.409,60.43,60.456,60.493,60.579,60.693,60.776,48.484
1.28,-6,60.475,60.463,60.435,60.45,60.471,60.503,60.582,60.69,60.77,48.424
1.36,-6,60.509,60.495,60.465,60.47,60.484,60.512,60.587,60.685,60.763,48.362
