X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-6,-6,54.613,54.729,54.84,55.018,55.32,55.66,55.932,56.243,56.437,50.235
-5.92,-6,54.707,54.823,54.934,55.11,55.411,55.75,56.021,56.33,56.525,50.208
-5.84,-6,54.802,54.917,55.027,55.202,55.501,55.84,56.11,56.418,56.612,50.181
-5.76,-6,54.897,55.011,55.12,55.294,55.592,55.93,56.199,56.506,56.699,50.155
-5.68,-6,54.992,55.106,55.214,55.386,55.683,56.02,56.288,56.594,56.787,50.13
-5.6,-6,55.088,55.2,55.308,55.478,55.774,56.11,56.377,56.682,56.874,50.104
-5.52,-6,55.183,55.295,55.402,55.571,55.866,56.2,56.466,56.771,56.962,50.08
-5.44,-6,55.279,55.39,55.496,55.664,55.957,56.29,56.555,56.859,57.049,50.055
-5.36,-6,55.375,55.485,55.59,55.756,56.048,56.381,56.644,56.947,57.137,50.031
-5.28,-6,55.471,55.58,55.684,55.849,56.14,56.471,56.734,57.035,57.225,50.008
-5.2,-6,55.567,55.676,55.779,55.942,56.231,56.561,56.823,57.123,57.312,49.985
-5.12,-6,55.663,55.771,55.873,56.035,56.323,56.652,56.912,57.211,57.4,49.967
-5.04,-6,55.759,55.867,55.968,56.128,56.414,56.742,57.001,57.299,57.487,49.953
-4.96,-6,55.856,55.962,56.063,56.221,56.506,56.832,57.09,57.387,57.574,49.939
-4.88,-6,55.953,56.058,56.157,56.314,56.598,56.923,57.179,57.475,57.662,49.925
-4.8,-6,56.049,56.154,56.252,56.407,56.689,57.013,57.268,57.563,57.749,49.92
-4.72,-6,56.146,56.249,56.347,56.5,56.78,57.103,57.357,57.651,57.836,49.914
-4.64,-6,56.243,56.345,56.442,56.593,56.872,57.193,57.446,57.738,57.922,49.908
-4.56,-6,56.339,56.441,56.536,56.686,56.963,57.283,57.535,57.826,58.009,49.902
-4.48,-6,56.436,56.537,56.631,56.779,57.054,57.373,57.623,57.913,58.095,49.895
-4.4,-6,56.533,56.632,56.726,56.871,57.145,57.463,57.711,58,58.182,49.888
-4.32,-6,56.63,56.728,56.82,56.964,57.236,57.552,57.799,58.086,58.267,49.881
-4.24,-6,56.726,56.824,56.915,57.056,57.327,57.641,57.887,58.173,58.353,49.873
-4.16,-6,56.823,56.919,57.009,57.149,57.418,57.73,57.975,58.259,58.438,49.865
-4.08,-6,56.919,57.015,57.104,57.241,57.508,57.819,58.062,58.345,58.523,49.857
-4,-6,57.016,57.11,57.198,57.333,57.598,57.908,58.149,58.43,58.608,49.848
-3.92,-6,57.112,57.205,57.292,57.425,57.688,57.996,58.236,58.515,58.692,49.839
-3.84,-6,57.208,57.3,57.386,57.517,57.778,58.084,58.322,58.6,58.776,49.83
-3.76,-6,57.304,57.395,57.479,57.608,57.867,58.172,58.408,58.685,58.86,49.82
-3.68,-6,57.4,57.49,57.573,57.699,57.956,58.259,58.494,58.768,58.943,49.81
-3.6,-6,57.496,57.585,57.666,57.79,58.045,58.346,58.579,58.852,59.025,49.802
-3.52,-6,57.592,57.679,57.759,57.88,58.133,58.432,58.664,58.935,59.107,49.795
-3.44,-6,57.687,57.773,57.851,57.97,58.221,58.518,58.748,59.017,59.189,49.787
-3.36,-6,57.782,57.866,57.944,58.06,58.309,58.604,58.832,59.099,59.27,49.779
-3.28,-6,57.876,57.96,58.036,58.15,58.396,58.689,58.915,59.181,59.35,49.772
-3.2,-6,57.971,58.053,58.127,58.239,58.482,58.773,58.997,59.262,59.43,49.762
-3.12,-6,58.065,58.146,58.219,58.327,58.569,58.858,59.08,59.342,59.509,49.745
-3.04,-6,58.159,58.238,58.31,58.415,58.654,58.941,59.161,59.421,59.587,49.728
-2.96,-6,58.252,58.33,58.4,58.503,58.739,59.024,59.242,59.5,59.665,49.711
-2.88,-6,58.345,58.422,58.49,58.59,58.824,59.106,59.322,59.578,59.742,49.694
-2.8,-6,58.438,58.513,58.58,58.677,58.908,59.188,59.402,59.656,59.818,49.676
-2.72,-6,58.53,58.604,58.669,58.763,58.991,59.269,59.481,59.732,59.893,49.659
-2.64,-6,58.622,58.694,58.757,58.849,59.074,59.349,59.559,59.808,59.968,49.641
-2.56,-6,58.713,58.784,58.845,58.934,59.156,59.429,59.636,59.883,60.042,49.623
-2.48,-6,58.804,58.873,58.933,59.018,59.238,59.508,59.713,59.957,60.114,49.605
-2.4,-6,58.894,58.962,59.02,59.102,59.319,59.586,59.788,60.031,60.186,49.588
-2.32,-6,58.984,59.05,59.106,59.185,59.399,59.663,59.863,60.103,60.258,49.57
-2.24,-6,59.073,59.137,59.192,59.268,59.478,59.74,59.937,60.175,60.328,49.553
-2.16,-6,59.162,59.224,59.277,59.35,59.557,59.816,60.01,60.245,60.397,49.535
-2.08,-6,59.25,59.311,59.362,59.431,59.635,59.891,60.083,60.315,60.465,49.518
-2,-6,59.337,59.397,59.446,59.511,59.712,59.965,60.154,60.384,60.532,49.501
-1.92,-6,59.424,59.482,59.529,59.591,59.788,60.038,60.225,60.451,60.598,49.484
-1.84,-6,59.51,59.566,59.611,59.67,59.864,60.11,60.294,60.518,60.663,49.467
-1.76,-6,59.596,59.65,59.693,59.748,59.938,60.182,60.363,60.584,60.727,49.46
-1.68,-6,59.68,59.733,59.774,59.825,60.012,60.252,60.43,60.648,60.79,49.453
-1.6,-6,59.764,59.815,59.854,59.902,60.085,60.321,60.496,60.712,60.852,49.445
-1.52,-6,59.848,59.896,59.933,59.977,60.157,60.39,60.562,60.774,60.912,49.438
-1.44,-6,59.93,59.977,60.012,60.052,60.228,60.457,60.626,60.835,60.972,49.424
-1.36,-6,60.012,60.057,60.09,60.126,60.298,60.523,60.69,60.895,61.03,49.406
-1.28,-6,60.093,60.136,60.167,60.199,60.367,60.589,60.752,60.954,61.087,49.387
-1.2,-6,60.173,60.215,60.243,60.271,60.435,60.653,60.813,61.012,61.143,49.368
-1.12,-6,60.253,60.292,60.318,60.342,60.502,60.716,60.873,61.069,61.197,49.348
-1.04,-6,60.331,60.369,60.392,60.413,60.568,60.779,60.932,61.124,61.251,49.327
-0.96,-6,60.409,60.444,60.466,60.482,60.634,60.84,60.989,61.178,61.303,49.306
-0.88,-6,60.486,60.519,60.539,60.551,60.698,60.9,61.046,61.231,61.354,49.283
-0.8,-6,60.561,60.593,60.61,60.618,60.761,60.958,61.101,61.283,61.404,49.26
-0.72,-6,60.637,60.666,60.681,60.685,60.823,61.016,61.156,61.334,61.452,49.236
-0.64,-6,60.711,60.738,60.751,60.75,60.884,61.073,61.209,61.383,61.5,49.21
-0.56,-6,60.784,60.81,60.82,60.815,60.944,61.128,61.261,61.432,61.546,49.184
-0.48,-6,60.856,60.88,60.888,60.879,61.003,61.183,61.314,61.482,61.595,49.155
-0.4,-6,60.929,60.95,60.955,60.943,61.062,61.239,61.369,61.535,61.646,49.125
-0.32,-6,61.001,61.019,61.022,61.006,61.12,61.269,61.422,61.587,61.697,49.093
-0.24,-6,61.072,61.087,61.088,61.068,61.176,61.296,61.475,61.639,61.746,49.059
-0.16,-6,61.142,61.155,61.153,61.129,61.231,61.333,61.527,61.689,61.795,49.023
-0.08,-6,61.211,61.223,61.217,61.189,61.286,61.382,61.578,61.738,61.843,48.984
0,-6,61.28,61.289,61.281,61.248,61.339,61.43,61.603,61.787,61.89,48.943
0.08,-6,61.196,61.197,61.18,61.148,61.222,61.297,61.453,61.656,61.752,48.91
0.16,-6,61.219,61.216,61.194,61.158,61.221,61.286,61.429,61.646,61.738,48.876
0.24,-6,61.26,61.253,61.226,61.186,61.239,61.295,61.435,61.655,61.746,49.038
0.32,-6,61.308,61.297,61.266,61.221,61.264,61.313,61.45,61.675,61.762,49.024
0.4,-6,61.359,61.345,61.31,61.261,61.294,61.336,61.47,61.698,61.782,48.981
0.48,-6,61.412,61.395,61.358,61.302,61.327,61.361,61.491,61.721,61.807,48.935
0.56,-6,61.468,61.447,61.406,61.345,61.362,61.388,61.515,61.711,61.833,48.888
0.64,-6,61.525,61.5,61.455,61.389,61.398,61.416,61.538,61.709,61.86,48.839
0.72,-6,61.59,61.558,61.504,61.433,61.434,61.444,61.563,61.724,61.888,48.788
0.8,-6,61.654,61.62,61.562,61.476,61.47,61.472,61.587,61.743,61.916,48.736
0.88,-6,61.719,61.681,61.62,61.524,61.506,61.5,61.61,61.762,61.93,48.682
0.96,-6,61.784,61.743,61.678,61.575,61.541,61.527,61.633,61.779,61.92,48.627
1.04,-6,61.849,61.804,61.735,61.625,61.582,61.554,61.655,61.797,61.916,48.57
1.12,-6,61.915,61.866,61.792,61.674,61.622,61.581,61.677,61.813,61.928,48.513
1.2,-6,61.983,61.928,61.85,61.722,61.663,61.613,61.698,61.829,61.941,48.454
1.28,-6,62.052,61.993,61.908,61.771,61.702,61.645,61.718,61.843,61.953,48.394
1.36,-6,62.121,62.058,61.969,61.82,61.741,61.677,61.74,61.858,61.964,48.332
1.44,-6,62.153,62.123,62.03,61.869,61.781,61.709,61.764,61.871,61.975,48.27
1.52,-6,62.169,62.166,62.091,61.921,61.82,61.74,61.787,61.885,61.985,48.206
1.6,-6,62.209,62.175,62.15,61.973,61.861,61.771,61.81,61.899,61.995,48.141
1.68,-6,62.267,62.207,62.148,62.024,61.902,61.802,61.833,61.915,62.004,48.075
1.76,-6,62.325,62.262,62.171,62.077,61.942,61.833,61.855,61.93,62.014,48.008
1.84,-6,62.386,62.317,62.22,62.125,61.978,61.861,61.875,61.944,62.025,47.94
1.92,-6,62.448,62.372,62.271,62.167,62.011,61.888,61.894,61.957,62.034,47.87
2,-6,62.511,62.428,62.323,62.21,62.044,61.915,61.912,61.969,62.043,47.8
2.08,-6,62.574,62.483,62.375,62.253,62.077,61.941,61.931,61.981,62.052,47.728
2.16,-6,62.639,62.543,62.428,62.296,62.11,61.968,61.95,61.993,62.06,47.656
2.24,-6,62.704,62.604,62.482,62.341,62.144,61.996,61.968,62.005,62.068,47.582
2.32,-6,62.771,62.666,62.538,62.386,62.179,62.023,61.988,62.017,62.076,47.508
2.4,-6,62.839,62.73,62.593,62.432,62.214,62.052,62.007,62.03,62.084,47.432
2.48,-6,62.913,62.795,62.652,62.48,62.25,62.082,62.027,62.042,62.092,47.356
2.56,-6,62.989,62.862,62.714,62.528,62.287,62.112,62.048,62.056,62.1,47.278
2.64,-6,63.067,62.928,62.778,62.578,62.325,62.144,62.07,62.069,62.109,47.2
2.72,-6,63.147,63.001,62.843,62.63,62.364,62.176,62.093,62.084,62.118,47.121
2.8,-6,63.228,63.077,62.91,62.683,62.405,62.211,62.117,62.099,62.128,47.041
2.88,-6,63.311,63.154,62.979,62.738,62.448,62.246,62.142,62.116,62.139,46.96
2.96,-6,63.397,63.234,63.049,62.794,62.492,62.284,62.168,62.133,62.151,46.878
3.04,-6,63.484,63.316,63.121,62.853,62.537,62.323,62.196,62.152,62.165,46.796
3.12,-6,63.573,63.4,63.199,62.913,62.585,62.364,62.226,62.172,62.179,46.713
3.2,-6,63.664,63.486,63.279,62.975,62.634,62.406,62.257,62.193,62.195,46.629
3.28,-6,63.757,63.575,63.361,63.042,62.686,62.451,62.289,62.216,62.212,46.544
3.36,-6,63.851,63.665,63.445,63.111,62.739,62.498,62.324,62.24,62.231,46.459
3.44,-6,63.944,63.757,63.532,63.183,62.795,62.546,62.361,62.267,62.251,46.373
3.52,-6,64.031,63.852,63.621,63.257,62.854,62.597,62.4,62.295,62.273,46.287
3.6,-6,64.12,63.943,63.712,63.333,62.914,62.65,62.441,62.326,62.298,46.2
3.68,-6,64.21,64.031,63.805,63.412,62.977,62.706,62.485,62.358,62.324,46.112
3.76,-6,64.302,64.121,63.901,63.491,63.043,62.764,62.531,62.393,62.352,46.024
3.84,-6,64.396,64.214,63.995,63.575,63.111,62.825,62.579,62.43,62.382,45.935
3.92,-6,64.491,64.307,64.086,63.662,63.181,62.889,62.629,62.469,62.415,45.846
4,-6,64.587,64.403,64.18,63.751,63.254,62.955,62.682,62.511,62.451,45.757
4.08,-6,64.685,64.5,64.275,63.843,63.33,63.023,62.738,62.555,62.488,45.667
4.16,-6,64.784,64.599,64.372,63.937,63.408,63.095,62.796,62.601,62.529,45.576
4.24,-6,64.885,64.699,64.471,64.034,63.489,63.169,62.857,62.65,62.572,45.486
