X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-6,-6,56.369,56.463,56.546,56.67,56.819,56.976,57.047,57.181,57.303,51.528
-5.92,-6,56.469,56.563,56.644,56.765,56.912,57.067,57.135,57.269,57.39,51.481
-5.84,-6,56.57,56.662,56.743,56.861,57.005,57.158,57.223,57.356,57.477,51.435
-5.76,-6,56.671,56.762,56.841,56.958,57.099,57.249,57.312,57.444,57.564,51.388
-5.68,-6,56.772,56.863,56.94,57.054,57.193,57.341,57.401,57.531,57.651,51.343
-5.6,-6,56.874,56.963,57.04,57.151,57.287,57.433,57.49,57.619,57.738,51.297
-5.52,-6,56.976,57.065,57.14,57.249,57.381,57.525,57.58,57.707,57.826,51.252
-5.44,-6,57.079,57.166,57.24,57.346,57.476,57.617,57.669,57.796,57.914,51.208
-5.36,-6,57.182,57.268,57.34,57.444,57.571,57.71,57.759,57.884,58.001,51.164
-5.28,-6,57.286,57.37,57.441,57.543,57.666,57.802,57.849,57.973,58.089,51.12
-5.2,-6,57.39,57.473,57.543,57.641,57.761,57.895,57.939,58.061,58.177,51.077
-5.12,-6,57.494,57.576,57.644,57.74,57.857,57.988,58.029,58.15,58.265,51.035
-5.04,-6,57.598,57.68,57.746,57.839,57.953,58.082,58.119,58.239,58.354,50.993
-4.96,-6,57.704,57.784,57.849,57.938,58.049,58.175,58.21,58.328,58.442,50.952
-4.88,-6,57.809,57.888,57.951,58.038,58.146,58.269,58.3,58.417,58.53,50.912
-4.8,-6,57.915,57.992,58.054,58.138,58.242,58.363,58.391,58.506,58.619,50.873
-4.72,-6,58.021,58.097,58.158,58.238,58.339,58.457,58.482,58.595,58.707,50.834
-4.64,-6,58.128,58.203,58.261,58.339,58.436,58.551,58.572,58.684,58.795,50.795
-4.56,-6,58.235,58.308,58.365,58.44,58.534,58.645,58.663,58.773,58.884,50.758
-4.48,-6,58.342,58.414,58.47,58.541,58.631,58.739,58.754,58.863,58.972,50.727
-4.4,-6,58.45,58.521,58.574,58.642,58.729,58.834,58.845,58.952,59.06,50.699
-4.32,-6,58.558,58.627,58.679,58.744,58.827,58.929,58.936,59.041,59.149,50.671
-4.24,-6,58.667,58.734,58.785,58.846,58.925,59.023,59.027,59.13,59.237,50.646
-4.16,-6,58.776,58.842,58.89,58.948,59.023,59.118,59.118,59.219,59.325,50.626
-4.08,-6,58.885,58.949,58.996,59.05,59.121,59.213,59.209,59.308,59.413,50.607
-4,-6,58.995,59.058,59.102,59.153,59.22,59.308,59.3,59.397,59.501,50.587
