X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-6,-6,54.171,54.287,54.428,54.658,54.97,55.29,55.583,55.933,56.268,50.235
-5.92,-6,54.263,54.379,54.519,54.748,55.059,55.378,55.67,56.019,56.354,50.208
-5.84,-6,54.355,54.47,54.61,54.838,55.148,55.465,55.757,56.105,56.44,50.182
-5.76,-6,54.448,54.562,54.701,54.929,55.237,55.553,55.844,56.192,56.526,50.156
-5.68,-6,54.54,54.654,54.792,55.019,55.326,55.641,55.931,56.278,56.612,50.13
-5.6,-6,54.633,54.745,54.883,55.109,55.415,55.729,56.018,56.364,56.698,50.105
-5.52,-6,54.726,54.837,54.975,55.2,55.504,55.817,56.105,56.45,56.784,50.08
-5.44,-6,54.819,54.929,55.066,55.29,55.594,55.905,56.192,56.536,56.87,50.055
-5.36,-6,54.912,55.021,55.158,55.381,55.683,55.993,56.279,56.622,56.956,50.032
-5.28,-6,55.005,55.114,55.249,55.471,55.772,56.081,56.365,56.708,57.042,50.008
-5.2,-6,55.098,55.206,55.341,55.562,55.861,56.169,56.452,56.794,57.128,49.985
-5.12,-6,55.191,55.298,55.432,55.652,55.95,56.256,56.539,56.88,57.214,49.967
-5.04,-6,55.284,55.39,55.524,55.742,56.039,56.344,56.625,56.966,57.299,49.953
-4.96,-6,55.377,55.482,55.615,55.833,56.128,56.432,56.712,57.051,57.384,49.939
-4.88,-6,55.47,55.574,55.707,55.923,56.217,56.519,56.798,57.137,57.47,49.926
-4.8,-6,55.563,55.666,55.798,56.013,56.306,56.606,56.884,57.222,57.555,49.92
-4.72,-6,55.656,55.758,55.889,56.103,56.394,56.694,56.97,57.307,57.64,49.915
-4.64,-6,55.749,55.85,55.981,56.193,56.483,56.781,57.056,57.392,57.724,49.909
-4.56,-6,55.842,55.942,56.072,56.283,56.571,56.867,57.142,57.476,57.808,49.902
-4.48,-6,55.935,56.034,56.163,56.373,56.659,56.954,57.227,57.56,57.893,49.896
-4.4,-6,56.027,56.125,56.253,56.462,56.747,57.04,57.312,57.644,57.976,49.889
-4.32,-6,56.12,56.216,56.344,56.552,56.834,57.126,57.396,57.728,58.06,49.881
-4.24,-6,56.212,56.308,56.434,56.641,56.922,57.212,57.481,57.811,58.143,49.874
-4.16,-6,56.304,56.398,56.524,56.73,57.008,57.297,57.565,57.894,58.225,49.865
-4.08,-6,56.396,56.489,56.614,56.818,57.095,57.382,57.648,57.976,58.308,49.857
-4,-6,56.488,56.58,56.704,56.906,57.182,57.467,57.731,58.058,58.39,49.848
-3.92,-6,56.579,56.67,56.793,56.994,57.267,57.551,57.814,58.14,58.471,49.839
-3.84,-6,56.67,56.759,56.882,57.082,57.353,57.634,57.896,58.221,58.552,49.83
-3.76,-6,56.761,56.849,56.971,57.169,57.438,57.718,57.978,58.301,58.632,49.821
-3.68,-6,56.851,56.938,57.059,57.256,57.523,57.8,58.059,58.381,58.712,49.811
-3.6,-6,56.941,57.027,57.147,57.342,57.607,57.883,58.14,58.461,58.791,49.802
-3.52,-6,57.031,57.115,57.234,57.428,57.691,57.964,58.22,58.539,58.87,49.795
-3.44,-6,57.12,57.203,57.321,57.513,57.774,58.046,58.3,58.617,58.948,49.787
-3.36,-6,57.209,57.29,57.407,57.598,57.857,58.126,58.378,58.695,59.025,49.78
-3.28,-6,57.297,57.377,57.493,57.682,57.939,58.206,58.457,58.772,59.101,49.772
-3.2,-6,57.385,57.463,57.579,57.766,58.02,58.285,58.534,58.847,59.177,49.763
-3.12,-6,57.472,57.549,57.663,57.849,58.101,58.364,58.611,58.923,59.252,49.746
-3.04,-6,57.559,57.634,57.748,57.932,58.181,58.442,58.687,58.997,59.327,49.729
-2.96,-6,57.645,57.719,57.831,58.014,58.261,58.519,58.762,59.071,59.4,49.711
-2.88,-6,57.731,57.803,57.914,58.095,58.34,58.595,58.836,59.143,59.473,49.694
-2.8,-6,57.816,57.886,57.997,58.175,58.418,58.671,58.91,59.215,59.544,49.677
-2.72,-6,57.9,57.969,58.078,58.255,58.495,58.746,58.982,59.286,59.615,49.659
-2.64,-6,57.983,58.051,58.159,58.334,58.571,58.819,59.054,59.356,59.685,49.641
-2.56,-6,58.066,58.132,58.239,58.412,58.647,58.892,59.125,59.425,59.753,49.623
-2.48,-6,58.148,58.213,58.319,58.49,58.721,58.964,59.195,59.492,59.821,49.606
-2.4,-6,58.23,58.292,58.397,58.566,58.795,59.035,59.263,59.559,59.888,49.588
-2.32,-6,58.31,58.371,58.475,58.642,58.868,59.106,59.331,59.625,59.954,49.571
-2.24,-6,58.39,58.449,58.552,58.717,58.94,59.175,59.398,59.69,60.018,49.553
