X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,36.731,36.93,37.142,37.531,37.978,38.26,38.373
-5.92,-6,36.852,37.051,37.262,37.65,38.096,38.378,38.365
-5.84,-6,36.973,37.171,37.382,37.769,38.214,38.496,38.356
-5.76,-6,37.095,37.292,37.502,37.888,38.333,38.613,38.346
-5.68,-6,37.216,37.413,37.623,38.008,38.451,38.731,38.336
-5.6,-6,37.338,37.534,37.743,38.127,38.569,38.849,38.325
-5.52,-6,37.459,37.655,37.863,38.246,38.688,38.967,38.314
-5.44,-6,37.581,37.776,37.984,38.366,38.806,39.085,38.302
-5.36,-6,37.702,37.897,38.104,38.485,38.924,39.202,38.29
-5.28,-6,37.824,38.018,38.225,38.604,39.042,39.32,38.278
-5.2,-6,37.946,38.139,38.345,38.723,39.161,39.438,38.266
-5.12,-6,38.067,38.26,38.466,38.843,39.279,39.555,38.254
-5.04,-6,38.189,38.381,38.586,38.962,39.397,39.672,38.242
-4.96,-6,38.311,38.502,38.706,39.081,39.514,39.789,38.23
-4.88,-6,38.432,38.623,38.826,39.199,39.632,39.906,38.218
-4.8,-6,38.554,38.743,38.946,39.318,39.749,40.023,38.206
-4.72,-6,38.675,38.864,39.066,39.437,39.866,40.14,38.194
-4.64,-6,38.796,38.984,39.186,39.555,39.983,40.256,38.183
-4.56,-6,38.917,39.105,39.305,39.673,40.1,40.372,38.171
-4.48,-6,39.038,39.225,39.425,39.79,40.216,40.487,38.16
-4.4,-6,39.159,39.345,39.544,39.908,40.332,40.603,38.148
-4.32,-6,39.28,39.464,39.662,40.025,40.448,40.717,38.135
-4.24,-6,39.4,39.584,39.781,40.142,40.563,40.832,38.121
-4.16,-6,39.52,39.703,39.899,40.258,40.678,40.946,38.106
-4.08,-6,39.64,39.822,40.017,40.374,40.792,41.059,38.09
-4,-6,39.759,39.94,40.134,40.49,40.906,41.172,38.073
-3.92,-6,39.878,40.058,40.251,40.605,41.019,41.284,38.056
-3.84,-6,39.997,40.176,40.368,40.719,41.132,41.396,38.039
-3.76,-6,40.116,40.293,40.484,40.834,41.244,41.507,38.021
-3.68,-6,40.234,40.41,40.6,40.947,41.355,41.617,38.003
-3.6,-6,40.352,40.527,40.715,41.06,41.466,41.727,37.984
-3.52,-6,40.47,40.643,40.83,41.173,41.576,41.836,37.965
-3.44,-6,40.587,40.759,40.944,41.284,41.686,41.944,37.947
-3.36,-6,40.704,40.874,41.058,41.396,41.795,42.052,37.928
-3.28,-6,40.82,40.989,41.171,41.506,41.903,42.159,37.91
-3.2,-6,40.936,41.104,41.284,41.616,42.01,42.264,37.891
-3.12,-6,41.052,41.218,41.397,41.726,42.116,42.369,37.873
-3.04,-6,41.167,41.331,41.508,41.834,42.222,42.473,37.856
-2.96,-6,41.282,41.444,41.619,41.942,42.326,42.576,37.842
-2.88,-6,41.397,41.557,41.73,42.049,42.43,42.678,37.824
-2.8,-6,41.511,41.669,41.84,42.156,42.533,42.779,37.792
-2.72,-6,41.625,41.781,41.95,42.261,42.635,42.879,37.758
-2.64,-6,41.739,41.892,42.059,42.367,42.736,42.978,37.721
-2.56,-6,41.852,42.003,42.167,42.471,42.836,43.076,37.682
-2.48,-6,41.965,42.114,42.276,42.575,42.935,43.173,37.642
-2.4,-6,42.078,42.224,42.383,42.678,43.034,43.269,37.6
-2.32,-6,42.191,42.334,42.49,42.78,43.131,43.364,37.555
-2.24,-6,42.304,42.444,42.597,42.881,43.227,43.457,37.51
-2.16,-6,42.417,42.554,42.704,42.983,43.323,43.55,37.462
-2.08,-6,42.529,42.663,42.81,43.083,43.417,43.641,37.413
-2,-6,42.642,42.773,42.916,43.183,43.511,43.732,37.363
-1.92,-6,42.755,42.882,43.022,43.282,43.604,43.821,37.312
-1.84,-6,42.868,42.992,43.128,43.381,43.696,43.909,37.26
-1.76,-6,42.982,43.101,43.233,43.48,43.787,43.997,37.207
-1.68,-6,43.096,43.211,43.339,43.578,43.877,44.083,37.154
-1.6,-6,43.211,43.322,43.445,43.676,43.967,44.168,37.1
-1.52,-6,43.326,43.432,43.551,43.774,44.056,44.253,37.045
-1.44,-6,43.441,43.544,43.658,43.872,44.145,44.337,36.99
-1.36,-6,43.558,43.655,43.765,43.97,44.233,44.419,36.935
-1.28,-6,43.675,43.768,43.872,44.068,44.321,44.502,36.88
-1.2,-6,43.793,43.881,43.98,44.166,44.408,44.583,36.825
-1.12,-6,43.913,43.995,44.088,44.265,44.496,44.664,36.77
-1.04,-6,44.033,44.11,44.198,44.364,44.583,44.745,36.715
-0.96,-6,44.155,44.226,44.308,44.463,44.67,44.825,36.66
-0.88,-6,44.277,44.344,44.42,44.563,44.757,44.905,36.605
-0.8,-6,44.401,44.462,44.532,44.664,44.844,44.985,36.549
-0.72,-6,44.526,44.581,44.645,44.765,44.932,45.064,36.492
-0.64,-6,44.653,44.702,44.76,44.868,45.02,45.144,36.435
-0.56,-6,44.78,44.824,44.875,44.971,45.109,45.224,36.376
