X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,36.546,36.747,36.961,37.357,37.812,38.098,37.687
-5.92,-6,36.666,36.866,37.081,37.475,37.93,38.215,37.687
-5.84,-6,36.786,36.986,37.2,37.594,38.047,38.332,37.687
-5.76,-6,36.906,37.106,37.319,37.712,38.165,38.45,37.686
-5.68,-6,37.026,37.225,37.438,37.83,38.283,38.567,37.685
-5.6,-6,37.147,37.345,37.558,37.949,38.4,38.684,37.684
-5.52,-6,37.267,37.465,37.677,38.067,38.518,38.801,37.683
-5.44,-6,37.387,37.585,37.796,38.185,38.636,38.919,37.682
-5.36,-6,37.507,37.705,37.916,38.304,38.753,39.036,37.68
-5.28,-6,37.628,37.824,38.035,38.422,38.871,39.153,37.679
-5.2,-6,37.748,37.944,38.154,38.54,38.988,39.27,37.677
-5.12,-6,37.868,38.064,38.273,38.658,39.105,39.386,37.676
-5.04,-6,37.988,38.183,38.392,38.776,39.222,39.503,37.674
-4.96,-6,38.108,38.303,38.511,38.894,39.339,39.619,37.672
-4.88,-6,38.228,38.422,38.63,39.012,39.456,39.736,37.67
-4.8,-6,38.348,38.541,38.748,39.129,39.572,39.852,37.668
-4.72,-6,38.468,38.66,38.867,39.246,39.688,39.967,37.664
-4.64,-6,38.587,38.779,38.985,39.363,39.804,40.083,37.659
-4.56,-6,38.706,38.897,39.102,39.48,39.92,40.198,37.653
-4.48,-6,38.825,39.015,39.22,39.596,40.035,40.312,37.645
-4.4,-6,38.944,39.133,39.337,39.712,40.15,40.426,37.636
-4.32,-6,39.062,39.251,39.454,39.827,40.264,40.54,37.626
-4.24,-6,39.18,39.368,39.57,39.942,40.378,40.654,37.614
-4.16,-6,39.298,39.485,39.686,40.057,40.491,40.766,37.601
-4.08,-6,39.415,39.601,39.802,40.171,40.604,40.879,37.588
-4,-6,39.532,39.717,39.917,40.285,40.717,40.99,37.573
-3.92,-6,39.649,39.833,40.032,40.398,40.828,41.101,37.557
-3.84,-6,39.765,39.948,40.146,40.51,40.939,41.212,37.54
-3.76,-6,39.881,40.063,40.259,40.622,41.05,41.321,37.523
-3.68,-6,39.996,40.177,40.373,40.733,41.16,41.43,37.504
-3.6,-6,40.11,40.291,40.485,40.844,41.269,41.538,37.485
