X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,40.604,40.584,40.558,40.562,40.528,40.52,38.954
-5.92,-6,40.727,40.706,40.678,40.681,40.646,40.638,38.935
-5.84,-6,40.851,40.828,40.8,40.801,40.765,40.755,38.916
-5.76,-6,40.975,40.952,40.922,40.921,40.884,40.873,38.895
-5.68,-6,41.1,41.075,41.044,41.041,41.003,40.991,38.875
-5.6,-6,41.226,41.199,41.167,41.162,41.122,41.11,38.853
-5.52,-6,41.352,41.324,41.291,41.283,41.242,41.229,38.832
-5.44,-6,41.478,41.45,41.415,41.405,41.363,41.349,38.809
-5.36,-6,41.606,41.576,41.539,41.528,41.484,41.468,38.787
-5.28,-6,41.733,41.702,41.664,41.651,41.605,41.589,38.764
-5.2,-6,41.862,41.829,41.79,41.774,41.727,41.709,38.741
-5.12,-6,41.991,41.957,41.916,41.898,41.849,41.83,38.718
-5.04,-6,42.12,42.085,42.043,42.022,41.972,41.951,38.696
-4.96,-6,42.251,42.213,42.17,42.147,42.095,42.073,38.673
-4.88,-6,42.381,42.343,42.298,42.272,42.218,42.195,38.65
-4.8,-6,42.513,42.473,42.426,42.398,42.342,42.317,38.628
-4.72,-6,42.645,42.603,42.555,42.524,42.466,42.44,38.605
-4.64,-6,42.777,42.734,42.684,42.651,42.59,42.563,38.584
-4.56,-6,42.911,42.866,42.814,42.778,42.715,42.686,38.562
-4.48,-6,43.044,42.998,42.945,42.905,42.84,42.81,38.541
-4.4,-6,43.179,43.131,43.076,43.033,42.966,42.934,38.52
-4.32,-6,43.314,43.264,43.207,43.162,43.092,43.058,38.499
-4.24,-6,43.45,43.398,43.339,43.291,43.218,43.182,38.479
-4.16,-6,43.586,43.533,43.472,43.42,43.345,43.307,38.458
-4.08,-6,43.723,43.668,43.605,43.55,43.472,43.432,38.435
-4,-6,43.861,43.804,43.739,43.68,43.599,43.558,38.412
-3.92,-6,44,43.94,43.873,43.811,43.727,43.683,38.388
-3.84,-6,44.139,44.077,44.008,43.943,43.855,43.809,38.364
-3.76,-6,44.279,44.215,44.144,44.075,43.984,43.935,38.338
-3.68,-6,44.419,44.353,44.28,44.207,44.113,44.062,38.312
-3.6,-6,44.561,44.493,44.417,44.34,44.242,44.189,38.285
-3.52,-6,44.703,44.633,44.555,44.473,44.372,44.316,38.258
-3.44,-6,44.846,44.773,44.693,44.607,44.502,44.444,38.23
-3.36,-6,44.989,44.914,44.832,44.742,44.633,44.572,38.203
-3.28,-6,45.134,45.057,44.971,44.877,44.764,44.7,38.175
-3.2,-6,45.279,45.2,45.112,45.013,44.895,44.828,38.147
-3.12,-6,45.425,45.343,45.253,45.149,45.027,44.957,38.12
-3.04,-6,45.573,45.488,45.395,45.287,45.16,45.086,38.092
-2.96,-6,45.721,45.633,45.537,45.424,45.293,45.216,38.065
-2.88,-6,45.87,45.78,45.681,45.563,45.426,45.346,38.038
-2.8,-6,46.02,45.927,45.825,45.702,45.56,45.477,38.012
-2.72,-6,46.171,46.075,45.97,45.842,45.695,45.608,37.986
-2.64,-6,46.323,46.224,46.116,45.983,45.83,45.739,37.965
-2.56,-6,46.476,46.375,46.263,46.124,45.966,45.871,37.94
-2.48,-6,46.63,46.526,46.412,46.267,46.103,46.004,37.906
-2.4,-6,46.786,46.679,46.561,46.41,46.241,46.137,37.872
-2.32,-6,46.943,46.832,46.711,46.554,46.379,46.271,37.836
-2.24,-6,47.1,46.987,46.862,46.699,46.518,46.405,37.8
-2.16,-6,47.26,47.143,47.015,46.846,46.658,46.541,37.762
-2.08,-6,47.42,47.3,47.168,46.993,46.798,46.677,37.724
-2,-6,47.582,47.459,47.323,47.141,46.94,46.813,37.684
-1.92,-6,47.745,47.618,47.48,47.291,47.083,46.951,37.645
-1.84,-6,47.91,47.78,47.637,47.442,47.227,47.089,37.604
-1.76,-6,48.075,47.942,47.796,47.594,47.372,47.229,37.563
-1.68,-6,48.243,48.106,47.956,47.747,47.518,47.369,37.522
-1.6,-6,48.412,48.272,48.118,47.902,47.665,47.51,37.48
-1.52,-6,48.582,48.439,48.281,48.058,47.813,47.653,37.438
