X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,36.711,36.921,37.143,37.559,38.036,38.335,37.614
-5.92,-6,36.831,37.04,37.262,37.677,38.153,38.452,37.614
-5.84,-6,36.95,37.159,37.38,37.795,38.27,38.569,37.613
-5.76,-6,37.07,37.279,37.499,37.913,38.387,38.686,37.612
-5.68,-6,37.19,37.398,37.618,38.031,38.505,38.803,37.611
-5.6,-6,37.309,37.517,37.737,38.149,38.622,38.92,37.609
-5.52,-6,37.429,37.637,37.856,38.267,38.739,39.037,37.608
-5.44,-6,37.549,37.756,37.975,38.385,38.857,39.154,37.606
-5.36,-6,37.669,37.876,38.093,38.503,38.974,39.27,37.604
-5.28,-6,37.789,37.995,38.212,38.621,39.091,39.387,37.602
-5.2,-6,37.908,38.114,38.331,38.738,39.208,39.504,37.6
-5.12,-6,38.028,38.233,38.449,38.856,39.325,39.62,37.598
-5.04,-6,38.148,38.352,38.568,38.974,39.441,39.736,37.596
-4.96,-6,38.267,38.471,38.686,39.091,39.558,39.852,37.594
-4.88,-6,38.386,38.59,38.804,39.208,39.674,39.968,37.592
-4.8,-6,38.505,38.708,38.922,39.325,39.79,40.083,37.589
-4.72,-6,38.624,38.826,39.04,39.441,39.906,40.199,37.585
-4.64,-6,38.743,38.944,39.157,39.558,40.021,40.314,37.58
-4.56,-6,38.861,39.062,39.274,39.674,40.136,40.428,37.573
-4.48,-6,38.979,39.179,39.391,39.789,40.251,40.542,37.565
-4.4,-6,39.097,39.297,39.507,39.904,40.365,40.656,37.556
-4.32,-6,39.215,39.413,39.623,40.019,40.479,40.769,37.545
-4.24,-6,39.332,39.53,39.738,40.133,40.592,40.882,37.533
-4.16,-6,39.448,39.646,39.854,40.247,40.705,40.994,37.52
-4.08,-6,39.565,39.761,39.968,40.361,40.817,41.105,37.506
-4,-6,39.681,39.876,40.082,40.473,40.928,41.216,37.491
-3.92,-6,39.796,39.991,40.196,40.586,41.039,41.327,37.475
-3.84,-6,39.911,40.105,40.309,40.697,41.15,41.436,37.458
-3.76,-6,40.025,40.218,40.421,40.808,41.259,41.545,37.44
-3.68,-6,40.139,40.331,40.533,40.918,41.368,41.653,37.421
-3.6,-6,40.253,40.443,40.644,41.028,41.476,41.761,37.402
-3.52,-6,40.366,40.555,40.755,41.137,41.583,41.867,37.382
-3.44,-6,40.478,40.666,40.865,41.245,41.69,41.973,37.361
