X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,50.403,50.455,50.529,50.682,50.921,51.039,43.68
-5.92,-6,50.499,50.55,50.623,50.775,51.013,51.13,43.682
-5.84,-6,50.594,50.645,50.717,50.868,51.104,51.221,43.684
-5.76,-6,50.69,50.74,50.812,50.961,51.196,51.312,43.685
-5.68,-6,50.786,50.835,50.906,51.054,51.287,51.403,43.684
-5.6,-6,50.883,50.93,51,51.147,51.379,51.494,43.684
-5.52,-6,50.979,51.026,51.095,51.24,51.471,51.586,43.682
-5.44,-6,51.075,51.121,51.189,51.333,51.563,51.677,43.679
-5.36,-6,51.172,51.217,51.284,51.427,51.655,51.768,43.676
-5.28,-6,51.269,51.313,51.379,51.52,51.747,51.86,43.672
-5.2,-6,51.365,51.408,51.474,51.613,51.839,51.951,43.667
-5.12,-6,51.462,51.504,51.568,51.707,51.93,52.043,43.661
-5.04,-6,51.559,51.6,51.663,51.8,52.022,52.134,43.655
-4.96,-6,51.656,51.696,51.758,51.893,52.114,52.226,43.647
-4.88,-6,51.752,51.792,51.853,51.987,52.206,52.317,43.639
-4.8,-6,51.849,51.887,51.947,52.08,52.298,52.408,43.631
-4.72,-6,51.946,51.983,52.042,52.173,52.389,52.499,43.622
-4.64,-6,52.043,52.079,52.137,52.266,52.481,52.591,43.612
-4.56,-6,52.139,52.174,52.231,52.359,52.572,52.681,43.605
-4.48,-6,52.236,52.27,52.326,52.452,52.664,52.772,43.596
-4.4,-6,52.333,52.365,52.42,52.545,52.755,52.863,43.587
-4.32,-6,52.429,52.46,52.514,52.638,52.846,52.953,43.578
-4.24,-6,52.525,52.556,52.608,52.73,52.936,53.043,43.568
-4.16,-6,52.621,52.651,52.702,52.822,53.027,53.133,43.557
-4.08,-6,52.717,52.745,52.796,52.914,53.117,53.223,43.546
-4,-6,52.813,52.84,52.889,53.006,53.207,53.312,43.534
-3.92,-6,52.908,52.934,52.982,53.097,53.297,53.401,43.523
-3.84,-6,53.004,53.028,53.075,53.188,53.386,53.49,43.508
-3.76,-6,53.099,53.122,53.167,53.279,53.475,53.579,43.493
-3.68,-6,53.193,53.215,53.26,53.37,53.563,53.667,43.477
-3.6,-6,53.288,53.308,53.351,53.46,53.651,53.754,43.461
-3.52,-6,53.382,53.401,53.443,53.549,53.739,53.841,43.444
-3.44,-6,53.475,53.494,53.534,53.639,53.826,53.928,43.428
-3.36,-6,53.569,53.586,53.625,53.728,53.913,54.014,43.411
-3.28,-6,53.662,53.677,53.715,53.816,53.999,54.1,43.394
-3.2,-6,53.754,53.768,53.805,53.904,54.085,54.185,43.376
-3.12,-6,53.846,53.859,53.894,53.991,54.17,54.27,43.361
-3.04,-6,53.938,53.949,53.983,54.078,54.255,54.354,43.348
-2.96,-6,54.029,54.039,54.071,54.164,54.339,54.437,43.331
-2.88,-6,54.12,54.128,54.159,54.25,54.422,54.52,43.314
-2.8,-6,54.21,54.216,54.246,54.335,54.505,54.602,43.297
-2.72,-6,54.299,54.304,54.332,54.419,54.587,54.684,43.28
-2.64,-6,54.388,54.392,54.418,54.503,54.669,54.764,43.263
-2.56,-6,54.476,54.479,54.503,54.586,54.749,54.844,43.247
-2.48,-6,54.564,54.565,54.588,54.668,54.829,54.924,43.23
-2.4,-6,54.651,54.65,54.672,54.75,54.908,55.002,43.213
-2.32,-6,54.737,54.735,54.755,54.831,54.987,55.08,43.197
-2.24,-6,54.823,54.819,54.837,54.911,55.064,55.157,43.18
-2.16,-6,54.908,54.902,54.919,54.99,55.141,55.233,43.164
-2.08,-6,54.992,54.985,55,55.069,55.217,55.308,43.148
-2,-6,55.076,55.067,55.08,55.147,55.292,55.382,43.132
-1.92,-6,55.159,55.148,55.159,55.224,55.366,55.456,43.115
-1.84,-6,55.241,55.228,55.238,55.3,55.439,55.528,43.099
-1.76,-6,55.322,55.308,55.315,55.375,55.511,55.6,43.087
-1.68,-6,55.402,55.386,55.392,55.449,55.582,55.67,43.075
-1.6,-6,55.482,55.464,55.468,55.522,55.653,55.74,43.062
-1.52,-6,55.561,55.541,55.543,55.595,55.722,55.809,43.049
-1.44,-6,55.638,55.617,55.618,55.666,55.79,55.876,43.036
-1.36,-6,55.715,55.692,55.691,55.737,55.858,55.943,43.021
-1.28,-6,55.792,55.767,55.763,55.806,55.924,56.009,43.002
-1.2,-6,55.867,55.84,55.835,55.875,55.99,56.073,42.983
-1.12,-6,55.942,55.913,55.905,55.943,56.054,56.137,42.963
-1.04,-6,56.015,55.984,55.975,56.01,56.117,56.2,42.943
-0.96,-6,56.088,56.055,56.044,56.076,56.18,56.262,42.921
-0.88,-6,56.16,56.125,56.112,56.141,56.241,56.322,42.899
-0.8,-6,56.231,56.194,56.179,56.205,56.302,56.382,42.875
-0.72,-6,56.301,56.262,56.245,56.268,56.361,56.441,42.851
-0.64,-6,56.37,56.329,56.31,56.33,56.419,56.498,42.825
-0.56,-6,56.438,56.396,56.374,56.391,56.477,56.555,42.799
-0.48,-6,56.506,56.461,56.438,56.451,56.534,56.612,42.771
-0.4,-6,56.573,56.526,56.501,56.511,56.59,56.669,42.741
-0.32,-6,56.639,56.591,56.563,56.57,56.646,56.725,42.709
-0.24,-6,56.704,56.654,56.625,56.628,56.7,56.779,42.675
-0.16,-6,56.768,56.716,56.685,56.686,56.754,56.832,42.639
-0.08,-6,56.832,56.778,56.745,56.742,56.807,56.884,42.601
0,-6,56.898,56.839,56.804,56.798,56.859,56.936,42.561
0.08,-6,56.88,56.805,56.763,56.755,56.804,56.878,42.521
0.16,-6,56.924,56.837,56.789,56.778,56.82,56.892,42.483
0.24,-6,56.977,56.885,56.826,56.812,56.848,56.918,42.747
0.32,-6,57.035,56.939,56.867,56.851,56.88,56.95,42.582
0.4,-6,57.096,56.994,56.918,56.892,56.917,56.985,42.426
0.48,-6,57.159,57.052,56.971,56.935,56.955,57.022,42.292
0.56,-6,57.173,57.112,57.026,56.979,56.995,57.061,42.166
0.64,-6,57.198,57.136,57.082,57.024,57.035,57.1,42.055
0.72,-6,57.241,57.156,57.137,57.07,57.076,57.14,41.956
0.8,-6,57.299,57.192,57.143,57.116,57.117,57.181,41.895
0.88,-6,57.36,57.248,57.167,57.165,57.159,57.221,41.825
0.96,-6,57.422,57.309,57.213,57.214,57.2,57.262,41.764
1.04,-6,57.483,57.369,57.272,57.261,57.241,57.303,41.701
1.12,-6,57.544,57.429,57.331,57.265,57.282,57.343,41.637
1.2,-6,57.605,57.49,57.389,57.292,57.323,57.384,41.571
1.28,-6,57.667,57.551,57.448,57.339,57.364,57.424,41.505
1.36,-6,57.728,57.612,57.508,57.393,57.407,57.465,41.438
1.44,-6,57.79,57.673,57.567,57.448,57.452,57.507,41.369
1.52,-6,57.848,57.732,57.629,57.503,57.497,57.55,41.299
1.6,-6,57.905,57.791,57.691,57.559,57.513,57.594,41.228
1.68,-6,57.961,57.845,57.752,57.616,57.529,57.638,41.156
1.76,-6,58.016,57.898,57.808,57.672,57.558,57.681,41.083
1.84,-6,58.071,57.951,57.859,57.727,57.604,57.723,41.009
1.92,-6,58.125,58.003,57.91,57.778,57.65,57.764,40.934
2,-6,58.179,58.056,57.96,57.83,57.696,57.776,40.858
2.08,-6,58.234,58.108,58.011,57.882,57.742,57.787,40.781
2.16,-6,58.288,58.161,58.061,57.934,57.788,57.81,40.703
2.24,-6,58.342,58.213,58.112,57.986,57.834,57.854,40.624
2.32,-6,58.397,58.266,58.163,58.039,57.881,57.898,40.544
2.4,-6,58.452,58.319,58.214,58.091,57.928,57.942,40.463
2.48,-6,58.508,58.373,58.265,58.142,57.975,57.987,40.381
2.56,-6,58.564,58.427,58.316,58.189,58.023,58.032,40.299
2.64,-6,58.62,58.481,58.369,58.237,58.072,58.077,40.215
2.72,-6,58.677,58.536,58.421,58.284,58.121,58.123,40.131
2.8,-6,58.734,58.591,58.474,58.333,58.17,58.169,40.046
2.88,-6,58.792,58.647,58.528,58.382,58.22,58.216,39.961
2.96,-6,58.851,58.704,58.582,58.431,58.271,58.264,39.874
3.04,-6,58.916,58.762,58.637,58.481,58.323,58.312,39.787
3.12,-6,58.986,58.82,58.693,58.531,58.375,58.361,39.699
3.2,-6,59.057,58.88,58.75,58.583,58.428,58.411,39.611
3.28,-6,59.13,58.942,58.808,58.635,58.483,58.462,39.522
3.36,-6,59.204,59.013,58.867,58.688,58.538,58.513,39.432
3.44,-6,59.279,59.086,58.927,58.742,58.594,58.566,39.342
3.52,-6,59.357,59.161,58.988,58.797,58.643,58.619,39.251
3.6,-6,59.436,59.238,59.054,58.853,58.693,58.674,39.16
3.68,-6,59.517,59.317,59.128,58.91,58.743,58.729,39.068
3.76,-6,59.599,59.398,59.205,58.968,58.794,58.786,38.976
3.84,-6,59.684,59.481,59.285,59.027,58.847,58.843,38.884
3.92,-6,59.77,59.565,59.366,59.088,58.9,58.902,38.791
4,-6,59.858,59.652,59.449,59.15,58.955,58.953,38.698
4.08,-6,59.947,59.741,59.535,59.214,59.011,59.005,38.604
4.16,-6,60.039,59.832,59.623,59.293,59.068,59.058,38.51
4.24,-6,60.132,59.925,59.714,59.374,59.126,59.112,38.416
4.32,-6,60.226,60.02,59.806,59.458,59.186,59.167,38.321
4.4,-6,60.323,60.117,59.902,59.544,59.247,59.224,38.226
4.48,-6,60.42,60.215,59.999,59.633,59.31,59.282,38.131
4.56,-6,60.52,60.316,60.099,59.725,59.374,59.341,38.036
4.64,-6,60.62,60.419,60.2,59.819,59.441,59.401,37.941
4.72,-6,60.722,60.523,60.305,59.916,59.523,59.463,37.845
4.8,-6,60.819,60.629,60.411,60.016,59.609,59.526,37.749
4.88,-6,60.917,60.737,60.519,60.119,59.697,59.595,37.653
4.96,-6,61.016,60.846,60.63,60.224,59.788,59.678,37.558
5.04,-6,61.117,60.956,60.742,60.333,59.883,59.764,37.462
5.12,-6,61.219,61.068,60.857,60.444,59.98,59.853,37.365
5.2,-6,61.322,61.181,60.973,60.557,60.081,59.946,37.269
5.28,-6,61.427,61.288,61.09,60.674,60.185,60.041,37.173
5.36,-6,61.532,61.396,61.209,60.793,60.292,60.139,37.077
5.44,-6,61.639,61.505,61.33,60.914,60.402,60.241,36.981
5.52,-6,61.754,61.615,61.452,61.037,60.515,60.346,36.885
5.6,-6,61.872,61.726,61.575,61.163,60.631,60.455,36.789
5.68,-6,61.991,61.839,61.699,61.292,60.751,60.567,36.693
5.76,-6,62.113,61.952,61.821,61.422,60.873,60.682,36.597
5.84,-6,62.235,62.067,61.939,61.554,60.999,60.8,36.501
5.92,-6,62.359,62.182,62.058,61.688,61.127,60.922,36.405
6,-6,62.485,62.3,62.178,61.823,61.258,61.047,36.309
-6,-5.92,50.468,50.521,50.596,50.75,50.99,51.108,43.856
-5.92,-5.92,50.564,50.617,50.691,50.843,51.083,51.2,43.858
-5.84,-5.92,50.661,50.713,50.786,50.937,51.175,51.292,43.86
-5.76,-5.92,50.758,50.809,50.881,51.031,51.268,51.384,43.86
-5.68,-5.92,50.855,50.905,50.976,51.125,51.36,51.476,43.86
-5.6,-5.92,50.953,51.001,51.072,51.219,51.453,51.569,43.859
-5.52,-5.92,51.05,51.098,51.168,51.314,51.546,51.661,43.856
-5.44,-5.92,51.148,51.195,51.263,51.408,51.639,51.754,43.854
-5.36,-5.92,51.246,51.291,51.359,51.503,51.732,51.846,43.85
-5.28,-5.92,51.343,51.388,51.455,51.597,51.825,51.939,43.845
-5.2,-5.92,51.441,51.485,51.551,51.692,51.918,52.031,43.84
-5.12,-5.92,51.539,51.582,51.647,51.786,52.012,52.124,43.834
-5.04,-5.92,51.637,51.679,51.743,51.881,52.105,52.217,43.827
-4.96,-5.92,51.735,51.776,51.839,51.976,52.198,52.309,43.819
-4.88,-5.92,51.833,51.873,51.935,52.07,52.291,52.402,43.811
-4.8,-5.92,51.931,51.97,52.031,52.165,52.384,52.495,43.802
-4.72,-5.92,52.029,52.067,52.127,52.259,52.477,52.587,43.792
-4.64,-5.92,52.127,52.164,52.223,52.354,52.57,52.679,43.782
-4.56,-5.92,52.225,52.261,52.319,52.448,52.662,52.771,43.774
-4.48,-5.92,52.323,52.358,52.414,52.542,52.755,52.864,43.765
-4.4,-5.92,52.421,52.454,52.51,52.636,52.847,52.955,43.756
-4.32,-5.92,52.519,52.551,52.605,52.73,52.939,53.047,43.746
-4.24,-5.92,52.616,52.647,52.701,52.824,53.031,53.139,43.736
-4.16,-5.92,52.714,52.744,52.796,52.917,53.123,53.23,43.725
-4.08,-5.92,52.811,52.84,52.891,53.011,53.215,53.321,43.713
-4,-5.92,52.908,52.936,52.985,53.104,53.306,53.412,43.701
-3.92,-5.92,53.005,53.031,53.08,53.196,53.397,53.502,43.689
-3.84,-5.92,53.102,53.127,53.174,53.289,53.488,53.592,43.674
-3.76,-5.92,53.198,53.222,53.268,53.381,53.578,53.682,43.658
-3.68,-5.92,53.294,53.317,53.362,53.473,53.668,53.771,43.641
-3.6,-5.92,53.39,53.411,53.455,53.564,53.757,53.86,43.625
-3.52,-5.92,53.485,53.505,53.548,53.655,53.846,53.949,43.608
-3.44,-5.92,53.58,53.599,53.64,53.746,53.935,54.037,43.59
-3.36,-5.92,53.675,53.692,53.732,53.836,54.023,54.124,43.573
-3.28,-5.92,53.769,53.785,53.824,53.926,54.111,54.212,43.555
-3.2,-5.92,53.863,53.878,53.915,54.015,54.198,54.298,43.538
-3.12,-5.92,53.957,53.97,54.006,54.104,54.285,54.384,43.522
-3.04,-5.92,54.05,54.062,54.096,54.192,54.371,54.47,43.508
-2.96,-5.92,54.142,54.153,54.185,54.28,54.456,54.554,43.491
-2.88,-5.92,54.234,54.243,54.274,54.367,54.541,54.638,43.473
-2.8,-5.92,54.326,54.333,54.363,54.453,54.625,54.722,43.456
-2.72,-5.92,54.417,54.422,54.451,54.539,54.708,54.805,43.439
-2.64,-5.92,54.507,54.511,54.538,54.624,54.791,54.887,43.421
-2.56,-5.92,54.597,54.599,54.625,54.708,54.873,54.968,43.404
-2.48,-5.92,54.686,54.687,54.71,54.792,54.954,55.049,43.387
-2.4,-5.92,54.774,54.774,54.796,54.875,55.035,55.129,43.369
-2.32,-5.92,54.862,54.86,54.88,54.957,55.114,55.207,43.353
-2.24,-5.92,54.949,54.945,54.964,55.039,55.193,55.286,43.336
-2.16,-5.92,55.035,55.03,55.047,55.119,55.271,55.363,43.319
-2.08,-5.92,55.121,55.114,55.129,55.199,55.348,55.439,43.303
-2,-5.92,55.205,55.197,55.21,55.278,55.424,55.515,43.286
-1.92,-5.92,55.289,55.279,55.291,55.356,55.499,55.589,43.27
-1.84,-5.92,55.373,55.36,55.371,55.433,55.574,55.663,43.254
-1.76,-5.92,55.455,55.441,55.449,55.509,55.647,55.736,43.241
-1.68,-5.92,55.537,55.521,55.527,55.585,55.719,55.807,43.228
-1.6,-5.92,55.618,55.6,55.605,55.659,55.791,55.878,43.216
-1.52,-5.92,55.698,55.678,55.681,55.733,55.861,55.948,43.203
-1.44,-5.92,55.777,55.755,55.756,55.805,55.931,56.017,43.19
-1.36,-5.92,55.855,55.832,55.83,55.877,55.999,56.084,43.175
-1.28,-5.92,55.932,55.907,55.904,55.948,56.066,56.151,43.156
-1.2,-5.92,56.009,55.982,55.976,56.017,56.133,56.217,43.137
-1.12,-5.92,56.084,56.055,56.048,56.086,56.198,56.281,43.117
-1.04,-5.92,56.159,56.128,56.119,56.154,56.263,56.345,43.096
-0.96,-5.92,56.233,56.2,56.189,56.221,56.326,56.408,43.075
-0.88,-5.92,56.305,56.271,56.257,56.287,56.388,56.469,43.053
-0.8,-5.92,56.377,56.341,56.325,56.351,56.449,56.53,43.029
-0.72,-5.92,56.448,56.41,56.392,56.415,56.51,56.589,43.005
-0.64,-5.92,56.519,56.478,56.458,56.478,56.569,56.648,42.979
-0.56,-5.92,56.588,56.545,56.523,56.54,56.627,56.705,42.953
-0.48,-5.92,56.656,56.611,56.588,56.601,56.684,56.761,42.925
-0.4,-5.92,56.724,56.677,56.651,56.662,56.741,56.819,42.895
-0.32,-5.92,56.791,56.742,56.715,56.722,56.797,56.876,42.863
-0.24,-5.92,56.857,56.806,56.777,56.78,56.853,56.932,42.83
-0.16,-5.92,56.922,56.869,56.838,56.838,56.907,56.985,42.794
-0.08,-5.92,56.986,56.932,56.899,56.896,56.961,57.038,42.755
0,-5.92,57.049,56.993,56.958,56.952,57.014,57.09,42.715
0.08,-5.92,57.031,56.959,56.917,56.909,56.959,57.033,42.675
0.16,-5.92,57.075,56.989,56.944,56.933,56.975,57.047,42.637
0.24,-5.92,57.129,57.038,56.981,56.967,57.003,57.073,42.901
0.32,-5.92,57.188,57.091,57.023,57.006,57.036,57.106,42.736
0.4,-5.92,57.25,57.148,57.072,57.048,57.073,57.141,42.58
