X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,49.879,49.946,50.034,50.197,50.446,50.559,43.68
-5.92,-6,49.975,50.041,50.129,50.291,50.538,50.651,43.682
-5.84,-6,50.071,50.136,50.223,50.384,50.63,50.742,43.684
-5.76,-6,50.167,50.232,50.318,50.478,50.722,50.834,43.685
-5.68,-6,50.263,50.327,50.413,50.571,50.815,50.926,43.685
-5.6,-6,50.36,50.423,50.508,50.665,50.907,51.018,43.684
-5.52,-6,50.456,50.518,50.602,50.759,50.999,51.109,43.682
-5.44,-6,50.553,50.614,50.697,50.852,51.092,51.201,43.68
-5.36,-6,50.649,50.71,50.792,50.946,51.184,51.293,43.676
-5.28,-6,50.746,50.805,50.887,51.04,51.276,51.385,43.672
-5.2,-6,50.843,50.901,50.982,51.133,51.368,51.476,43.667
-5.12,-6,50.939,50.997,51.077,51.227,51.46,51.568,43.661
-5.04,-6,51.036,51.092,51.172,51.32,51.552,51.66,43.655
-4.96,-6,51.132,51.188,51.266,51.414,51.644,51.751,43.648
-4.88,-6,51.229,51.283,51.361,51.507,51.736,51.842,43.64
-4.8,-6,51.325,51.379,51.455,51.6,51.828,51.933,43.631
-4.72,-6,51.421,51.474,51.55,51.693,51.919,52.024,43.622
-4.64,-6,51.517,51.569,51.644,51.786,52.011,52.115,43.613
-4.56,-6,51.613,51.664,51.738,51.879,52.102,52.206,43.605
-4.48,-6,51.709,51.759,51.832,51.971,52.193,52.296,43.596
-4.4,-6,51.805,51.853,51.925,52.064,52.283,52.386,43.588
-4.32,-6,51.9,51.947,52.019,52.155,52.374,52.476,43.578
-4.24,-6,51.995,52.042,52.112,52.247,52.464,52.565,43.568
-4.16,-6,52.09,52.135,52.205,52.339,52.553,52.654,43.557
-4.08,-6,52.184,52.229,52.297,52.43,52.642,52.743,43.546
-4,-6,52.279,52.322,52.389,52.52,52.731,52.831,43.535
-3.92,-6,52.372,52.415,52.481,52.61,52.82,52.919,43.523
-3.84,-6,52.466,52.507,52.572,52.7,52.908,53.006,43.508
-3.76,-6,52.559,52.599,52.663,52.79,52.996,53.093,43.493
-3.68,-6,52.652,52.69,52.754,52.879,53.083,53.18,43.477
-3.6,-6,52.744,52.781,52.844,52.967,53.169,53.266,43.461
-3.52,-6,52.836,52.872,52.933,53.055,53.255,53.351,43.445
-3.44,-6,52.927,52.962,53.022,53.142,53.341,53.436,43.428
-3.36,-6,53.018,53.051,53.11,53.229,53.425,53.52,43.411
-3.28,-6,53.108,53.14,53.198,53.315,53.509,53.603,43.394
-3.2,-6,53.197,53.229,53.285,53.401,53.593,53.686,43.377
-3.12,-6,53.286,53.316,53.372,53.485,53.676,53.768,43.362
-3.04,-6,53.374,53.403,53.457,53.569,53.758,53.849,43.348
-2.96,-6,53.462,53.489,53.542,53.653,53.839,53.93,43.331
-2.88,-6,53.549,53.575,53.627,53.735,53.919,54.009,43.314
-2.8,-6,53.635,53.66,53.71,53.817,53.999,54.088,43.298
-2.72,-6,53.72,53.744,53.793,53.898,54.077,54.166,43.281
-2.64,-6,53.805,53.827,53.875,53.978,54.155,54.243,43.264
-2.56,-6,53.889,53.909,53.956,54.057,54.232,54.319,43.247
-2.48,-6,53.971,53.99,54.036,54.135,54.308,54.394,43.23
-2.4,-6,54.053,54.071,54.115,54.213,54.383,54.468,43.213
-2.32,-6,54.134,54.15,54.193,54.289,54.457,54.542,43.197
-2.24,-6,54.214,54.229,54.27,54.364,54.53,54.614,43.181
-2.16,-6,54.294,54.306,54.347,54.438,54.601,54.684,43.164
-2.08,-6,54.372,54.383,54.422,54.512,54.672,54.754,43.148
-2,-6,54.449,54.458,54.496,54.584,54.742,54.823,43.132
-1.92,-6,54.525,54.533,54.569,54.655,54.81,54.89,43.116
