X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,50.108,50.151,50.216,50.348,50.565,50.67,44.846
-5.92,-6,50.204,50.246,50.31,50.441,50.657,50.762,44.837
-5.84,-6,50.3,50.342,50.405,50.535,50.749,50.853,44.826
-5.76,-6,50.396,50.437,50.499,50.628,50.841,50.945,44.815
-5.68,-6,50.493,50.533,50.594,50.721,50.934,51.037,44.802
-5.6,-6,50.589,50.628,50.689,50.815,51.026,51.128,44.789
-5.52,-6,50.686,50.724,50.784,50.909,51.118,51.22,44.775
-5.44,-6,50.783,50.82,50.879,51.002,51.211,51.312,44.76
-5.36,-6,50.879,50.916,50.974,51.096,51.303,51.404,44.745
-5.28,-6,50.976,51.012,51.069,51.19,51.395,51.496,44.728
-5.2,-6,51.073,51.108,51.164,51.284,51.488,51.588,44.711
-5.12,-6,51.17,51.204,51.259,51.377,51.58,51.68,44.692
-5.04,-6,51.267,51.3,51.354,51.471,51.672,51.772,44.673
-4.96,-6,51.364,51.396,51.449,51.565,51.765,51.863,44.654
-4.88,-6,51.461,51.492,51.544,51.658,51.857,51.955,44.633
-4.8,-6,51.558,51.588,51.639,51.752,51.949,52.047,44.612
-4.72,-6,51.655,51.684,51.734,51.846,52.041,52.138,44.591
-4.64,-6,51.752,51.779,51.828,51.939,52.133,52.23,44.568
-4.56,-6,51.848,51.875,51.923,52.032,52.225,52.321,44.545
-4.48,-6,51.945,51.971,52.018,52.125,52.316,52.412,44.522
-4.4,-6,52.042,52.066,52.112,52.218,52.408,52.503,44.498
-4.32,-6,52.138,52.161,52.206,52.311,52.499,52.593,44.473
-4.24,-6,52.234,52.256,52.3,52.403,52.59,52.684,44.448
-4.16,-6,52.33,52.351,52.394,52.496,52.68,52.774,44.422
-4.08,-6,52.426,52.446,52.488,52.588,52.771,52.864,44.396
-4,-6,52.521,52.54,52.581,52.679,52.861,52.953,44.371
-3.92,-6,52.617,52.634,52.674,52.771,52.95,53.042,44.347
-3.84,-6,52.712,52.728,52.766,52.862,53.04,53.131,44.323
-3.76,-6,52.806,52.822,52.859,52.953,53.129,53.22,44.298
-3.68,-6,52.901,52.915,52.951,53.043,53.217,53.308,44.273
-3.6,-6,52.995,53.008,53.042,53.133,53.305,53.395,44.248
-3.52,-6,53.088,53.1,53.133,53.222,53.393,53.482,44.222
-3.44,-6,53.181,53.192,53.224,53.311,53.48,53.569,44.196
-3.36,-6,53.274,53.283,53.314,53.4,53.567,53.655,44.17
-3.28,-6,53.366,53.374,53.404,53.488,53.653,53.74,44.144
-3.2,-6,53.458,53.465,53.493,53.575,53.739,53.825,44.115
-3.12,-6,53.55,53.555,53.582,53.662,53.823,53.91,44.085
-3.04,-6,53.64,53.644,53.67,53.749,53.908,53.993,44.056
-2.96,-6,53.731,53.733,53.758,53.834,53.991,54.077,44.027
-2.88,-6,53.82,53.822,53.845,53.919,54.074,54.159,43.998
-2.8,-6,53.909,53.909,53.931,54.004,54.157,54.241,43.969
-2.72,-6,53.998,53.996,54.017,54.087,54.238,54.322,43.939
-2.64,-6,54.086,54.083,54.102,54.17,54.319,54.402,43.91
-2.56,-6,54.173,54.168,54.186,54.253,54.399,54.481,43.881
-2.48,-6,54.259,54.253,54.269,54.334,54.478,54.56,43.856
-2.4,-6,54.345,54.337,54.352,54.415,54.557,54.637,43.83
-2.32,-6,54.43,54.421,54.434,54.494,54.634,54.714,43.802
-2.24,-6,54.514,54.503,54.515,54.573,54.711,54.79,43.775
-2.16,-6,54.597,54.585,54.595,54.652,54.786,54.865,43.747
-2.08,-6,54.679,54.666,54.674,54.729,54.861,54.939,43.72
-2,-6,54.761,54.746,54.753,54.805,54.935,55.012,43.692
-1.92,-6,54.842,54.825,54.83,54.88,55.008,55.085,43.665
-1.84,-6,54.922,54.903,54.907,54.955,55.08,55.156,43.638
-1.76,-6,55.001,54.981,54.983,55.028,55.151,55.226,43.611
-1.68,-6,55.079,55.057,55.057,55.101,55.22,55.295,43.584
-1.6,-6,55.156,55.132,55.131,55.172,55.289,55.363,43.558
-1.52,-6,55.232,55.207,55.204,55.242,55.357,55.43,43.531
-1.44,-6,55.307,55.28,55.275,55.312,55.423,55.496,43.504
-1.36,-6,55.381,55.353,55.346,55.38,55.489,55.561,43.476
-1.28,-6,55.454,55.424,55.416,55.447,55.553,55.624,43.444
-1.2,-6,55.526,55.494,55.484,55.513,55.616,55.687,43.413
-1.12,-6,55.597,55.564,55.552,55.578,55.679,55.748,43.384
-1.04,-6,55.667,55.632,55.618,55.642,55.74,55.809,43.354
-0.96,-6,55.736,55.699,55.684,55.705,55.799,55.868,43.324
-0.88,-6,55.804,55.765,55.748,55.767,55.858,55.926,43.293
-0.8,-6,55.871,55.83,55.811,55.827,55.916,55.983,43.262
-0.72,-6,55.937,55.894,55.873,55.887,55.972,56.038,43.229
-0.64,-6,56.001,55.957,55.934,55.945,56.027,56.093,43.195
-0.56,-6,56.065,56.019,55.994,56.002,56.081,56.146,43.161
-0.48,-6,56.127,56.079,56.053,56.058,56.134,56.198,43.125
-0.4,-6,56.189,56.139,56.11,56.113,56.186,56.249,43.088
-0.32,-6,56.249,56.197,56.167,56.167,56.236,56.299,43.049
-0.24,-6,56.308,56.255,56.222,56.22,56.286,56.348,43.009
-0.16,-6,56.366,56.311,56.277,56.271,56.334,56.396,42.966
-0.08,-6,56.423,56.366,56.33,56.322,56.381,56.442,42.921
0,-6,56.479,56.42,56.382,56.371,56.427,56.487,42.874
0.08,-6,56.438,56.372,56.327,56.315,56.359,56.417,42.828
0.16,-6,56.464,56.393,56.343,56.329,56.367,56.422,42.784
0.24,-6,56.498,56.425,56.372,56.355,56.386,56.44,43.022
0.32,-6,56.537,56.461,56.405,56.385,56.41,56.463,42.859
0.4,-6,56.579,56.5,56.44,56.418,56.438,56.49,42.705
0.48,-6,56.621,56.54,56.479,56.453,56.468,56.521,42.57
0.56,-6,56.665,56.582,56.519,56.489,56.5,56.556,42.444
0.64,-6,56.709,56.624,56.559,56.526,56.533,56.59,42.332
0.72,-6,56.753,56.666,56.599,56.563,56.565,56.626,42.23
0.8,-6,56.802,56.708,56.639,56.599,56.598,56.659,42.165
0.88,-6,56.852,56.757,56.68,56.636,56.631,56.691,42.091
0.96,-6,56.901,56.804,56.726,56.672,56.663,56.723,42.025
1.04,-6,56.95,56.851,56.771,56.71,56.695,56.754,41.958
1.12,-6,57.009,56.897,56.816,56.751,56.727,56.785,41.889
1.2,-6,57.069,56.944,56.86,56.791,56.758,56.816,41.82
1.28,-6,57.129,57,56.903,56.831,56.793,56.846,41.75
1.36,-6,57.189,57.056,56.947,56.869,56.828,56.879,41.678
1.44,-6,57.248,57.112,56.998,56.908,56.862,56.913,41.606
1.52,-6,57.303,57.168,57.051,56.946,56.896,56.946,41.533
1.6,-6,57.3,57.218,57.102,56.986,56.929,56.978,41.458
1.68,-6,57.306,57.218,57.151,57.025,56.962,57.01,41.383
1.76,-6,57.334,57.222,57.175,57.064,56.994,57.041,41.306
1.84,-6,57.372,57.245,57.165,57.101,57.024,57.07,41.229
1.92,-6,57.41,57.283,57.174,57.135,57.051,57.097,41.151
2,-6,57.446,57.32,57.211,57.168,57.077,57.123,41.071
2.08,-6,57.482,57.356,57.247,57.155,57.103,57.149,40.991
2.16,-6,57.516,57.392,57.282,57.153,57.127,57.174,40.91
2.24,-6,57.55,57.427,57.317,57.175,57.151,57.198,40.828
2.32,-6,57.583,57.462,57.351,57.206,57.175,57.222,40.746
2.4,-6,57.616,57.494,57.385,57.238,57.198,57.244,40.662
2.48,-6,57.648,57.525,57.419,57.269,57.219,57.267,40.578
2.56,-6,57.68,57.556,57.452,57.3,57.193,57.288,40.493
2.64,-6,57.712,57.586,57.486,57.33,57.188,57.309,40.407
2.72,-6,57.743,57.616,57.516,57.361,57.208,57.329,40.32
2.8,-6,57.774,57.646,57.545,57.391,57.234,57.349,40.233
2.88,-6,57.805,57.675,57.573,57.422,57.259,57.34,40.145
2.96,-6,57.836,57.705,57.601,57.452,57.284,57.325,40.057
3.04,-6,57.867,57.734,57.628,57.482,57.309,57.327,39.967
3.12,-6,57.897,57.763,57.656,57.513,57.335,57.35,39.877
3.2,-6,57.928,57.792,57.684,57.543,57.36,57.372,39.787
3.28,-6,57.959,57.822,57.712,57.574,57.385,57.395,39.696
3.36,-6,57.99,57.851,57.739,57.602,57.411,57.418,39.605
3.44,-6,58.021,57.881,57.767,57.626,57.437,57.441,39.513
3.52,-6,58.053,57.911,57.796,57.65,57.463,57.464,39.42
3.6,-6,58.085,57.942,57.824,57.674,57.489,57.487,39.327
3.68,-6,58.117,57.972,57.853,57.699,57.516,57.51,39.234
3.76,-6,58.15,58.003,57.882,57.724,57.543,57.534,39.14
3.84,-6,58.183,58.035,57.912,57.748,57.571,57.558,39.046
3.92,-6,58.221,58.067,57.942,57.774,57.599,57.583,38.952
4,-6,58.265,58.1,57.973,57.799,57.627,57.608,38.857
4.08,-6,58.31,58.133,58.004,57.826,57.655,57.633,38.762
4.16,-6,58.355,58.171,58.036,57.852,57.685,57.659,38.666
4.24,-6,58.402,58.216,58.069,57.879,57.714,57.685,38.571
4.32,-6,58.45,58.262,58.102,57.907,57.738,57.712,38.475
4.4,-6,58.499,58.31,58.136,57.936,57.76,57.739,38.379
4.48,-6,58.55,58.359,58.18,57.965,57.783,57.767,38.283
4.56,-6,58.601,58.409,58.228,57.995,57.806,57.796,38.186
4.64,-6,58.654,58.461,58.277,58.026,57.83,57.825,38.09
4.72,-6,58.708,58.514,58.328,58.057,57.854,57.85,37.993
4.8,-6,58.763,58.568,58.38,58.09,57.88,57.872,37.896
4.88,-6,58.819,58.624,58.434,58.126,57.905,57.893,37.8
4.96,-6,58.876,58.681,58.489,58.173,57.932,57.916,37.703
5.04,-6,58.934,58.74,58.546,58.223,57.959,57.939,37.606
5.12,-6,58.993,58.8,58.605,58.274,57.988,57.962,37.509
5.2,-6,59.053,58.86,58.665,58.328,58.017,57.987,37.412
5.28,-6,59.114,58.923,58.727,58.383,58.047,58.012,37.315
5.36,-6,59.176,58.986,58.79,58.44,58.077,58.038,37.218
5.44,-6,59.238,59.05,58.855,58.499,58.124,58.064,37.121
5.52,-6,59.299,59.116,58.92,58.56,58.172,58.092,37.024
5.6,-6,59.356,59.182,58.988,58.622,58.223,58.127,36.927
5.68,-6,59.415,59.249,59.056,58.687,58.275,58.173,36.83
5.76,-6,59.473,59.317,59.126,58.754,58.33,58.22,36.733
5.84,-6,59.533,59.386,59.197,58.822,58.387,58.269,36.637
5.92,-6,59.593,59.455,59.269,58.892,58.446,58.321,36.54
6,-6,59.654,59.52,59.342,58.964,58.507,58.375,36.444
-6,-5.92,50.173,50.217,50.283,50.416,50.635,50.74,45.04
-5.92,-5.92,50.27,50.314,50.378,50.51,50.728,50.832,45.029
-5.84,-5.92,50.368,50.41,50.474,50.605,50.821,50.925,45.018
-5.76,-5.92,50.465,50.507,50.569,50.699,50.914,51.017,45.006
-5.68,-5.92,50.563,50.603,50.665,50.794,51.007,51.11,44.993
-5.6,-5.92,50.66,50.7,50.761,50.889,51.1,51.203,44.98
-5.52,-5.92,50.758,50.797,50.857,50.983,51.194,51.296,44.965
-5.44,-5.92,50.856,50.894,50.953,51.078,51.287,51.389,44.949
-5.36,-5.92,50.954,50.991,51.05,51.173,51.381,51.482,44.933
-5.28,-5.92,51.052,51.088,51.146,51.268,51.475,51.575,44.916
-5.2,-5.92,51.15,51.186,51.242,51.363,51.568,51.669,44.898
-5.12,-5.92,51.249,51.283,51.338,51.458,51.662,51.762,44.879
-5.04,-5.92,51.347,51.38,51.435,51.553,51.755,51.855,44.859
-4.96,-5.92,51.445,51.477,51.531,51.648,51.849,51.948,44.839
-4.88,-5.92,51.543,51.575,51.627,51.743,51.942,52.041,44.818
-4.8,-5.92,51.641,51.672,51.724,51.838,52.036,52.134,44.796
-4.72,-5.92,51.74,51.769,51.82,51.933,52.129,52.227,44.773
-4.64,-5.92,51.838,51.866,51.916,52.027,52.222,52.319,44.75
-4.56,-5.92,51.936,51.963,52.012,52.122,52.315,52.412,44.726
-4.48,-5.92,52.034,52.06,52.108,52.216,52.408,52.504,44.702
-4.4,-5.92,52.132,52.157,52.203,52.31,52.501,52.596,44.677
-4.32,-5.92,52.229,52.253,52.299,52.404,52.593,52.688,44.652
-4.24,-5.92,52.327,52.35,52.394,52.498,52.686,52.78,44.626
-4.16,-5.92,52.424,52.446,52.489,52.592,52.778,52.871,44.599
-4.08,-5.92,52.521,52.542,52.584,52.685,52.869,52.963,44.572
-4,-5.92,52.618,52.638,52.679,52.778,52.961,53.053,44.547
-3.92,-5.92,52.715,52.733,52.773,52.871,53.052,53.144,44.522
-3.84,-5.92,52.811,52.829,52.867,52.964,53.143,53.234,44.497
-3.76,-5.92,52.908,52.923,52.961,53.056,53.233,53.324,44.471
-3.68,-5.92,53.003,53.018,53.055,53.148,53.323,53.413,44.445
-3.6,-5.92,53.099,53.112,53.148,53.239,53.413,53.502,44.419
-3.52,-5.92,53.194,53.206,53.24,53.33,53.502,53.591,44.393
-3.44,-5.92,53.288,53.299,53.332,53.42,53.59,53.679,44.366
-3.36,-5.92,53.383,53.392,53.424,53.51,53.678,53.766,44.339
-3.28,-5.92,53.476,53.485,53.515,53.6,53.766,53.853,44.312
-3.2,-5.92,53.57,53.577,53.606,53.689,53.853,53.94,44.282
-3.12,-5.92,53.663,53.668,53.696,53.777,53.939,54.025,44.252
-3.04,-5.92,53.755,53.759,53.786,53.865,54.025,54.111,44.222
-2.96,-5.92,53.847,53.85,53.874,53.952,54.11,54.195,44.192
-2.88,-5.92,53.938,53.939,53.963,54.038,54.194,54.279,44.162
-2.8,-5.92,54.028,54.028,54.051,54.124,54.278,54.362,44.132
-2.72,-5.92,54.118,54.117,54.138,54.209,54.361,54.444,44.102
-2.64,-5.92,54.207,54.205,54.224,54.293,54.443,54.526,44.072
-2.56,-5.92,54.296,54.292,54.309,54.377,54.524,54.606,44.043
-2.48,-5.92,54.384,54.378,54.394,54.46,54.605,54.686,44.017
-2.4,-5.92,54.471,54.463,54.478,54.542,54.685,54.765,43.99
-2.32,-5.92,54.557,54.548,54.562,54.623,54.764,54.843,43.962
-2.24,-5.92,54.642,54.632,54.644,54.703,54.841,54.921,43.933
-2.16,-5.92,54.727,54.715,54.725,54.783,54.918,54.997,43.905
-2.08,-5.92,54.811,54.798,54.806,54.861,54.994,55.072,43.877
-2,-5.92,54.894,54.879,54.886,54.939,55.07,55.147,43.849
-1.92,-5.92,54.976,54.959,54.965,55.015,55.144,55.22,43.822
-1.84,-5.92,55.057,55.039,55.043,55.091,55.217,55.293,43.794
-1.76,-5.92,55.137,55.117,55.12,55.166,55.289,55.364,43.767
-1.68,-5.92,55.217,55.195,55.195,55.239,55.36,55.434,43.74
-1.6,-5.92,55.295,55.272,55.27,55.312,55.43,55.503,43.713
-1.52,-5.92,55.373,55.347,55.344,55.383,55.498,55.571,43.686
-1.44,-5.92,55.449,55.422,55.417,55.454,55.566,55.638,43.658
-1.36,-5.92,55.524,55.496,55.489,55.523,55.633,55.704,43.63
-1.28,-5.92,55.598,55.568,55.56,55.591,55.698,55.769,43.598
-1.2,-5.92,55.672,55.64,55.629,55.659,55.762,55.832,43.566
-1.12,-5.92,55.744,55.71,55.698,55.725,55.825,55.895,43.537
-1.04,-5.92,55.815,55.779,55.765,55.789,55.887,55.956,43.508
-0.96,-5.92,55.885,55.848,55.832,55.853,55.948,56.016,43.477
-0.88,-5.92,55.954,55.915,55.897,55.916,56.008,56.075,43.447
-0.8,-5.92,56.022,55.981,55.961,55.977,56.066,56.133,43.415
-0.72,-5.92,56.089,56.046,56.024,56.038,56.123,56.189,43.382
-0.64,-5.92,56.154,56.109,56.086,56.097,56.179,56.245,43.348
-0.56,-5.92,56.219,56.172,56.147,56.155,56.234,56.299,43.314
-0.48,-5.92,56.282,56.234,56.206,56.212,56.288,56.352,43.278
-0.4,-5.92,56.344,56.294,56.265,56.268,56.34,56.403,43.241
-0.32,-5.92,56.405,56.353,56.322,56.322,56.391,56.454,43.202
-0.24,-5.92,56.465,56.411,56.378,56.376,56.442,56.503,43.161
-0.16,-5.92,56.524,56.468,56.433,56.428,56.49,56.552,43.118
-0.08,-5.92,56.582,56.524,56.487,56.479,56.538,56.599,43.074
0,-5.92,56.639,56.579,56.54,56.529,56.585,56.645,43.026
0.08,-5.92,56.598,56.532,56.486,56.473,56.517,56.574,42.98
0.16,-5.92,56.625,56.553,56.502,56.488,56.525,56.58,42.935
0.24,-5.92,56.66,56.585,56.531,56.514,56.544,56.598,43.174
0.32,-5.92,56.699,56.622,56.565,56.545,56.569,56.622,43.011
0.4,-5.92,56.741,56.661,56.601,56.578,56.598,56.65,42.856
0.48,-5.92,56.784,56.702,56.64,56.613,56.628,56.68,42.72
0.56,-5.92,56.829,56.745,56.68,56.65,56.66,56.715,42.593
0.64,-5.92,56.873,56.787,56.721,56.687,56.693,56.75,42.48
0.72,-5.92,56.918,56.83,56.762,56.725,56.727,56.786,42.378
0.8,-5.92,56.968,56.873,56.802,56.762,56.76,56.82,42.312
0.88,-5.92,57.018,56.921,56.844,56.799,56.793,56.852,42.237
0.96,-5.92,57.068,56.969,56.89,56.835,56.826,56.885,42.17
1.04,-5.92,57.117,57.017,56.936,56.874,56.858,56.916,42.102
1.12,-5.92,57.173,57.064,56.981,56.915,56.89,56.948,42.033
1.2,-5.92,57.234,57.11,57.025,56.955,56.921,56.979,41.963
1.28,-5.92,57.295,57.165,57.069,56.995,56.957,57.009,41.892
1.36,-5.92,57.355,57.221,57.113,57.035,56.992,57.043,41.82
1.44,-5.92,57.414,57.278,57.163,57.074,57.027,57.077,41.747
1.52,-5.92,57.47,57.334,57.216,57.112,57.061,57.11,41.672
1.6,-5.92,57.487,57.385,57.268,57.152,57.094,57.143,41.597
1.68,-5.92,57.485,57.405,57.317,57.192,57.128,57.175,41.521
1.76,-5.92,57.504,57.399,57.361,57.23,57.16,57.206,41.443
1.84,-5.92,57.543,57.414,57.343,57.267,57.19,57.236,41.365
1.92,-5.92,57.58,57.452,57.347,57.301,57.217,57.263,41.286
2,-5.92,57.617,57.489,57.378,57.334,57.243,57.29,41.205
2.08,-5.92,57.653,57.525,57.414,57.333,57.269,57.316,41.124
2.16,-5.92,57.687,57.561,57.449,57.327,57.294,57.341,41.042
2.24,-5.92,57.721,57.596,57.484,57.34,57.318,57.365,40.959
2.32,-5.92,57.755,57.631,57.519,57.371,57.342,57.389,40.875
2.4,-5.92,57.787,57.664,57.553,57.403,57.365,57.412,40.791
2.48,-5.92,57.82,57.695,57.586,57.434,57.386,57.434,40.705
2.56,-5.92,57.852,57.726,57.62,57.465,57.369,57.456,40.619
2.64,-5.92,57.883,57.756,57.653,57.496,57.361,57.477,40.532
2.72,-5.92,57.914,57.786,57.685,57.526,57.373,57.497,40.444
2.8,-5.92,57.945,57.816,57.713,57.557,57.398,57.517,40.356
2.88,-5.92,57.976,57.845,57.742,57.587,57.424,57.525,40.266
