X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,50.465,50.506,50.566,50.677,50.863,50.96,44.266
-5.92,-6,50.561,50.602,50.66,50.77,50.955,51.051,44.263
-5.84,-6,50.658,50.697,50.755,50.864,51.047,51.142,44.259
-5.76,-6,50.755,50.793,50.85,50.957,51.139,51.234,44.255
-5.68,-6,50.852,50.889,50.945,51.051,51.232,51.325,44.249
-5.6,-6,50.949,50.986,51.04,51.145,51.324,51.417,44.243
-5.52,-6,51.046,51.082,51.136,51.239,51.416,51.509,44.235
-5.44,-6,51.144,51.179,51.231,51.333,51.509,51.601,44.227
-5.36,-6,51.241,51.275,51.327,51.427,51.602,51.693,44.218
-5.28,-6,51.339,51.372,51.423,51.521,51.694,51.785,44.208
-5.2,-6,51.437,51.469,51.518,51.616,51.787,51.877,44.198
-5.12,-6,51.535,51.566,51.614,51.71,51.88,51.969,44.186
-5.04,-6,51.632,51.662,51.71,51.805,51.972,52.061,44.174
-4.96,-6,51.73,51.759,51.806,51.899,52.065,52.153,44.161
-4.88,-6,51.829,51.856,51.902,51.993,52.158,52.246,44.148
-4.8,-6,51.927,51.954,51.998,52.088,52.251,52.338,44.133
-4.72,-6,52.025,52.051,52.094,52.182,52.343,52.43,44.118
-4.64,-6,52.123,52.148,52.19,52.276,52.436,52.521,44.103
-4.56,-6,52.221,52.245,52.286,52.371,52.528,52.613,44.087
-4.48,-6,52.319,52.342,52.382,52.465,52.621,52.705,44.07
-4.4,-6,52.417,52.438,52.477,52.559,52.713,52.796,44.052
-4.32,-6,52.515,52.535,52.573,52.653,52.805,52.888,44.035
-4.24,-6,52.613,52.632,52.669,52.747,52.897,52.979,44.02
-4.16,-6,52.711,52.729,52.764,52.84,52.989,53.07,44.004
-4.08,-6,52.808,52.825,52.859,52.934,53.08,53.161,43.987
-4,-6,52.906,52.921,52.954,53.027,53.171,53.251,43.97
-3.92,-6,53.003,53.017,53.049,53.12,53.262,53.342,43.952
-3.84,-6,53.1,53.113,53.144,53.213,53.353,53.431,43.934
-3.76,-6,53.197,53.209,53.238,53.306,53.444,53.521,43.916
-3.68,-6,53.294,53.305,53.332,53.398,53.534,53.611,43.897
-3.6,-6,53.39,53.4,53.426,53.49,53.624,53.7,43.878
-3.52,-6,53.487,53.495,53.52,53.582,53.713,53.788,43.857
-3.44,-6,53.583,53.589,53.613,53.673,53.802,53.876,43.834
-3.36,-6,53.678,53.684,53.706,53.764,53.891,53.964,43.812
-3.28,-6,53.774,53.778,53.799,53.854,53.979,54.052,43.789
-3.2,-6,53.869,53.871,53.891,53.944,54.067,54.138,43.767
-3.12,-6,53.963,53.965,53.983,54.034,54.154,54.225,43.744
-3.04,-6,54.058,54.058,54.074,54.123,54.241,54.311,43.721
-2.96,-6,54.151,54.15,54.165,54.212,54.327,54.396,43.698
-2.88,-6,54.245,54.242,54.256,54.301,54.413,54.481,43.674
-2.8,-6,54.338,54.334,54.346,54.388,54.498,54.565,43.654
-2.72,-6,54.431,54.425,54.435,54.476,54.583,54.649,43.634
-2.64,-6,54.523,54.515,54.524,54.562,54.667,54.732,43.612
-2.56,-6,54.614,54.605,54.613,54.648,54.75,54.814,43.59
-2.48,-6,54.706,54.695,54.701,54.734,54.833,54.896,43.567
-2.4,-6,54.796,54.784,54.788,54.819,54.915,54.977,43.545
-2.32,-6,54.886,54.873,54.875,54.903,54.996,55.057,43.523
-2.24,-6,54.976,54.961,54.961,54.987,55.077,55.137,43.501
-2.16,-6,55.065,55.048,55.047,55.07,55.157,55.216,43.479
-2.08,-6,55.153,55.135,55.132,55.152,55.236,55.294,43.457
-2,-6,55.241,55.221,55.216,55.234,55.315,55.372,43.434
