X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,46.036,46.139,46.248,46.436,46.662,46.865,47.23,41.926
-5.92,-6,46.159,46.262,46.371,46.558,46.784,46.988,47.352,41.902
-5.84,-6,46.282,46.385,46.493,46.681,46.906,47.11,47.475,41.879
-5.76,-6,46.405,46.507,46.616,46.803,47.029,47.232,47.597,41.855
-5.68,-6,46.528,46.63,46.739,46.926,47.151,47.355,47.719,41.83
-5.6,-6,46.651,46.753,46.862,47.049,47.274,47.477,47.841,41.805
-5.52,-6,46.774,46.876,46.984,47.171,47.396,47.6,47.964,41.78
-5.44,-6,46.897,46.999,47.107,47.294,47.519,47.722,48.086,41.754
-5.36,-6,47.02,47.121,47.23,47.417,47.641,47.844,48.208,41.728
-5.28,-6,47.143,47.244,47.353,47.539,47.764,47.967,48.33,41.701
-5.2,-6,47.266,47.367,47.475,47.662,47.886,48.089,48.452,41.675
-5.12,-6,47.389,47.49,47.598,47.784,48.008,48.211,48.574,41.647
-5.04,-6,47.512,47.612,47.72,47.907,48.131,48.333,48.696,41.619
-4.96,-6,47.634,47.734,47.843,48.029,48.252,48.455,48.817,41.591
-4.88,-6,47.757,47.857,47.965,48.151,48.374,48.576,48.938,41.563
-4.8,-6,47.879,47.978,48.086,48.272,48.495,48.697,49.059,41.534
-4.72,-6,48.001,48.1,48.208,48.393,48.616,48.818,49.179,41.504
-4.64,-6,48.122,48.221,48.329,48.514,48.737,48.938,49.299,41.475
-4.56,-6,48.243,48.341,48.449,48.634,48.856,49.057,49.418,41.444
-4.48,-6,48.364,48.461,48.568,48.753,48.975,49.176,49.537,41.414
-4.4,-6,48.483,48.581,48.688,48.872,49.094,49.295,49.655,41.383
-4.32,-6,48.603,48.699,48.806,48.991,49.213,49.413,49.773,41.352
-4.24,-6,48.721,48.818,48.925,49.109,49.33,49.531,49.891,41.32
-4.16,-6,48.84,48.936,49.042,49.226,49.448,49.648,50.008,41.288
-4.08,-6,48.957,49.053,49.16,49.343,49.565,49.765,50.124,41.255
-4,-6,49.075,49.17,49.276,49.46,49.681,49.881,50.24,41.222
-3.92,-6,49.191,49.287,49.392,49.576,49.796,49.996,50.355,41.188
-3.84,-6,49.308,49.402,49.508,49.691,49.911,50.111,50.469,41.154
-3.76,-6,49.423,49.518,49.623,49.805,50.026,50.225,50.582,41.119
-3.68,-6,49.538,49.632,49.737,49.919,50.139,50.338,50.695,41.084
-3.6,-6,49.652,49.746,49.85,50.032,50.252,50.45,50.807,41.049
-3.52,-6,49.765,49.858,49.962,50.144,50.363,50.562,50.918,41.014
-3.44,-6,49.877,49.97,50.074,50.255,50.474,50.672,51.028,40.978
-3.36,-6,49.989,50.081,50.185,50.366,50.584,50.782,51.138,40.942
-3.28,-6,50.099,50.192,50.294,50.475,50.693,50.891,51.246,40.907
-3.2,-6,50.209,50.301,50.403,50.584,50.801,50.998,51.353,40.871
-3.12,-6,50.317,50.409,50.511,50.691,50.908,51.105,51.459,40.835
-3.04,-6,50.425,50.516,50.617,50.797,51.014,51.21,51.564,40.799
-2.96,-6,50.531,50.622,50.723,50.902,51.119,51.315,51.667,40.763
-2.88,-6,50.636,50.727,50.827,51.006,51.222,51.418,51.769,40.726
-2.8,-6,50.74,50.83,50.93,51.109,51.324,51.519,51.87,40.69
-2.72,-6,50.843,50.932,51.032,51.21,51.424,51.619,51.969,40.654
-2.64,-6,50.944,51.033,51.131,51.309,51.523,51.717,52.067,40.621
-2.56,-6,51.044,51.132,51.23,51.407,51.621,51.814,52.163,40.585
-2.48,-6,51.142,51.229,51.327,51.503,51.717,51.91,52.257,40.547
-2.4,-6,51.238,51.325,51.422,51.598,51.811,52.003,52.35,40.509
-2.32,-6,51.333,51.42,51.516,51.691,51.904,52.095,52.441,40.471
-2.24,-6,51.427,51.512,51.608,51.782,51.995,52.186,52.53,40.432
-2.16,-6,51.518,51.603,51.698,51.872,52.084,52.274,52.618,40.394
-2.08,-6,51.608,51.693,51.786,51.96,52.171,52.361,52.704,40.356
-2,-6,51.696,51.78,51.873,52.045,52.256,52.446,52.788,40.317
-1.92,-6,51.782,51.866,51.958,52.13,52.34,52.529,52.87,40.279
-1.84,-6,51.867,51.949,52.041,52.212,52.422,52.61,52.95,40.241
-1.76,-6,51.949,52.031,52.122,52.292,52.502,52.689,53.028,40.202
-1.68,-6,52.03,52.111,52.202,52.371,52.58,52.767,53.105,40.163
-1.6,-6,52.109,52.19,52.279,52.448,52.656,52.843,53.179,40.124
