X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,46.149,46.25,46.358,46.542,46.784,46.995,47.356,41.086
-5.92,-6,46.273,46.374,46.481,46.666,46.908,47.118,47.479,41.074
-5.84,-6,46.397,46.498,46.605,46.789,47.031,47.241,47.602,41.061
-5.76,-6,46.521,46.622,46.729,46.913,47.154,47.364,47.724,41.047
-5.68,-6,46.645,46.746,46.853,47.036,47.278,47.487,47.847,41.034
-5.6,-6,46.77,46.87,46.977,47.16,47.401,47.61,47.97,41.019
-5.52,-6,46.894,46.994,47.101,47.284,47.524,47.733,48.093,41.005
-5.44,-6,47.018,47.118,47.225,47.407,47.648,47.857,48.216,40.99
-5.36,-6,47.143,47.242,47.348,47.531,47.771,47.98,48.339,40.974
-5.28,-6,47.267,47.366,47.472,47.654,47.894,48.103,48.461,40.959
-5.2,-6,47.391,47.49,47.596,47.778,48.018,48.226,48.584,40.942
-5.12,-6,47.515,47.614,47.72,47.901,48.141,48.349,48.706,40.926
-5.04,-6,47.639,47.738,47.843,48.024,48.264,48.471,48.828,40.909
-4.96,-6,47.763,47.862,47.967,48.147,48.386,48.594,48.95,40.891
-4.88,-6,47.887,47.985,48.09,48.27,48.509,48.716,49.072,40.873
-4.8,-6,48.011,48.108,48.213,48.393,48.631,48.838,49.194,40.854
-4.72,-6,48.134,48.232,48.336,48.515,48.753,48.96,49.315,40.835
-4.64,-6,48.257,48.354,48.459,48.637,48.875,49.081,49.436,40.816
-4.56,-6,48.38,48.477,48.581,48.759,48.996,49.202,49.557,40.796
-4.48,-6,48.502,48.599,48.703,48.881,49.117,49.323,49.677,40.776
-4.4,-6,48.624,48.721,48.824,49.002,49.238,49.443,49.796,40.755
-4.32,-6,48.746,48.842,48.945,49.122,49.358,49.563,49.916,40.734
-4.24,-6,48.867,48.963,49.066,49.242,49.478,49.683,50.034,40.712
-4.16,-6,48.988,49.084,49.186,49.362,49.597,49.802,50.152,40.689
-4.08,-6,49.108,49.204,49.306,49.481,49.716,49.92,50.27,40.666
-4,-6,49.228,49.323,49.425,49.6,49.834,50.037,50.387,40.642
-3.92,-6,49.347,49.442,49.543,49.718,49.951,50.154,50.503,40.618
-3.84,-6,49.466,49.56,49.661,49.835,50.068,50.271,50.619,40.594
-3.76,-6,49.584,49.678,49.778,49.951,50.184,50.386,50.734,40.569
-3.68,-6,49.701,49.794,49.895,50.067,50.299,50.501,50.847,40.544
-3.6,-6,49.817,49.91,50.01,50.182,50.413,50.615,50.961,40.519
-3.52,-6,49.933,50.026,50.125,50.296,50.527,50.728,51.073,40.494
-3.44,-6,50.047,50.14,50.239,50.41,50.64,50.84,51.184,40.469
-3.36,-6,50.161,50.253,50.352,50.522,50.751,50.952,51.294,40.443
-3.28,-6,50.274,50.366,50.464,50.633,50.862,51.062,51.404,40.417
-3.2,-6,50.386,50.477,50.575,50.743,50.972,51.171,51.512,40.391
-3.12,-6,50.497,50.588,50.685,50.853,51.08,51.279,51.619,40.364
-3.04,-6,50.607,50.697,50.794,50.961,51.188,51.386,51.724,40.338
-2.96,-6,50.716,50.806,50.902,51.068,51.294,51.491,51.829,40.314
-2.88,-6,50.823,50.913,51.009,51.173,51.399,51.596,51.932,40.288
-2.8,-6,50.929,51.018,51.114,51.278,51.503,51.699,52.034,40.26
-2.72,-6,51.034,51.123,51.218,51.381,51.605,51.801,52.135,40.231
-2.64,-6,51.138,51.226,51.321,51.483,51.706,51.901,52.234,40.202
-2.56,-6,51.24,51.328,51.422,51.583,51.805,52,52.331,40.173
-2.48,-6,51.341,51.428,51.522,51.682,51.904,52.097,52.427,40.144
-2.4,-6,51.441,51.527,51.62,51.779,52,52.193,52.522,40.114
-2.32,-6,51.539,51.625,51.717,51.875,52.095,52.287,52.615,40.084
-2.24,-6,51.635,51.72,51.812,51.969,52.188,52.38,52.706,40.055
-2.16,-6,51.73,51.814,51.906,52.062,52.28,52.471,52.795,40.025
-2.08,-6,51.823,51.907,51.997,52.153,52.37,52.56,52.883,39.997
-2,-6,51.914,51.998,52.087,52.242,52.458,52.647,52.969,39.97
-1.92,-6,52.004,52.086,52.176,52.329,52.544,52.733,53.053,39.942
-1.84,-6,52.091,52.174,52.262,52.414,52.628,52.816,53.134,39.914
-1.76,-6,52.177,52.259,52.347,52.498,52.711,52.898,53.214,39.889
-1.68,-6,52.261,52.342,52.43,52.579,52.791,52.978,53.292,39.862
-1.6,-6,52.343,52.424,52.51,52.659,52.87,53.055,53.368,39.836
-1.52,-6,52.423,52.503,52.589,52.736,52.946,53.131,53.442,39.81
-1.44,-6,52.501,52.58,52.666,52.812,53.021,53.205,53.514,39.781
-1.36,-6,52.577,52.656,52.74,52.885,53.093,53.276,53.583,39.751
-1.28,-6,52.651,52.729,52.813,52.956,53.163,53.345,53.651,39.721
-1.2,-6,52.723,52.8,52.883,53.025,53.231,53.412,53.716,39.69
-1.12,-6,52.792,52.869,52.951,53.092,53.297,53.477,53.779,39.658
-1.04,-6,52.86,52.935,53.017,53.157,53.36,53.54,53.839,39.624
-0.96,-6,52.925,53,53.081,53.219,53.421,53.6,53.897,39.589
-0.88,-6,52.988,53.062,53.142,53.279,53.48,53.658,53.953,39.553
-0.8,-6,53.048,53.122,53.201,53.337,53.537,53.714,54.007,39.516
-0.72,-6,53.107,53.179,53.258,53.392,53.591,53.767,54.058,39.477
-0.64,-6,53.162,53.235,53.312,53.445,53.643,53.818,54.107,39.438
-0.56,-6,53.216,53.287,53.364,53.496,53.692,53.866,54.153,39.398
-0.48,-6,53.267,53.338,53.414,53.544,53.739,53.912,54.197,39.356
-0.4,-6,53.316,53.386,53.461,53.59,53.784,53.956,54.238,39.312
-0.32,-6,53.363,53.432,53.506,53.633,53.826,53.997,54.277,39.268
-0.24,-6,53.407,53.475,53.548,53.674,53.866,54.036,54.314,39.224
-0.16,-6,53.448,53.516,53.588,53.713,53.903,54.072,54.348,39.178
-0.08,-6,53.488,53.554,53.626,53.749,53.938,54.106,54.38,39.13
0,-6,53.525,53.59,53.661,53.783,53.971,54.138,54.409,39.08
0.08,-6,53.376,53.435,53.501,53.613,53.793,53.973,54.231,39.031
0.16,-6,53.355,53.412,53.473,53.58,53.754,53.938,54.188,38.979
0.24,-6,53.351,53.406,53.465,53.568,53.737,53.923,54.166,39.168
0.32,-6,53.354,53.407,53.465,53.563,53.729,53.915,54.154,39.031
0.4,-6,53.36,53.412,53.468,53.563,53.726,53.912,54.145,38.89
0.48,-6,53.369,53.419,53.472,53.565,53.725,53.91,54.139,38.766
0.56,-6,53.383,53.425,53.478,53.567,53.724,53.909,54.134,38.651
0.64,-6,53.407,53.446,53.487,53.569,53.724,53.908,54.129,38.549
0.72,-6,53.43,53.466,53.506,53.574,53.723,53.906,54.122,38.455
0.8,-6,53.452,53.486,53.523,53.588,53.72,53.903,54.116,38.449
0.88,-6,53.476,53.506,53.54,53.6,53.727,53.898,54.107,38.388
0.96,-6,53.501,53.526,53.556,53.612,53.735,53.893,54.097,38.326
1.04,-6,53.53,53.549,53.573,53.622,53.74,53.895,54.086,38.255
1.12,-6,53.557,53.574,53.593,53.633,53.745,53.896,54.073,38.183
1.2,-6,53.415,53.593,53.613,53.643,53.748,53.894,54.06,38.109
1.28,-6,53.333,53.443,53.628,53.657,53.751,53.891,54.051,38.034
1.36,-6,53.324,53.368,53.481,53.67,53.756,53.887,54.041,37.957
1.44,-6,53.321,53.361,53.406,53.655,53.762,53.883,54.029,37.878
1.52,-6,53.316,53.354,53.395,53.536,53.766,53.877,54.015,37.798
1.6,-6,53.309,53.346,53.385,53.482,53.767,53.867,53.999,37.717
1.68,-6,53.3,53.335,53.373,53.467,53.751,53.848,53.977,37.634
1.76,-6,53.29,53.323,53.359,53.45,53.732,53.827,53.954,37.549
1.84,-6,53.278,53.309,53.343,53.431,53.711,53.804,53.928,37.463
1.92,-6,53.265,53.294,53.326,53.411,53.688,53.779,53.9,37.376
2,-6,53.251,53.279,53.308,53.391,53.559,53.76,53.888,37.288
2.08,-6,53.236,53.262,53.29,53.369,53.465,53.742,53.877,37.197
2.16,-6,53.221,53.245,53.27,53.345,53.428,53.723,53.864,37.106
2.24,-6,53.204,53.226,53.249,53.321,53.399,53.591,53.85,37.013
2.32,-6,53.186,53.207,53.228,53.295,53.37,53.499,53.835,36.919
2.4,-6,53.168,53.186,53.205,53.268,53.339,53.459,53.82,36.824
2.48,-6,53.149,53.165,53.181,53.241,53.307,53.423,53.803,36.727
2.56,-6,53.129,53.143,53.157,53.212,53.274,53.386,53.785,36.629
2.64,-6,53.109,53.121,53.132,53.183,53.24,53.348,53.664,36.531
2.72,-6,53.089,53.098,53.107,53.153,53.206,53.309,53.568,36.43
2.8,-6,53.068,53.075,53.081,53.123,53.17,53.269,53.516,36.329
2.88,-6,53.047,53.052,53.055,53.092,53.135,53.228,53.47,36.227
2.96,-6,53.025,53.028,53.029,53.061,53.098,53.186,53.424,36.123
