X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
-6,-6,46.143,46.231,46.323,46.487,46.69,46.829,47.215,42.771
-5.92,-6,46.267,46.355,46.447,46.611,46.814,46.952,47.338,42.735
-5.84,-6,46.392,46.479,46.571,46.735,46.937,47.075,47.46,42.7
-5.76,-6,46.516,46.604,46.696,46.858,47.061,47.198,47.583,42.663
-5.68,-6,46.641,46.728,46.82,46.982,47.184,47.322,47.706,42.626
-5.6,-6,46.766,46.853,46.944,47.106,47.308,47.445,47.829,42.589
-5.52,-6,46.891,46.978,47.069,47.23,47.431,47.568,47.952,42.552
-5.44,-6,47.016,47.102,47.193,47.354,47.555,47.691,48.075,42.514
-5.36,-6,47.141,47.227,47.318,47.479,47.679,47.815,48.198,42.476
-5.28,-6,47.266,47.352,47.442,47.603,47.802,47.938,48.321,42.437
-5.2,-6,47.39,47.476,47.566,47.727,47.926,48.061,48.444,42.398
-5.12,-6,47.515,47.601,47.691,47.851,48.05,48.184,48.567,42.359
-5.04,-6,47.64,47.726,47.815,47.974,48.173,48.307,48.689,42.319
-4.96,-6,47.765,47.85,47.939,48.098,48.296,48.43,48.811,42.279
-4.88,-6,47.89,47.974,48.063,48.222,48.419,48.552,48.934,42.239
-4.8,-6,48.014,48.099,48.187,48.345,48.542,48.675,49.056,42.198
-4.72,-6,48.139,48.223,48.311,48.468,48.665,48.797,49.177,42.157
-4.64,-6,48.263,48.346,48.434,48.591,48.787,48.919,49.299,42.115
-4.56,-6,48.387,48.47,48.558,48.714,48.909,49.04,49.42,42.073
-4.48,-6,48.51,48.593,48.681,48.836,49.031,49.161,49.541,42.031
-4.4,-6,48.634,48.716,48.803,48.958,49.153,49.282,49.661,41.989
-4.32,-6,48.757,48.839,48.925,49.08,49.274,49.403,49.781,41.946
-4.24,-6,48.879,48.961,49.047,49.201,49.394,49.523,49.9,41.902
-4.16,-6,49.002,49.083,49.169,49.322,49.514,49.642,50.019,41.859
-4.08,-6,49.123,49.204,49.29,49.443,49.634,49.761,50.138,41.815
-4,-6,49.245,49.325,49.41,49.562,49.753,49.879,50.256,41.771
-3.92,-6,49.366,49.446,49.53,49.682,49.872,49.997,50.373,41.726
-3.84,-6,49.486,49.566,49.65,49.8,49.99,50.114,50.49,41.682
-3.76,-6,49.606,49.685,49.768,49.918,50.107,50.231,50.605,41.637
-3.68,-6,49.725,49.803,49.886,50.036,50.223,50.346,50.721,41.591
-3.6,-6,49.843,49.921,50.004,50.153,50.339,50.461,50.835,41.545
-3.52,-6,49.961,50.039,50.121,50.268,50.454,50.575,50.948,41.498
-3.44,-6,50.078,50.155,50.237,50.384,50.568,50.689,51.061,41.452
-3.36,-6,50.194,50.271,50.352,50.498,50.682,50.801,51.173,41.405
-3.28,-6,50.309,50.385,50.466,50.611,50.794,50.912,51.284,41.358
-3.2,-6,50.424,50.499,50.579,50.724,50.906,51.023,51.393,41.311
-3.12,-6,50.537,50.612,50.692,50.835,51.016,51.132,51.502,41.263
-3.04,-6,50.65,50.724,50.803,50.946,51.126,51.241,51.61,41.216
-2.96,-6,50.761,50.835,50.913,51.055,51.234,51.348,51.716,41.17
-2.88,-6,50.872,50.945,51.023,51.163,51.341,51.454,51.821,41.123
-2.8,-6,50.981,51.054,51.131,51.27,51.447,51.558,51.925,41.077
-2.72,-6,51.09,51.162,51.238,51.376,51.552,51.662,52.028,41.03
-2.64,-6,51.197,51.268,51.344,51.481,51.655,51.764,52.129,40.984
-2.56,-6,51.303,51.373,51.448,51.585,51.758,51.865,52.229,40.937
-2.48,-6,51.407,51.477,51.551,51.687,51.858,51.964,52.328,40.89
-2.4,-6,51.511,51.58,51.653,51.787,51.958,52.062,52.425,40.845
-2.32,-6,51.613,51.681,51.754,51.887,52.056,52.159,52.521,40.802
-2.24,-6,51.713,51.781,51.853,51.985,52.152,52.254,52.615,40.756
-2.16,-6,51.813,51.88,51.951,52.081,52.247,52.347,52.707,40.708
-2.08,-6,51.91,51.977,52.047,52.176,52.34,52.439,52.798,40.661
-2,-6,52.007,52.072,52.141,52.269,52.432,52.529,52.887,40.614
-1.92,-6,52.101,52.166,52.234,52.361,52.522,52.617,52.974,40.567
-1.84,-6,52.194,52.258,52.326,52.451,52.611,52.704,53.06,40.52
-1.76,-6,52.286,52.349,52.415,52.539,52.697,52.789,53.143,40.473
-1.68,-6,52.376,52.438,52.503,52.625,52.782,52.872,53.225,40.426
-1.6,-6,52.464,52.525,52.59,52.71,52.865,52.953,53.305,40.379
-1.52,-6,52.55,52.61,52.674,52.793,52.947,53.032,53.383,40.333
-1.44,-6,52.635,52.694,52.757,52.874,53.026,53.11,53.46,40.288
-1.36,-6,52.718,52.776,52.838,52.954,53.103,53.185,53.534,40.241
-1.28,-6,52.799,52.856,52.917,53.031,53.179,53.258,53.606,40.195
-1.2,-6,52.879,52.935,52.994,53.107,53.253,53.33,53.676,40.148
-1.12,-6,52.956,53.011,53.07,53.181,53.324,53.399,53.744,40.103
-1.04,-6,53.032,53.086,53.143,53.252,53.394,53.467,53.81,40.056
-0.96,-6,53.106,53.159,53.215,53.322,53.462,53.532,53.874,40.008
-0.88,-6,53.178,53.23,53.285,53.39,53.528,53.596,53.936,39.96
-0.8,-6,53.248,53.299,53.353,53.456,53.592,53.657,53.996,39.91
-0.72,-6,53.316,53.366,53.419,53.52,53.653,53.716,54.053,39.86
-0.64,-6,53.383,53.431,53.483,53.582,53.713,53.773,54.109,39.81
-0.56,-6,53.447,53.495,53.545,53.642,53.771,53.829,54.162,39.758
-0.48,-6,53.51,53.556,53.605,53.7,53.826,53.882,54.213,39.705
-0.4,-6,53.571,53.616,53.663,53.756,53.88,53.933,54.263,39.651
-0.32,-6,53.63,53.674,53.72,53.81,53.932,53.981,54.309,39.597
-0.24,-6,53.687,53.73,53.774,53.863,53.981,54.028,54.354,39.543
-0.16,-6,53.743,53.784,53.827,53.913,54.029,54.073,54.397,39.488
-0.08,-6,53.796,53.836,53.878,53.961,54.075,54.116,54.437,39.431
0,-6,53.848,53.887,53.927,54.008,54.118,54.157,54.476,39.372
0.08,-6,53.736,53.767,53.799,53.87,53.969,54.012,54.322,39.313
0.16,-6,53.738,53.766,53.796,53.858,53.949,53.991,54.296,39.252
0.24,-6,53.757,53.782,53.808,53.866,53.951,53.991,54.289,39.419
0.32,-6,53.783,53.805,53.828,53.883,53.961,53.998,54.29,39.279
0.4,-6,53.812,53.832,53.853,53.902,53.975,54.01,54.298,39.136
0.48,-6,53.844,53.863,53.881,53.925,53.994,54.024,54.305,39.008
0.56,-6,53.889,53.899,53.909,53.95,54.013,54.04,54.242,38.889
0.64,-6,53.937,53.944,53.95,53.975,54.034,54.056,54.215,38.782
0.72,-6,53.984,53.989,53.992,54.011,54.054,54.072,54.223,38.683
0.8,-6,54.033,54.034,54.034,54.048,54.081,54.088,54.232,38.667
0.88,-6,54.083,54.081,54.077,54.084,54.112,54.104,54.241,38.601
0.96,-6,54.137,54.128,54.121,54.121,54.143,54.129,54.25,38.532
1.04,-6,54.193,54.181,54.166,54.158,54.173,54.152,54.257,38.456
1.12,-6,54.198,54.233,54.215,54.196,54.202,54.174,54.268,38.378
