X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-6,-6,44.757,44.862,44.967,45.158,45.388,45.581,45.825,46.084,46.256,43.814
-5.92,-6,44.849,44.953,45.058,45.248,45.476,45.668,45.912,46.17,46.342,43.784
-5.84,-6,44.941,45.044,45.148,45.337,45.564,45.756,45.998,46.256,46.427,43.752
-5.76,-6,45.033,45.135,45.239,45.426,45.653,45.844,46.085,46.342,46.513,43.72
-5.68,-6,45.125,45.227,45.329,45.516,45.741,45.931,46.172,46.428,46.598,43.686
-5.6,-6,45.217,45.318,45.42,45.606,45.83,46.019,46.259,46.514,46.684,43.652
-5.52,-6,45.309,45.41,45.511,45.696,45.919,46.107,46.346,46.6,46.769,43.618
-5.44,-6,45.402,45.502,45.602,45.786,46.007,46.195,46.433,46.686,46.854,43.583
-5.36,-6,45.494,45.594,45.694,45.876,46.096,46.282,46.52,46.772,46.94,43.547
-5.28,-6,45.587,45.686,45.785,45.966,46.185,46.37,46.606,46.858,47.025,43.51
-5.2,-6,45.68,45.778,45.876,46.056,46.274,46.458,46.693,46.943,47.111,43.473
-5.12,-6,45.773,45.87,45.968,46.146,46.363,46.546,46.78,47.029,47.196,43.435
-5.04,-6,45.865,45.962,46.059,46.237,46.452,46.634,46.867,47.115,47.281,43.397
-4.96,-6,45.958,46.055,46.151,46.327,46.541,46.722,46.953,47.201,47.366,43.359
-4.88,-6,46.052,46.147,46.242,46.417,46.63,46.809,47.04,47.286,47.451,43.32
-4.8,-6,46.145,46.239,46.334,46.507,46.718,46.897,47.127,47.372,47.536,43.28
-4.72,-6,46.238,46.332,46.425,46.598,46.807,46.984,47.213,47.457,47.621,43.24
-4.64,-6,46.331,46.424,46.517,46.688,46.896,47.072,47.299,47.543,47.706,43.2
-4.56,-6,46.424,46.516,46.608,46.778,46.984,47.159,47.386,47.628,47.79,43.16
-4.48,-6,46.517,46.608,46.699,46.868,47.073,47.246,47.472,47.713,47.875,43.119
-4.4,-6,46.61,46.701,46.791,46.958,47.161,47.334,47.558,47.798,47.959,43.078
-4.32,-6,46.703,46.793,46.882,47.048,47.249,47.42,47.643,47.882,48.043,43.037
-4.24,-6,46.795,46.885,46.973,47.137,47.337,47.507,47.729,47.966,48.126,42.996
-4.16,-6,46.888,46.976,47.064,47.227,47.425,47.594,47.814,48.051,48.21,42.955
-4.08,-6,46.98,47.068,47.154,47.316,47.513,47.68,47.899,48.134,48.293,42.914
-4,-6,47.073,47.16,47.245,47.405,47.6,47.766,47.984,48.218,48.375,42.872
-3.92,-6,47.165,47.251,47.335,47.494,47.687,47.852,48.068,48.301,48.458,42.831
-3.84,-6,47.257,47.342,47.425,47.583,47.774,47.937,48.152,48.383,48.54,42.789
-3.76,-6,47.348,47.433,47.515,47.671,47.861,48.022,48.235,48.466,48.621,42.748
-3.68,-6,47.44,47.523,47.605,47.759,47.947,48.107,48.319,48.548,48.702,42.707
-3.6,-6,47.531,47.614,47.694,47.847,48.033,48.191,48.401,48.629,48.783,42.666
-3.52,-6,47.621,47.703,47.783,47.934,48.118,48.275,48.483,48.71,48.863,42.624
-3.44,-6,47.712,47.793,47.871,48.021,48.203,48.358,48.565,48.79,48.942,42.583
-3.36,-6,47.802,47.882,47.959,48.107,48.288,48.441,48.646,48.87,49.021,42.543
-3.28,-6,47.892,47.971,48.047,48.193,48.371,48.523,48.727,48.949,49.099,42.502
-3.2,-6,47.981,48.059,48.134,48.279,48.455,48.605,48.807,49.027,49.177,42.465
-3.12,-6,48.069,48.147,48.22,48.364,48.538,48.686,48.886,49.105,49.253,42.438
-3.04,-6,48.158,48.234,48.306,48.448,48.62,48.766,48.965,49.182,49.329,42.41
-2.96,-6,48.245,48.321,48.392,48.532,48.702,48.846,49.042,49.258,49.405,42.38
-2.88,-6,48.333,48.407,48.477,48.615,48.783,48.925,49.12,49.334,49.479,42.35
-2.8,-6,48.419,48.493,48.561,48.698,48.863,49.004,49.196,49.408,49.553,42.32
-2.72,-6,48.505,48.578,48.645,48.78,48.942,49.081,49.272,49.482,49.626,42.288
-2.64,-6,48.591,48.662,48.728,48.861,49.021,49.158,49.346,49.555,49.698,42.255
-2.56,-6,48.675,48.746,48.81,48.941,49.099,49.234,49.42,49.627,49.769,42.222
-2.48,-6,48.759,48.829,48.892,49.021,49.176,49.309,49.493,49.698,49.839,42.188
-2.4,-6,48.843,48.911,48.973,49.1,49.253,49.384,49.566,49.768,49.908,42.153
-2.32,-6,48.925,48.993,49.053,49.178,49.328,49.457,49.637,49.838,49.976,42.117
-2.24,-6,49.007,49.073,49.132,49.255,49.403,49.529,49.707,49.906,50.043,42.081
-2.16,-6,49.088,49.153,49.21,49.331,49.477,49.601,49.776,49.973,50.109,42.044
-2.08,-6,49.168,49.232,49.288,49.407,49.549,49.672,49.845,50.039,50.174,42.006
-2,-6,49.247,49.31,49.364,49.481,49.621,49.741,49.912,50.105,50.238,41.968
-1.92,-6,49.325,49.387,49.44,49.555,49.692,49.81,49.978,50.169,50.3,41.929
-1.84,-6,49.402,49.463,49.515,49.627,49.762,49.877,50.043,50.232,50.362,41.89
-1.76,-6,49.479,49.539,49.589,49.699,49.831,49.944,50.108,50.293,50.422,41.861
-1.68,-6,49.554,49.613,49.661,49.77,49.899,50.01,50.171,50.354,50.482,41.831
-1.6,-6,49.629,49.686,49.733,49.839,49.965,50.074,50.233,50.414,50.54,41.801
-1.52,-6,49.702,49.758,49.804,49.908,50.031,50.137,50.293,50.472,50.597,41.77
-1.44,-6,49.774,49.829,49.873,49.975,50.096,50.2,50.353,50.529,50.652,41.731
-1.36,-6,49.845,49.899,49.942,50.041,50.159,50.261,50.411,50.585,50.707,41.685
-1.28,-6,49.915,49.968,50.009,50.107,50.221,50.32,50.469,50.64,50.76,41.639
-1.2,-6,49.984,50.036,50.075,50.17,50.282,50.379,50.524,50.693,50.812,41.591
-1.12,-6,50.051,50.102,50.14,50.233,50.342,50.436,50.579,50.745,50.863,41.542
-1.04,-6,50.117,50.167,50.203,50.294,50.4,50.492,50.633,50.796,50.912,41.491
-0.96,-6,50.182,50.231,50.265,50.355,50.458,50.547,50.685,50.846,50.96,41.439
-0.88,-6,50.246,50.293,50.326,50.413,50.514,50.601,50.735,50.894,51.006,41.386
-0.8,-6,50.308,50.355,50.386,50.471,50.568,50.653,50.785,50.941,51.051,41.331
-0.72,-6,50.368,50.414,50.444,50.527,50.621,50.703,50.833,50.986,51.095,41.274
-0.64,-6,50.428,50.473,50.501,50.582,50.673,50.753,50.88,51.03,51.138,41.216
-0.56,-6,50.485,50.529,50.556,50.635,50.724,50.801,50.925,51.073,51.179,41.156
-0.48,-6,50.542,50.585,50.61,50.687,50.773,50.848,50.969,51.114,51.218,41.094
-0.4,-6,50.597,50.639,50.662,50.737,50.82,50.893,51.011,51.154,51.257,41.03
-0.32,-6,50.65,50.691,50.713,50.786,50.866,50.936,51.052,51.193,51.293,40.964
-0.24,-6,50.702,50.742,50.762,50.834,50.911,50.979,51.092,51.23,51.329,40.896
-0.16,-6,50.752,50.791,50.81,50.88,50.954,51.02,51.13,51.265,51.363,40.826
-0.08,-6,50.8,50.839,50.856,50.924,50.995,51.059,51.167,51.299,51.395,40.753
0,-6,50.847,50.885,50.901,50.967,51.036,51.097,51.202,51.332,51.426,40.678
0.08,-6,50.676,50.707,50.715,50.77,50.824,50.897,50.99,51.107,51.193,40.612
0.16,-6,50.662,50.691,50.693,50.741,50.787,50.862,50.947,51.058,51.139,40.547
0.24,-6,50.668,50.695,50.694,50.738,50.777,50.852,50.931,51.035,51.112,40.626
0.32,-6,50.683,50.708,50.705,50.746,50.778,50.853,50.926,51.025,51.101,40.556
0.4,-6,50.703,50.727,50.721,50.758,50.785,50.859,50.928,51.022,51.094,40.484
0.48,-6,50.725,50.748,50.739,50.773,50.796,50.868,50.932,51.022,51.092,40.41
0.56,-6,50.752,50.769,50.758,50.79,50.808,50.878,50.938,51.024,51.091,40.334
0.64,-6,50.788,50.802,50.783,50.806,50.821,50.888,50.945,51.027,51.091,40.257
0.72,-6,50.822,50.836,50.814,50.83,50.833,50.898,50.951,51.03,51.091,40.178
0.8,-6,50.856,50.868,50.844,50.857,50.85,50.907,50.957,51.032,51.091,40.097
0.88,-6,50.889,50.899,50.872,50.883,50.872,50.917,50.962,51.033,51.09,40.016
0.96,-6,50.921,50.93,50.9,50.907,50.892,50.933,50.965,51.033,51.088,39.933
1.04,-6,50.957,50.961,50.927,50.931,50.91,50.948,50.975,51.033,51.085,39.85
1.12,-6,50.991,50.994,50.955,50.954,50.927,50.961,50.984,51.032,51.082,39.765
1.2,-6,51.005,51.025,50.984,50.976,50.944,50.972,50.991,51.037,51.078,39.679
1.28,-6,50.968,51.018,51.011,51,50.958,50.981,50.997,51.039,51.077,39.592
1.36,-6,50.952,50.988,50.988,51.022,50.974,50.99,51.001,51.039,51.075,39.504
1.44,-6,50.961,50.978,50.96,51.037,50.99,50.998,51.003,51.037,51.072,39.416
1.52,-6,50.967,50.984,50.952,50.996,51.004,51.006,51.004,51.034,51.066,39.326
1.6,-6,50.972,50.989,50.954,50.968,51.012,51.014,51.004,51.029,51.059,39.235
1.68,-6,50.974,50.991,50.955,50.967,50.968,51.019,51.004,51.023,51.05,39.143
