X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-6,-6,44.934,45.04,45.141,45.33,45.563,45.759,46.004,46.265,46.439,43.761
-5.92,-6,45.026,45.132,45.232,45.42,45.652,45.847,46.091,46.351,46.525,43.73
-5.84,-6,45.118,45.223,45.323,45.51,45.741,45.935,46.178,46.437,46.611,43.698
-5.76,-6,45.211,45.315,45.414,45.6,45.83,46.023,46.265,46.523,46.696,43.665
-5.68,-6,45.303,45.407,45.505,45.69,45.919,46.111,46.352,46.609,46.782,43.632
-5.6,-6,45.396,45.499,45.597,45.781,46.008,46.2,46.44,46.696,46.868,43.598
-5.52,-6,45.489,45.592,45.688,45.871,46.097,46.288,46.527,46.782,46.953,43.563
-5.44,-6,45.582,45.684,45.78,45.961,46.186,46.376,46.614,46.868,47.039,43.527
-5.36,-6,45.675,45.776,45.872,46.052,46.276,46.464,46.701,46.954,47.125,43.491
-5.28,-6,45.768,45.869,45.963,46.143,46.365,46.553,46.788,47.041,47.211,43.454
-5.2,-6,45.861,45.961,46.055,46.233,46.454,46.641,46.876,47.127,47.296,43.417
-5.12,-6,45.954,46.054,46.147,46.324,46.544,46.729,46.963,47.213,47.382,43.379
-5.04,-6,46.048,46.147,46.239,46.414,46.633,46.817,47.05,47.299,47.467,43.34
-4.96,-6,46.141,46.24,46.331,46.505,46.722,46.905,47.137,47.385,47.552,43.301
-4.88,-6,46.235,46.332,46.423,46.596,46.812,46.994,47.224,47.471,47.638,43.262
-4.8,-6,46.328,46.425,46.514,46.686,46.901,47.082,47.31,47.556,47.723,43.222
-4.72,-6,46.422,46.518,46.606,46.777,46.99,47.169,47.397,47.642,47.807,43.182
-4.64,-6,46.515,46.61,46.698,46.867,47.079,47.257,47.484,47.727,47.892,43.142
-4.56,-6,46.608,46.703,46.79,46.957,47.168,47.345,47.57,47.812,47.976,43.101
-4.48,-6,46.702,46.796,46.881,47.047,47.256,47.432,47.656,47.897,48.061,43.06
-4.4,-6,46.795,46.888,46.973,47.137,47.345,47.519,47.742,47.982,48.144,43.019
-4.32,-6,46.888,46.98,47.064,47.227,47.433,47.606,47.827,48.066,48.228,42.978
-4.24,-6,46.981,47.072,47.155,47.317,47.521,47.693,47.913,48.15,48.311,42.937
-4.16,-6,47.074,47.165,47.246,47.406,47.609,47.78,47.998,48.234,48.394,42.895
-4.08,-6,47.167,47.256,47.337,47.496,47.696,47.866,48.083,48.317,48.477,42.854
-4,-6,47.259,47.348,47.427,47.585,47.784,47.952,48.167,48.4,48.559,42.812
-3.92,-6,47.351,47.439,47.518,47.673,47.871,48.037,48.251,48.483,48.641,42.77
-3.84,-6,47.443,47.531,47.608,47.762,47.957,48.122,48.335,48.565,48.722,42.729
-3.76,-6,47.535,47.622,47.698,47.85,48.044,48.207,48.418,48.647,48.803,42.687
-3.68,-6,47.627,47.712,47.787,47.938,48.13,48.292,48.501,48.728,48.884,42.646
-3.6,-6,47.718,47.803,47.876,48.025,48.215,48.376,48.583,48.809,48.963,42.604
-3.52,-6,47.809,47.893,47.965,48.112,48.3,48.459,48.665,48.889,49.043,42.563
-3.44,-6,47.9,47.982,48.054,48.199,48.385,48.542,48.746,48.969,49.122,42.522
-3.36,-6,47.99,48.071,48.142,48.285,48.469,48.625,48.827,49.048,49.2,42.481
-3.28,-6,48.08,48.16,48.229,48.371,48.553,48.707,48.907,49.127,49.277,42.44
-3.2,-6,48.169,48.249,48.316,48.456,48.636,48.788,48.987,49.205,49.354,42.403
-3.12,-6,48.258,48.337,48.403,48.541,48.719,48.869,49.066,49.282,49.43,42.376
-3.04,-6,48.346,48.424,48.489,48.625,48.801,48.95,49.144,49.358,49.506,42.347
-2.96,-6,48.434,48.511,48.575,48.708,48.882,49.029,49.222,49.434,49.58,42.318
-2.88,-6,48.522,48.598,48.66,48.791,48.963,49.108,49.299,49.509,49.654,42.288
-2.8,-6,48.609,48.683,48.744,48.874,49.043,49.186,49.375,49.583,49.727,42.258
-2.72,-6,48.695,48.769,48.828,48.956,49.123,49.264,49.45,49.657,49.8,42.226
-2.64,-6,48.781,48.853,48.911,49.037,49.202,49.341,49.525,49.729,49.871,42.193
-2.56,-6,48.866,48.937,48.994,49.117,49.28,49.417,49.599,49.801,49.941,42.16
-2.48,-6,48.95,49.021,49.075,49.197,49.357,49.492,49.672,49.872,50.011,42.126
-2.4,-6,49.034,49.103,49.157,49.276,49.433,49.567,49.744,49.942,50.08,42.091
-2.32,-6,49.117,49.185,49.237,49.354,49.509,49.64,49.815,50.011,50.147,42.056
-2.24,-6,49.199,49.266,49.317,49.431,49.584,49.713,49.885,50.079,50.214,42.019
-2.16,-6,49.281,49.347,49.395,49.508,49.658,49.785,49.955,50.146,50.28,41.983
-2.08,-6,49.362,49.426,49.473,49.583,49.731,49.856,50.023,50.212,50.344,41.945
-2,-6,49.442,49.505,49.55,49.658,49.803,49.926,50.091,50.277,50.408,41.907
-1.92,-6,49.521,49.583,49.627,49.732,49.874,49.995,50.157,50.341,50.47,41.869
-1.84,-6,49.599,49.66,49.702,49.805,49.945,50.063,50.222,50.404,50.532,41.83
-1.76,-6,49.676,49.736,49.776,49.877,50.014,50.13,50.287,50.466,50.592,41.801
-1.68,-6,49.752,49.811,49.85,49.948,50.082,50.196,50.35,50.526,50.651,41.772
-1.6,-6,49.828,49.886,49.922,50.018,50.15,50.261,50.412,50.586,50.709,41.742
-1.52,-6,49.902,49.959,49.994,50.087,50.216,50.324,50.473,50.644,50.765,41.711
-1.44,-6,49.976,50.031,50.064,50.155,50.281,50.387,50.533,50.702,50.821,41.672
-1.36,-6,50.048,50.102,50.134,50.222,50.345,50.449,50.592,50.758,50.875,41.627
-1.28,-6,50.119,50.172,50.202,50.288,50.408,50.509,50.65,50.812,50.928,41.581
-1.2,-6,50.189,50.241,50.269,50.353,50.47,50.569,50.706,50.866,50.98,41.534
-1.12,-6,50.259,50.309,50.335,50.417,50.531,50.627,50.761,50.918,51.031,41.485
-1.04,-6,50.327,50.376,50.4,50.479,50.59,50.684,50.815,50.969,51.08,41.435
-0.96,-6,50.393,50.442,50.464,50.541,50.649,50.74,50.868,51.019,51.128,41.383
-0.88,-6,50.459,50.507,50.527,50.601,50.706,50.795,50.92,51.068,51.175,41.33
-0.8,-6,50.523,50.57,50.588,50.66,50.762,50.848,50.97,51.115,51.22,41.276
-0.72,-6,50.587,50.632,50.648,50.718,50.817,50.901,51.02,51.162,51.264,41.219
-0.64,-6,50.648,50.693,50.707,50.774,50.871,50.952,51.068,51.206,51.307,41.162
-0.56,-6,50.709,50.753,50.765,50.829,50.923,51.002,51.114,51.25,51.349,41.102
-0.48,-6,50.769,50.811,50.821,50.884,50.974,51.05,51.16,51.292,51.389,41.041
-0.4,-6,50.827,50.868,50.877,50.936,51.024,51.098,51.204,51.333,51.428,40.977
-0.32,-6,50.883,50.924,50.93,50.988,51.073,51.144,51.247,51.373,51.466,40.912
-0.24,-6,50.939,50.978,50.983,51.038,51.12,51.189,51.289,51.411,51.502,40.845
-0.16,-6,50.993,51.031,51.034,51.087,51.166,51.232,51.329,51.449,51.537,40.775
-0.08,-6,51.046,51.083,51.084,51.135,51.211,51.274,51.368,51.485,51.571,40.703
0,-6,51.097,51.134,51.133,51.181,51.254,51.315,51.406,51.519,51.603,40.628
0.08,-6,50.94,50.971,50.96,50.997,51.054,51.128,51.204,51.302,51.377,40.565
0.16,-6,50.934,50.961,50.945,50.974,51.024,51.098,51.166,51.257,51.326,40.501
0.24,-6,50.947,50.973,50.952,50.977,51.02,51.093,51.154,51.237,51.302,40.581
0.32,-6,50.969,50.993,50.97,50.99,51.026,51.099,51.153,51.232,51.294,40.512
0.4,-6,50.996,51.019,50.992,51.008,51.039,51.11,51.16,51.232,51.289,40.44
0.48,-6,51.026,51.047,51.016,51.029,51.056,51.124,51.169,51.236,51.29,40.367
0.56,-6,51.058,51.075,51.042,51.052,51.074,51.14,51.18,51.242,51.292,40.292
0.64,-6,51.1,51.113,51.071,51.075,51.093,51.156,51.191,51.249,51.297,40.215
0.72,-6,51.142,51.154,51.109,51.102,51.112,51.172,51.203,51.256,51.3,40.136
0.8,-6,51.184,51.194,51.146,51.136,51.132,51.189,51.215,51.263,51.305,40.057
0.88,-6,51.225,51.233,51.182,51.169,51.161,51.203,51.226,51.27,51.309,39.976
0.96,-6,51.266,51.273,51.218,51.201,51.188,51.225,51.236,51.275,51.311,39.894
1.04,-6,51.309,51.312,51.253,51.232,51.215,51.247,51.248,51.28,51.313,39.811
1.12,-6,51.353,51.354,51.289,51.264,51.24,51.267,51.265,51.286,51.315,39.727
1.2,-6,51.389,51.394,51.327,51.294,51.264,51.286,51.279,51.294,51.317,39.641
1.28,-6,51.365,51.411,51.363,51.327,51.288,51.305,51.292,51.303,51.319,39.555
1.36,-6,51.359,51.394,51.366,51.358,51.314,51.323,51.304,51.311,51.324,39.468
1.44,-6,51.381,51.394,51.35,51.389,51.34,51.342,51.316,51.317,51.327,39.379
1.52,-6,51.402,51.414,51.35,51.377,51.364,51.359,51.326,51.322,51.329,39.29
1.6,-6,51.421,51.432,51.366,51.375,51.386,51.373,51.333,51.324,51.329,39.2
1.68,-6,51.438,51.449,51.38,51.387,51.395,51.379,51.335,51.323,51.326,39.109
1.76,-6,51.455,51.465,51.392,51.397,51.402,51.382,51.336,51.32,51.321,39.017
1.84,-6,51.469,51.479,51.404,51.407,51.407,51.385,51.335,51.316,51.315,38.924
1.92,-6,51.483,51.492,51.414,51.415,51.412,51.386,51.332,51.311,51.307,38.831
2,-6,51.496,51.505,51.423,51.422,51.381,51.39,51.338,51.317,51.313,38.737
2.08,-6,51.508,51.516,51.431,51.429,51.358,51.395,51.344,51.323,51.319,38.642
2.16,-6,51.519,51.527,51.439,51.434,51.356,51.373,51.35,51.328,51.324,38.546
2.24,-6,51.529,51.536,51.445,51.439,51.357,51.343,51.354,51.333,51.328,38.45
2.32,-6,51.538,51.545,51.451,51.442,51.356,51.328,51.357,51.336,51.331,38.353
2.4,-6,51.547,51.553,51.456,51.445,51.355,51.324,51.321,51.339,51.333,38.256
2.48,-6,51.555,51.561,51.46,51.448,51.353,51.318,51.288,51.341,51.335,38.158
2.56,-6,51.562,51.568,51.464,51.449,51.35,51.311,51.275,51.342,51.337,38.06
2.64,-6,51.569,51.574,51.467,51.451,51.347,51.304,51.263,51.305,51.337,37.961
2.72,-6,51.576,51.581,51.47,51.451,51.343,51.296,51.251,51.268,51.337,37.861
2.8,-6,51.582,51.586,51.472,51.452,51.339,51.288,51.238,51.247,51.307,37.762
2.88,-6,51.588,51.592,51.474,51.452,51.334,51.279,51.225,51.23,51.265,37.662
2.96,-6,51.594,51.597,51.476,51.451,51.329,51.27,51.211,51.213,51.237,37.561
3.04,-6,51.599,51.602,51.478,51.451,51.324,51.261,51.197,51.195,51.217,37.46
3.12,-6,51.605,51.607,51.48,51.45,51.319,51.251,51.183,51.176,51.196,37.359
3.2,-6,51.61,51.612,51.481,51.45,51.313,51.241,51.168,51.157,51.175,37.258
3.28,-6,51.615,51.616,51.483,51.449,51.307,51.232,51.153,51.138,51.154,37.156
3.36,-6,51.621,51.621,51.484,51.448,51.302,51.222,51.138,51.119,51.132,37.054
3.44,-6,51.626,51.626,51.486,51.448,51.296,51.211,51.123,51.099,51.11,36.952
3.52,-6,51.632,51.631,51.488,51.447,51.291,51.201,51.108,51.08,51.088,36.849
3.6,-6,51.637,51.635,51.49,51.446,51.286,51.192,51.093,51.06,51.065,36.747
3.68,-6,51.651,51.651,51.493,51.446,51.281,51.182,51.078,51.04,51.043,36.644
3.76,-6,51.667,51.669,51.495,51.447,51.276,51.173,51.062,51.021,51.02,36.541
3.84,-6,51.685,51.687,51.498,51.447,51.271,51.164,51.048,51.001,50.998,36.438
3.92,-6,51.702,51.705,51.502,51.448,51.267,51.155,51.033,50.982,50.976,36.335
4,-6,51.72,51.724,51.505,51.449,51.263,51.146,51.019,50.963,50.954,36.232
4.08,-6,51.738,51.743,51.516,51.451,51.261,51.138,51.005,50.944,50.933,36.129
4.16,-6,51.757,51.763,51.53,51.457,51.258,51.13,50.991,50.925,50.911,36.026
4.24,-6,51.776,51.782,51.544,51.47,51.256,51.123,50.978,50.907,50.89,35.923
4.32,-6,51.794,51.802,51.559,51.484,51.255,51.116,50.965,50.889,50.869,35.82
4.4,-6,51.812,51.822,51.574,51.498,51.254,51.11,50.952,50.872,50.849,35.717
4.48,-6,51.82,51.842,51.59,51.513,51.254,51.104,50.941,50.855,50.829,35.613
4.56,-6,51.828,51.849,51.606,51.528,51.254,51.098,50.929,50.839,50.809,35.51
4.64,-6,51.836,51.857,51.623,51.544,51.254,51.094,50.919,50.823,50.79,35.407
4.72,-6,51.845,51.865,51.639,51.561,51.259,51.089,50.908,50.808,50.771,35.304
4.8,-6,51.853,51.873,51.657,51.577,51.27,51.086,50.899,50.793,50.754,35.202
4.88,-6,51.862,51.881,51.664,51.595,51.282,51.083,50.89,50.779,50.737,35.099
4.96,-6,51.871,51.889,51.671,51.612,51.294,51.081,50.881,50.766,50.72,34.996
5.04,-6,51.88,51.897,51.679,51.63,51.307,51.079,50.873,50.753,50.705,34.894
5.12,-6,51.89,51.906,51.687,51.638,51.321,51.078,50.866,50.741,50.69,34.791
5.2,-6,51.899,51.915,51.695,51.645,51.335,51.087,50.859,50.73,50.675,34.689
5.28,-6,51.909,51.924,51.704,51.651,51.35,51.097,50.853,50.719,50.662,34.587
5.36,-6,51.919,51.933,51.712,51.658,51.366,51.109,50.848,50.709,50.649,34.485
5.44,-6,51.929,51.943,51.721,51.666,51.382,51.12,50.844,50.7,50.637,34.384
5.52,-6,51.938,51.952,51.731,51.673,51.398,51.133,50.84,50.692,50.625,34.282
5.6,-6,51.959,51.962,51.74,51.681,51.415,51.146,50.836,50.684,50.615,34.181
5.68,-6,51.983,51.971,51.75,51.689,51.425,51.161,50.834,50.677,50.606,34.08
5.76,-6,52.007,51.981,51.76,51.698,51.434,51.175,50.836,50.671,50.597,33.979
5.84,-6,52.031,51.998,51.776,51.706,51.443,51.191,50.844,50.666,50.59,33.879
5.92,-6,52.055,52.02,51.802,51.715,51.452,51.206,50.853,50.662,50.583,33.778
6,-6,52.079,52.043,51.828,51.725,51.462,51.223,50.863,50.658,50.577,33.678
-6,-5.92,44.998,45.105,45.207,45.397,45.631,45.828,46.074,46.336,46.511,43.933
-5.92,-5.92,45.092,45.198,45.299,45.488,45.721,45.917,46.162,46.423,46.597,43.902
-5.84,-5.92,45.185,45.291,45.391,45.579,45.811,46.006,46.25,46.51,46.684,43.87
-5.76,-5.92,45.278,45.383,45.483,45.67,45.901,46.095,46.338,46.597,46.771,43.837
-5.68,-5.92,45.372,45.476,45.575,45.761,45.991,46.184,46.427,46.685,46.858,43.803
-5.6,-5.92,45.466,45.57,45.668,45.853,46.081,46.274,46.515,46.772,46.944,43.768
-5.52,-5.92,45.559,45.663,45.76,45.944,46.172,46.363,46.603,46.859,47.031,43.733
-5.44,-5.92,45.654,45.756,45.853,46.036,46.262,46.452,46.692,46.947,47.118,43.697
-5.36,-5.92,45.748,45.85,45.946,46.127,46.352,46.542,46.78,47.034,47.205,43.661
-5.28,-5.92,45.842,45.943,46.039,46.219,46.443,46.631,46.868,47.121,47.292,43.623
-5.2,-5.92,45.936,46.037,46.132,46.311,46.533,46.721,46.957,47.209,47.379,43.586
-5.12,-5.92,46.031,46.131,46.225,46.402,46.624,46.81,47.045,47.296,47.465,43.547
-5.04,-5.92,46.125,46.225,46.318,46.494,46.714,46.899,47.133,47.383,47.552,43.508
-4.96,-5.92,46.22,46.319,46.411,46.586,46.805,46.989,47.221,47.47,47.638,43.469
-4.88,-5.92,46.315,46.413,46.504,46.678,46.895,47.078,47.309,47.557,47.725,43.429
-4.8,-5.92,46.409,46.507,46.597,46.77,46.985,47.167,47.397,47.644,47.811,43.389
-4.72,-5.92,46.504,46.6,46.69,46.861,47.076,47.256,47.485,47.731,47.897,43.349
-4.64,-5.92,46.598,46.694,46.783,46.953,47.166,47.345,47.573,47.818,47.983,43.308
-4.56,-5.92,46.693,46.788,46.876,47.044,47.256,47.434,47.66,47.904,48.069,43.267
-4.48,-5.92,46.788,46.882,46.968,47.136,47.346,47.523,47.748,47.99,48.154,43.226
-4.4,-5.92,46.882,46.976,47.061,47.227,47.435,47.611,47.835,48.076,48.239,43.184
-4.32,-5.92,46.976,47.069,47.154,47.318,47.525,47.699,47.922,48.162,48.324,43.142
-4.24,-5.92,47.071,47.163,47.246,47.409,47.614,47.787,48.008,48.247,48.409,43.101
-4.16,-5.92,47.165,47.256,47.338,47.5,47.704,47.875,48.095,48.332,48.493,43.059
-4.08,-5.92,47.259,47.349,47.43,47.59,47.792,47.963,48.181,48.417,48.577,43.017
-4,-5.92,47.352,47.442,47.522,47.681,47.881,48.05,48.267,48.501,48.661,42.975
-3.92,-5.92,47.446,47.535,47.614,47.771,47.969,48.137,48.352,48.585,48.744,42.933
-3.84,-5.92,47.539,47.627,47.705,47.86,48.057,48.223,48.437,48.669,48.826,42.891
-3.76,-5.92,47.633,47.719,47.796,47.95,48.145,48.31,48.521,48.752,48.909,42.849
-3.68,-5.92,47.725,47.811,47.887,48.039,48.232,48.395,48.605,48.834,48.99,42.807
-3.6,-5.92,47.818,47.903,47.978,48.128,48.319,48.481,48.689,48.916,49.071,42.765
-3.52,-5.92,47.91,47.994,48.068,48.216,48.405,48.565,48.772,48.998,49.152,42.724
-3.44,-5.92,48.002,48.085,48.157,48.304,48.491,48.65,48.855,49.079,49.232,42.682
-3.36,-5.92,48.094,48.176,48.247,48.391,48.577,48.734,48.937,49.159,49.312,42.641
-3.28,-5.92,48.185,48.266,48.336,48.478,48.662,48.817,49.018,49.239,49.39,42.6
-3.2,-5.92,48.276,48.356,48.424,48.565,48.747,48.9,49.099,49.318,49.469,42.562
-3.12,-5.92,48.366,48.445,48.512,48.651,48.83,48.982,49.18,49.397,49.546,42.534
-3.04,-5.92,48.456,48.534,48.6,48.736,48.914,49.064,49.259,49.475,49.623,42.506
-2.96,-5.92,48.545,48.622,48.686,48.821,48.997,49.144,49.338,49.552,49.699,42.477
-2.88,-5.92,48.634,48.71,48.773,48.906,49.079,49.225,49.416,49.628,49.774,42.446
-2.8,-5.92,48.722,48.797,48.859,48.989,49.16,49.304,49.494,49.704,49.848,42.415
-2.72,-5.92,48.81,48.884,48.944,49.072,49.241,49.383,49.571,49.778,49.922,42.383
-2.64,-5.92,48.897,48.97,49.028,49.155,49.321,49.461,49.646,49.852,49.995,42.351
-2.56,-5.92,48.983,49.055,49.112,49.236,49.4,49.538,49.722,49.925,50.066,42.317
-2.48,-5.92,49.069,49.139,49.195,49.317,49.479,49.615,49.796,49.997,50.137,42.283
-2.4,-5.92,49.154,49.223,49.277,49.397,49.556,49.691,49.869,50.068,50.207,42.248
-2.32,-5.92,49.238,49.307,49.359,49.477,49.633,49.765,49.941,50.139,50.276,42.212
-2.24,-5.92,49.322,49.389,49.44,49.555,49.709,49.839,50.013,50.208,50.344,42.175
-2.16,-5.92,49.405,49.471,49.52,49.633,49.784,49.912,50.083,50.276,50.41,42.138
-2.08,-5.92,49.487,49.551,49.599,49.71,49.859,49.984,50.153,50.343,50.476,42.101
-2,-5.92,49.568,49.631,49.677,49.786,49.932,50.055,50.222,50.409,50.541,42.062
-1.92,-5.92,49.648,49.711,49.755,49.861,50.004,50.126,50.289,50.474,50.604,42.024
-1.84,-5.92,49.727,49.789,49.831,49.935,50.076,50.195,50.356,50.538,50.667,41.984
-1.76,-5.92,49.806,49.866,49.907,50.008,50.146,50.263,50.421,50.601,50.728,41.955
-1.68,-5.92,49.883,49.942,49.982,50.08,50.216,50.33,50.485,50.663,50.788,41.926
-1.6,-5.92,49.96,50.018,50.055,50.152,50.284,50.396,50.548,50.723,50.847,41.896
-1.52,-5.92,50.036,50.092,50.128,50.222,50.351,50.461,50.61,50.783,50.904,41.865
-1.44,-5.92,50.11,50.166,50.199,50.291,50.417,50.524,50.671,50.841,50.961,41.826
-1.36,-5.92,50.184,50.238,50.27,50.359,50.483,50.587,50.731,50.898,51.016,41.781
