X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-6,-6,45.044,45.149,45.245,45.429,45.66,45.853,46.091,46.345,46.515,44.428
-5.92,-6,45.137,45.241,45.336,45.519,45.749,45.941,46.178,46.431,46.601,44.392
-5.84,-6,45.229,45.333,45.427,45.61,45.838,46.029,46.266,46.518,46.687,44.356
-5.76,-6,45.322,45.425,45.519,45.7,45.927,46.117,46.353,46.604,46.773,44.318
-5.68,-6,45.415,45.518,45.61,45.791,46.017,46.206,46.441,46.691,46.859,44.28
-5.6,-6,45.508,45.61,45.702,45.882,46.106,46.295,46.528,46.777,46.945,44.241
-5.52,-6,45.602,45.703,45.794,45.972,46.196,46.383,46.616,46.864,47.031,44.202
-5.44,-6,45.695,45.796,45.886,46.063,46.286,46.472,46.703,46.95,47.117,44.162
-5.36,-6,45.789,45.889,45.978,46.154,46.375,46.561,46.791,47.037,47.203,44.121
-5.28,-6,45.883,45.982,46.071,46.245,46.465,46.649,46.879,47.124,47.289,44.079
-5.2,-6,45.977,46.075,46.163,46.336,46.555,46.738,46.966,47.21,47.375,44.037
-5.12,-6,46.071,46.168,46.256,46.428,46.645,46.827,47.054,47.297,47.461,43.995
-5.04,-6,46.165,46.262,46.348,46.519,46.735,46.916,47.141,47.383,47.547,43.952
-4.96,-6,46.259,46.355,46.44,46.61,46.825,47.004,47.229,47.47,47.632,43.909
-4.88,-6,46.353,46.448,46.533,46.701,46.915,47.093,47.316,47.556,47.718,43.865
-4.8,-6,46.447,46.542,46.625,46.792,47.004,47.182,47.404,47.642,47.803,43.821
-4.72,-6,46.541,46.635,46.718,46.884,47.094,47.27,47.491,47.728,47.889,43.777
-4.64,-6,46.635,46.729,46.81,46.975,47.184,47.358,47.578,47.814,47.974,43.733
-4.56,-6,46.729,46.822,46.903,47.066,47.273,47.447,47.665,47.9,48.059,43.688
-4.48,-6,46.823,46.915,46.995,47.157,47.362,47.535,47.751,47.985,48.144,43.643
-4.4,-6,46.918,47.009,47.087,47.247,47.452,47.623,47.838,48.07,48.228,43.598
-4.32,-6,47.012,47.102,47.18,47.338,47.541,47.71,47.924,48.155,48.312,43.553
-4.24,-6,47.105,47.195,47.272,47.428,47.63,47.798,48.01,48.24,48.396,43.508
-4.16,-6,47.199,47.288,47.363,47.519,47.718,47.885,48.096,48.324,48.48,43.463
-4.08,-6,47.293,47.381,47.455,47.609,47.807,47.972,48.182,48.409,48.563,43.418
-4,-6,47.386,47.473,47.547,47.699,47.895,48.059,48.267,48.492,48.646,43.374
-3.92,-6,47.48,47.566,47.638,47.788,47.983,48.145,48.352,48.576,48.728,43.329
-3.84,-6,47.573,47.658,47.729,47.878,48.07,48.232,48.436,48.659,48.81,43.284
-3.76,-6,47.666,47.75,47.82,47.967,48.158,48.317,48.52,48.741,48.892,43.24
-3.68,-6,47.758,47.842,47.91,48.056,48.245,48.403,48.604,48.823,48.973,43.196
-3.6,-6,47.851,47.933,48.001,48.144,48.331,48.488,48.687,48.905,49.054,43.152
-3.52,-6,47.943,48.024,48.091,48.232,48.417,48.572,48.77,48.986,49.134,43.108
-3.44,-6,48.035,48.115,48.18,48.32,48.503,48.656,48.852,49.067,49.214,43.064
-3.36,-6,48.126,48.206,48.269,48.408,48.588,48.74,48.934,49.147,49.293,43.021
-3.28,-6,48.217,48.296,48.358,48.494,48.673,48.823,49.015,49.226,49.371,42.978
-3.2,-6,48.308,48.386,48.447,48.581,48.758,48.906,49.096,49.305,49.449,42.936
-3.12,-6,48.399,48.475,48.535,48.667,48.842,48.988,49.176,49.383,49.526,42.894
-3.04,-6,48.488,48.564,48.622,48.753,48.925,49.069,49.256,49.461,49.602,42.852
-2.96,-6,48.578,48.652,48.709,48.838,49.008,49.15,49.334,49.538,49.678,42.81
-2.88,-6,48.667,48.74,48.796,48.922,49.09,49.231,49.413,49.614,49.753,42.771
-2.8,-6,48.755,48.828,48.882,49.006,49.171,49.31,49.49,49.69,49.827,42.734
-2.72,-6,48.843,48.915,48.967,49.089,49.252,49.389,49.567,49.764,49.901,42.696
-2.64,-6,48.931,49.001,49.052,49.172,49.333,49.467,49.643,49.838,49.973,42.656
-2.56,-6,49.018,49.087,49.136,49.254,49.412,49.545,49.718,49.911,50.045,42.615
-2.48,-6,49.104,49.172,49.22,49.335,49.491,49.622,49.792,49.983,50.116,42.573
-2.4,-6,49.19,49.256,49.302,49.416,49.569,49.698,49.866,50.055,50.186,42.53
-2.32,-6,49.275,49.34,49.385,49.496,49.646,49.773,49.939,50.125,50.255,42.485
-2.24,-6,49.359,49.423,49.466,49.575,49.723,49.847,50.011,50.195,50.323,42.438
-2.16,-6,49.442,49.506,49.547,49.653,49.799,49.921,50.082,50.263,50.39,42.391
-2.08,-6,49.525,49.588,49.627,49.731,49.874,49.994,50.152,50.331,50.457,42.342
-2,-6,49.607,49.668,49.706,49.808,49.948,50.065,50.221,50.398,50.522,42.292
-1.92,-6,49.689,49.749,49.784,49.884,50.021,50.136,50.289,50.463,50.586,42.241
-1.84,-6,49.769,49.828,49.862,49.959,50.093,50.206,50.356,50.528,50.649,42.189
-1.76,-6,49.849,49.906,49.938,50.033,50.165,50.275,50.423,50.592,50.711,42.136
-1.68,-6,49.927,49.984,50.014,50.106,50.235,50.343,50.488,50.654,50.771,42.081
-1.6,-6,50.005,50.061,50.089,50.179,50.304,50.41,50.552,50.715,50.831,42.025
-1.52,-6,50.082,50.136,50.163,50.25,50.373,50.476,50.615,50.776,50.89,41.968
-1.44,-6,50.158,50.211,50.236,50.321,50.44,50.541,50.677,50.835,50.947,41.91
-1.36,-6,50.233,50.285,50.308,50.39,50.507,50.605,50.738,50.893,51.003,41.851
-1.28,-6,50.307,50.358,50.379,50.459,50.572,50.668,50.798,50.95,51.058,41.791
-1.2,-6,50.38,50.43,50.449,50.526,50.637,50.73,50.857,51.006,51.112,41.73
-1.12,-6,50.452,50.501,50.518,50.593,50.7,50.79,50.914,51.06,51.165,41.668
-1.04,-6,50.523,50.571,50.586,50.658,50.762,50.85,50.971,51.114,51.216,41.604
-0.96,-6,50.593,50.639,50.652,50.722,50.823,50.908,51.026,51.166,51.267,41.539
-0.88,-6,50.662,50.707,50.718,50.785,50.883,50.966,51.08,51.217,51.316,41.474
-0.8,-6,50.73,50.774,50.782,50.847,50.942,51.022,51.133,51.267,51.363,41.406
-0.72,-6,50.796,50.839,50.846,50.908,51,51.077,51.185,51.315,51.41,41.338
-0.64,-6,50.862,50.903,50.908,50.968,51.056,51.131,51.235,51.362,51.455,41.268
-0.56,-6,50.926,50.967,50.969,51.027,51.111,51.183,51.285,51.409,51.499,41.197
-0.48,-6,50.989,51.028,51.029,51.084,51.165,51.235,51.333,51.454,51.542,41.124
-0.4,-6,51.05,51.089,51.087,51.14,51.218,51.285,51.38,51.497,51.584,41.05
-0.32,-6,51.111,51.149,51.145,51.195,51.27,51.334,51.426,51.54,51.624,40.973
-0.24,-6,51.17,51.207,51.201,51.249,51.321,51.382,51.47,51.581,51.663,40.895
-0.16,-6,51.228,51.264,51.256,51.302,51.37,51.428,51.513,51.621,51.701,40.816
-0.08,-6,51.285,51.32,51.309,51.353,51.418,51.474,51.555,51.66,51.738,40.734
0,-6,51.34,51.375,51.362,51.403,51.465,51.518,51.596,51.697,51.773,40.65
0.08,-6,51.2,51.228,51.205,51.234,51.28,51.344,51.408,51.494,51.559,40.585
0.16,-6,51.201,51.226,51.197,51.219,51.257,51.321,51.377,51.455,51.515,40.521
0.24,-6,51.221,51.244,51.211,51.229,51.259,51.322,51.37,51.441,51.497,40.6
0.32,-6,51.25,51.271,51.235,51.248,51.271,51.333,51.374,51.44,51.493,40.531
0.4,-6,51.282,51.303,51.263,51.271,51.29,51.348,51.386,51.445,51.494,40.459
0.48,-6,51.318,51.336,51.293,51.298,51.311,51.368,51.399,51.453,51.499,40.385
0.56,-6,51.356,51.371,51.325,51.327,51.335,51.388,51.415,51.464,51.506,40.31
