X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,40.333,40.563,40.851,41.253,41.614,41.974,38.372
-5.92,-6,40.446,40.675,40.963,41.363,41.724,42.083,38.452
-5.84,-6,40.559,40.788,41.074,41.474,41.833,42.193,38.53
-5.76,-6,40.672,40.9,41.186,41.584,41.943,42.302,38.606
-5.68,-6,40.784,41.011,41.297,41.694,42.053,42.411,38.68
-5.6,-6,40.896,41.123,41.407,41.804,42.162,42.519,38.752
-5.52,-6,41.008,41.234,41.518,41.913,42.271,42.627,38.821
-5.44,-6,41.12,41.345,41.628,42.023,42.379,42.734,38.889
-5.36,-6,41.232,41.456,41.738,42.133,42.488,42.842,38.954
-5.28,-6,41.344,41.568,41.849,42.243,42.597,42.949,39.017
-5.2,-6,41.456,41.679,41.959,42.352,42.705,43.057,39.077
-5.12,-6,41.568,41.789,42.068,42.461,42.813,43.164,39.134
-5.04,-6,41.679,41.899,42.177,42.57,42.921,43.27,39.188
-4.96,-6,41.79,42.009,42.286,42.678,43.029,43.376,39.24
-4.88,-6,41.901,42.118,42.394,42.786,43.136,43.482,39.289
-4.8,-6,42.008,42.224,42.498,42.892,43.242,43.586,39.296
-4.72,-6,42.116,42.33,42.603,42.998,43.348,43.691,39.3
-4.64,-6,42.221,42.431,42.705,43.105,43.454,43.795,39.303
-4.56,-6,42.326,42.533,42.808,43.212,43.562,43.899,39.305
-4.48,-6,42.452,42.661,42.931,43.323,43.67,44.01,39.304
-4.4,-6,42.57,42.779,43.047,43.435,43.779,44.119,39.303
-4.32,-6,42.688,42.897,43.163,43.547,43.889,44.228,39.3
-4.24,-6,42.804,43.013,43.277,43.657,43.997,44.336,39.295
-4.16,-6,42.918,43.126,43.389,43.766,44.105,44.443,39.29
-4.08,-6,43.032,43.239,43.501,43.875,44.212,44.55,39.284
-4,-6,43.145,43.352,43.612,43.983,44.318,44.656,39.276
-3.92,-6,43.258,43.463,43.721,44.09,44.424,44.761,39.268
-3.84,-6,43.37,43.574,43.83,44.197,44.529,44.865,39.26
-3.76,-6,43.481,43.684,43.939,44.303,44.633,44.968,39.25
-3.68,-6,43.593,43.794,44.047,44.408,44.737,45.071,39.241
-3.6,-6,43.704,43.903,44.154,44.513,44.84,45.173,39.231
-3.52,-6,43.814,44.012,44.261,44.617,44.942,45.275,39.22
-3.44,-6,43.924,44.121,44.368,44.721,45.044,45.376,39.21
-3.36,-6,44.034,44.229,44.473,44.823,45.144,45.474,39.199
-3.28,-6,44.142,44.335,44.577,44.925,45.244,45.572,39.191
-3.2,-6,44.25,44.441,44.681,45.025,45.342,45.668,39.184
-3.12,-6,44.358,44.546,44.784,45.126,45.44,45.764,39.162
-3.04,-6,44.466,44.652,44.887,45.226,45.537,45.86,39.138
-2.96,-6,44.574,44.757,44.989,45.325,45.634,45.954,39.112
-2.88,-6,44.681,44.862,45.091,45.424,45.73,46.048,39.085
-2.8,-6,44.788,44.966,45.193,45.522,45.825,46.141,39.056
-2.72,-6,44.895,45.071,45.294,45.619,45.919,46.232,39.026
-2.64,-6,45.003,45.175,45.395,45.716,46.013,46.324,38.996
-2.56,-6,45.11,45.28,45.496,45.813,46.106,46.415,38.966
-2.48,-6,45.217,45.384,45.596,45.909,46.199,46.504,38.937
-2.4,-6,45.324,45.487,45.696,46.004,46.29,46.593,38.909
-2.32,-6,45.431,45.591,45.795,46.098,46.381,46.681,38.883
-2.24,-6,45.537,45.694,45.894,46.192,46.47,46.767,38.859
-2.16,-6,45.644,45.797,45.993,46.285,46.559,46.852,38.838
-2.08,-6,45.75,45.899,46.091,46.377,46.647,46.937,38.82
-2,-6,45.856,46.002,46.188,46.468,46.733,47.02,38.807
-1.92,-6,45.962,46.104,46.285,46.559,46.819,47.102,38.799
-1.84,-6,46.069,46.206,46.382,46.65,46.904,47.183,38.796
-1.76,-6,46.175,46.308,46.478,46.739,46.989,47.263,38.815
-1.68,-6,46.281,46.409,46.574,46.828,47.072,47.342,38.84
-1.6,-6,46.387,46.511,46.67,46.916,47.154,47.419,38.868
-1.52,-6,46.492,46.612,46.765,47.003,47.235,47.495,38.901
-1.44,-6,46.598,46.712,46.859,47.09,47.315,47.569,38.926
-1.36,-6,46.704,46.813,46.954,47.176,47.394,47.643,38.946
-1.28,-6,46.81,46.914,47.048,47.261,47.472,47.716,38.969
-1.2,-6,46.916,47.015,47.142,47.347,47.55,47.787,38.995
-1.12,-6,47.023,47.116,47.237,47.432,47.627,47.858,39.024
-1.04,-6,47.13,47.218,47.331,47.516,47.704,47.928,39.055
-0.96,-6,47.237,47.319,47.425,47.601,47.78,47.996,39.089
-0.88,-6,47.344,47.421,47.519,47.685,47.855,48.064,39.125
-0.8,-6,47.451,47.522,47.614,47.769,47.93,48.131,39.162
-0.72,-6,47.559,47.624,47.708,47.853,48.004,48.198,39.2
-0.64,-6,47.666,47.726,47.802,47.937,48.078,48.263,39.239
-0.56,-6,47.774,47.828,47.896,48.02,48.152,48.328,39.277
-0.48,-6,47.881,47.93,47.991,48.104,48.225,48.392,39.315
-0.4,-6,47.988,48.032,48.085,48.187,48.298,48.456,39.35
-0.32,-6,48.095,48.134,48.179,48.27,48.37,48.519,39.382
-0.24,-6,48.202,48.235,48.273,48.353,48.443,48.582,39.41
-0.16,-6,48.308,48.336,48.367,48.436,48.515,48.644,39.432
-0.08,-6,48.413,48.436,48.461,48.519,48.587,48.706,39.447
0,-6,48.517,48.536,48.554,48.602,48.658,48.767,39.454
0.08,-6,48.586,48.6,48.609,48.643,48.691,48.787,39.462
0.16,-6,48.673,48.683,48.685,48.708,48.746,48.83,39.466
0.24,-6,48.761,48.766,48.762,48.775,48.801,48.875,39.729
0.32,-6,48.846,48.848,48.837,48.84,48.856,48.918,39.703
0.4,-6,48.927,48.926,48.91,48.903,48.909,48.959,39.664
0.48,-6,49.005,49.001,48.979,48.964,48.958,48.997,39.617
0.56,-6,49.078,49.071,49.045,49.02,49.004,49.032,39.562
0.64,-6,49.147,49.138,49.106,49.074,49.047,49.063,39.501
0.72,-6,49.21,49.199,49.164,49.123,49.086,49.091,39.436
0.8,-6,49.274,49.256,49.217,49.169,49.122,49.115,39.37
0.88,-6,49.333,49.314,49.265,49.211,49.154,49.136,39.303
0.96,-6,49.388,49.367,49.314,49.25,49.183,49.155,39.235
1.04,-6,49.439,49.416,49.36,49.284,49.209,49.169,39.166
1.12,-6,49.486,49.461,49.401,49.319,49.231,49.18,39.097
1.2,-6,49.53,49.503,49.44,49.351,49.249,49.19,39.028
1.28,-6,49.571,49.542,49.475,49.38,49.268,49.196,38.958
1.36,-6,49.609,49.579,49.507,49.407,49.285,49.199,38.887
1.44,-6,49.647,49.611,49.536,49.431,49.3,49.201,38.816
1.52,-6,49.681,49.644,49.564,49.452,49.312,49.203,38.745
1.6,-6,49.711,49.675,49.588,49.471,49.322,49.204,38.673
1.68,-6,49.734,49.701,49.612,49.489,49.331,49.203,38.6
1.76,-6,49.756,49.725,49.635,49.505,49.338,49.2,38.527
1.84,-6,49.775,49.741,49.655,49.519,49.343,49.196,38.454
1.92,-6,49.79,49.759,49.671,49.53,49.346,49.19,38.379
2,-6,49.801,49.773,49.684,49.544,49.35,49.184,38.304
2.08,-6,49.808,49.784,49.691,49.555,49.351,49.176,38.228
2.16,-6,49.811,49.791,49.699,49.563,49.351,49.167,38.151
2.24,-6,49.809,49.795,49.705,49.569,49.349,49.157,38.074
2.32,-6,49.792,49.794,49.707,49.571,49.349,49.147,37.995
2.4,-6,49.771,49.79,49.705,49.567,49.348,49.136,37.915
2.48,-6,49.747,49.782,49.7,49.568,49.344,49.123,37.835
2.56,-6,49.718,49.757,49.691,49.566,49.338,49.108,37.753
2.64,-6,49.675,49.727,49.678,49.561,49.329,49.095,37.67
2.72,-6,49.595,49.694,49.661,49.554,49.318,49.082,37.586
2.8,-6,49.521,49.656,49.636,49.543,49.299,49.067,37.501
2.88,-6,49.471,49.614,49.597,49.529,49.288,49.05,37.415
2.96,-6,49.417,49.543,49.554,49.511,49.275,49.03,37.328
3.04,-6,49.359,49.451,49.508,49.489,49.259,49.009,37.24
3.12,-6,49.298,49.374,49.457,49.463,49.241,48.984,37.151
3.2,-6,49.257,49.31,49.401,49.433,49.221,48.955,37.061
3.28,-6,49.214,49.243,49.329,49.399,49.197,48.919,36.969
3.36,-6,49.169,49.171,49.22,49.36,49.171,48.884,36.877
3.44,-6,49.122,49.097,49.118,49.304,49.142,48.847,36.783
3.52,-6,49.074,49.024,49.041,49.241,49.11,48.808,36.689
3.6,-6,49.023,48.956,48.96,49.174,49.075,48.766,36.593
3.68,-6,48.971,48.886,48.875,49.102,49.036,48.722,36.497
3.76,-6,48.916,48.814,48.787,49.027,48.994,48.675,36.4
3.84,-6,48.86,48.739,48.695,48.947,48.948,48.625,36.301
3.92,-6,48.801,48.662,48.6,48.864,48.899,48.573,36.202
4,-6,48.739,48.583,48.503,48.766,48.847,48.518,36.102
4.08,-6,48.67,48.496,48.402,48.665,48.77,48.449,36.001
4.16,-6,48.575,48.397,48.298,48.561,48.687,48.375,35.9
4.24,-6,48.478,48.295,48.191,48.455,48.601,48.298,35.797
4.32,-6,48.379,48.192,48.082,48.344,48.512,48.22,35.694
4.4,-6,48.277,48.087,47.972,48.233,48.42,48.139,35.591
4.48,-6,48.175,47.982,47.86,48.118,48.326,48.057,35.486
4.56,-6,48.071,47.875,47.748,48.003,48.229,47.974,35.381
4.64,-6,47.966,47.768,47.635,47.887,48.13,47.889,35.276
4.72,-6,47.86,47.66,47.521,47.769,48.03,47.803,35.17
4.8,-6,47.754,47.553,47.409,47.65,47.927,47.716,35.063
4.88,-6,47.648,47.445,47.296,47.529,47.824,47.629,34.956
4.96,-6,47.542,47.339,47.184,47.409,47.719,47.541,34.848
5.04,-6,47.435,47.233,47.073,47.288,47.614,47.453,34.74
5.12,-6,47.33,47.128,46.963,47.166,47.508,47.365,34.631
5.2,-6,47.225,47.025,46.854,47.046,47.401,47.277,34.523
5.28,-6,47.121,46.923,46.748,46.925,47.295,47.19,34.413
5.36,-6,47.018,46.822,46.643,46.806,47.188,47.103,34.304
5.44,-6,46.917,46.723,46.541,46.688,47.081,47.017,34.194
5.52,-6,46.816,46.626,46.44,46.571,46.975,46.932,34.084
5.6,-6,46.717,46.531,46.342,46.455,46.869,46.847,33.974
5.68,-6,46.619,46.438,46.246,46.342,46.764,46.764,33.863
5.76,-6,46.523,46.348,46.153,46.23,46.659,46.681,33.753
5.84,-6,46.429,46.259,46.063,46.121,46.556,46.6,33.642
5.92,-6,46.336,46.173,45.975,46.013,46.453,46.52,33.531
6,-6,46.245,46.088,45.89,45.909,46.352,46.441,33.42
-6,-5.92,40.432,40.661,40.949,41.351,41.712,42.071,38.578
-5.92,-5.92,40.546,40.775,41.062,41.463,41.823,42.182,38.658
-5.84,-5.92,40.66,40.888,41.175,41.575,41.934,42.292,38.736
-5.76,-5.92,40.774,41.002,41.288,41.687,42.045,42.403,38.812
-5.68,-5.92,40.889,41.117,41.402,41.799,42.157,42.514,38.886
-5.6,-5.92,41.003,41.23,41.514,41.911,42.268,42.625,38.958
-5.52,-5.92,41.117,41.343,41.626,42.022,42.379,42.735,39.028
-5.44,-5.92,41.23,41.456,41.738,42.133,42.489,42.844,39.096
-5.36,-5.92,41.344,41.568,41.85,42.244,42.599,42.953,39.161
-5.28,-5.92,41.457,41.681,41.962,42.355,42.709,43.062,39.224
-5.2,-5.92,41.572,41.794,42.074,42.467,42.819,43.171,39.284
-5.12,-5.92,41.685,41.907,42.186,42.578,42.93,43.28,39.342
-5.04,-5.92,41.799,42.019,42.297,42.689,43.039,43.389,39.396
-4.96,-5.92,41.911,42.131,42.408,42.799,43.149,43.497,39.448
-4.88,-5.92,42.024,42.242,42.518,42.909,43.258,43.604,39.497
-4.8,-5.92,42.136,42.353,42.628,43.018,43.366,43.711,39.506
-4.72,-5.92,42.247,42.462,42.736,43.127,43.475,43.818,39.511
-4.64,-5.92,42.356,42.569,42.841,43.234,43.582,43.924,39.514
-4.56,-5.92,42.465,42.676,42.947,43.341,43.689,44.029,39.515
-4.48,-5.92,42.569,42.774,43.045,43.449,43.797,44.133,39.514
-4.4,-5.92,42.69,42.896,43.165,43.56,43.906,44.243,39.513
-4.32,-5.92,42.811,43.019,43.286,43.673,44.016,44.355,39.509
-4.24,-5.92,42.93,43.137,43.402,43.786,44.127,44.465,39.505
-4.16,-5.92,43.049,43.256,43.52,43.899,44.237,44.574,39.499
-4.08,-5.92,43.165,43.372,43.634,44.009,44.346,44.683,39.493
-4,-5.92,43.28,43.486,43.746,44.119,44.455,44.791,39.485
-3.92,-5.92,43.395,43.6,43.859,44.229,44.562,44.898,39.477
-3.84,-5.92,43.51,43.713,43.97,44.338,44.669,45.005,39.468
-3.76,-5.92,43.623,43.825,44.08,44.445,44.776,45.11,39.458
-3.68,-5.92,43.736,43.937,44.19,44.552,44.881,45.215,39.448
-3.6,-5.92,43.849,44.048,44.3,44.659,44.986,45.319,39.438
-3.52,-5.92,43.961,44.159,44.408,44.765,45.09,45.422,39.427
-3.44,-5.92,44.073,44.269,44.517,44.87,45.194,45.525,39.417
-3.36,-5.92,44.185,44.379,44.624,44.975,45.297,45.626,39.406
-3.28,-5.92,44.296,44.489,44.732,45.079,45.399,45.727,39.397
-3.2,-5.92,44.406,44.597,44.837,45.182,45.499,45.825,39.391
-3.12,-5.92,44.515,44.704,44.942,45.284,45.598,45.923,39.368
-3.04,-5.92,44.624,44.81,45.046,45.385,45.697,46.02,39.344
-2.96,-5.92,44.733,44.917,45.15,45.486,45.795,46.116,39.318
-2.88,-5.92,44.842,45.023,45.253,45.586,45.893,46.211,39.29
-2.8,-5.92,44.95,45.129,45.356,45.685,45.989,46.305,39.26
-2.72,-5.92,45.059,45.235,45.459,45.784,46.085,46.399,39.23
-2.64,-5.92,45.167,45.34,45.561,45.883,46.18,46.491,39.199
-2.56,-5.92,45.275,45.445,45.662,45.98,46.275,46.583,39.168
-2.48,-5.92,45.384,45.551,45.764,46.077,46.368,46.674,39.138
-2.4,-5.92,45.492,45.656,45.865,46.174,46.461,46.764,39.109
-2.32,-5.92,45.6,45.761,45.966,46.27,46.553,46.854,39.082
-2.24,-5.92,45.708,45.865,46.066,46.365,46.644,46.942,39.057
-2.16,-5.92,45.816,45.969,46.166,46.459,46.734,47.028,39.035
-2.08,-5.92,45.923,46.073,46.265,46.553,46.823,47.114,39.017
-2,-5.92,46.031,46.177,46.364,46.645,46.912,47.199,39.003
-1.92,-5.92,46.138,46.28,46.462,46.738,46.999,47.282,38.993
-1.84,-5.92,46.245,46.383,46.56,46.829,47.085,47.364,38.989
-1.76,-5.92,46.353,46.486,46.658,46.92,47.17,47.446,39.008
-1.68,-5.92,46.46,46.589,46.755,47.01,47.255,47.526,39.032
-1.6,-5.92,46.567,46.692,46.852,47.099,47.338,47.604,39.061
-1.52,-5.92,46.674,46.794,46.948,47.188,47.421,47.682,39.093
-1.44,-5.92,46.782,46.896,47.044,47.276,47.502,47.758,39.118
-1.36,-5.92,46.888,46.998,47.14,47.363,47.582,47.833,39.138
-1.28,-5.92,46.995,47.1,47.235,47.449,47.662,47.906,39.161
-1.2,-5.92,47.103,47.202,47.33,47.536,47.74,47.979,39.187
-1.12,-5.92,47.21,47.304,47.425,47.621,47.818,48.05,39.216
-1.04,-5.92,47.318,47.406,47.52,47.707,47.895,48.121,39.248
-0.96,-5.92,47.426,47.508,47.615,47.792,47.972,48.19,39.282
-0.88,-5.92,47.534,47.611,47.71,47.877,48.048,48.259,39.318
-0.8,-5.92,47.642,47.713,47.805,47.962,48.124,48.327,39.356
-0.72,-5.92,47.75,47.816,47.9,48.046,48.199,48.394,39.395
-0.64,-5.92,47.859,47.919,47.995,48.13,48.273,48.46,39.434
-0.56,-5.92,47.967,48.022,48.09,48.214,48.347,48.525,39.474
-0.48,-5.92,48.076,48.124,48.185,48.298,48.421,48.59,39.512
-0.4,-5.92,48.184,48.227,48.28,48.382,48.494,48.654,39.549
-0.32,-5.92,48.292,48.33,48.375,48.466,48.568,48.718,39.582
-0.24,-5.92,48.399,48.432,48.47,48.55,48.64,48.781,39.611
-0.16,-5.92,48.506,48.534,48.564,48.633,48.713,48.843,39.634
-0.08,-5.92,48.612,48.635,48.659,48.717,48.785,48.905,39.65
0,-5.92,48.717,48.736,48.752,48.8,48.857,48.967,39.658
0.08,-5.92,48.787,48.8,48.808,48.842,48.89,48.987,39.668
0.16,-5.92,48.875,48.884,48.885,48.907,48.945,49.03,39.673
0.24,-5.92,48.964,48.969,48.963,48.975,49.001,49.076,39.937
0.32,-5.92,49.051,49.051,49.039,49.041,49.057,49.12,39.911
0.4,-5.92,49.133,49.131,49.113,49.104,49.109,49.16,39.873
0.48,-5.92,49.212,49.206,49.182,49.165,49.159,49.198,39.826
0.56,-5.92,49.286,49.277,49.249,49.222,49.205,49.233,39.771
0.64,-5.92,49.355,49.344,49.311,49.276,49.248,49.264,39.71
0.72,-5.92,49.419,49.406,49.369,49.326,49.287,49.292,39.645
0.8,-5.92,49.483,49.464,49.422,49.371,49.323,49.316,39.578
0.88,-5.92,49.543,49.522,49.471,49.414,49.356,49.337,39.511
0.96,-5.92,49.599,49.576,49.52,49.453,49.384,49.355,39.442
1.04,-5.92,49.65,49.625,49.566,49.487,49.41,49.369,39.373
1.12,-5.92,49.698,49.671,49.609,49.522,49.432,49.38,39.304
1.2,-5.92,49.743,49.714,49.647,49.555,49.45,49.39,39.234
1.28,-5.92,49.784,49.753,49.683,49.585,49.469,49.396,39.163
1.36,-5.92,49.823,49.79,49.715,49.611,49.486,49.399,39.092
1.44,-5.92,49.862,49.823,49.746,49.635,49.501,49.4,39.02
1.52,-5.92,49.896,49.857,49.774,49.657,49.514,49.403,38.948
1.6,-5.92,49.927,49.888,49.799,49.677,49.524,49.404,38.876
1.68,-5.92,49.95,49.916,49.823,49.695,49.533,49.403,38.803
1.76,-5.92,49.974,49.94,49.847,49.712,49.54,49.4,38.729
1.84,-5.92,49.993,49.957,49.867,49.726,49.546,49.396,38.654
1.92,-5.92,50.009,49.976,49.885,49.738,49.55,49.391,38.579
2,-5.92,50.02,49.991,49.898,49.753,49.554,49.385,38.503
2.08,-5.92,50.028,50.003,49.906,49.764,49.556,49.377,38.426
2.16,-5.92,50.032,50.011,49.915,49.774,49.556,49.369,38.348
2.24,-5.92,50.031,50.015,49.922,49.78,49.555,49.359,38.269
2.32,-5.92,50.014,50.015,49.924,49.783,49.556,49.35,38.189
2.4,-5.92,49.994,50.011,49.924,49.78,49.556,49.34,38.109
2.48,-5.92,49.969,50.004,49.919,49.781,49.553,49.327,38.027
2.56,-5.92,49.941,49.979,49.911,49.781,49.547,49.313,37.944
2.64,-5.92,49.898,49.95,49.899,49.777,49.539,49.301,37.86
2.72,-5.92,49.818,49.917,49.882,49.77,49.529,49.289,37.774
2.8,-5.92,49.744,49.879,49.857,49.76,49.511,49.274,37.688
2.88,-5.92,49.694,49.838,49.819,49.747,49.5,49.258,37.601
2.96,-5.92,49.64,49.767,49.777,49.73,49.488,49.24,37.512
3.04,-5.92,49.583,49.674,49.73,49.709,49.473,49.219,37.422
3.12,-5.92,49.522,49.597,49.679,49.684,49.456,49.195,37.332
3.2,-5.92,49.481,49.534,49.624,49.654,49.436,49.166,37.24
3.28,-5.92,49.438,49.466,49.552,49.62,49.414,49.131,37.147
3.36,-5.92,49.393,49.395,49.443,49.582,49.389,49.097,37.053
3.44,-5.92,49.347,49.32,49.34,49.526,49.36,49.061,36.957
3.52,-5.92,49.299,49.247,49.263,49.463,49.329,49.022,36.861
3.6,-5.92,49.249,49.18,49.182,49.395,49.294,48.981,36.764
3.68,-5.92,49.197,49.109,49.097,49.324,49.256,48.937,36.666
3.76,-5.92,49.143,49.037,49.009,49.248,49.214,48.89,36.567
3.84,-5.92,49.086,48.962,48.917,49.169,49.169,48.841,36.467
3.92,-5.92,49.027,48.885,48.821,49.085,49.12,48.789,36.366
