X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,40.355,40.581,40.866,41.265,41.628,41.987,38.92
-5.92,-6,40.468,40.695,40.978,41.377,41.738,42.098,38.979
-5.84,-6,40.582,40.808,41.09,41.488,41.849,42.208,39.038
-5.76,-6,40.697,40.921,41.203,41.599,41.96,42.318,39.095
-5.68,-6,40.811,41.035,41.316,41.711,42.071,42.429,39.151
-5.6,-6,40.925,41.149,41.428,41.823,42.182,42.539,39.206
-5.52,-6,41.04,41.263,41.541,41.934,42.293,42.65,39.26
-5.44,-6,41.155,41.377,41.654,42.046,42.404,42.76,39.312
-5.36,-6,41.27,41.491,41.768,42.158,42.515,42.871,39.362
-5.28,-6,41.385,41.605,41.881,42.27,42.626,42.981,39.411
-5.2,-6,41.5,41.719,41.994,42.382,42.737,43.092,39.459
-5.12,-6,41.616,41.834,42.107,42.494,42.848,43.202,39.504
-5.04,-6,41.731,41.948,42.221,42.605,42.959,43.313,39.548
-4.96,-6,41.847,42.063,42.334,42.717,43.07,43.423,39.59
-4.88,-6,41.962,42.177,42.447,42.829,43.181,43.534,39.63
-4.8,-6,42.078,42.292,42.561,42.941,43.292,43.644,39.668
-4.72,-6,42.194,42.407,42.674,43.052,43.402,43.754,39.705
-4.64,-6,42.309,42.521,42.787,43.164,43.513,43.864,39.739
-4.56,-6,42.425,42.636,42.9,43.275,43.623,43.974,39.768
-4.48,-6,42.541,42.75,43.013,43.387,43.734,44.083,39.768
-4.4,-6,42.657,42.865,43.126,43.498,43.844,44.192,39.767
-4.32,-6,42.772,42.979,43.239,43.608,43.953,44.302,39.764
-4.24,-6,42.888,43.094,43.352,43.719,44.063,44.41,39.761
-4.16,-6,43.004,43.208,43.464,43.829,44.172,44.519,39.755
-4.08,-6,43.119,43.322,43.577,43.94,44.281,44.627,39.749
-4,-6,43.235,43.436,43.689,44.05,44.39,44.735,39.743
-3.92,-6,43.35,43.55,43.801,44.159,44.498,44.842,39.735
-3.84,-6,43.466,43.664,43.913,44.268,44.606,44.949,39.727
-3.76,-6,43.581,43.778,44.024,44.377,44.713,45.056,39.719
-3.68,-6,43.697,43.891,44.136,44.486,44.82,45.162,39.71
-3.6,-6,43.812,44.005,44.247,44.594,44.927,45.268,39.702
-3.52,-6,43.927,44.118,44.358,44.702,45.033,45.373,39.694
-3.44,-6,44.042,44.231,44.468,44.81,45.139,45.478,39.686
-3.36,-6,44.157,44.344,44.579,44.917,45.245,45.582,39.679
-3.28,-6,44.272,44.457,44.689,45.023,45.349,45.685,39.673
-3.2,-6,44.387,44.569,44.799,45.13,45.454,45.788,39.668
-3.12,-6,44.502,44.682,44.908,45.236,45.557,45.891,39.664
-3.04,-6,44.617,44.794,45.017,45.341,45.661,45.993,39.661
-2.96,-6,44.731,44.906,45.126,45.446,45.763,46.094,39.662
-2.88,-6,44.846,45.019,45.235,45.55,45.865,46.195,39.66
-2.8,-6,44.961,45.131,45.344,45.654,45.967,46.295,39.641
-2.72,-6,45.076,45.242,45.452,45.758,46.068,46.394,39.621
-2.64,-6,45.19,45.354,45.56,45.861,46.168,46.492,39.599
-2.56,-6,45.305,45.466,45.668,45.964,46.268,46.59,39.577
-2.48,-6,45.42,45.578,45.775,46.066,46.368,46.688,39.553
-2.4,-6,45.535,45.689,45.883,46.168,46.466,46.784,39.528
-2.32,-6,45.651,45.801,45.99,46.27,46.564,46.88,39.503
-2.24,-6,45.766,45.913,46.097,46.371,46.662,46.975,39.477
-2.16,-6,45.882,46.025,46.204,46.471,46.759,47.07,39.451
-2.08,-6,45.998,46.137,46.311,46.572,46.856,47.164,39.426
-2,-6,46.115,46.25,46.418,46.672,46.952,47.257,39.402
-1.92,-6,46.232,46.362,46.526,46.772,47.047,47.35,39.378
-1.84,-6,46.349,46.475,46.633,46.872,47.142,47.442,39.356
-1.76,-6,46.467,46.589,46.74,46.971,47.237,47.534,39.335
-1.68,-6,46.585,46.702,46.848,47.071,47.332,47.625,39.317
-1.6,-6,46.704,46.817,46.956,47.17,47.426,47.715,39.301
-1.52,-6,46.824,46.931,47.064,47.269,47.52,47.805,39.287
-1.44,-6,46.944,47.047,47.173,47.369,47.614,47.895,39.277
-1.36,-6,47.066,47.163,47.282,47.468,47.707,47.985,39.269
-1.28,-6,47.188,47.279,47.391,47.568,47.801,48.074,39.266
-1.2,-6,47.31,47.397,47.502,47.668,47.895,48.163,39.265
-1.12,-6,47.434,47.515,47.612,47.769,47.988,48.251,39.268
-1.04,-6,47.559,47.634,47.724,47.869,48.082,48.34,39.275
-0.96,-6,47.684,47.754,47.836,47.971,48.176,48.429,39.286
-0.88,-6,47.81,47.875,47.949,48.072,48.271,48.518,39.299
-0.8,-6,47.938,47.996,48.063,48.175,48.365,48.607,39.316
-0.72,-6,48.066,48.119,48.178,48.278,48.46,48.696,39.335
-0.64,-6,48.195,48.243,48.293,48.381,48.556,48.785,39.357
-0.56,-6,48.325,48.367,48.41,48.486,48.653,48.875,39.379
-0.48,-6,48.456,48.492,48.527,48.591,48.749,48.965,39.402
-0.4,-6,48.587,48.618,48.645,48.697,48.847,49.056,39.424
-0.32,-6,48.719,48.745,48.765,48.804,48.946,49.148,39.444
-0.24,-6,48.852,48.873,48.885,48.912,49.045,49.24,39.461
-0.16,-6,48.985,49.001,49.006,49.021,49.145,49.333,39.474
-0.08,-6,49.118,49.13,49.127,49.131,49.246,49.427,39.481
0,-6,49.251,49.259,49.25,49.241,49.348,49.521,39.48
0.08,-6,49.356,49.359,49.341,49.318,49.419,49.583,39.487
0.16,-6,49.478,49.476,49.451,49.416,49.509,49.665,39.488
0.24,-6,49.602,49.596,49.564,49.517,49.602,49.751,39.748
0.32,-6,49.725,49.715,49.677,49.618,49.695,49.837,39.72
0.4,-6,49.846,49.833,49.789,49.719,49.788,49.922,39.68
0.48,-6,49.965,49.949,49.9,49.819,49.88,50.007,39.632
0.56,-6,50.082,50.063,50.009,49.917,49.971,50.09,39.575
0.64,-6,50.196,50.175,50.116,50.014,50.061,50.172,39.514
0.72,-6,50.308,50.285,50.222,50.11,50.149,50.254,39.448
0.8,-6,50.422,50.392,50.325,50.203,50.236,50.334,39.381
0.88,-6,50.533,50.502,50.427,50.296,50.322,50.413,39.313
0.96,-6,50.642,50.609,50.53,50.388,50.406,50.491,39.244
1.04,-6,50.75,50.715,50.632,50.477,50.49,50.569,39.175
1.12,-6,50.856,50.818,50.733,50.568,50.572,50.645,39.105
1.2,-6,50.961,50.921,50.832,50.659,50.654,50.721,39.035
1.28,-6,51.064,51.023,50.93,50.749,50.736,50.796,38.964
1.36,-6,51.167,51.123,51.028,50.838,50.819,50.87,38.893
1.44,-6,51.27,51.222,51.124,50.926,50.9,50.944,38.821
1.52,-6,51.371,51.322,51.22,51.014,50.981,51.02,38.749
1.6,-6,51.47,51.421,51.315,51.101,51.062,51.095,38.677
1.68,-6,51.564,51.517,51.41,51.187,51.141,51.169,38.604
1.76,-6,51.658,51.611,51.504,51.273,51.22,51.243,38.531
1.84,-6,51.75,51.701,51.597,51.36,51.299,51.316,38.457
1.92,-6,51.84,51.793,51.69,51.452,51.378,51.389,38.382
2,-6,51.926,51.881,51.782,51.546,51.453,51.462,38.307
2.08,-6,52.01,51.968,51.869,51.638,51.526,51.533,38.23
2.16,-6,52.09,52.051,51.957,51.73,51.599,51.603,38.153
2.24,-6,52.167,52.132,52.043,51.819,51.673,51.672,38.075
2.32,-6,52.234,52.209,52.123,51.907,51.748,51.739,37.996
2.4,-6,52.298,52.283,52.201,51.99,51.821,51.805,37.917
2.48,-6,52.359,52.354,52.276,52.077,51.891,51.868,37.836
2.56,-6,52.417,52.414,52.347,52.161,51.959,51.922,37.754
2.64,-6,52.466,52.471,52.416,52.243,52.024,51.963,37.671
2.72,-6,52.495,52.524,52.481,52.323,52.087,52.004,37.587
2.8,-6,52.528,52.574,52.54,52.397,52.143,52.059,37.502
2.88,-6,52.571,52.621,52.592,52.467,52.204,52.112,37.416
2.96,-6,52.612,52.653,52.641,52.538,52.266,52.162,37.329
3.04,-6,52.65,52.674,52.687,52.609,52.327,52.21,37.241
3.12,-6,52.685,52.703,52.73,52.678,52.386,52.256,37.151
3.2,-6,52.723,52.738,52.771,52.744,52.444,52.299,37.061
3.28,-6,52.759,52.772,52.805,52.809,52.502,52.335,36.969
3.36,-6,52.793,52.803,52.824,52.871,52.56,52.371,36.877
3.44,-6,52.827,52.834,52.847,52.916,52.616,52.404,36.783
3.52,-6,52.857,52.863,52.881,52.957,52.668,52.436,36.689
3.6,-6,52.885,52.892,52.915,52.998,52.72,52.467,36.593
3.68,-6,52.914,52.921,52.949,53.039,52.774,52.498,36.497
3.76,-6,52.944,52.952,52.984,53.08,52.83,52.53,36.399
3.84,-6,52.976,52.984,53.019,53.123,52.887,52.563,36.301
3.92,-6,53.009,53.017,53.057,53.166,52.947,52.596,36.202
4,-6,53.045,53.053,53.096,53.211,53.009,52.635,36.102
4.08,-6,53.093,53.092,53.137,53.258,53.074,52.683,36.001
4.16,-6,53.15,53.133,53.181,53.308,53.142,52.735,35.899
4.24,-6,53.212,53.179,53.228,53.359,53.213,52.791,35.797
4.32,-6,53.28,53.227,53.278,53.413,53.287,52.852,35.694
4.4,-6,53.355,53.28,53.332,53.471,53.364,52.919,35.59
4.48,-6,53.435,53.337,53.39,53.531,53.444,52.99,35.485
4.56,-6,53.522,53.398,53.452,53.595,53.527,53.067,35.38
4.64,-6,53.615,53.47,53.518,53.662,53.602,53.15,35.275
4.72,-6,53.715,53.556,53.588,53.734,53.681,53.239,35.169
4.8,-6,53.821,53.649,53.663,53.809,53.764,53.333,35.062
4.88,-6,53.933,53.748,53.742,53.888,53.852,53.433,34.955
4.96,-6,54.051,53.853,53.825,53.971,53.943,53.539,34.847
5.04,-6,54.175,53.965,53.913,54.058,54.038,53.65,34.739
5.12,-6,54.305,54.083,54.005,54.149,54.136,53.766,34.63
5.2,-6,54.439,54.208,54.101,54.244,54.239,53.887,34.521
5.28,-6,54.578,54.338,54.202,54.342,54.345,54.012,34.412
5.36,-6,54.722,54.474,54.306,54.444,54.454,54.142,34.303
5.44,-6,54.869,54.615,54.413,54.55,54.567,54.275,34.193
5.52,-6,55.02,54.761,54.538,54.658,54.682,54.412,34.083
5.6,-6,55.175,54.912,54.67,54.77,54.801,54.552,33.972
5.68,-6,55.332,55.067,54.807,54.885,54.923,54.694,33.862
5.76,-6,55.491,55.227,54.95,55.004,55.047,54.839,33.751
5.84,-6,55.653,55.39,55.097,55.126,55.174,54.985,33.64
5.92,-6,55.816,55.556,55.249,55.251,55.304,55.132,33.529
6,-6,55.981,55.725,55.406,55.38,55.436,55.268,33.418
-6,-5.92,40.452,40.679,40.963,41.363,41.725,42.084,39.14
-5.92,-5.92,40.567,40.793,41.077,41.475,41.836,42.195,39.199
-5.84,-5.92,40.682,40.908,41.19,41.588,41.948,42.307,39.258
-5.76,-5.92,40.798,41.022,41.304,41.701,42.061,42.418,39.315
-5.68,-5.92,40.913,41.137,41.418,41.814,42.173,42.53,39.371
-5.6,-5.92,41.029,41.253,41.532,41.927,42.285,42.642,39.425
-5.52,-5.92,41.145,41.368,41.647,42.04,42.398,42.754,39.478
-5.44,-5.92,41.261,41.483,41.761,42.153,42.51,42.866,39.53
