X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,40.188,40.413,40.696,41.097,41.447,41.789,39.09
-5.92,-6,40.301,40.525,40.807,41.207,41.557,41.898,39.156
-5.84,-6,40.413,40.637,40.918,41.317,41.666,42.007,39.222
-5.76,-6,40.526,40.749,41.03,41.428,41.776,42.116,39.286
-5.68,-6,40.639,40.861,41.141,41.538,41.886,42.225,39.35
-5.6,-6,40.752,40.974,41.253,41.649,41.996,42.334,39.413
-5.52,-6,40.865,41.086,41.364,41.759,42.105,42.443,39.475
-5.44,-6,40.979,41.199,41.476,41.87,42.215,42.552,39.535
-5.36,-6,41.092,41.311,41.588,41.981,42.325,42.662,39.594
-5.28,-6,41.206,41.424,41.7,42.091,42.435,42.771,39.652
-5.2,-6,41.319,41.537,41.812,42.202,42.545,42.88,39.708
-5.12,-6,41.433,41.65,41.923,42.313,42.654,42.989,39.763
-5.04,-6,41.547,41.763,42.035,42.423,42.764,43.098,39.816
-4.96,-6,41.661,41.875,42.147,42.534,42.873,43.206,39.867
-4.88,-6,41.774,41.988,42.259,42.644,42.983,43.315,39.915
-4.8,-6,41.888,42.101,42.37,42.754,43.092,43.423,39.962
-4.72,-6,42.002,42.214,42.482,42.864,43.201,43.531,40.006
-4.64,-6,42.115,42.326,42.593,42.974,43.31,43.639,40.048
-4.56,-6,42.229,42.439,42.704,43.084,43.418,43.747,40.088
-4.48,-6,42.342,42.551,42.815,43.193,43.527,43.854,40.125
-4.4,-6,42.456,42.664,42.926,43.303,43.635,43.961,40.16
-4.32,-6,42.569,42.776,43.037,43.412,43.743,44.068,40.192
-4.24,-6,42.683,42.888,43.148,43.52,43.85,44.174,40.21
-4.16,-6,42.796,43,43.258,43.629,43.957,44.28,40.198
-4.08,-6,42.909,43.111,43.368,43.737,44.064,44.386,40.185
-4,-6,43.022,43.223,43.478,43.845,44.17,44.491,40.17
-3.92,-6,43.134,43.334,43.587,43.952,44.276,44.596,40.155
-3.84,-6,43.247,43.445,43.696,44.059,44.381,44.7,40.139
-3.76,-6,43.359,43.555,43.805,44.166,44.486,44.803,40.122
-3.68,-6,43.471,43.666,43.913,44.272,44.591,44.907,40.104
-3.6,-6,43.583,43.776,44.022,44.377,44.694,45.009,40.086
-3.52,-6,43.695,43.886,44.129,44.483,44.798,45.111,40.068
-3.44,-6,43.806,43.996,44.237,44.587,44.9,45.212,40.05
-3.36,-6,43.917,44.105,44.344,44.691,45.003,45.312,40.033
-3.28,-6,44.028,44.214,44.45,44.795,45.104,45.412,40.015
-3.2,-6,44.139,44.322,44.556,44.898,45.205,45.511,39.999
-3.12,-6,44.25,44.431,44.662,45,45.305,45.609,39.983
-3.04,-6,44.36,44.539,44.767,45.102,45.404,45.707,39.969
-2.96,-6,44.47,44.646,44.872,45.204,45.503,45.803,39.955
-2.88,-6,44.58,44.754,44.976,45.304,45.601,45.899,39.943
-2.8,-6,44.69,44.861,45.08,45.404,45.698,45.994,39.932
-2.72,-6,44.799,44.967,45.183,45.503,45.794,46.088,39.923
-2.64,-6,44.908,45.074,45.286,45.602,45.89,46.18,39.92
-2.56,-6,45.018,45.18,45.388,45.7,45.984,46.273,39.912
-2.48,-6,45.127,45.286,45.49,45.798,46.078,46.364,39.896
-2.4,-6,45.235,45.391,45.592,45.894,46.171,46.454,39.88
-2.32,-6,45.344,45.497,45.693,45.99,46.263,46.543,39.864
-2.24,-6,45.453,45.602,45.794,46.086,46.355,46.631,39.848
-2.16,-6,45.561,45.707,45.894,46.181,46.445,46.718,39.833
-2.08,-6,45.67,45.811,45.994,46.275,46.535,46.804,39.818
-2,-6,45.779,45.916,46.094,46.368,46.624,46.889,39.804
-1.92,-6,45.887,46.02,46.193,46.461,46.712,46.973,39.791
-1.84,-6,45.996,46.125,46.293,46.554,46.799,47.056,39.779
-1.76,-6,46.105,46.229,46.391,46.646,46.885,47.138,39.769
-1.68,-6,46.214,46.334,46.49,46.737,46.971,47.219,39.76
-1.6,-6,46.323,46.438,46.589,46.828,47.056,47.299,39.754
-1.52,-6,46.432,46.542,46.687,46.919,47.14,47.378,39.749
-1.44,-6,46.542,46.647,46.785,47.009,47.224,47.456,39.737
-1.36,-6,46.652,46.752,46.883,47.098,47.307,47.533,39.72
-1.28,-6,46.762,46.857,46.981,47.188,47.389,47.609,39.704
-1.2,-6,46.872,46.962,47.08,47.277,47.471,47.685,39.695
-1.12,-6,46.983,47.067,47.178,47.366,47.552,47.759,39.698
-1.04,-6,47.094,47.172,47.276,47.455,47.632,47.833,39.702
