X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,40.377,40.614,40.913,41.335,41.705,42.067,38.315
-5.92,-6,40.489,40.725,41.023,41.444,41.814,42.176,38.394
-5.84,-6,40.6,40.836,41.134,41.554,41.923,42.284,38.472
-5.76,-6,40.712,40.947,41.244,41.663,42.032,42.392,38.548
-5.68,-6,40.824,41.059,41.355,41.773,42.141,42.501,38.621
-5.6,-6,40.936,41.17,41.465,41.883,42.25,42.609,38.693
-5.52,-6,41.049,41.282,41.576,41.992,42.359,42.717,38.763
-5.44,-6,41.161,41.393,41.687,42.102,42.468,42.826,38.83
-5.36,-6,41.273,41.505,41.797,42.212,42.577,42.934,38.895
-5.28,-6,41.386,41.617,41.908,42.321,42.686,43.042,38.957
-5.2,-6,41.498,41.728,42.019,42.431,42.794,43.15,39.017
-5.12,-6,41.61,41.84,42.13,42.541,42.903,43.258,39.074
-5.04,-6,41.723,41.951,42.24,42.65,43.012,43.366,39.128
-4.96,-6,41.835,42.063,42.351,42.759,43.12,43.474,39.179
-4.88,-6,41.947,42.174,42.461,42.869,43.228,43.581,39.228
-4.8,-6,42.06,42.286,42.572,42.978,43.336,43.689,39.235
-4.72,-6,42.172,42.397,42.682,43.086,43.444,43.796,39.24
-4.64,-6,42.284,42.508,42.792,43.195,43.552,43.903,39.242
-4.56,-6,42.396,42.619,42.902,43.304,43.659,44.009,39.243
-4.48,-6,42.508,42.73,43.011,43.412,43.766,44.115,39.243
-4.4,-6,42.62,42.841,43.121,43.52,43.873,44.221,39.241
-4.32,-6,42.731,42.951,43.23,43.627,43.979,44.327,39.238
-4.24,-6,42.843,43.061,43.339,43.734,44.085,44.432,39.233
-4.16,-6,42.954,43.171,43.447,43.841,44.191,44.537,39.228
-4.08,-6,43.065,43.281,43.555,43.948,44.296,44.641,39.221
-4,-6,43.176,43.391,43.663,44.054,44.401,44.744,39.214
-3.92,-6,43.286,43.5,43.771,44.159,44.505,44.848,39.206
-3.84,-6,43.396,43.609,43.878,44.264,44.609,44.95,39.197
-3.76,-6,43.506,43.717,43.984,44.369,44.712,45.052,39.187
-3.68,-6,43.616,43.825,44.091,44.473,44.814,45.153,39.177
-3.6,-6,43.725,43.933,44.197,44.576,44.916,45.254,39.167
-3.52,-6,43.834,44.04,44.302,44.679,45.017,45.354,39.157
-3.44,-6,43.943,44.147,44.407,44.782,45.118,45.453,39.146
