X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,38.553,39.09,39.556,31.586
-5.92,-6,38.673,39.211,39.676,31.581
-5.84,-6,38.794,39.332,39.797,31.579
-5.76,-6,38.915,39.453,39.918,31.578
-5.68,-6,39.036,39.573,40.038,31.579
-5.6,-6,39.157,39.694,40.159,31.582
-5.52,-6,39.278,39.815,40.279,31.587
-5.44,-6,39.399,39.935,40.4,31.595
-5.36,-6,39.519,40.056,40.52,31.605
-5.28,-6,39.64,40.176,40.64,31.618
-5.2,-6,39.76,40.296,40.76,31.634
-5.12,-6,39.88,40.416,40.88,31.653
-5.04,-6,40,40.536,40.999,31.675
-4.96,-6,40.119,40.655,41.118,31.7
-4.88,-6,40.238,40.774,41.237,31.728
-4.8,-6,40.357,40.893,41.356,31.815
-4.72,-6,40.476,41.011,41.474,31.909
-4.64,-6,40.594,41.129,41.592,32.007
-4.56,-6,40.712,41.247,41.709,32.108
-4.48,-6,40.829,41.364,41.826,32.212
-4.4,-6,40.946,41.48,41.943,32.319
-4.32,-6,41.062,41.596,42.059,32.427
-4.24,-6,41.177,41.712,42.174,32.535
-4.16,-6,41.292,41.826,42.289,32.644
-4.08,-6,41.407,41.94,42.403,32.751
-4,-6,41.52,42.054,42.516,32.857
-3.92,-6,41.633,42.167,42.628,32.96
-3.84,-6,41.745,42.279,42.74,33.06
-3.76,-6,41.857,42.39,42.851,33.156
-3.68,-6,41.967,42.5,42.961,33.247
-3.6,-6,42.077,42.609,43.07,33.334
-3.52,-6,42.185,42.717,43.178,33.415
-3.44,-6,42.293,42.825,43.286,33.489
-3.36,-6,42.4,42.931,43.392,33.558
-3.28,-6,42.505,43.036,43.497,33.607
-3.2,-6,42.61,43.14,43.6,33.611
-3.12,-6,42.713,43.243,43.703,33.595
-3.04,-6,42.816,43.345,43.805,33.574
-2.96,-6,42.917,43.446,43.905,33.548
-2.88,-6,43.017,43.545,44.003,33.518
-2.8,-6,43.116,43.643,44.101,33.483
-2.72,-6,43.213,43.739,44.197,33.444
-2.64,-6,43.309,43.834,44.291,33.401
-2.56,-6,43.404,43.928,44.385,33.355
-2.48,-6,43.498,44.021,44.476,33.307
