X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),App(SEL)
-6,-6,38.459,38.985,39.439,33.085
-5.92,-6,38.581,39.106,39.56,33.048
-5.84,-6,38.702,39.228,39.681,33.012
-5.76,-6,38.824,39.349,39.803,32.977
-5.68,-6,38.946,39.471,39.924,32.943
-5.6,-6,39.068,39.592,40.045,32.909
-5.52,-6,39.189,39.714,40.167,32.877
-5.44,-6,39.311,39.835,40.288,32.845
-5.36,-6,39.433,39.956,40.409,32.816
-5.28,-6,39.554,40.078,40.53,32.788
-5.2,-6,39.675,40.199,40.651,32.761
-5.12,-6,39.797,40.32,40.771,32.737
-5.04,-6,39.918,40.44,40.892,32.715
-4.96,-6,40.039,40.561,41.012,32.695
-4.88,-6,40.159,40.681,41.132,32.678
-4.8,-6,40.279,40.801,41.252,32.664
-4.72,-6,40.399,40.921,41.372,32.653
-4.64,-6,40.519,41.041,41.491,32.645
-4.56,-6,40.639,41.16,41.609,32.641
-4.48,-6,40.758,41.278,41.728,32.64
-4.4,-6,40.876,41.397,41.846,32.643
-4.32,-6,40.994,41.514,41.963,32.65
-4.24,-6,41.112,41.632,42.08,32.677
-4.16,-6,41.229,41.749,42.197,32.749
-4.08,-6,41.346,41.865,42.313,32.827
-4,-6,41.463,41.981,42.428,32.909
-3.92,-6,41.578,42.096,42.543,32.995
-3.84,-6,41.693,42.211,42.657,33.084
-3.76,-6,41.808,42.325,42.771,33.175
-3.68,-6,41.922,42.438,42.883,33.268
-3.6,-6,42.035,42.55,42.995,33.361
-3.52,-6,42.148,42.662,43.107,33.455
-3.44,-6,42.259,42.773,43.217,33.548
-3.36,-6,42.371,42.884,43.327,33.64
-3.28,-6,42.481,42.994,43.436,33.729
-3.2,-6,42.591,43.102,43.544,33.816
-3.12,-6,42.7,43.211,43.651,33.9
-3.04,-6,42.809,43.318,43.757,33.979
-2.96,-6,42.917,43.425,43.863,34.054
-2.88,-6,43.024,43.53,43.968,34.125
-2.8,-6,43.131,43.635,44.071,34.19
-2.72,-6,43.237,43.74,44.174,34.25
-2.64,-6,43.343,43.844,44.276,34.278
-2.56,-6,43.448,43.947,44.378,34.274
-2.48,-6,43.553,44.049,44.478,34.258
-2.4,-6,43.658,44.152,44.578,34.239
-2.32,-6,43.763,44.253,44.678,34.218
-2.24,-6,43.868,44.355,44.776,34.193
-2.16,-6,43.973,44.456,44.875,34.166
-2.08,-6,44.078,44.558,44.973,34.136
-2,-6,44.184,44.659,45.071,34.104
-1.92,-6,44.292,44.762,45.169,34.07
-1.84,-6,44.4,44.864,45.267,34.034
-1.76,-6,44.51,44.968,45.366,33.997
-1.68,-6,44.622,45.074,45.465,33.958
-1.6,-6,44.736,45.18,45.566,33.919
-1.52,-6,44.854,45.289,45.667,33.878
-1.44,-6,44.975,45.401,45.771,33.826
-1.36,-6,45.1,45.515,45.877,33.765
-1.28,-6,45.229,45.634,45.985,33.702
-1.2,-6,45.364,45.756,46.097,33.646
-1.12,-6,45.504,45.883,46.212,33.603
-1.04,-6,45.652,46.016,46.332,33.561
-0.96,-6,45.806,46.155,46.457,33.521
-0.88,-6,45.969,46.3,46.587,33.485
-0.8,-6,46.14,46.453,46.723,33.455
-0.72,-6,46.32,46.614,46.866,33.432
-0.64,-6,46.509,46.782,47.016,33.418
-0.56,-6,46.708,46.96,47.174,33.414
-0.48,-6,46.915,47.145,47.338,33.42
-0.4,-6,47.131,47.34,47.511,33.436
-0.32,-6,47.355,47.541,47.691,33.462
-0.24,-6,47.585,47.75,47.877,33.494
-0.16,-6,47.82,47.964,48.069,33.53
-0.08,-6,48.058,48.183,48.266,33.563
0,-6,48.296,48.404,48.466,33.588
0.08,-6,48.522,48.616,48.658,33.611
0.16,-6,48.742,48.823,48.847,33.612
0.24,-6,48.948,49.021,49.029,33.822
0.32,-6,49.142,49.218,49.205,33.564
0.4,-6,49.316,49.397,49.367,33.32
0.48,-6,49.469,49.561,49.512,33.092
0.56,-6,49.598,49.704,49.642,32.972
0.64,-6,49.704,49.831,49.764,32.818
0.72,-6,49.792,49.937,49.875,32.677
0.8,-6,49.831,50.025,49.972,32.561
0.88,-6,49.81,50.095,50.056,32.446
0.96,-6,49.803,50.142,50.129,32.332
1.04,-6,49.819,50.17,50.191,32.218
1.12,-6,49.825,50.184,50.242,32.106
1.2,-6,49.821,50.186,50.283,31.995
1.28,-6,49.812,50.171,50.314,31.885
1.36,-6,49.801,50.09,50.337,31.777
1.44,-6,49.787,49.999,50.355,31.669
1.52,-6,49.772,49.968,50.357,31.563
1.6,-6,49.758,49.939,50.354,31.459
1.68,-6,49.734,49.906,50.346,31.355
1.76,-6,49.719,49.882,50.34,31.252
1.84,-6,49.717,49.871,50.337,31.15
1.92,-6,49.73,49.875,50.316,31.048
2,-6,49.761,49.897,50.25,30.947
2.08,-6,49.828,49.939,50.221,30.846
2.16,-6,49.919,50.001,50.256,30.745
2.24,-6,50.034,50.084,50.309,30.645
2.32,-6,50.17,50.187,50.379,30.544
2.4,-6,50.325,50.308,50.467,30.444
2.48,-6,50.496,50.445,50.57,30.343
2.56,-6,50.679,50.596,50.687,30.242
2.64,-6,50.87,50.756,50.816,30.14
2.72,-6,51.066,50.923,50.954,30.038
2.8,-6,51.268,51.093,51.098,29.935
2.88,-6,51.469,51.262,51.244,29.832
2.96,-6,51.663,51.427,51.39,29.728
3.04,-6,51.848,51.591,51.532,29.624
3.12,-6,52.021,51.744,51.667,29.519
3.2,-6,52.178,51.886,51.792,29.413
3.28,-6,52.32,52.014,51.906,29.306
3.36,-6,52.439,52.126,52.007,29.199
3.44,-6,52.534,52.224,52.094,29.091
3.52,-6,52.615,52.305,52.167,28.982
3.6,-6,52.683,52.371,52.228,28.872
3.68,-6,52.739,52.417,52.274,28.762
3.76,-6,52.788,52.448,52.313,28.651
3.84,-6,52.833,52.472,52.347,28.539
3.92,-6,52.879,52.493,52.38,28.427
4,-6,52.928,52.513,52.415,28.314
4.08,-6,52.984,52.537,52.455,28.2
4.16,-6,53.052,52.569,52.503,28.085
4.24,-6,53.132,52.611,52.561,27.97
4.32,-6,53.228,52.665,52.632,27.855
4.4,-6,53.34,52.742,52.718,27.739
4.48,-6,53.469,52.842,52.819,27.622
4.56,-6,53.615,52.961,52.936,27.505
4.64,-6,53.778,53.1,53.068,27.387
4.72,-6,53.955,53.258,53.216,27.269
4.8,-6,54.147,53.434,53.379,27.15
4.88,-6,54.353,53.628,53.556,27.032
4.96,-6,54.57,53.839,53.746,26.912
5.04,-6,54.798,54.064,53.948,26.793
5.12,-6,55.034,54.303,54.161,26.673
5.2,-6,55.28,54.554,54.385,26.552
5.28,-6,55.532,54.816,54.618,26.432
5.36,-6,55.79,55.087,54.859,26.311
5.44,-6,56.054,55.368,55.109,26.19
5.52,-6,56.322,55.657,55.366,26.069
5.6,-6,56.592,55.952,55.63,25.947
5.68,-6,56.87,56.255,55.901,25.826
5.76,-6,57.153,56.563,56.177,25.704
5.84,-6,57.443,56.877,56.459,25.583
5.92,-6,57.739,57.196,56.746,25.461
6,-6,58.039,57.52,57.038,25.339
-6,-5.92,38.573,39.098,39.552,33.33
-5.92,-5.92,38.697,39.222,39.675,33.293
-5.84,-5.92,38.82,39.345,39.798,33.256
-5.76,-5.92,38.943,39.468,39.921,33.22
-5.68,-5.92,39.067,39.591,40.044,33.185
-5.6,-5.92,39.19,39.714,40.167,33.151
-5.52,-5.92,39.314,39.837,40.29,33.118
-5.44,-5.92,39.437,39.96,40.413,33.086
-5.36,-5.92,39.56,40.084,40.535,33.056
-5.28,-5.92,39.684,40.207,40.658,33.027
-5.2,-5.92,39.807,40.329,40.781,33
-5.12,-5.92,39.93,40.452,40.903,32.975
